,note_name,start_time,duration,velocity,tempo
0,B4,2.0,1.0,47,78.54
1,B3,2.0,1.0,47,78.54
2,G#4,2.0,1.0,47,78.54
3,E1,2.0,1.0,38,78.54
4,E2,2.0,1.0,38,78.54
5,C4,3.0,1.0,44,78.54
6,G#4,3.0,1.0,44,78.54
7,B4,3.0,1.0,44,78.54
8,A1,3.0,1.0,34,78.54
9,A2,3.0,1.0,34,78.54
10,C#4,4.0,1.0,39,78.54
11,F#4,4.0,1.0,39,78.54
12,A4,4.0,1.0,39,78.54
13,F#1,4.0,1.0,36,78.54
14,F#2,4.0,1.0,36,78.54
15,D4,5.0,0.5,43,78.54
16,F#4,5.0,1.0,36,78.54
17,A4,5.0,1.0,36,78.54
18,B1,5.0,1.0,34,78.54
19,B2,5.0,1.0,34,78.54
20,E-4,5.5,0.5,46,78.54
21,A4,6.0,1.0,29,78.54
22,F#4,6.0,0.5,49,78.54
23,E1,6.0,1.0,32,78.54
24,E2,6.0,1.0,32,78.54
25,E4,6.5,0.5,36,78.54
26,G#4,7.0,479/500,38,78.54
27,B3,7.0,0.5,42,78.54
28,E2,7.0,479/500,28,78.54
29,E3,7.0,479/500,28,78.54
30,G#3,7.5,229/500,36,78.54
31,G#3,8.0,1.0,42,78.54
32,E4,8.0,1.0,42,78.54
33,G#4,8.0,1.0,42,78.54
34,B1,8.0,1.0,33,78.54
35,B2,8.0,1.0,33,78.54
36,G#4,9.0,1.0,41,78.54
37,A3,9.0,1.0,41,78.54
38,E4,9.0,1.0,41,78.54
39,C2,9.0,1.0,33,78.54
40,C3,9.0,1.0,33,78.54
41,B-3,10.0,1.0,41,78.54
42,E4,10.0,1.0,41,78.54
43,F#4,10.0,1.0,41,78.54
44,C#2,10.0,1.0,33,78.54
45,C#3,10.0,1.0,33,78.54
46,F4,11.0,0.5,45,78.54
47,E4,11.0,1.0,34,78.54
48,B-3,11.0,1.0,34,78.54
49,F#1,11.0,1.0,30,78.54
50,F#2,11.0,1.0,30,78.54
51,F#4,11.5,0.5,47,78.54
52,A4,12.0,0.5,48,78.54
53,B1,12.0,1.0,29,78.54
54,E-4,12.0,1.0,31,78.54
55,A3,12.0,1.0,31,78.54
56,F#4,12.5,0.5,44,78.54
57,A3,13.0,479/500,45,78.54
58,E4,13.0,0.5,45,78.54
59,F#3,13.0,479/500,22,78.54
60,B2,13.0,479/500,22,78.54
61,E-4,13.5,229/500,38,78.54
62,C#5,14.0,1.0,51,78.54
63,C#4,14.0,1.0,51,78.54
64,A4,14.0,1.0,51,78.54
65,F#1,14.0,1.0,38,78.54
66,F#2,14.0,1.0,38,78.54
67,D4,15.0,1.0,51,78.54
68,A4,15.0,1.0,51,78.54
69,C#5,15.0,1.0,51,78.54
70,B1,15.0,1.0,37,78.54
71,B2,15.0,1.0,37,78.54
72,A4,16.0,1.0,50,78.54
73,E-4,16.0,1.0,50,78.54
74,B4,16.0,1.0,50,78.54
75,G#1,16.0,1.0,37,78.54
76,G#2,16.0,1.0,37,78.54
77,E4,17.0,583/1000,53,78.54
78,G#4,17.0,1.0,44,78.54
79,B4,17.0,1.0,44,78.54
80,C#2,17.0,1.0,38,78.54
81,C#3,17.0,1.0,38,78.54
82,F4,17.5,0.5,53,78.54
83,G#4,18.0,0.5,55,78.54
84,B4,18.0,1.0,50,78.54
85,F#1,18.0,1.0,32,78.54
86,F#2,18.0,1.0,32,78.54
87,F#4,18.5,0.5,45,78.54
88,A4,19.0,479/500,46,78.54
89,C#4,19.0,0.5,49,78.54
90,F#2,19.0,479/500,26,78.54
91,F#3,19.0,479/500,26,78.54
92,A3,19.5,229/500,44,78.54
93,F#4,20.0,1.0,44,78.54
94,C4,20.0,1.0,44,78.54
95,A4,20.0,1.0,44,78.54
96,D2,20.0,1.0,33,78.54
97,D3,20.0,1.0,33,78.54
98,F#4,21.0,1.0,39,78.54
99,B3,21.0,1.0,39,78.54
100,A4,21.0,1.0,39,78.54
101,E-2,21.0,1.0,33,78.54
102,E-3,21.0,1.0,33,78.54
103,F#4,22.0,1.0,40,78.54
104,G#4,22.0,1.0,40,78.54
105,C4,22.0,1.0,40,78.54
106,E2,22.0,1.0,34,78.54
107,E3,22.0,1.0,34,78.54
108,G#4,23.0,1.0,47,78.54
109,C#4,23.0,1.0,39,78.54
110,E4,23.0,1.0,39,78.54
111,C#2,23.0,1.0,38,78.54
112,C#3,23.0,1.0,38,78.54
113,G#4,24.0,1.0,47,78.54
114,E-4,24.0,1.0,36,78.54
115,G#3,24.0,1.0,36,78.54
116,C4,24.0,1.0,36,78.54
117,G#1,24.0,1.0,33,78.54
118,G#2,24.0,1.0,33,78.54
119,G#3,25.0,0.938,37,78.54
120,C#4,25.0,0.938,37,78.54
121,F4,25.0,0.938,37,78.54
122,G#4,25.0,0.938,37,78.54
123,C#1,25.0,0.938,33,78.54
124,C#2,25.0,0.938,33,78.54
125,G#5,26.0,1.0,44,78.54
126,G#4,26.0,1.0,36,78.54
127,C#5,26.0,1.0,36,78.54
128,F4,26.0,1.0,34,78.54
129,C#4,26.0,1.0,34,78.54
130,G#5,27.0,1.0,44,78.54
131,C5,27.0,1.0,39,78.54
132,G#4,27.0,1.0,39,78.54
133,E-5,27.0,1.0,39,78.54
134,G#3,27.0,1.0,39,78.54
135,E-4,27.0,1.0,39,78.54
136,G#4,28.0,1.0,42,78.54
