,note_name,start_time,duration,velocity,tempo
0,F4,0.5,4.0,40,100.0
1,G#4,0.5,4.0,40,100.0
2,G#5,1.0,2.0,40,100.0
3,F5,1.0,2.0,40,100.0
4,F5,3.0,1.5,36,100.0
5,C#5,3.0,1.5,36,100.0
6,F5,4.5,0.5,36,100.0
7,C#5,4.5,0.5,36,100.0
8,A4,4.5,4.5,33,100.0
9,F#4,4.5,4.5,33,100.0
10,C5,5.0,0.5,34,100.0
11,E-5,5.0,0.5,34,100.0
12,C#5,5.5,0.5,30,100.0
13,F5,5.5,0.5,30,100.0
14,E-5,6.0,3.0,28,100.0
15,C5,6.0,3.0,28,100.0
16,F4,9.0,4.5,36,100.0
17,G#4,9.0,4.5,36,100.0
18,E-5,9.5,0.5,28,100.0
19,C5,9.5,0.5,28,100.0
20,C#5,10.0,0.5,37,100.0
21,B-4,10.0,0.5,37,100.0
22,E-5,10.5,0.5,31,100.0
23,C5,10.5,0.5,31,100.0
24,B-4,11.0,3.0,27,100.0
25,C#5,11.0,0.75,32,100.0
26,F5,11.75,1.5,46,100.0
27,C#5,13.25,0.75,45,100.0
28,E-4,13.5,1123/250,35,100.0
29,F#4,13.5,1123/250,35,100.0
30,B-4,14.0,0.5,27,100.0
31,C#5,14.0,0.5,45,100.0
32,C5,14.5,0.5,31,100.0
33,G#4,14.5,0.5,31,100.0
34,B-4,15.0,0.5,28,100.0
35,C#5,15.0,0.5,28,100.0
36,C5,15.5,3.0,24,100.0
37,G#4,15.5,3.0,24,100.0
38,E-4,18.0,3.0,34,100.0
39,C#4,18.0,3.0,34,100.0
40,F#4,18.5,3.0,33,100.0
41,C5,18.5,0.5,24,100.0
42,G#4,18.5,0.5,24,100.0
43,B-4,19.0,0.5,39,100.0
44,C5,19.5,0.5,36,100.0
45,B-4,20.0,0.5,36,100.0
46,E-5,20.5,0.5,39,100.0
47,B-4,21.0,0.5,37,100.0
48,C4,21.0,187/125,30,100.0
49,E-4,21.0,187/125,30,100.0
50,G#4,21.5,0.5,40,100.0
51,F#4,21.5,1.5,28,100.0
52,B-4,22.0,0.5,37,100.0
53,G#4,22.5,0.5,36,100.0
54,B-3,22.5,3.0,32,100.0
55,C#4,22.5,3.0,32,100.0
56,E-4,23.0,3.0,30,100.0
57,G#4,23.0,0.5,36,100.0
58,F#4,23.5,0.5,34,100.0
59,G#4,24.0,0.5,33,100.0
60,F#4,24.5,1.5,33,100.0
61,A3,25.5,1.5,30,100.0
62,C4,25.5,1.5,30,100.0
63,E-4,26.0,1.5,30,100.0
64,F4,26.0,1.5,34,100.0
65,G#3,27.0,3.0,28,100.0
66,B-3,27.0,562/125,33,100.0
67,C#4,27.5,3.0,28,100.0
68,F4,27.5,0.5,34,100.0
69,F4,28.0,0.5,38,100.0
70,F#4,28.5,0.5,37,100.0
71,F4,29.0,0.5,37,100.0
72,B-4,29.5,0.5,39,100.0
73,F4,30.0,0.5,37,100.0
74,F#3,30.0,1.5,38,100.0
75,E-4,30.5,0.5,39,100.0
76,F4,31.0,0.5,37,100.0
77,E-4,31.5,0.5,37,100.0
