,note_name,start_time,duration,velocity,tempo
0,E4,0.01,2.01,54,70.0
1,E5,1.854,2.145,44,70.0
2,E6,1.938,2.062,44,70.0
3,E7,2.021,1.979,58,70.0
4,E5,4.004,0.499,54,70.0
5,C#3,4.004,0.499,54,70.0
6,E6,4.533,0.466,49,70.0
7,G#3,4.533,0.466,49,70.0
8,E-6,5.029,0.463,50,70.0
9,C#4,5.029,0.463,50,70.0
10,E5,5.522,0.468,49,70.0
11,E4,5.522,0.468,49,70.0
12,C#6,6.021,0.99,52,70.0
13,A2,6.021,0.468,52,70.0
14,E3,6.519,0.463,49,70.0
15,A3,7.012,0.987,50,70.0
16,A4,7.012,0.988,45,70.0
17,B4,7.012,0.988,45,70.0
18,E5,7.012,0.988,45,70.0
19,A4,8.0,1.028,45,70.0
20,B4,8.0,1.028,45,70.0
21,E5,8.0,1.028,45,70.0
22,B2,8.004,0.499,54,70.0
23,F#3,8.533,0.466,49,70.0
24,B3,9.029,0.99,50,70.0
25,E5,9.029,0.129,49,70.0
26,B5,9.029,0.129,49,70.0
27,F#5,9.159,0.114,49,70.0
28,E5,9.281,0.453,49,70.0
29,E-5,9.765,0.24,49,70.0
30,B4,10.021,1.979,52,70.0
31,E3,10.021,1.483,52,70.0
32,E-3,11.505,0.465,49,70.0
33,C#3,12.004,0.499,54,70.0
34,E5,12.533,0.466,48,70.0
35,E6,12.533,0.466,48,70.0
36,G#3,12.533,0.466,48,70.0
37,E-6,13.029,0.463,50,70.0
38,C#4,13.029,0.463,50,70.0
39,E5,13.522,0.468,49,70.0
40,E4,13.522,0.468,49,70.0
41,A2,14.021,0.468,52,70.0
42,E5,14.021,0.99,51,70.0
43,C#6,14.021,0.99,51,70.0
44,E3,14.519,0.463,49,70.0
45,A3,15.012,0.987,50,70.0
46,A4,15.012,0.988,47,70.0
47,B4,15.012,0.988,47,70.0
48,E5,15.012,0.988,47,70.0
49,A4,16.0,1.521,47,70.0
50,B4,16.0,1.521,47,70.0
51,E5,16.0,1.521,47,70.0
52,B2,16.004,0.499,54,70.0
53,F#3,16.533,0.466,49,70.0
54,B3,17.029,0.463,50,70.0
55,E5,17.522,0.468,49,70.0
56,E4,17.522,0.468,49,70.0
57,B4,18.021,1.979,51,70.0
