,note_name,start_time,duration,velocity,tempo
0,F5,0.0,51/25,49,71.0
1,D3,0.0,0.5,33,71.0
2,A4,0.5,0.5,33,71.0
3,A3,0.5,0.5,33,71.0
4,F4,1.0,127/250,33,71.0
5,D4,1.0,1.0,33,71.0
6,A4,1.5,127/250,33,71.0
7,E5,2.0,2.0,49,71.0
8,C3,2.0,0.5,33,71.0
9,A4,2.5,0.5,33,71.0
10,A3,2.5,0.5,33,71.0
11,F4,3.0,127/250,33,71.0
12,C4,3.0,1.0,33,71.0
13,A4,3.5,0.5,33,71.0
14,D5,4.0,51/25,49,71.0
15,B-2,4.0,0.5,33,71.0
16,E5,4.0,1/25,49,71.0
17,A4,4.0,1/125,33,71.0
18,A4,4.5,0.5,33,71.0
19,F3,4.5,0.5,33,71.0
20,D4,5.0,127/250,33,71.0
21,B-3,5.0,1.0,33,71.0
22,A4,5.5,127/250,33,71.0
23,C5,6.0,2.0,49,71.0
24,A2,6.0,0.5,33,71.0
25,G4,6.5,127/250,33,71.0
26,G3,6.5,1.0,33,71.0
27,C4,7.0,127/250,33,71.0
28,G4,7.5,0.5,33,71.0
29,G3,7.5,0.5,33,71.0
30,D5,8.0,51/25,49,71.0
31,G2,8.0,0.5,33,71.0
32,C5,8.0,1/25,49,71.0
33,F4,8.5,0.5,33,71.0
34,F3,8.5,0.5,33,71.0
35,D4,9.0,127/250,33,71.0
36,B-3,9.0,1.0,33,71.0
37,F4,9.5,127/250,33,71.0
38,E5,10.0,1527/1000,49,71.0
39,A2,10.0,0.5,33,71.0
40,G4,10.5,127/250,33,71.0
41,G3,10.5,1.5,33,71.0
42,E4,11.0,127/250,33,71.0
43,C5,11.5,0.5,49,71.0
44,D5,12.0,51/25,49,71.0
45,B-2,12.0,0.5,33,71.0
46,C5,12.0,1/125,49,71.0
47,D4,12.5,0.5,33,71.0
48,F3,12.5,0.5,33,71.0
49,A4,13.0,127/250,33,71.0
50,A3,13.0,1.0,33,71.0
51,D4,13.5,127/250,33,71.0
52,C3,14.0,0.5,33,71.0
53,G4,14.0,1899/1000,49,71.0
54,E5,14.0,1899/1000,49,71.0
55,G3,14.5,0.5,33,71.0
56,C4,15.0,1.0,33,71.0
57,E4,15.0,1.0,33,71.0
58,F5,16.0,1.5,49,71.0
59,D3,16.0,0.5,33,71.0
60,A4,16.5,0.5,33,71.0
61,A3,16.5,0.5,33,71.0
62,F4,17.0,127/250,33,71.0
63,D4,17.0,1.0,33,71.0
64,F5,17.5,127/250,49,71.0
65,E5,18.0,2.0,49,71.0
66,C3,18.0,0.5,33,71.0
67,A4,18.5,127/250,33,71.0
68,A3,18.5,1.0,33,71.0
69,E4,19.0,127/250,33,71.0
70,A4,19.5,0.5,33,71.0
71,A3,19.5,0.5,33,71.0
72,D5,20.0,1.5,49,71.0
73,B-2,20.0,0.5,33,71.0
74,E5,20.0,1/25,49,71.0
75,A4,20.5,0.5,33,71.0
76,F3,20.5,0.5,33,71.0
77,D4,21.0,127/250,33,71.0
78,A3,21.0,1.0,33,71.0
79,D5,21.5,127/250,49,71.0
80,C5,22.0,2.0,49,71.0
81,A2,22.0,0.5,33,71.0
82,C4,22.5,127/250,33,71.0
83,G3,22.5,1.0,33,71.0
84,G4,23.0,1.0,33,71.0
85,A2,23.5,0.5,33,71.0
86,G2,24.0,0.5,33,71.0
87,C5,24.0,1/25,49,71.0
88,G4,24.0,1/50,33,71.0
89,F4,24.0,51/50,49,71.0
90,D5,24.0,51/50,49,71.0
91,F3,24.5,0.5,33,71.0
92,D4,25.0,127/250,49,71.0
93,B-3,25.0,1.0,33,71.0
94,F4,25.5,127/250,49,71.0
95,A2,26.0,0.5,33,71.0
96,C4,26.0,1527/1000,49,71.0
97,G4,26.0,1527/1000,49,71.0
98,G3,26.5,0.5,33,71.0
99,C4,27.0,1.0,33,71.0
100,E4,27.5,0.5,49,71.0
101,D4,28.0,1.5,49,71.0
102,D3,28.0,4.0,33,71.0
103,A3,28.0,1.0,33,71.0
104,E4,28.0,1/125,49,71.0
105,A3,28.5,3.5,33,71.0
106,D4,29.0,2.797,33,71.0
107,G4,29.5,0.5,33,71.0
108,D4,30.0,2.0,33,71.0
109,F#4,30.0,2.0,33,71.0
110,D4,32.0,0.5,44,71.0
111,F4,32.0,0.5,44,71.0
112,D3,32.0,0.5,44,71.0
113,G4,32.5,0.5,41,71.0
114,A3,32.5,0.5,41,71.0
115,A4,33.0,1527/1000,49,71.0
116,D4,33.0,0.5,33,71.0
117,A3,33.5,0.5,33,71.0
118,C3,34.0,0.5,33,71.0
119,F5,34.5,0.5,41,71.0
120,A3,34.5,0.5,41,71.0
121,E5,35.0,0.5,41,71.0
122,C4,35.0,0.5,41,71.0
123,A4,35.5,0.5,41,71.0
124,A3,35.5,0.5,41,71.0
125,D4,36.0,0.5,44,71.0
126,G4,36.0,0.5,44,71.0
127,B-2,36.0,0.5,44,71.0
128,A4,36.5,51/50,49,71.0
129,F3,36.5,0.5,33,71.0
130,B-3,37.0,0.5,33,71.0
131,F4,37.5,0.5,41,71.0
132,F3,37.5,0.5,41,71.0
133,C4,38.0,0.5,44,71.0
134,G4,38.0,0.5,44,71.0
135,A2,38.0,0.5,44,71.0
136,A4,38.5,51/50,49,71.0
137,F3,38.5,0.5,33,71.0
138,C4,39.0,0.5,33,71.0
139,D4,39.5,127/500,49,71.0
140,F3,39.5,0.5,33,71.0
141,E4,39.75,0.25,49,71.0
142,G2,40.0,0.5,33,71.0
143,E4,40.0,1/250,49,71.0
144,D4,40.0,51/50,49,71.0
145,F4,40.0,51/50,49,71.0
146,F3,40.5,0.5,33,71.0
147,E4,41.0,0.5,41,71.0
148,B-3,41.0,0.5,41,71.0
149,F4,41.5,0.5,41,71.0
150,F3,41.5,0.5,41,71.0
151,A2,42.0,0.5,33,71.0
152,E4,42.0,1527/1000,49,71.0
153,G4,42.0,1527/1000,49,71.0
154,G3,42.5,0.5,33,71.0
155,C4,43.0,0.5,33,71.0
156,F4,43.5,0.5,41,71.0
157,G3,43.5,0.5,41,71.0
158,B2,44.0,0.5,33,71.0
159,D4,44.0,1527/1000,49,71.0
160,G4,44.0,1527/1000,49,71.0
161,G3,44.5,0.5,33,71.0
162,B3,45.0,0.5,33,71.0
163,A4,45.5,0.5,41,71.0
164,G3,45.5,0.5,41,71.0
165,C#3,46.0,0.5,33,71.0
166,E4,46.0,1899/1000,49,71.0
167,A4,46.0,1899/1000,49,71.0
168,A3,46.5,0.5,33,71.0
169,E4,47.0,1.0,33,71.0
170,D4,48.0,0.5,44,71.0
171,F4,48.0,0.5,44,71.0
172,D3,48.0,0.5,44,71.0
173,G4,48.5,0.5,41,71.0
174,A3,48.5,0.5,41,71.0
175,A4,49.0,1527/1000,49,71.0
176,D4,49.0,0.5,33,71.0
177,A3,49.5,0.5,33,71.0
178,C3,50.0,0.5,33,71.0
179,F5,50.5,0.5,41,71.0
180,A3,50.5,0.5,41,71.0
181,E5,51.0,0.5,41,71.0
182,C4,51.0,0.5,41,71.0
183,A4,51.5,0.5,41,71.0
184,A3,51.5,0.5,41,71.0
185,D4,52.0,0.5,44,71.0
186,G4,52.0,0.5,44,71.0
187,B-2,52.0,0.5,44,71.0
188,A4,52.5,51/50,49,71.0
189,F3,52.5,0.5,33,71.0
190,B-3,53.0,0.5,33,71.0
191,F4,53.5,0.5,41,71.0
192,F3,53.5,0.5,41,71.0
193,C4,54.0,0.5,44,71.0
194,G4,54.0,0.5,44,71.0
195,A2,54.0,0.5,44,71.0
196,A4,54.5,51/50,49,71.0
197,F3,54.5,0.5,33,71.0
198,C4,55.0,0.5,33,71.0
199,D4,55.5,127/500,49,71.0
200,F3,55.5,0.5,33,71.0
201,E4,55.75,0.25,49,71.0
202,G2,56.0,0.5,33,71.0
203,E4,56.0,1/250,49,71.0
204,D4,56.0,51/50,49,71.0
205,F4,56.0,51/50,49,71.0
206,F3,56.5,0.5,33,71.0
207,E4,57.0,0.5,41,71.0
208,B-3,57.0,0.5,41,71.0
209,F4,57.5,0.5,41,71.0
210,F3,57.5,0.5,41,71.0
211,A2,58.0,0.5,33,71.0
212,E4,58.0,1527/1000,49,71.0
213,G4,58.0,1527/1000,49,71.0
214,G3,58.5,0.5,33,71.0
215,C4,59.0,0.5,33,71.0
216,E4,59.5,0.5,41,71.0
217,G3,59.5,0.5,41,71.0
218,A3,60.0,2.0,49,71.0
219,D4,60.0,3.797,49,71.0
220,D2,60.0,0.5,33,71.0
221,A2,60.5,0.5,33,71.0
222,G3,61.0,0.5,33,71.0
223,A3,61.5,2.297,33,71.0
224,F#3,62.0,0.5,33,71.0
225,D3,62.5,0.5,33,71.0
226,D2,63.0,0.5,33,71.0
227,D3,63.5,0.5,33,71.0
228,D5,64.0,0.5,59,71.0
229,F5,64.0,0.5,59,71.0
230,D3,64.0,0.5,59,71.0
231,G5,64.5,0.5,56,71.0
232,A3,64.5,0.5,56,71.0
233,D4,65.0,0.5,49,71.0
234,F5,65.0,1527/1000,64,71.0
235,A5,65.0,1527/1000,64,71.0
236,A3,65.5,0.5,49,71.0
237,C3,66.0,0.5,49,71.0
238,C6,66.5,0.5,59,71.0
239,F6,66.5,0.5,59,71.0
240,A3,66.5,0.5,59,71.0
241,E6,67.0,0.5,56,71.0
242,C4,67.0,0.5,56,71.0
243,A5,67.5,0.5,56,71.0
244,A3,67.5,0.5,56,71.0
245,D5,68.0,0.5,59,71.0
246,G5,68.0,0.5,59,71.0
247,B-2,68.0,0.5,59,71.0
248,A5,68.5,51/50,64,71.0
249,F3,68.5,0.5,49,71.0
250,B-3,69.0,0.5,49,71.0
251,F5,69.5,0.5,56,71.0
252,F3,69.5,0.5,56,71.0
253,C5,70.0,0.5,59,71.0
254,G5,70.0,0.5,59,71.0
255,A2,70.0,0.5,59,71.0
256,A5,70.5,51/50,64,71.0
257,F3,70.5,0.5,49,71.0
258,C4,71.0,0.5,49,71.0
259,D5,71.5,127/500,64,71.0
260,F3,71.5,0.5,49,71.0
261,E5,71.75,0.25,64,71.0
262,G2,72.0,0.5,49,71.0
263,E5,72.0,1/250,64,71.0
264,D5,72.0,51/50,64,71.0
265,F5,72.0,51/50,64,71.0
266,F3,72.5,0.5,49,71.0
267,E5,73.0,0.5,56,71.0
268,B-3,73.0,0.5,56,71.0
269,F5,73.5,0.5,56,71.0
270,F3,73.5,0.5,56,71.0
271,A2,74.0,0.5,49,71.0
272,E5,74.0,1527/1000,64,71.0
273,G5,74.0,1527/1000,64,71.0
274,G3,74.5,0.5,49,71.0
275,C4,75.0,0.5,49,71.0
276,F5,75.5,0.5,56,71.0
277,G3,75.5,0.5,56,71.0
278,B2,76.0,0.5,49,71.0
279,D5,76.0,1527/1000,64,71.0
280,G5,76.0,1527/1000,64,71.0
281,G3,76.5,0.5,49,71.0
282,B3,77.0,0.5,49,71.0
283,A5,77.5,0.5,56,71.0
284,G3,77.5,0.5,56,71.0
285,C#3,78.0,0.5,49,71.0
286,C#5,78.0,1899/1000,64,71.0
287,E5,78.0,1899/1000,64,71.0
288,A5,78.0,1899/1000,64,71.0
289,A3,78.5,0.5,49,71.0
290,E4,79.0,1.0,49,71.0
291,D5,80.0,0.5,59,71.0
292,F5,80.0,0.5,59,71.0
293,D3,80.0,0.5,59,71.0
294,G5,80.5,0.5,56,71.0
295,A3,80.5,0.5,56,71.0
296,D4,81.0,0.5,49,71.0
297,F5,81.0,1527/1000,64,71.0
298,A5,81.0,1527/1000,64,71.0
299,A3,81.5,0.5,49,71.0
300,C3,82.0,0.5,49,71.0
301,C6,82.5,0.5,59,71.0
302,F6,82.5,0.5,59,71.0
303,A3,82.5,0.5,59,71.0
304,E6,83.0,0.5,56,71.0
305,C4,83.0,0.5,56,71.0
306,A5,83.5,0.5,56,71.0
307,A3,83.5,0.5,56,71.0
308,B-4,84.0,0.5,60,71.0
309,D5,84.0,0.5,60,71.0
310,G5,84.0,0.5,60,71.0
311,B-2,84.0,0.5,60,71.0
312,A5,84.5,51/50,64,71.0
313,F3,84.5,0.5,49,71.0
314,B-3,85.0,0.5,49,71.0
315,F5,85.5,0.5,56,71.0
316,F3,85.5,0.5,56,71.0
317,A4,86.0,0.5,60,71.0
318,C5,86.0,0.5,60,71.0
319,G5,86.0,0.5,60,71.0
320,A2,86.0,0.5,60,71.0
321,A5,86.5,51/50,64,71.0
322,F3,86.5,0.5,49,71.0
323,C4,87.0,0.5,49,71.0
324,D5,87.5,127/500,64,71.0
325,F3,87.5,0.5,49,71.0
326,E5,87.75,0.25,64,71.0
327,G2,88.0,0.5,49,71.0
328,E5,88.0,1/250,64,71.0
329,B-4,88.0,51/50,64,71.0
330,D5,88.0,51/50,64,71.0
331,F5,88.0,51/50,64,71.0
332,F3,88.5,0.5,49,71.0
333,E5,89.0,0.5,56,71.0
334,B-3,89.0,0.5,56,71.0
335,F5,89.5,0.5,56,71.0
336,F3,89.5,0.5,56,71.0
337,A2,90.0,0.5,49,71.0
338,C5,90.0,1527/1000,64,71.0
339,E5,90.0,1527/1000,64,71.0
340,G5,90.0,1527/1000,64,71.0
341,G3,90.5,0.5,49,71.0
342,C4,91.0,0.5,49,71.0
343,E5,91.5,0.5,56,71.0
344,G3,91.5,0.5,56,71.0
345,A4,92.0,2.0,64,71.0
346,D5,92.0,3.797,64,71.0
347,D3,92.0,0.5,49,71.0
348,A3,92.5,1.5,49,71.0
349,G4,93.0,0.5,49,71.0
350,A4,93.5,2.297,49,71.0
351,A3,94.0,1.0,49,71.0
352,D4,94.0,0.5,49,71.0
353,F#4,94.0,0.5,49,71.0
354,A3,94.5,1.5,49,71.0
355,D4,95.0,0.5,49,71.0
356,A4,95.5,0.5,49,71.0
357,A3,96.0,2.0,74,71.0
358,B-2,96.0,0.5,49,71.0
359,D4,96.0,1.0,39,71.0
360,F4,96.0,1.0,39,71.0
361,A4,96.0,1.0,39,71.0
362,F3,96.5,0.5,49,71.0
363,D4,97.0,1.0,42,71.0
364,F4,97.0,1.0,42,71.0
365,A4,97.0,1.0,42,71.0
366,A3,97.0,1.0,42,71.0
367,B-2,98.0,1.5,49,71.0
368,C4,98.0,1.0,48,71.0
369,E4,98.0,1.0,48,71.0
370,G4,98.0,1.0,48,71.0
371,G3,98.0,1.0,48,71.0
372,G3,99.0,0.5,74,71.0
373,C4,99.0,1.0,39,71.0
374,E4,99.0,1.0,39,71.0
375,G4,99.0,1.0,39,71.0
376,D4,99.5,0.5,62,71.0
377,B-2,99.5,0.5,62,71.0
378,A2,100.0,0.5,49,71.0
379,E4,100.0,1.0,48,71.0
380,G4,100.0,1.0,48,71.0
381,C5,100.0,1.0,48,71.0
382,C4,100.0,1.0,48,71.0
383,G3,100.5,1.0,49,71.0
384,E4,101.0,1.0,48,71.0
385,G4,101.0,1.0,48,71.0
386,C5,101.0,1.0,48,71.0
387,A3,101.0,1.0,48,71.0
388,A2,101.5,0.5,49,71.0
389,D3,102.0,0.5,49,71.0
390,D4,102.0,1.0,51,71.0
391,F4,102.0,1.0,51,71.0
392,F3,102.0,1.0,51,71.0
393,A3,102.5,0.5,49,71.0
394,D3,103.0,1.0,49,71.0
395,D4,103.0,0.5,51,71.0
396,F4,103.0,0.5,51,71.0
397,G3,103.0,0.5,51,71.0
398,A4,103.5,0.5,56,71.0
399,A3,103.5,0.5,56,71.0
400,D4,104.0,0.5,48,71.0
401,F4,104.0,0.5,48,71.0
402,B-4,104.0,0.5,48,71.0
403,B-3,104.0,0.5,48,71.0
404,G2,104.0,0.5,48,71.0
405,F3,104.5,1.0,49,71.0
