,note_name,start_time,duration,velocity,tempo
0,B4,0.0,0.25,58,119.0
1,B3,0.0,0.25,49,119.0
2,E-5,0.5,0.25,55,119.0
3,E-4,0.5,0.25,46,119.0
4,F#5,1.0,0.25,55,119.0
5,F#4,1.0,0.25,46,119.0
6,E5,1.5,167/1000,59,119.0
7,E4,1.5,167/1000,49,119.0
8,F#5,1.667,167/1000,55,119.0
9,F#4,1.667,167/1000,46,119.0
10,E5,1.833,167/1000,55,119.0
11,E4,1.833,167/1000,46,119.0
12,C5,2.0,0.25,59,119.0
13,C4,2.0,0.25,49,119.0
14,A5,2.5,0.25,55,119.0
15,A4,2.5,0.25,46,119.0
16,B4,3.0,0.25,58,119.0
17,B3,3.0,0.25,49,119.0
18,E-5,3.5,0.25,55,119.0
19,E-4,3.5,0.25,46,119.0
20,F#5,4.0,0.25,55,119.0
21,F#4,4.0,0.25,46,119.0
22,E5,4.5,167/1000,59,119.0
23,E4,4.5,167/1000,49,119.0
24,F#5,4.667,167/1000,55,119.0
25,F#4,4.667,167/1000,46,119.0
26,E5,4.833,167/1000,55,119.0
27,E4,4.833,167/1000,46,119.0
28,C5,5.0,0.25,59,119.0
29,C4,5.0,0.25,49,119.0
30,A5,5.5,0.25,53,119.0
31,A4,5.5,0.25,46,119.0
32,B3,5.875,0.125,49,119.0
33,B4,6.0,0.25,58,119.0
34,F#4,6.0,1.5,49,119.0
35,E-5,6.5,0.25,55,119.0
36,F#5,7.0,0.25,55,119.0
37,E5,7.5,167/1000,59,119.0
38,F#4,7.5,1.5,49,119.0
39,F#5,7.667,167/1000,55,119.0
40,E5,7.833,167/1000,55,119.0
41,C5,8.0,0.25,59,119.0
42,A5,8.5,0.25,55,119.0
43,B4,9.0,0.25,58,119.0
44,F#4,9.0,1.5,49,119.0
45,E-5,9.5,0.25,55,119.0
46,F#5,10.0,0.25,55,119.0
47,E5,10.5,167/1000,59,119.0
48,F#4,10.5,0.5,49,119.0
49,F#5,10.667,167/1000,55,119.0
50,E5,10.833,167/1000,55,119.0
51,C5,11.0,0.25,59,119.0
52,G4,11.015,0.5,52,119.0
53,A5,11.5,0.25,55,119.0
54,F#4,11.529,471/1000,49,119.0
55,B4,12.0,0.25,58,119.0
56,A4,12.0,1.0,49,119.0
57,F#4,12.0,29/1000,49,119.0
58,E-5,12.5,0.25,55,119.0
59,F#5,13.0,0.25,55,119.0
60,G4,13.0,167/1000,49,119.0
61,A4,13.167,167/1000,45,119.0
62,G4,13.333,167/1000,45,119.0
63,E5,13.5,167/1000,59,119.0
64,F#4,13.5,1.5,49,119.0
65,F#5,13.667,167/1000,55,119.0
66,E5,13.833,167/1000,55,119.0
67,C5,14.0,0.25,59,119.0
68,A5,14.5,0.25,55,119.0
69,B4,15.0,0.25,58,119.0
70,F#4,15.0,1.5,49,119.0
71,E-5,15.5,0.25,55,119.0
72,F#5,16.0,0.25,55,119.0
73,E5,16.5,167/1000,59,119.0
74,F#4,16.5,1.5,49,119.0
75,F#5,16.667,167/1000,55,119.0
76,E5,16.833,167/1000,55,119.0
77,C5,17.0,0.25,59,119.0
78,A5,17.5,0.25,55,119.0
79,B4,18.0,0.25,58,119.0
80,F#4,18.0,1.5,49,119.0
81,E-5,18.5,0.25,55,119.0
82,F#5,19.0,0.25,55,119.0
83,C5,19.5,0.25,63,119.0
84,E4,19.5,1.25,49,119.0
85,G5,20.0,0.25,58,119.0
86,C6,20.5,0.25,59,119.0
87,F#4,20.75,0.125,51,119.0
88,E4,20.875,0.125,53,119.0
89,F#5,21.0,0.25,71,119.0
90,D4,21.0,1.5,56,119.0
91,B5,21.5,0.25,61,119.0
92,F#6,22.0,0.25,63,119.0
93,E6,22.5,0.5,74,119.0
94,C4,22.5,1.5,60,119.0
95,F#4,22.5,1.5,60,119.0
96,A6,23.0,0.5,75,119.0
97,E7,23.5,0.5,80,119.0
98,E-6,23.875,0.125,67,119.0
99,B6,23.938,0.062,74,119.0
100,F#7,24.0,0.5,88,119.0
101,E-6,24.0,0.5,67,119.0
102,B6,24.0,0.5,74,119.0
103,B3,24.0,1.5,70,119.0
104,E-5,24.5,0.25,72,119.0
105,A4,24.5,0.25,61,119.0
106,F#5,25.0,0.25,71,119.0
107,F#4,25.0,0.25,61,119.0
108,E5,25.5,167/1000,77,119.0
109,G4,25.5,0.25,71,119.0
110,B3,25.5,1.5,70,119.0
111,F#5,25.667,167/1000,70,119.0
112,E5,25.833,167/1000,69,119.0
113,C5,26.0,0.25,77,119.0
114,E4,26.0,0.25,64,119.0
115,A5,26.5,0.25,71,119.0
116,G4,26.5,0.25,64,119.0
117,B4,27.0,0.25,79,119.0
118,F#4,27.0,0.25,69,119.0
119,B3,27.0,1.5,70,119.0
120,E-5,27.5,0.25,72,119.0
121,A4,27.5,0.25,61,119.0
122,F#5,28.0,0.25,71,119.0
123,F#4,28.0,0.25,61,119.0
124,E5,28.5,167/1000,77,119.0
125,G4,28.5,0.25,69,119.0
126,B3,28.5,1.5,70,119.0
127,F#5,28.667,167/1000,70,119.0
128,E5,28.833,167/1000,69,119.0
129,C5,29.0,0.25,77,119.0
130,E4,29.0,0.25,64,119.0
131,A5,29.5,0.25,71,119.0
132,G4,29.5,0.25,64,119.0
133,E-4,30.0,0.5,62,119.0
134,B5,30.0,0.5,74,119.0
135,F#5,30.0,0.5,74,119.0
136,D4,30.5,0.5,61,119.0
137,G#5,30.5,0.5,67,119.0
138,F5,30.5,0.5,67,119.0
139,C#4,31.0,0.5,59,119.0
140,A5,31.0,0.5,71,119.0
141,E5,31.0,0.5,71,119.0
142,C4,31.5,0.5,53,119.0
143,F#5,31.5,0.5,67,119.0
144,E-5,31.5,0.5,67,119.0
145,B3,32.0,0.5,56,119.0
146,D5,32.0,0.5,70,119.0
147,G5,32.0,0.5,70,119.0
148,F#3,32.5,0.5,50,119.0
149,C5,32.5,0.5,58,119.0
150,D5,32.5,0.5,58,119.0
151,G3,33.0,0.25,55,119.0
152,B4,33.0,0.25,69,119.0
153,D5,33.0,0.25,69,119.0
154,G4,33.5,0.25,63,119.0
155,B3,33.5,0.25,50,119.0
156,B4,34.0,0.25,60,119.0
157,G3,34.0,0.25,50,119.0
158,A4,34.5,0.125,63,119.0
159,C4,34.5,0.25,61,119.0
160,A4,34.75,0.125,58,119.0
161,E5,35.0,0.25,64,119.0
162,F#4,35.0,0.25,57,119.0
163,C4,35.5,0.25,57,119.0
