,note_name,start_time,duration,velocity,tempo
0,G3,0.0,0.25,59,128.5
1,D4,0.25,0.125,31,128.5
2,D4,0.5,0.125,47,128.5
3,D4,0.75,0.125,35,128.5
4,E-4,1.0,0.125,53,128.5
5,D4,1.25,0.125,39,128.5
6,C4,1.5,0.125,45,128.5
7,D4,1.75,0.125,37,128.5
8,D4,2.0,0.125,49,128.5
9,D4,2.25,0.125,34,128.5
10,B-3,2.5,0.125,45,128.5
11,D4,2.75,0.125,32,128.5
12,G3,3.0,0.25,62,128.5
13,D4,3.25,0.125,31,128.5
14,D4,3.5,0.125,47,128.5
15,D4,3.75,0.125,35,128.5
16,E-4,4.0,0.125,53,128.5
17,D4,4.25,0.125,39,128.5
18,C4,4.5,0.125,45,128.5
19,D4,4.75,0.125,37,128.5
20,D4,5.0,0.125,49,128.5
21,D4,5.25,0.125,34,128.5
22,B-3,5.5,0.125,45,128.5
23,D4,5.75,0.125,32,128.5
24,G3,6.0,0.25,62,128.5
25,D4,6.25,0.125,31,128.5
26,D4,6.5,0.125,46,128.5
27,D4,6.75,0.125,35,128.5
28,E-4,7.0,0.125,50,128.5
29,D4,7.25,0.125,39,128.5
30,C4,7.5,0.125,45,128.5
31,D4,7.75,0.125,37,128.5
32,D4,8.0,0.125,52,128.5
33,D4,8.25,0.125,40,128.5
34,B-3,8.5,0.125,48,128.5
35,D4,8.75,0.125,37,128.5
36,C4,9.0,0.125,57,128.5
37,D4,9.25,0.125,41,128.5
38,A3,9.5,0.125,49,128.5
39,D4,9.75,0.125,35,128.5
40,B-3,10.0,0.125,53,128.5
41,D4,10.25,0.125,39,128.5
42,C4,10.5,0.125,49,128.5
43,D4,10.75,0.125,34,128.5
44,A3,11.0,0.125,51,128.5
45,D4,11.25,0.125,38,128.5
46,B-3,11.5,0.125,48,128.5
47,D4,11.75,0.125,37,128.5
48,G3,12.0,0.25,59,128.5
49,D4,12.25,0.125,30,128.5
50,D4,12.5,0.125,47,128.5
51,D4,12.75,0.125,35,128.5
52,E-4,13.0,0.125,50,128.5
53,D4,13.25,0.125,36,128.5
54,C4,13.5,0.125,45,128.5
55,D4,13.75,0.125,31,128.5
56,D4,14.0,0.125,51,128.5
57,D4,14.25,0.125,36,128.5
58,B-3,14.5,0.125,45,128.5
59,D4,14.75,0.125,33,128.5
60,G3,15.0,0.25,62,128.5
61,D4,15.25,0.125,37,128.5
62,D4,15.5,0.125,50,128.5
63,D4,15.75,0.125,35,128.5
64,E-4,16.0,0.125,54,128.5
65,D4,16.25,0.125,39,128.5
66,C4,16.5,0.125,45,128.5
67,D4,16.75,0.125,37,128.5
68,D4,17.0,0.125,49,128.5
69,D4,17.25,0.125,34,128.5
70,B-3,17.5,0.125,45,128.5
71,D4,17.75,0.125,32,128.5
72,G3,18.0,0.25,62,128.5
73,D4,18.25,0.125,31,128.5
74,D4,18.5,0.125,47,128.5
75,D4,18.75,0.125,35,128.5
76,E-4,19.0,0.125,50,128.5
77,D4,19.25,0.125,39,128.5
78,C4,19.5,0.125,45,128.5
79,D4,19.75,0.125,37,128.5
80,D4,20.0,0.125,52,128.5
81,D4,20.25,0.125,40,128.5
82,B-3,20.5,0.125,48,128.5
83,D4,20.75,0.125,37,128.5
84,C4,21.0,0.125,57,128.5
85,D4,21.25,0.125,41,128.5
86,A3,21.5,0.125,49,128.5
87,D4,21.75,0.125,35,128.5
88,B-3,22.0,0.125,56,128.5
89,D4,22.25,0.125,43,128.5
90,G3,22.5,0.125,51,128.5
91,D4,22.75,0.125,37,128.5
92,F3,23.0,0.125,56,128.5
93,D4,23.25,0.125,44,128.5
94,E-3,23.5,0.125,53,128.5
95,D4,23.75,0.125,39,128.5
96,D3,24.0,0.25,59,128.5
97,D4,24.25,0.125,31,128.5
98,D4,24.5,0.125,47,128.5
99,D4,24.75,0.125,35,128.5
100,E-4,25.0,0.125,53,128.5
101,D4,25.25,0.125,39,128.5
102,C4,25.5,0.125,45,128.5
103,D4,25.75,0.125,37,128.5
104,D4,26.0,0.125,49,128.5
105,D4,26.25,0.125,34,128.5
106,A3,26.5,0.125,45,128.5
107,D4,26.75,0.125,32,128.5
108,D3,27.0,0.25,62,128.5
109,D4,27.25,0.125,31,128.5
110,D4,27.5,0.125,47,128.5
111,D4,27.75,0.125,35,128.5
112,E-4,28.0,0.125,53,128.5
113,D4,28.25,0.125,39,128.5
114,C4,28.5,0.125,45,128.5
115,D4,28.75,0.125,37,128.5
116,D4,29.0,0.125,49,128.5
117,D4,29.25,0.125,34,128.5
118,A3,29.5,0.125,45,128.5
119,D4,29.75,0.125,32,128.5
120,D3,30.0,0.25,62,128.5
121,D4,30.25,0.125,31,128.5
122,A3,30.5,0.125,47,128.5
123,D4,30.75,0.125,35,128.5
124,C4,31.0,0.125,52,128.5
125,D4,31.25,0.125,39,128.5
126,D4,31.5,0.125,51,128.5
127,D4,31.75,0.125,37,128.5
128,E-4,32.0,0.125,56,128.5
129,D4,32.25,0.125,44,128.5
130,F4,32.5,0.125,53,128.5
131,D4,32.75,0.125,41,128.5
132,D4,33.0,0.125,56,128.5
133,D4,33.25,0.125,48,128.5
134,E-4,33.5,0.125,52,128.5
135,D4,33.75,0.125,42,128.5
136,C4,34.0,0.125,54,128.5
137,D4,34.25,0.125,47,128.5
138,D4,34.5,0.125,49,128.5
139,D4,34.75,0.125,41,128.5
140,B-3,35.0,0.125,51,128.5
141,D4,35.25,0.125,43,128.5
142,A3,35.5,0.125,48,128.5
143,D4,35.75,0.125,37,128.5
144,D3,36.0,0.25,59,128.5
145,D4,36.25,0.125,31,128.5
146,D4,36.5,0.125,47,128.5
147,D4,36.75,0.125,35,128.5
148,E-4,37.0,0.125,53,128.5
149,D4,37.25,0.125,39,128.5
150,C4,37.5,0.125,45,128.5
151,D4,37.75,0.125,37,128.5
152,D4,38.0,0.125,49,128.5
153,D4,38.25,0.125,34,128.5
154,A3,38.5,0.125,45,128.5
155,D4,38.75,0.125,32,128.5
156,D3,39.0,0.25,62,128.5
157,D4,39.25,0.125,31,128.5
158,D4,39.5,0.125,47,128.5
159,D4,39.75,0.125,35,128.5
160,E-4,40.0,0.125,53,128.5
161,D4,40.25,0.125,39,128.5
162,C4,40.5,0.125,45,128.5
163,D4,40.75,0.125,37,128.5
164,D4,41.0,0.125,49,128.5
165,D4,41.25,0.125,34,128.5
166,A3,41.5,0.125,45,128.5
167,D4,41.75,0.125,32,128.5
168,D3,42.0,0.25,62,128.5
169,D4,42.25,0.125,31,128.5
170,C4,42.5,0.125,47,128.5
171,D4,42.75,0.125,35,128.5
172,D4,43.0,0.125,52,128.5
173,D4,43.25,0.125,39,128.5
174,E-4,43.5,0.125,51,128.5
175,D4,43.75,0.125,37,128.5
176,F4,44.0,0.125,56,128.5
177,D4,44.25,0.125,44,128.5
178,D4,44.5,0.125,53,128.5
179,D4,44.75,0.125,41,128.5
180,E-4,45.0,0.125,59,128.5
181,D4,45.25,0.125,48,128.5
182,C4,45.5,0.125,52,128.5
183,D4,45.75,0.125,42,128.5
184,D4,46.0,0.125,54,128.5
185,D4,46.25,0.125,47,128.5
186,B-3,46.5,0.125,49,128.5
187,D4,46.75,0.125,41,128.5
188,C4,47.0,0.125,51,128.5
189,D4,47.25,0.125,43,128.5
190,A3,47.5,0.125,48,128.5
191,D4,47.75,0.125,37,128.5
192,G3,48.0,0.25,64,128.5
193,D5,48.25,0.125,39,128.5
194,D4,48.25,0.125,39,128.5
195,D4,48.5,0.125,51,128.5
196,D5,48.75,0.125,44,128.5
197,D4,48.75,0.125,44,128.5
198,E-4,49.0,0.125,58,128.5
199,D5,49.25,0.125,48,128.5
200,D4,49.25,0.125,48,128.5
201,C4,49.5,0.125,49,128.5
202,D5,49.75,0.125,46,128.5
203,D4,49.75,0.125,46,128.5
204,D4,50.0,0.125,53,128.5
205,D5,50.25,0.125,42,128.5
206,D4,50.25,0.125,42,128.5
207,B-3,50.5,0.125,49,128.5
208,D5,50.75,0.125,40,128.5
209,D4,50.75,0.125,40,128.5
210,G3,51.0,0.25,68,128.5
211,D4,51.25,0.125,39,128.5
212,D5,51.25,0.125,39,128.5
213,D4,51.5,0.125,51,128.5
214,D5,51.75,0.125,44,128.5
215,D4,51.75,0.125,44,128.5
216,E-4,52.0,0.125,58,128.5
217,D5,52.25,0.125,48,128.5
218,D4,52.25,0.125,48,128.5
219,C4,52.5,0.125,49,128.5
220,D5,52.75,0.125,46,128.5
221,D4,52.75,0.125,46,128.5
222,D4,53.0,0.125,53,128.5
223,D4,53.25,0.125,42,128.5
224,D5,53.25,0.125,42,128.5
225,B-3,53.5,0.125,49,128.5
226,D5,53.75,0.125,40,128.5
227,D4,53.75,0.125,40,128.5
228,G3,54.0,0.25,68,128.5
229,D5,54.25,0.125,39,128.5
230,D4,54.25,0.125,39,128.5
231,D4,54.5,0.125,51,128.5
232,D5,54.75,0.125,44,128.5
233,D4,54.75,0.125,44,128.5
234,E-4,55.0,0.125,55,128.5
235,D5,55.25,0.125,48,128.5
236,D4,55.25,0.125,48,128.5
237,C4,55.5,0.125,49,128.5
238,D5,55.75,0.125,46,128.5
239,D4,55.75,0.125,46,128.5
240,D4,56.0,0.125,57,128.5
241,D4,56.25,0.125,50,128.5
242,D5,56.25,0.125,50,128.5
243,B-3,56.5,0.125,52,128.5
244,D5,56.75,0.125,46,128.5
245,D4,56.75,0.125,46,128.5
246,C4,57.0,0.125,62,128.5
247,D5,57.25,0.125,52,128.5
248,D4,57.25,0.125,52,128.5
249,A3,57.5,0.125,53,128.5
250,D5,57.75,0.125,44,128.5
251,D4,57.75,0.125,44,128.5
252,B-3,58.0,0.125,58,128.5
253,D4,58.25,0.125,48,128.5
254,D5,58.25,0.125,48,128.5
255,C4,58.5,0.125,53,128.5
256,D4,58.75,0.125,42,128.5
257,D5,58.75,0.125,42,128.5
258,A3,59.0,0.125,56,128.5
259,D5,59.25,0.125,47,128.5
260,D4,59.25,0.125,47,128.5
261,B-3,59.5,0.125,52,128.5
262,D5,59.75,0.125,46,128.5
263,D4,59.75,0.125,46,128.5
264,G3,60.0,0.25,64,128.5
265,D5,60.25,0.125,39,128.5
266,D4,60.25,0.125,39,128.5
267,D4,60.5,0.125,51,128.5
268,D4,60.75,0.125,44,128.5
269,D5,60.75,0.125,44,128.5
270,E-4,61.0,0.125,58,128.5
271,D5,61.25,0.125,48,128.5
272,D4,61.25,0.125,48,128.5
273,C4,61.5,0.125,49,128.5
274,D5,61.75,0.125,46,128.5
275,D4,61.75,0.125,46,128.5
276,D4,62.0,0.125,53,128.5
277,D5,62.25,0.125,42,128.5
278,D4,62.25,0.125,42,128.5
279,B-3,62.5,0.125,49,128.5
280,D5,62.75,0.125,40,128.5
281,D4,62.75,0.125,40,128.5
282,G3,63.0,0.25,68,128.5
283,D5,63.25,0.125,39,128.5
284,D4,63.25,0.125,39,128.5
285,D4,63.5,0.125,51,128.5
286,D5,63.75,0.125,44,128.5
287,D4,63.75,0.125,44,128.5
288,E-4,64.0,0.125,58,128.5
289,D5,64.25,0.125,48,128.5
290,D4,64.25,0.125,48,128.5
291,C4,64.5,0.125,49,128.5
292,D5,64.75,0.125,46,128.5
293,D4,64.75,0.125,46,128.5
294,D4,65.0,0.125,53,128.5
295,D5,65.25,0.125,42,128.5
296,D4,65.25,0.125,42,128.5
297,B-3,65.5,0.125,49,128.5
298,D5,65.75,0.125,40,128.5
299,D4,65.75,0.125,40,128.5
300,G3,66.0,0.25,68,128.5
301,D4,66.25,0.125,39,128.5
302,D5,66.25,0.125,39,128.5
303,D4,66.5,0.125,51,128.5
304,D5,66.75,0.125,44,128.5
305,D4,66.75,0.125,44,128.5
306,E-4,67.0,0.125,55,128.5
307,D5,67.25,0.125,48,128.5
308,D4,67.25,0.125,48,128.5
309,C4,67.5,0.125,49,128.5
310,D5,67.75,0.125,46,128.5
311,D4,67.75,0.125,46,128.5
312,D4,68.0,0.125,57,128.5
313,D4,68.25,0.125,50,128.5
314,D5,68.25,0.125,50,128.5
315,B-3,68.5,0.125,52,128.5
316,D4,68.75,0.125,46,128.5
317,D5,68.75,0.125,46,128.5
318,C4,69.0,0.125,62,128.5
319,D5,69.25,0.125,52,128.5
320,D4,69.25,0.125,52,128.5
321,A3,69.5,0.125,53,128.5
322,D5,69.75,0.125,44,128.5
323,D4,69.75,0.125,44,128.5
324,B-3,70.0,0.125,60,128.5
325,D5,70.25,0.125,55,128.5
326,D4,70.25,0.125,55,128.5
327,G3,70.5,0.125,58,128.5
328,D4,70.75,0.125,48,128.5
329,D5,70.75,0.125,48,128.5
330,F3,71.0,0.125,64,128.5
331,D5,71.25,0.125,58,128.5
332,D4,71.25,0.125,58,128.5
333,E-3,71.5,0.125,62,128.5
334,D5,71.75,0.125,52,128.5
335,D4,71.75,0.125,52,128.5
336,D3,72.0,0.25,78,128.5
337,D2,72.0,0.25,78,128.5
