,note_name,start_time,duration,velocity,tempo
0,D3,0.0,0.375,47,139.0
1,D5,0.25,73/250,57,139.0
2,E5,0.5,73/250,57,139.0
3,F#5,0.75,73/250,57,139.0
4,A4,1.0,0.25,60,139.0
5,D4,1.0,0.375,40,139.0
6,F#5,1.25,73/250,57,139.0
7,E5,1.5,73/250,57,139.0
8,D5,1.75,73/250,57,139.0
9,A5,2.0,0.25,62,139.0
10,F#3,2.0,0.375,45,139.0
11,D5,2.25,73/250,58,139.0
12,E5,2.5,73/250,58,139.0
13,F#5,2.75,73/250,58,139.0
14,A4,3.0,0.25,61,139.0
15,D4,3.0,0.375,40,139.0
16,F#5,3.25,73/250,57,139.0
17,E5,3.5,73/250,57,139.0
18,D5,3.75,0.25,57,139.0
19,G5,4.0,0.25,60,139.0
20,D5,4.0,21/500,57,139.0
21,E3,4.0,0.375,46,139.0
22,E5,4.25,73/250,58,139.0
23,F#5,4.5,73/250,58,139.0
24,G5,4.75,73/250,58,139.0
25,B4,5.0,0.25,60,139.0
26,D4,5.0,0.375,42,139.0
27,D5,5.25,73/250,58,139.0
28,C#5,5.5,73/250,58,139.0
29,B4,5.75,73/250,58,139.0
30,C#5,6.0,0.25,61,139.0
31,A3,6.0,0.375,45,139.0
32,E5,6.25,73/250,58,139.0
33,F#5,6.5,73/250,58,139.0
34,G5,6.75,73/250,58,139.0
35,A4,7.0,0.25,60,139.0
36,C#4,7.0,0.375,41,139.0
37,G5,7.25,73/250,58,139.0
38,F#5,7.5,73/250,58,139.0
39,E5,7.75,0.25,58,139.0
40,F#5,8.0,0.25,62,139.0
41,E5,8.0,21/500,58,139.0
42,D3,8.0,0.375,45,139.0
43,D5,8.25,73/250,57,139.0
44,E5,8.5,73/250,56,139.0
45,F#5,8.75,73/250,56,139.0
46,A4,9.0,0.25,61,139.0
47,D4,9.0,0.375,40,139.0
48,C#5,9.25,73/250,56,139.0
49,B4,9.5,73/250,56,139.0
50,A4,9.75,73/250,56,139.0
51,B4,10.0,0.25,62,139.0
52,D3,10.0,0.375,44,139.0
53,D5,10.25,73/250,56,139.0
54,E5,10.5,73/250,56,139.0
55,F#5,10.75,73/250,56,139.0
56,B4,11.0,0.25,61,139.0
57,D4,11.0,0.375,42,139.0
58,A5,11.25,73/250,56,139.0
59,G#5,11.5,73/250,56,139.0
60,F#5,11.75,0.25,56,139.0
61,G#5,12.0,0.25,61,139.0
62,F#5,12.0,21/500,56,139.0
63,D3,12.0,0.375,45,139.0
64,E5,12.25,73/250,56,139.0
65,F#5,12.5,73/250,56,139.0
66,G#5,12.75,73/250,56,139.0
67,B4,13.0,0.25,60,139.0
68,G#3,13.0,0.375,42,139.0
69,D5,13.25,73/250,56,139.0
70,C#5,13.5,73/250,56,139.0
71,B4,13.75,73/250,56,139.0
72,A4,14.0,0.25,60,139.0
73,C#3,14.0,0.375,45,139.0
74,C#5,14.25,73/250,56,139.0
75,D5,14.5,73/250,56,139.0
76,E5,14.75,73/250,56,139.0
77,F#4,15.0,0.25,60,139.0
78,A3,15.0,0.375,42,139.0
79,E5,15.25,73/250,56,139.0
80,D5,15.5,73/250,56,139.0
81,C#5,15.75,0.25,56,139.0
82,D5,16.0,0.25,60,139.0
83,C#5,16.0,21/500,56,139.0
84,B2,16.0,0.375,46,139.0
85,B4,16.25,73/250,56,139.0
86,C#5,16.5,73/250,56,139.0
87,D5,16.75,73/250,56,139.0
88,F#4,17.0,0.25,60,139.0
89,A3,17.0,0.375,39,139.0
90,A4,17.25,73/250,55,139.0
91,G#4,17.5,73/250,55,139.0
92,F#4,17.75,73/250,54,139.0
93,G#4,18.0,0.25,59,139.0
94,E3,18.0,0.375,44,139.0
95,B4,18.25,73/250,54,139.0
96,C#5,18.5,73/250,54,139.0
97,D5,18.75,73/250,54,139.0
98,E4,19.0,0.25,59,139.0
99,G#3,19.0,0.375,38,139.0
100,D5,19.25,73/250,53,139.0
101,C#5,19.5,73/250,53,139.0
102,B4,19.75,0.25,53,139.0
103,C#5,20.0,0.25,57,139.0
104,B4,20.0,21/500,53,139.0
105,A2,20.0,0.375,42,139.0
106,A4,20.25,73/250,54,139.0
107,B4,20.5,73/250,54,139.0
108,C#5,20.75,73/250,54,139.0
109,E4,21.0,0.25,56,139.0
110,A3,21.0,0.375,39,139.0
111,G4,21.25,73/250,53,139.0
112,F#4,21.5,73/250,53,139.0
113,E4,21.75,73/250,53,139.0
114,F#4,22.0,0.25,55,139.0
115,A2,22.0,0.375,41,139.0
116,A4,22.25,73/250,53,139.0
117,B4,22.5,73/250,52,139.0
118,C#5,22.75,73/250,52,139.0
119,F#4,23.0,0.25,55,139.0
120,A3,23.0,0.375,36,139.0
121,E5,23.25,73/250,51,139.0
122,E-5,23.5,73/250,51,139.0
123,C#5,23.75,0.25,51,139.0
124,E-5,24.0,0.25,54,139.0
125,C#5,24.0,21/500,51,139.0
126,A2,24.0,0.375,39,139.0
127,B4,24.25,73/250,51,139.0
128,C#5,24.5,73/250,51,139.0
129,E-5,24.75,73/250,51,139.0
130,F#4,25.0,0.25,54,139.0
131,E-3,25.0,0.375,36,139.0
132,A4,25.25,73/250,52,139.0
133,G4,25.5,73/250,52,139.0
134,F#4,25.75,73/250,52,139.0
135,E4,26.0,0.25,55,139.0
136,G2,26.0,0.375,41,139.0
137,G4,26.25,73/250,53,139.0
138,A4,26.5,73/250,53,139.0
139,B4,26.75,73/250,53,139.0
140,C#4,27.0,0.25,57,139.0
141,E3,27.0,0.375,38,139.0
142,D5,27.25,73/250,54,139.0
143,C#5,27.5,73/250,54,139.0
144,B4,27.75,0.25,54,139.0
145,B-4,28.0,0.25,57,139.0
146,B4,28.0,21/500,54,139.0
147,F#2,28.0,0.375,44,139.0
148,E4,28.25,73/250,55,139.0
149,F#4,28.5,73/250,55,139.0
150,G4,28.75,73/250,55,139.0
151,C#4,29.0,0.25,59,139.0
152,F#3,29.0,0.375,39,139.0
153,G4,29.25,73/250,55,139.0
154,F#4,29.5,73/250,56,139.0
155,E4,29.75,73/250,56,139.0
156,D4,30.0,0.25,61,139.0
