,note_name,start_time,duration,velocity,tempo
0,B-1,1.75,0.25,96,138.0
1,D4,2.0,0.75,83,138.0
2,F3,2.0,0.75,83,138.0
3,B-3,2.0,0.75,83,138.0
4,D5,2.75,0.25,92,138.0
5,F5,2.75,0.25,92,138.0
6,B-5,2.75,0.25,92,138.0
7,D6,2.75,0.25,92,138.0
8,F3,2.75,0.25,74,138.0
9,D4,2.75,0.25,74,138.0
10,B-3,2.75,0.25,74,138.0
11,F5,3.0,0.375,83,138.0
12,B-5,3.0,0.375,83,138.0
13,D5,3.0,0.375,83,138.0
14,D6,3.0,0.375,83,138.0
15,D4,3.0,0.375,83,138.0
16,B-3,3.0,0.375,83,138.0
17,F3,3.0,0.375,83,138.0
18,D5,3.5,0.094,85,138.0
19,E-6,3.5,0.094,85,138.0
20,F5,3.5,0.094,85,138.0
21,B-5,3.5,0.094,85,138.0
22,D4,3.5,0.094,79,138.0
23,B-3,3.5,0.094,79,138.0
24,F3,3.5,0.094,79,138.0
25,D6,3.75,0.094,86,138.0
26,D5,3.75,0.094,86,138.0
27,B-5,3.75,0.094,86,138.0
28,F5,3.75,0.094,86,138.0
29,B-3,3.75,0.094,83,138.0
30,D4,3.75,0.094,83,138.0
31,F3,3.75,0.094,83,138.0
32,F5,4.0,0.25,92,138.0
33,D5,4.0,0.25,92,138.0
34,B-5,4.0,0.25,92,138.0
35,D6,4.0,0.25,92,138.0
36,D4,4.0,0.25,83,138.0
37,F3,4.0,0.25,83,138.0
38,B-3,4.0,0.25,83,138.0
39,D5,4.5,0.25,84,138.0
40,B-4,4.5,0.25,84,138.0
41,F5,4.5,0.25,84,138.0
42,B-5,4.5,0.25,84,138.0
43,F3,4.5,0.25,83,138.0
44,D3,4.5,0.25,83,138.0
45,B-3,4.5,0.25,83,138.0
46,B-1,5.75,0.25,96,138.0
47,B-3,6.0,0.75,82,138.0
48,F3,6.0,0.75,82,138.0
49,D4,6.0,0.75,82,138.0
50,F4,6.0,0.75,82,138.0
51,B-5,6.75,0.25,92,138.0
52,D6,6.75,0.25,92,138.0
53,F5,6.75,0.25,92,138.0
54,F6,6.75,0.25,92,138.0
55,B-3,6.75,0.25,73,138.0
56,F3,6.75,0.25,73,138.0
57,D4,6.75,0.25,73,138.0
58,F4,6.75,0.25,73,138.0
59,F5,7.0,0.375,83,138.0
60,B-5,7.0,0.375,83,138.0
61,D6,7.0,0.375,83,138.0
62,F6,7.0,0.375,83,138.0
63,B-3,7.0,0.375,82,138.0
64,F4,7.0,0.375,82,138.0
65,D4,7.0,0.375,82,138.0
66,F3,7.0,0.375,82,138.0
67,B-5,7.5,0.094,85,138.0
68,D6,7.5,0.094,85,138.0
69,G6,7.5,0.094,85,138.0
70,F5,7.5,0.094,85,138.0
71,D4,7.5,0.094,78,138.0
72,B-3,7.5,0.094,78,138.0
73,F4,7.5,0.094,78,138.0
74,F3,7.5,0.094,78,138.0
75,F5,7.75,0.094,86,138.0
76,B-5,7.75,0.094,86,138.0
77,F6,7.75,0.094,86,138.0
78,D6,7.75,0.094,86,138.0
79,D4,7.75,0.094,82,138.0
80,B-3,7.75,0.094,82,138.0
81,F4,7.75,0.094,82,138.0
82,F3,7.75,0.094,82,138.0
83,F6,8.0,0.25,92,138.0
84,F5,8.0,0.25,92,138.0
85,B-5,8.0,0.25,92,138.0
86,D6,8.0,0.25,92,138.0
87,B-3,8.0,0.25,82,138.0
88,F4,8.0,0.25,82,138.0
89,F3,8.0,0.25,82,138.0
90,D4,8.0,0.25,82,138.0
91,D5,8.5,0.25,84,138.0
92,F5,8.5,0.25,84,138.0
93,B-5,8.5,0.25,84,138.0
94,D6,8.5,0.25,84,138.0
95,B-3,8.5,0.25,83,138.0
96,D4,8.5,0.25,83,138.0
97,F3,8.5,0.25,83,138.0
98,B-4,9.5,0.25,50,138.0
99,C5,9.75,0.25,45,138.0
100,D5,10.0,1.0,50,138.0
101,G4,10.5,0.5,39,138.0
102,E4,10.5,0.5,29,138.0
103,F4,11.0,0.5,29,138.0
104,A4,11.0,0.5,36,138.0
105,C5,11.0,0.5,36,138.0
106,G#4,11.5,0.5,42,138.0
107,C5,11.5,0.25,50,138.0
108,B3,11.5,0.5,40,138.0
109,D5,11.75,0.25,46,138.0
110,E-5,12.0,1.0,55,138.0
111,G4,12.0,0.5,46,138.0
112,C4,12.0,0.5,40,138.0
113,A4,12.5,0.5,45,138.0
114,F#3,12.5,0.5,36,138.0
115,G3,13.0,0.5,36,138.0
116,B-4,13.0,0.5,42,138.0
117,D5,13.0,0.5,42,138.0
118,G4,13.5,0.5,39,138.0
119,D5,13.5,0.25,47,138.0
120,E-3,13.5,0.5,40,138.0
121,E-5,13.75,0.25,50,138.0
122,F4,14.0,0.5,45,138.0
123,F5,14.0,0.75,54,138.0
124,D3,14.0,0.5,40,138.0
125,B-4,14.5,0.5,45,138.0
126,C#3,14.5,0.5,35,138.0
127,G5,14.75,0.25,52,138.0
128,G4,15.0,0.5,42,138.0
129,F5,15.0,0.25,50,138.0
130,C3,15.0,0.5,35,138.0
131,E-5,15.25,0.5,43,138.0
132,A4,15.5,0.5,43,138.0
133,F2,15.5,0.5,40,138.0
134,F5,15.75,0.25,45,138.0
135,E-5,16.0,0.25,49,138.0
136,B-2,16.0,0.5,38,138.0
137,B-4,16.0,0.5,35,138.0
138,F4,16.0,0.5,35,138.0
139,D5,16.25,0.25,41,138.0
140,F5,16.5,0.25,43,138.0
141,E-2,16.5,0.5,30,138.0
142,C5,16.5,0.5,30,138.0
143,G4,16.5,0.5,30,138.0
144,E-5,16.75,0.25,37,138.0
145,F2,17.0,0.5,27,138.0
146,A4,17.0,0.5,32,138.0
147,C5,17.0,0.5,32,138.0
148,B-5,17.5,0.25,50,138.0
149,C6,17.75,0.25,45,138.0
150,D6,18.0,1.0,50,138.0
151,G5,18.5,0.5,39,138.0
152,E5,18.5,0.5,29,138.0
153,F5,19.0,0.5,29,138.0
154,A5,19.0,0.5,36,138.0
155,C6,19.0,0.5,36,138.0
156,C6,19.5,0.25,50,138.0
157,G#5,19.5,0.5,42,138.0
158,B4,19.5,0.5,40,138.0
159,D6,19.75,0.25,46,138.0
160,G5,20.0,0.5,46,138.0
161,E-6,20.0,1.0,55,138.0
162,C5,20.0,0.5,40,138.0
163,A5,20.5,0.5,45,138.0
164,F#4,20.5,0.5,36,138.0
