,note_name,start_time,duration,velocity,tempo
0,G4,0.0,0.75,40,56.25
1,C3,0.0,4.0,30,56.25
2,E-4,0.0,4.0,30,56.25
3,F#4,0.75,0.25,36,56.25
4,A4,1.0,3.0,40,56.25
5,F#3,1.0,1.0,23,56.25
6,A3,2.0,1.0,29,56.25
7,F#3,3.0,1.0,23,56.25
8,G4,4.0,0.75,40,56.25
9,C3,4.0,4.0,30,56.25
10,E-4,4.0,4.0,30,56.25
11,F#4,4.75,0.25,36,56.25
12,A4,5.0,2.75,40,56.25
13,F#3,5.0,1.0,23,56.25
14,A3,6.0,1.0,29,56.25
15,A4,7.0,1.0,46,56.25
16,F#3,7.0,1.0,23,56.25
17,E-5,7.75,119/500,42,56.25
18,E-5,8.0,1.0,52,56.25
19,D4,9.0,1.0,29,56.25
20,D5,9.0,0.75,40,56.25
21,B2,9.0,1.0,26,56.25
22,G3,9.0,1.0,26,56.25
23,G4,9.75,119/500,36,56.25
24,G4,10.0,1.0,41,56.25
25,C4,11.0,1.0,29,56.25
26,F#4,11.0,0.75,40,56.25
27,D3,11.0,1.0,26,56.25
28,A3,11.0,1.0,26,56.25
29,A4,11.75,119/500,36,56.25
30,A4,12.0,0.75,44,56.25
31,B4,12.75,2083/1000,40,56.25
32,B3,13.0,1.0,28,56.25
33,D4,13.0,1.0,28,56.25
34,G2,13.0,1.0,22,56.25
35,G3,13.0,1.0,22,56.25
36,B3,14.0,1.0,22,56.25
37,D4,14.0,1.0,22,56.25
38,G2,14.0,1.0,22,56.25
39,G3,14.0,1.0,22,56.25
40,C5,14.5,167/1000,34,56.25
41,B4,14.667,333/1000,30,56.25
42,A4,14.833,167/1000,30,56.25
43,B4,15.0,0.5,39,56.25
44,C5,15.5,0.5,46,56.25
45,E-5,16.0,0.75,58,56.25
46,F3,16.0,4.0,30,56.25
47,G#4,16.0,4.0,30,56.25
48,D5,16.75,0.25,52,56.25
49,F5,17.0,2.75,60,56.25
50,B3,17.0,1.0,31,56.25
51,D4,18.0,1.0,36,56.25
52,B3,19.0,1.0,32,56.25
53,D5,19.75,0.125,41,56.25
54,F5,19.875,0.125,42,56.25
55,E-5,20.0,0.75,58,56.25
56,F3,20.0,4.0,34,56.25
57,G#4,20.0,4.0,34,56.25
58,D5,20.75,0.25,53,56.25
59,F5,21.0,3.0,61,56.25
60,B3,21.0,1.0,36,56.25
61,D4,22.0,1.0,40,56.25
62,D5,23.0,0.75,63,56.25
63,B3,23.0,1.0,34,56.25
64,G#5,23.75,119/500,61,56.25
65,G#5,24.0,1.0,70,56.25
66,G4,25.0,1.0,33,56.25
67,G5,25.0,0.75,48,56.25
68,E-3,25.0,1.0,30,56.25
69,C4,25.0,1.0,30,56.25
70,C5,25.75,119/500,41,56.25
71,C5,26.0,1.0,47,56.25
72,F4,27.0,1.0,33,56.25
73,B4,27.0,0.75,46,56.25
74,G3,27.0,1.0,30,56.25
75,D4,27.0,1.0,30,56.25
76,D5,27.75,119/500,41,56.25
77,D5,28.0,0.75,50,56.25
78,E-5,28.75,2.25,46,56.25
79,E-4,29.0,1.0,36,56.25
80,C3,29.0,1.0,26,56.25
81,C4,29.0,1.0,26,56.25
82,E-4,30.0,0.5,29,56.25
83,C3,30.0,0.5,33,56.25
84,C4,30.0,0.5,33,56.25
85,G#4,30.5,0.5,38,56.25
86,E-4,30.5,0.5,32,56.25
87,C4,30.5,0.5,32,56.25
88,G4,31.0,0.5,43,56.25
89,B-3,31.0,0.5,33,56.25
90,C#4,31.0,0.5,33,56.25
91,E-4,31.0,0.5,33,56.25
92,G#4,31.5,0.5,49,56.25
93,E-4,31.5,0.5,36,56.25
94,C4,31.5,0.5,36,56.25
95,G#3,31.5,0.5,36,56.25
96,C5,32.0,0.5,59,56.25
