,note_name,start_time,duration,velocity,tempo
0,E-3,0.0,9/20,19,65.1
1,G3,0.0,9/20,19,65.1
2,B-3,0.0,9/20,19,65.1
3,E-3,0.5,9/20,16,65.1
4,G3,0.5,9/20,16,65.1
5,B-3,0.5,9/20,16,65.1
6,E-3,1.0,9/20,16,65.1
7,G3,1.0,9/20,16,65.1
8,B-3,1.0,9/20,16,65.1
9,E-3,1.5,9/20,18,65.1
10,G3,1.5,9/20,18,65.1
11,B-3,1.5,9/20,18,65.1
12,E-3,2.0,9/20,16,65.1
13,G3,2.0,9/20,16,65.1
14,B-3,2.0,9/20,16,65.1
15,E-3,2.5,9/20,16,65.1
16,G3,2.5,9/20,16,65.1
17,B-3,2.5,9/20,16,65.1
18,G4,3.0,0.375,38,65.1
19,E-3,3.0,9/20,19,65.1
20,G3,3.0,9/20,19,65.1
21,B-3,3.0,9/20,19,65.1
22,G#4,3.375,0.125,36,65.1
23,G4,3.5,0.25,39,65.1
24,E-3,3.5,9/20,16,65.1
25,G3,3.5,9/20,16,65.1
26,B-3,3.5,9/20,16,65.1
27,F4,3.75,0.25,36,65.1
28,G4,4.0,0.25,40,65.1
29,E-3,4.0,9/20,16,65.1
30,G3,4.0,9/20,16,65.1
31,B-3,4.0,9/20,16,65.1
32,G#4,4.25,0.25,36,65.1
33,A4,4.5,1.5,44,65.1
34,E-3,4.5,9/20,19,65.1
35,G3,4.5,9/20,19,65.1
36,B-3,4.5,9/20,19,65.1
37,E-3,5.0,9/20,16,65.1
38,G3,5.0,9/20,16,65.1
39,B-3,5.0,9/20,16,65.1
40,E-3,5.5,9/20,16,65.1
41,G3,5.5,9/20,16,65.1
42,B-3,5.5,9/20,16,65.1
43,B-4,6.0,1.875,51,65.1
44,E-3,6.0,9/20,18,65.1
45,G3,6.0,9/20,18,65.1
46,B-3,6.0,9/20,18,65.1
47,E-3,6.5,9/20,16,65.1
48,G3,6.5,9/20,16,65.1
49,B-3,6.5,9/20,16,65.1
50,E-3,7.0,9/20,16,65.1
51,G3,7.0,9/20,16,65.1
52,B-3,7.0,9/20,16,65.1
53,E-3,7.5,9/20,19,65.1
54,G3,7.5,9/20,19,65.1
55,B-3,7.5,9/20,19,65.1
56,C5,7.875,0.125,39,65.1
57,B-4,8.0,0.25,49,65.1
58,E-3,8.0,9/20,16,65.1
59,G3,8.0,9/20,16,65.1
60,B-3,8.0,9/20,16,65.1
61,A4,8.25,0.25,42,65.1
62,B-4,8.5,0.25,51,65.1
63,E-3,8.5,9/20,16,65.1
64,G3,8.5,9/20,16,65.1
65,B-3,8.5,9/20,16,65.1
66,B4,8.75,0.25,46,65.1
67,B4,9.0,0.875,50,65.1
68,D3,9.0,9/20,19,65.1
69,G#3,9.0,9/20,19,65.1
70,B-3,9.0,9/20,19,65.1
71,D3,9.5,9/20,16,65.1
72,G#3,9.5,9/20,16,65.1
73,B-3,9.5,9/20,16,65.1
74,C5,9.75,0.062,39,65.1
75,B4,9.812,0.062,33,65.1
76,A4,9.875,0.062,41,65.1
77,B4,9.938,0.062,37,65.1
78,D5,10.0,0.375,53,65.1
79,D3,10.0,9/20,16,65.1
80,G#3,10.0,9/20,16,65.1
81,B-3,10.0,9/20,16,65.1
82,C5,10.375,0.125,44,65.1
83,F4,10.5,1.875,55,65.1
84,D3,10.5,9/20,18,65.1
85,G#3,10.5,9/20,18,65.1
86,B-3,10.5,9/20,18,65.1
87,D3,11.0,9/20,16,65.1
88,G#3,11.0,9/20,16,65.1
89,B-3,11.0,9/20,16,65.1
90,D3,11.5,9/20,16,65.1
91,G#3,11.5,9/20,16,65.1
92,B-3,11.5,9/20,16,65.1
93,D3,12.0,9/20,19,65.1
94,G#3,12.0,9/20,19,65.1
95,B-3,12.0,9/20,19,65.1
96,G4,12.375,0.125,39,65.1
97,F4,12.5,0.25,46,65.1
98,D3,12.5,9/20,16,65.1
99,G#3,12.5,9/20,16,65.1
100,B-3,12.5,9/20,16,65.1
101,E4,12.75,0.25,42,65.1
102,F4,13.0,0.25,49,65.1
103,D3,13.0,9/20,16,65.1
