,note_name,start_time,duration,velocity,tempo
0,G#2,0.0,0.5,32,69.94
1,C#3,0.0,0.5,32,69.94
2,F#3,0.5,0.5,31,69.94
3,B-3,0.5,0.5,31,69.94
4,C#3,0.5,0.5,31,69.94
5,G#2,1.0,0.25,28,69.94
6,C#3,1.0,0.25,28,69.94
7,C#3,1.25,0.25,26,69.94
8,F#3,1.25,0.25,26,69.94
9,B-3,1.25,0.25,26,69.94
10,G#2,1.5,0.5,32,69.94
11,C#3,1.5,0.5,32,69.94
12,F#3,2.0,0.5,31,69.94
13,C#4,2.0,0.5,31,69.94
14,B-3,2.0,0.5,31,69.94
15,C#3,2.0,0.5,31,69.94
16,G#2,2.5,0.25,30,69.94
17,C#3,2.5,0.25,30,69.94
18,C#4,2.75,0.25,26,69.94
19,B-3,2.75,0.25,26,69.94
20,F#3,2.75,0.25,26,69.94
21,C#3,2.75,0.25,26,69.94
22,G#2,3.0,0.5,32,69.94
23,C#3,3.0,0.5,32,69.94
24,F3,3.5,0.5,32,69.94
25,G#3,3.5,0.5,32,69.94
26,C#3,3.5,0.5,32,69.94
27,G#2,4.0,0.25,28,69.94
28,C#3,4.0,0.25,28,69.94
29,C#3,4.25,0.25,26,69.94
30,F3,4.25,0.25,26,69.94
31,G#3,4.25,0.25,26,69.94
32,G#2,4.5,0.5,32,69.94
33,C#3,4.5,0.5,32,69.94
34,C#3,5.0,0.5,31,69.94
35,C#4,5.0,0.5,31,69.94
36,F3,5.0,0.5,31,69.94
37,G#2,5.5,0.25,28,69.94
38,C#3,5.5,0.25,28,69.94
39,C#4,5.75,0.25,26,69.94
40,F3,5.75,0.25,26,69.94
41,C#3,5.75,0.25,26,69.94
42,G#2,6.0,0.5,32,69.94
43,C#3,6.0,0.5,32,69.94
44,C#3,6.5,0.5,32,69.94
45,F#3,6.5,0.5,32,69.94
46,E-3,6.5,0.5,32,69.94
47,G#2,7.0,0.25,30,69.94
48,C#3,7.0,0.25,30,69.94
49,E-3,7.25,0.25,26,69.94
50,C#3,7.25,0.25,26,69.94
51,F#3,7.25,0.25,26,69.94
52,G#2,7.5,0.5,32,69.94
53,C#3,7.5,0.5,32,69.94
54,C#4,8.0,0.5,32,69.94
55,F#3,8.0,0.5,32,69.94
56,E-3,8.0,0.5,32,69.94
57,C#3,8.0,0.5,32,69.94
58,G#2,8.5,0.25,30,69.94
59,C#3,8.5,0.25,30,69.94
60,F#3,8.75,0.25,26,69.94
61,C#4,8.75,0.25,26,69.94
62,E-3,8.75,0.25,26,69.94
63,C#3,8.75,0.25,26,69.94
64,G#2,9.0,0.5,32,69.94
65,C#3,9.0,0.5,32,69.94
66,C#4,9.5,0.5,30,69.94
67,F3,9.5,0.5,30,69.94
68,C#3,9.5,0.5,30,69.94
69,G#2,10.0,0.5,28,69.94
70,C#3,10.0,0.5,28,69.94
71,F3,10.5,0.5,27,69.94
72,C#4,10.5,0.5,27,69.94
73,C#3,10.5,0.5,27,69.94
74,G#2,11.0,0.5,26,69.94
75,C#3,11.0,0.5,26,69.94
76,C#4,11.5,0.5,25,69.94
77,F3,11.5,0.5,25,69.94
78,C#3,11.5,0.5,25,69.94
79,G#2,12.0,0.5,23,69.94
80,C#3,12.0,0.5,23,69.94
81,C#3,12.5,0.5,21,69.94
82,C#4,12.5,0.5,21,69.94
83,F3,12.5,0.5,21,69.94
84,G#2,13.0,0.5,21,69.94
85,C#3,13.0,0.5,21,69.94
86,C#4,13.5,0.5,19,69.94
87,F3,13.5,0.5,19,69.94
88,C#3,13.5,0.5,19,69.94
89,G#2,14.0,0.5,18,69.94
