,note_name,start_time,duration,velocity,tempo
0,A1,0.0,333/1000,43,72.97
1,C5,0.0,0.5,53,72.97
2,A4,0.0,0.5,53,72.97
3,A2,0.333,333/1000,45,72.97
4,C5,0.5,0.5,57,72.97
5,A4,0.5,0.5,57,72.97
6,E3,0.667,333/1000,48,72.97
7,D5,1.0,2.0,34,72.97
8,F4,1.0,2.0,34,72.97
9,A4,1.0,2.0,34,72.97
10,A2,1.0,2.0,33,72.97
11,D3,1.0,2.0,33,72.97
12,A1,3.0,333/1000,40,72.97
13,A4,3.0,0.5,54,72.97
14,C5,3.0,0.5,54,72.97
15,A2,3.333,333/1000,46,72.97
16,C5,3.5,0.5,56,72.97
17,A4,3.5,0.5,56,72.97
18,E3,3.667,333/1000,49,72.97
19,D4,4.0,2.0,34,72.97
20,B4,4.0,2.0,34,72.97
21,G#4,4.0,2.0,34,72.97
22,A2,4.0,2.0,31,72.97
23,F3,4.0,2.0,31,72.97
24,A1,6.0,333/1000,42,72.97
25,A4,6.0,0.5,53,72.97
26,F#4,6.0,0.5,53,72.97
27,A2,6.333,333/1000,42,72.97
28,F#4,6.5,0.5,51,72.97
29,A4,6.5,0.5,51,72.97
30,C3,6.667,333/1000,42,72.97
31,C5,7.0,1.0,50,72.97
32,C4,7.0,1.0,50,72.97
33,A2,7.0,2.0,34,72.97
34,E-3,7.0,2.0,34,72.97
35,F#4,8.0,1.0,46,72.97
36,A4,8.0,1.0,46,72.97
37,E2,9.0,333/1000,33,72.97
38,E4,9.0,1.0,42,72.97
39,G#4,9.0,1.0,42,72.97
40,B2,9.333,333/1000,30,72.97
41,E3,9.667,2333/1000,29,72.97
42,E2,10.0,2.0,28,72.97
43,B3,10.0,2.0,34,72.97
44,G#4,10.0,2.0,34,72.97
45,B4,10.0,2.0,34,72.97
46,A1,12.0,333/1000,42,72.97
47,C5,12.0,0.5,52,72.97
48,A4,12.0,0.5,52,72.97
49,A2,12.333,333/1000,46,72.97
50,A4,12.5,0.5,55,72.97
51,C5,12.5,0.5,55,72.97
52,E3,12.667,333/1000,50,72.97
53,E5,13.0,2.0,49,72.97
54,E4,13.0,2.0,49,72.97
55,C#5,13.0,2.0,49,72.97
56,A2,13.0,2.0,43,72.97
57,A3,13.0,2.0,43,72.97
58,D2,15.0,333/1000,48,72.97
59,D5,15.0,0.5,60,72.97
60,F5,15.0,0.5,60,72.97
61,D3,15.333,333/1000,51,72.97
62,F5,15.5,0.5,64,72.97
63,D5,15.5,0.5,64,72.97
64,A3,15.667,333/1000,54,72.97
65,A4,16.0,2.0,62,72.97
66,A5,16.0,2.0,62,72.97
67,F#5,16.0,2.0,62,72.97
68,E-3,16.0,2.0,48,72.97
69,C4,16.0,2.0,48,72.97
70,C5,18.0,2.0,61,72.97
71,E2,18.0,333/1000,49,72.97
72,G4,18.0,0.5,65,72.97
73,G5,18.0,0.5,65,72.97
74,E3,18.333,333/1000,49,72.97
75,G4,18.5,0.5,65,72.97
76,G5,18.5,0.5,65,72.97
77,G3,18.667,333/1000,49,72.97
78,C4,19.0,1.5,46,72.97
79,E3,19.0,1.0,40,72.97
80,E5,19.0,1.0,65,72.97
81,G#4,19.0,1.0,65,72.97
82,F3,20.0,1.0,39,72.97
83,C5,20.0,1.0,56,72.97
84,A4,20.0,1.0,56,72.97
85,A3,20.5,0.5,26,72.97
86,E3,21.0,0.5,48,72.97
87,B4,21.0,1.0,52,72.97
88,G#4,21.0,1.0,52,72.97
89,E4,21.0,3.0,52,72.97
90,E5,21.0,3.0,52,72.97
91,E3,21.5,2.5,45,72.97
92,A4,22.0,2.0,52,72.97
93,C3,22.0,1.0,40,72.97
94,A2,23.0,1.0,36,72.97
95,E2,24.0,0.5,39,72.97
96,B3,24.0,1.0,35,72.97
97,G#3,24.0,1.0,35,72.97
98,E4,24.0,3.0,40,72.97
99,E3,24.0,3.0,40,72.97
100,E2,24.5,0.5,39,72.97
101,A3,25.0,2.0,34,72.97
102,C2,25.0,1.0,42,72.97
103,A1,26.0,1.0,32,72.97
104,A1,27.0,333/1000,32,72.97
105,A4,27.0,0.5,41,72.97
106,C5,27.0,0.5,41,72.97
107,A2,27.333,333/1000,29,72.97
108,A4,27.5,0.5,41,72.97
109,C5,27.5,0.5,41,72.97
110,E3,27.667,333/1000,28,72.97
111,A2,28.0,333/1000,28,72.97
112,B4,28.0,0.5,44,72.97
113,F4,28.0,0.5,44,72.97
114,D5,28.0,0.5,44,72.97
115,D3,28.333,333/1000,28,72.97
116,A4,28.5,0.5,41,72.97
117,C5,28.5,0.5,41,72.97
118,F3,28.667,333/1000,28,72.97
119,A2,29.0,1.0,28,72.97
120,F4,29.0,1.0,38,72.97
121,B4,29.0,1.0,38,72.97
122,D5,29.0,1.0,38,72.97
123,A1,30.0,333/1000,28,72.97
124,C5,30.0,0.5,44,72.97
125,A4,30.0,0.5,44,72.97
126,A2,30.333,333/1000,29,72.97
127,A4,30.5,0.5,44,72.97
128,C5,30.5,0.5,44,72.97
129,E3,30.667,333/1000,30,72.97
130,A2,31.0,333/1000,29,72.97
131,B4,31.0,0.5,41,72.97
132,D4,31.0,0.5,41,72.97
133,G#4,31.0,0.5,41,72.97
134,F3,31.333,333/1000,28,72.97
135,F4,31.5,0.5,38,72.97
136,A4,31.5,0.5,38,72.97
137,D3,31.667,333/1000,28,72.97
138,A2,32.0,1.0,28,72.97
139,G#4,32.0,1.0,37,72.97
140,B4,32.0,1.0,37,72.97
141,D4,32.0,1.0,37,72.97
142,A1,33.0,333/1000,29,72.97
143,A4,33.0,0.5,42,72.97
144,F#4,33.0,0.5,42,72.97
145,A2,33.333,333/1000,32,72.97
146,A4,33.5,1.0,46,72.97
147,F#4,33.5,0.5,40,72.97
148,C3,33.667,333/1000,34,72.97
149,A2,34.0,333/1000,37,72.97
150,C4,34.0,0.5,48,72.97
151,C5,34.0,0.5,48,72.97
152,F#3,34.333,333/1000,35,72.97
153,B4,34.5,0.5,46,72.97
154,G#4,34.5,0.5,46,72.97
155,E-3,34.667,333/1000,35,72.97
156,A2,35.0,333/1000,33,72.97
157,C4,35.0,0.5,45,72.97
158,C5,35.0,0.5,45,72.97
159,A4,35.0,0.5,45,72.97
160,F#3,35.333,333/1000,33,72.97
161,A4,35.5,0.5,43,72.97
162,F#4,35.5,0.5,43,72.97
163,E-3,35.667,333/1000,33,72.97
164,E2,36.0,3.0,30,72.97
165,E4,36.0,1.0,42,72.97
166,G#4,36.0,1.0,42,72.97
167,B2,36.333,333/1000,32,72.97
168,E3,36.667,2333/1000,32,72.97
169,G#4,37.0,2.0,35,72.97
170,B4,37.0,2.0,35,72.97
171,B3,37.0,2.0,35,72.97
172,A1,39.0,333/1000,43,72.97
173,C5,39.0,0.5,55,72.97
174,A4,39.0,0.5,55,72.97
175,A2,39.333,333/1000,43,72.97
176,C5,39.5,0.5,55,72.97
177,A4,39.5,0.5,55,72.97
178,E3,39.667,333/1000,43,72.97
179,A2,40.0,333/1000,43,72.97
180,E5,40.0,0.5,54,72.97
181,C#5,40.0,0.5,54,72.97
182,E4,40.0,0.5,54,72.97
183,A3,40.333,333/1000,43,72.97
184,B4,40.5,0.5,54,72.97
185,F4,40.5,0.5,54,72.97
186,D5,40.5,0.5,54,72.97
187,D3,40.667,333/1000,43,72.97
188,E4,41.0,0.5,52,72.97
189,A2,41.0,333/1000,45,72.97
190,E5,41.0,1.0,58,72.97
191,C#5,41.0,1.0,58,72.97
192,A3,41.333,333/1000,45,72.97
193,G5,41.5,0.5,58,72.97
194,A4,41.5,0.5,58,72.97
195,E3,41.667,333/1000,46,72.97
196,D2,42.0,333/1000,42,72.97
197,D5,42.0,0.5,54,72.97
198,F5,42.0,0.5,54,72.97
199,A4,42.0,0.5,54,72.97
200,D3,42.333,333/1000,44,72.97
201,D5,42.5,0.5,54,72.97
202,A4,42.5,0.5,54,72.97
