,note_name,start_time,duration,velocity,tempo
0,C5,0.0,0.25,50,158.0
1,C6,0.5,0.25,41,158.0
2,C5,1.0,0.25,47,158.0
3,C6,1.5,0.25,40,158.0
4,C5,2.0,0.25,49,158.0
5,A4,2.0,2.0,22,158.0
6,F4,2.0,2.0,22,158.0
7,C4,2.0,2.0,22,158.0
8,C6,2.5,0.25,40,158.0
9,C5,3.0,0.25,56,158.0
10,C6,3.5,0.25,49,158.0
11,C5,4.0,0.25,61,158.0
12,E4,4.0,2.0,30,158.0
13,G4,4.0,2.0,30,158.0
14,B-3,4.0,2.0,30,158.0
15,C4,4.0,2.0,30,158.0
16,C6,4.5,0.25,52,158.0
17,C5,5.0,0.25,63,158.0
18,C6,5.5,0.25,55,158.0
19,C5,6.0,0.25,68,158.0
20,A3,6.0,2.0,40,158.0
21,C4,6.0,2.0,40,158.0
22,E-4,6.0,2.0,40,158.0
23,F#4,6.0,2.0,40,158.0
24,C6,6.5,0.25,59,158.0
25,C5,7.0,0.25,63,158.0
26,C6,7.5,0.25,51,158.0
27,C5,8.0,0.25,58,158.0
28,G4,8.0,0.5,29,158.0
29,E4,8.0,0.5,29,158.0
30,C4,8.0,0.5,29,158.0
31,B-3,8.0,0.5,29,158.0
32,C6,8.5,0.25,41,158.0
33,C5,9.0,0.25,47,158.0
34,C6,9.5,0.25,52,158.0
35,C3,9.5,0.25,48,158.0
36,C4,9.5,0.25,48,158.0
37,C5,10.0,0.25,64,158.0
38,C4,10.0,1.0,57,158.0
39,C3,10.0,1.0,57,158.0
40,C6,10.5,0.25,34,158.0
41,C5,11.0,0.25,46,158.0
42,C6,11.5,0.25,51,158.0
43,C3,11.5,0.25,46,158.0
44,C4,11.5,0.25,46,158.0
45,C5,12.0,0.25,63,158.0
46,C4,12.0,1.0,61,158.0
47,C3,12.0,1.0,61,158.0
48,C6,12.5,0.25,43,158.0
49,C5,13.0,0.25,55,158.0
50,C6,13.5,0.25,50,158.0
51,C4,13.5,0.25,49,158.0
52,C3,13.5,0.25,49,158.0
53,C5,14.0,0.25,63,158.0
54,C4,14.0,1.0,61,158.0
55,C3,14.0,1.0,61,158.0
56,C6,14.5,0.25,38,158.0
57,C5,15.0,0.25,47,158.0
58,C6,15.5,0.25,39,158.0
59,C5,16.0,0.25,37,158.0
60,C4,16.0,0.25,26,158.0
61,A3,16.0,0.25,26,158.0
62,F3,16.0,0.25,26,158.0
63,C6,16.5,0.25,35,158.0
64,F3,16.5,0.25,17,158.0
65,A3,16.5,0.25,17,158.0
66,C4,16.5,0.25,17,158.0
67,F5,17.0,0.25,39,158.0
68,C4,17.0,0.25,26,158.0
69,A3,17.0,0.25,26,158.0
70,F3,17.0,0.25,26,158.0
71,F6,17.5,0.25,38,158.0
72,F3,17.5,0.25,20,158.0
73,A3,17.5,0.25,20,158.0
74,C4,17.5,0.25,20,158.0
75,A5,18.0,0.25,41,158.0
76,F3,18.0,0.25,31,158.0
77,A3,18.0,0.25,31,158.0
78,C4,18.0,0.25,31,158.0
79,A6,18.5,0.25,40,158.0
80,F3,18.5,0.25,21,158.0
81,A3,18.5,0.25,21,158.0
82,C4,18.5,0.25,21,158.0
83,G5,19.0,0.25,46,158.0
84,F3,19.0,0.25,32,158.0
85,A3,19.0,0.25,32,158.0
86,C4,19.0,0.25,32,158.0
87,G6,19.5,0.25,42,158.0
88,F3,19.5,0.25,21,158.0
89,A3,19.5,0.25,21,158.0
90,C4,19.5,0.25,21,158.0
91,F5,20.0,0.25,49,158.0
92,F3,20.0,0.25,33,158.0
93,A3,20.0,0.25,33,158.0
94,C#4,20.0,0.25,33,158.0
95,F6,20.5,0.25,43,158.0
96,C#4,20.5,0.25,21,158.0
97,A3,20.5,0.25,21,158.0
98,F3,20.5,0.25,21,158.0
99,E5,21.0,0.25,49,158.0
100,F3,21.0,0.25,36,158.0
101,A3,21.0,0.25,36,158.0
102,C#4,21.0,0.25,36,158.0
103,E6,21.5,0.25,46,158.0
104,C#4,21.5,0.25,23,158.0
105,A3,21.5,0.25,23,158.0
106,F3,21.5,0.25,23,158.0
107,G5,22.0,0.25,58,158.0
108,D4,22.0,0.25,40,158.0
109,A3,22.0,0.25,40,158.0
110,F3,22.0,0.25,40,158.0
111,G6,22.5,0.25,41,158.0
112,F3,22.5,0.25,23,158.0
113,A3,22.5,0.25,23,158.0
114,D4,22.5,0.25,23,158.0
115,F5,23.0,0.25,51,158.0
116,F3,23.0,0.25,32,158.0
117,A3,23.0,0.25,32,158.0
118,D4,23.0,0.25,32,158.0
119,F6,23.5,0.25,42,158.0
120,F3,23.5,0.25,21,158.0
121,A3,23.5,0.25,21,158.0
122,D4,23.5,0.25,21,158.0
123,E5,24.0,0.25,50,158.0
124,G3,24.0,0.25,35,158.0
125,B-3,24.0,0.25,35,158.0
126,D4,24.0,0.25,35,158.0
127,F3,24.0,0.25,35,158.0
128,E6,24.5,0.25,39,158.0
129,D4,24.5,0.25,22,158.0
130,B-3,24.5,0.25,22,158.0
131,G3,24.5,0.25,22,158.0
132,F3,24.5,0.25,22,158.0
133,D5,25.0,0.25,44,158.0
134,G3,25.0,0.25,26,158.0
135,D4,25.0,0.25,26,158.0
136,B-3,25.0,0.25,26,158.0
137,F3,25.0,0.25,26,158.0
138,D6,25.5,0.25,40,158.0
139,G3,25.5,0.25,19,158.0
140,F3,25.5,0.25,19,158.0
141,B-3,25.5,0.25,19,158.0
142,D4,25.5,0.25,19,158.0
143,G4,26.0,0.25,44,158.0
144,G3,26.0,0.25,30,158.0
145,F3,26.0,0.25,30,158.0
146,B-3,26.0,0.25,30,158.0
147,D4,26.0,0.25,30,158.0
148,G5,26.5,0.25,43,158.0
149,G3,26.5,0.25,20,158.0
150,F3,26.5,0.25,20,158.0
151,B-3,26.5,0.25,20,158.0
152,D4,26.5,0.25,20,158.0
153,A4,27.0,0.25,48,158.0
154,G3,27.0,0.25,31,158.0
155,F3,27.0,0.25,31,158.0
156,B-3,27.0,0.25,31,158.0
157,D4,27.0,0.25,31,158.0
158,A5,27.5,0.25,45,158.0
159,G3,27.5,0.25,20,158.0
160,F3,27.5,0.25,20,158.0
161,B-3,27.5,0.25,20,158.0
162,D4,27.5,0.25,20,158.0
163,B-4,28.0,0.25,58,158.0
164,E3,28.0,0.25,33,158.0
165,G3,28.0,0.25,33,158.0
166,C4,28.0,0.25,33,158.0
167,B-5,28.5,0.25,51,158.0
168,C4,28.5,0.25,21,158.0
169,G3,28.5,0.25,21,158.0
170,E3,28.5,0.25,21,158.0
171,B4,29.0,0.25,53,158.0
172,E3,29.0,0.25,36,158.0
173,G3,29.0,0.25,36,158.0
174,C4,29.0,0.25,36,158.0
175,B5,29.5,0.25,50,158.0
176,C4,29.5,0.25,23,158.0
177,G3,29.5,0.25,23,158.0
178,E3,29.5,0.25,23,158.0
179,C5,30.0,0.25,58,158.0
180,C4,30.0,0.25,40,158.0
181,G3,30.0,0.25,40,158.0
182,E3,30.0,0.25,40,158.0
183,C6,30.5,0.25,43,158.0
184,E3,30.5,0.25,23,158.0
185,G3,30.5,0.25,23,158.0
186,C4,30.5,0.25,23,158.0
187,B-4,31.0,0.25,52,158.0
188,E3,31.0,0.25,32,158.0
189,G3,31.0,0.25,32,158.0
190,C4,31.0,0.25,32,158.0
191,B-5,31.5,0.25,43,158.0
192,E3,31.5,0.25,21,158.0
193,G3,31.5,0.25,21,158.0
194,C4,31.5,0.25,21,158.0
195,C5,32.0,0.25,55,158.0
196,F3,32.0,0.25,32,158.0
197,A3,32.0,0.25,32,158.0
198,C4,32.0,0.25,32,158.0
199,C6,32.5,0.25,46,158.0
200,C4,32.5,0.25,21,158.0
201,A3,32.5,0.25,21,158.0
202,F3,32.5,0.25,21,158.0
203,F5,33.0,0.25,55,158.0
204,F3,33.0,0.25,35,158.0
205,A3,33.0,0.25,35,158.0
206,C4,33.0,0.25,35,158.0
207,F6,33.5,0.25,44,158.0
208,C4,33.5,0.25,23,158.0
209,A3,33.5,0.25,23,158.0
210,F3,33.5,0.25,23,158.0
211,F5,34.0,0.25,62,158.0
212,G4,34.0,0.25,40,158.0
213,A3,34.0,0.25,40,158.0
214,C#4,34.0,0.25,40,158.0
215,F6,34.5,0.25,52,158.0
216,G4,34.5,0.25,26,158.0
217,A3,34.5,0.25,26,158.0
218,C#4,34.5,0.25,26,158.0
219,E5,35.0,0.25,64,158.0
220,G4,35.0,0.25,38,158.0
221,A3,35.0,0.25,38,158.0
222,C#4,35.0,0.25,38,158.0
223,E6,35.5,0.25,50,158.0
224,G4,35.5,0.25,26,158.0
225,A3,35.5,0.25,26,158.0
226,C#4,35.5,0.25,26,158.0
227,E5,36.0,0.25,72,158.0
228,G4,36.0,0.25,42,158.0
229,C#4,36.0,0.25,42,158.0
230,B-3,36.0,0.25,42,158.0
231,E6,36.5,0.25,65,158.0
232,G4,36.5,0.25,28,158.0
233,C#4,36.5,0.25,28,158.0
234,B-3,36.5,0.25,28,158.0
235,D5,37.0,0.25,70,158.0
236,F4,37.0,0.25,42,158.0
237,D4,37.0,0.25,42,158.0
238,B-3,37.0,0.25,42,158.0
239,D6,37.5,0.25,57,158.0
240,B-3,37.5,0.25,24,158.0
241,D4,37.5,0.25,24,158.0
242,F4,37.5,0.25,24,158.0
243,C5,38.0,0.25,63,158.0
244,A4,38.0,0.25,40,158.0
245,D4,38.0,0.25,40,158.0
246,B-3,38.0,0.25,40,158.0
247,C6,38.5,0.25,49,158.0
248,A4,38.5,0.25,23,158.0
249,D4,38.5,0.25,23,158.0
250,B-3,38.5,0.25,23,158.0
251,B-4,39.0,0.25,58,158.0
252,G4,39.0,0.25,39,158.0
253,D4,39.0,0.25,39,158.0
254,B-3,39.0,0.25,39,158.0
255,B-5,39.5,0.25,48,158.0
256,G4,39.5,0.25,25,158.0
257,D4,39.5,0.25,25,158.0
258,B-3,39.5,0.25,25,158.0
259,A4,40.0,0.25,60,158.0
260,C4,40.0,0.25,42,158.0
261,F4,40.0,0.25,42,158.0
262,A5,40.5,0.25,48,158.0
263,F4,40.5,0.25,26,158.0
264,C4,40.5,0.25,26,158.0
265,F4,41.0,0.25,58,158.0
266,A3,41.0,0.25,40,158.0
267,C4,41.0,0.25,40,158.0
268,F5,41.5,0.25,50,158.0
269,C4,41.5,0.25,26,158.0
270,A3,41.5,0.25,26,158.0
271,F4,42.0,0.25,66,158.0
272,C#4,42.0,0.25,44,158.0
273,B-3,42.0,0.25,44,158.0
274,G3,42.0,0.25,44,158.0
275,F5,42.5,0.25,60,158.0
276,C#4,42.5,0.25,30,158.0
277,B-3,42.5,0.25,30,158.0
278,G3,42.5,0.25,30,158.0
279,E4,43.0,0.25,64,158.0
280,C4,43.0,0.25,47,158.0
281,B-3,43.0,0.25,47,158.0
282,G3,43.0,0.25,47,158.0
283,E5,43.5,0.25,51,158.0
284,C4,43.5,0.25,33,158.0
