,note_name,start_time,duration,velocity,tempo
0,A4,3.0,0.75,50,110.29
1,B4,3.75,0.25,42,110.29
2,A4,4.0,497/500,50,110.29
3,D3,4.0,0.5,34,110.29
4,D2,4.0,0.5,34,110.29
5,D5,4.167,167/1000,38,110.29
6,F#5,4.333,167/1000,38,110.29
7,G5,4.5,167/1000,47,110.29
8,F#5,4.667,167/1000,38,110.29
9,D5,4.833,167/1000,38,110.29
10,A4,5.0,1.0,50,110.29
11,D4,5.0,0.5,30,110.29
12,F#4,5.0,0.5,30,110.29
13,D5,5.167,167/1000,37,110.29
14,F#5,5.333,167/1000,37,110.29
15,G5,5.5,167/1000,49,110.29
16,F#5,5.667,167/1000,41,110.29
17,D5,5.833,167/1000,41,110.29
18,B4,6.0,979/1000,55,110.29
19,D3,6.0,0.5,40,110.29
20,D5,6.167,167/1000,45,110.29
21,G5,6.333,167/1000,45,110.29
22,A5,6.5,167/1000,52,110.29
23,G5,6.667,167/1000,42,110.29
24,D5,6.833,167/1000,42,110.29
25,B4,7.0,1.0,55,110.29
26,G4,7.0,0.5,33,110.29
27,D4,7.0,0.5,33,110.29
28,D5,7.167,167/1000,45,110.29
29,G5,7.333,167/1000,45,110.29
30,A5,7.5,167/1000,52,110.29
31,G5,7.667,167/1000,42,110.29
32,D5,7.833,167/1000,42,110.29
33,A4,8.0,1.0,50,110.29
34,D3,8.0,0.5,37,110.29
35,D5,8.167,167/1000,41,110.29
36,F#5,8.333,167/1000,41,110.29
37,G5,8.5,167/1000,48,110.29
38,F#5,8.667,167/1000,39,110.29
39,D5,8.833,167/1000,39,110.29
40,D5,9.0,1.0,50,110.29
41,D4,9.0,0.5,30,110.29
42,F#4,9.0,0.5,30,110.29
43,A3,9.0,0.5,30,110.29
44,F#5,9.167,167/1000,41,110.29
45,A5,9.333,167/1000,41,110.29
46,B5,9.5,167/1000,48,110.29
47,A5,9.667,167/1000,39,110.29
48,F#5,9.833,167/1000,39,110.29
49,F#5,10.0,167/1000,48,110.29
50,D3,10.0,0.5,41,110.29
51,G5,10.167,167/1000,42,110.29
52,A5,10.333,167/1000,42,110.29
53,B5,10.5,167/1000,55,110.29
54,C#6,10.667,167/1000,48,110.29
55,D6,10.833,167/1000,48,110.29
56,E6,11.0,167/1000,62,110.29
57,A3,11.0,0.5,36,110.29
58,D4,11.0,0.5,36,110.29
59,F#4,11.0,0.5,36,110.29
60,F#6,11.167,167/1000,50,110.29
61,G6,11.333,167/1000,51,110.29
62,G#6,11.5,167/1000,67,110.29
63,B6,11.667,167/1000,59,110.29
64,A6,11.833,167/1000,53,110.29
65,G6,12.0,167/1000,72,110.29
66,A2,12.0,0.5,51,110.29
67,A6,12.167,167/1000,60,110.29
68,G6,12.333,167/1000,60,110.29
69,F#6,12.5,167/1000,70,110.29
70,G6,12.667,167/1000,58,110.29
71,F#6,12.833,167/1000,58,110.29
72,E6,13.0,167/1000,69,110.29
73,C#4,13.0,0.5,42,110.29
74,G4,13.0,0.5,42,110.29
75,A3,13.0,0.5,42,110.29
76,F#6,13.167,167/1000,61,110.29
77,E6,13.333,167/1000,59,110.29
78,D6,13.5,167/1000,69,110.29
79,E6,13.667,167/1000,58,110.29
80,D6,13.833,167/1000,58,110.29
81,C#6,14.0,167/1000,68,110.29
82,A2,14.0,0.5,52,110.29
83,D6,14.167,167/1000,56,110.29
84,C#6,14.333,167/1000,56,110.29
85,B5,14.5,167/1000,65,110.29
86,C#6,14.667,167/1000,55,110.29
87,B5,14.833,167/1000,55,110.29
88,A5,15.0,167/1000,64,110.29
89,A3,15.0,0.5,42,110.29
90,C#4,15.0,0.5,42,110.29
91,G4,15.0,0.5,42,110.29
92,B5,15.167,167/1000,55,110.29
93,A5,15.333,167/1000,55,110.29
94,G5,15.5,167/1000,64,110.29
95,A5,15.667,167/1000,54,110.29
96,G5,15.833,167/1000,54,110.29
97,F#5,16.0,167/1000,70,110.29
98,D3,16.0,0.5,49,110.29
99,G5,16.167,167/1000,55,110.29
100,F#5,16.333,167/1000,55,110.29
101,E5,16.5,167/1000,63,110.29
102,F#5,16.667,167/1000,50,110.29
103,E5,16.833,167/1000,50,110.29
104,D5,17.0,167/1000,60,110.29
105,D4,17.0,0.5,37,110.29
106,F#4,17.0,0.5,37,110.29
107,A3,17.0,0.5,37,110.29
108,E5,17.167,167/1000,49,110.29
109,D5,17.333,167/1000,49,110.29
110,C#5,17.5,167/1000,60,110.29
111,D5,17.667,167/1000,47,110.29
112,C#5,17.833,167/1000,47,110.29
113,B4,18.0,167/1000,55,110.29
114,D3,18.0,0.5,45,110.29
115,C#5,18.167,167/1000,46,110.29
116,B4,18.333,167/1000,46,110.29
117,A4,18.5,167/1000,54,110.29
118,B4,18.667,167/1000,43,110.29
119,A4,18.833,167/1000,43,110.29
120,G#4,19.0,167/1000,47,110.29
121,B3,19.0,0.5,29,110.29
122,D4,19.0,0.5,29,110.29
123,F4,19.0,0.5,29,110.29
124,B4,19.167,167/1000,36,110.29
125,C#5,19.333,167/1000,36,110.29
126,D5,19.5,167/1000,46,110.29
127,B4,19.667,167/1000,37,110.29
128,G#4,19.833,167/1000,37,110.29
129,A4,20.0,979/1000,50,110.29
130,D3,20.0,0.5,34,110.29
131,D2,20.0,0.5,34,110.29
132,D5,20.167,167/1000,38,110.29
133,F#5,20.333,167/1000,38,110.29
134,G5,20.5,167/1000,47,110.29
135,F#5,20.667,167/1000,38,110.29
136,D5,20.833,167/1000,38,110.29
137,A4,21.0,1.0,50,110.29
138,D4,21.0,0.5,30,110.29
139,F#4,21.0,0.5,30,110.29
140,D5,21.167,167/1000,37,110.29
141,F#5,21.333,167/1000,37,110.29
142,G5,21.5,167/1000,49,110.29
143,F#5,21.667,167/1000,41,110.29
144,D5,21.833,167/1000,41,110.29
145,B4,22.0,247/250,55,110.29
146,D3,22.0,0.5,40,110.29
147,D5,22.167,167/1000,45,110.29
148,G5,22.333,167/1000,45,110.29
149,A5,22.5,167/1000,52,110.29
150,G5,22.667,167/1000,42,110.29
151,D5,22.833,167/1000,42,110.29
152,B4,23.0,1.0,55,110.29
153,G4,23.0,0.5,33,110.29
154,D4,23.0,0.5,33,110.29
155,D5,23.167,167/1000,45,110.29
156,G5,23.333,167/1000,45,110.29
157,A5,23.5,167/1000,52,110.29
158,G5,23.667,167/1000,42,110.29
159,D5,23.833,167/1000,42,110.29
160,A4,24.0,1.0,50,110.29
161,D3,24.0,0.5,37,110.29
162,D5,24.167,167/1000,41,110.29
163,F#5,24.333,167/1000,41,110.29
164,G5,24.5,167/1000,48,110.29
165,F#5,24.667,167/1000,39,110.29
166,D5,24.833,167/1000,39,110.29
167,D5,25.0,1.0,50,110.29
168,D4,25.0,0.5,30,110.29
169,F#4,25.0,0.5,30,110.29
170,A3,25.0,0.5,30,110.29
171,F#5,25.167,167/1000,41,110.29
172,A5,25.333,167/1000,41,110.29
173,B5,25.5,167/1000,48,110.29
174,A5,25.667,167/1000,39,110.29
175,F#5,25.833,167/1000,39,110.29
176,F#5,26.0,167/1000,48,110.29
177,D3,26.0,0.5,41,110.29
178,G5,26.167,167/1000,42,110.29
179,A5,26.333,167/1000,42,110.29
180,B5,26.5,167/1000,55,110.29
181,C#6,26.667,167/1000,48,110.29
182,D6,26.833,167/1000,48,110.29
183,E6,27.0,167/1000,62,110.29
184,A3,27.0,0.5,36,110.29
185,D4,27.0,0.5,36,110.29
186,F#4,27.0,0.5,36,110.29
187,F#6,27.167,167/1000,50,110.29
188,G6,27.333,167/1000,51,110.29
189,G#6,27.5,167/1000,67,110.29
190,B6,27.667,167/1000,59,110.29
191,A6,27.833,167/1000,53,110.29
192,D6,28.0,167/1000,77,110.29
193,A2,28.0,0.5,64,110.29
194,A3,28.0,0.5,64,110.29
195,D7,28.167,167/1000,73,110.29
196,C#7,28.333,167/1000,63,110.29
197,B6,28.5,167/1000,70,110.29
198,A6,28.667,167/1000,61,110.29
199,G6,28.833,167/1000,59,110.29
200,F#6,29.0,167/1000,71,110.29
201,A3,29.0,0.5,55,110.29
