,note_name,start_time,duration,velocity,tempo
0,E5,0.0,167/1000,54,130.59
1,G4,0.0,0.5,37,130.59
2,B-5,0.167,167/1000,46,130.59
3,C#6,0.333,167/1000,40,130.59
4,E5,0.5,0.25,56,130.59
5,G4,1.0,0.25,38,130.59
6,D5,1.5,167/1000,51,130.59
7,F#4,1.5,0.5,46,130.59
8,A5,1.667,167/1000,43,130.59
9,D6,1.833,167/1000,40,130.59
10,D5,2.0,0.25,53,130.59
11,F#4,2.5,0.25,38,130.59
12,D5,3.0,167/1000,51,130.59
13,F4,3.0,0.5,46,130.59
14,G#5,3.167,167/1000,43,130.59
15,B5,3.333,167/1000,40,130.59
16,D5,3.5,0.25,50,130.59
17,F4,4.0,0.25,37,130.59
18,C5,4.5,167/1000,49,130.59
19,E4,4.5,0.5,45,130.59
20,G5,4.667,167/1000,40,130.59
21,C6,4.833,167/1000,38,130.59
22,C5,5.0,0.25,51,130.59
23,E4,5.5,0.25,40,130.59
24,C5,6.0,167/1000,51,130.59
25,E-4,6.0,0.5,47,130.59
26,G5,6.167,167/1000,40,130.59
27,A5,6.333,167/1000,37,130.59
28,C5,6.5,0.25,49,130.59
29,E-4,7.0,0.375,34,130.59
30,C4,7.375,0.125,43,130.59
31,G4,7.375,0.125,43,130.59
32,A4,7.375,0.125,43,130.59
33,E-5,7.438,0.062,58,130.59
34,G5,7.438,0.062,58,130.59
35,C6,7.438,0.062,58,130.59
36,E-6,7.5,0.5,64,130.59
37,E-5,7.5,229/500,58,130.59
38,G5,7.5,229/500,58,130.59
39,C6,7.5,229/500,58,130.59
40,C4,7.5,229/500,43,130.59
41,G4,7.5,229/500,43,130.59
42,A4,7.5,229/500,43,130.59
43,D4,9.0,167/1000,54,130.59
44,D3,9.0,0.5,33,130.59
45,A3,9.0,0.5,33,130.59
46,C4,9.0,0.5,33,130.59
47,F#4,9.167,167/1000,46,130.59
48,D5,9.333,167/1000,40,130.59
49,D4,9.5,0.25,50,130.59
50,D2,10.0,0.25,31,130.59
51,D3,10.0,0.25,31,130.59
52,G4,10.5,0.5,40,130.59
53,D4,10.5,0.5,40,130.59
54,B-3,10.5,0.5,40,130.59
55,G2,10.5,0.5,31,130.59
56,G3,10.5,0.5,31,130.59
57,D6,12.0,167/1000,54,130.59
58,G3,12.0,1.5,37,130.59
59,B-6,12.167,167/1000,46,130.59
60,D7,12.333,167/1000,40,130.59
61,D6,12.5,0.5,50,130.59
62,B-3,12.5,0.375,28,130.59
63,D4,12.5,0.375,28,130.59
64,D5,13.0,167/1000,54,130.59
65,B-3,13.0,0.375,28,130.59
66,D4,13.0,0.375,28,130.59
67,B-5,13.167,167/1000,46,130.59
68,D6,13.333,167/1000,40,130.59
69,D5,13.5,0.5,59,130.59
70,G3,13.5,1.5,37,130.59
71,A3,14.0,0.375,28,130.59
72,C4,14.0,0.375,28,130.59
73,E-4,14.0,0.375,28,130.59
74,C5,14.5,0.25,50,130.59
75,A3,14.5,0.375,28,130.59
76,C4,14.5,0.375,28,130.59
77,E-4,14.5,0.375,28,130.59
78,B-4,14.75,0.125,49,130.59
