,note_name,start_time,duration,velocity,tempo
0,B-2,3.0,1.0,39,132.69
1,E-3,4.0,1.0,48,132.69
2,E-4,4.333,0.25,35,132.69
3,G4,4.333,0.25,35,132.69
4,E-4,4.667,0.25,35,132.69
5,G4,4.667,0.25,35,132.69
6,G3,5.0,1.0,51,132.69
7,G4,5.333,0.25,40,132.69
8,E-4,5.333,0.25,40,132.69
9,G4,5.667,0.25,40,132.69
10,E-4,5.667,0.25,40,132.69
11,B-3,6.0,1.0,56,132.69
12,E-4,6.333,0.25,45,132.69
13,G4,6.333,0.25,45,132.69
14,E-4,6.667,0.25,46,132.69
15,G4,6.667,0.25,46,132.69
16,B3,7.0,1.0,66,132.69
17,E-4,7.333,0.25,48,132.69
18,G4,7.333,0.25,48,132.69
19,E-4,7.667,0.25,48,132.69
20,G4,7.667,0.25,48,132.69
21,C4,8.0,1.0,73,132.69
22,E-4,8.333,0.25,48,132.69
23,G4,8.333,0.25,48,132.69
24,E-4,8.667,0.25,48,132.69
25,G4,8.667,0.25,48,132.69
26,A3,9.0,1.0,50,132.69
27,E-4,9.333,0.25,42,132.69
28,G4,9.333,0.25,42,132.69
29,E-4,9.667,0.25,42,132.69
30,G4,9.667,0.25,42,132.69
31,B-3,10.0,1.0,55,132.69
32,G4,10.333,0.25,44,132.69
33,E-4,10.333,0.25,44,132.69
34,G4,10.667,0.25,42,132.69
35,E-4,10.667,0.25,42,132.69
36,E-3,11.0,1.0,47,132.69
37,G4,11.333,0.25,38,132.69
38,E-4,11.333,0.25,38,132.69
39,G4,11.667,0.25,38,132.69
40,E-4,11.667,0.25,38,132.69
41,D3,12.0,2.0,46,132.69
42,B-4,12.333,0.25,40,132.69
43,F4,12.333,0.25,40,132.69
44,B-4,12.667,0.25,42,132.69
45,F4,12.667,0.25,42,132.69
46,B-3,13.0,1.0,56,132.69
47,G#4,13.333,0.25,48,132.69
48,F4,13.333,0.25,48,132.69
49,G#4,13.667,0.25,49,132.69
50,F4,13.667,0.25,49,132.69
51,E-3,13.875,2.125,50,132.69
52,B3,14.0,1.0,72,132.69
53,F4,14.333,0.25,54,132.69
54,G#4,14.333,0.25,54,132.69
55,F4,14.667,0.25,54,132.69
56,G#4,14.667,0.25,54,132.69
57,B-3,15.0,173/200,58,132.69
58,E-4,15.333,0.25,46,132.69
59,G4,15.333,0.25,46,132.69
60,E-4,15.667,0.25,46,132.69
61,G4,15.667,0.25,46,132.69
62,B-2,15.875,0.125,54,132.69
63,B-3,16.0,1.0,69,132.69
64,E-4,16.333,0.25,48,132.69
65,G4,16.333,0.25,48,132.69
66,E-4,16.667,0.25,48,132.69
67,G4,16.667,0.25,48,132.69
68,A3,17.0,1.0,55,132.69
69,C5,17.333,0.25,39,132.69
70,F#4,17.333,0.25,39,132.69
71,E-4,17.333,0.25,39,132.69
72,C5,17.667,0.25,39,132.69
73,F#4,17.667,0.25,39,132.69
74,E-4,17.667,0.25,39,132.69
75,G#3,18.0,1.0,51,132.69
76,F4,18.333,0.25,36,132.69
77,D4,18.333,0.25,36,132.69
78,F4,18.667,0.25,36,132.69
79,D4,18.667,0.25,36,132.69
80,F3,19.0,1.0,40,132.69
81,F2,19.0,1.0,40,132.69
82,B-4,19.333,0.25,33,132.69
83,G#4,19.333,0.25,33,132.69
84,D4,19.333,0.25,33,132.69
85,B-4,19.667,0.25,33,132.69
86,G#4,19.667,0.25,33,132.69
87,D4,19.667,0.25,33,132.69
88,E-3,20.0,1.0,49,132.69
89,E-2,20.0,1.0,49,132.69
90,E-5,20.333,0.25,38,132.69
91,G4,20.333,0.25,38,132.69
92,E-4,20.333,0.25,38,132.69
93,E-5,20.667,0.25,38,132.69
94,G4,20.667,0.25,38,132.69
95,E-4,20.667,0.25,38,132.69
96,G3,21.0,1.0,54,132.69
97,G2,21.0,1.0,54,132.69
98,E-4,21.333,0.25,45,132.69
99,G4,21.333,0.25,45,132.69
100,E-5,21.333,0.25,45,132.69
101,E-4,21.667,0.25,45,132.69
102,G4,21.667,0.25,45,132.69
103,E-5,21.667,0.25,45,132.69
104,B-3,22.0,1.0,58,132.69
105,B-2,22.0,1.0,58,132.69
106,E-4,22.333,0.25,51,132.69
107,G4,22.333,0.25,51,132.69
108,E-5,22.333,0.25,51,132.69
109,E-4,22.667,0.25,52,132.69
110,G4,22.667,0.25,52,132.69
111,E-5,22.667,0.25,52,132.69
112,C4,23.0,1.0,65,132.69
113,C3,23.0,1.0,65,132.69
114,E-4,23.333,0.25,55,132.69
115,G#4,23.333,0.25,55,132.69
116,E-5,23.333,0.25,55,132.69
117,E-5,23.667,0.25,56,132.69
118,G#4,23.667,0.25,56,132.69
119,E-4,23.667,0.25,56,132.69
120,C#4,24.0,1.0,73,132.69
121,C#3,24.0,1.0,73,132.69
122,E-4,24.333,0.25,63,132.69
123,B-4,24.333,0.25,63,132.69
124,E-5,24.333,0.25,63,132.69
125,E-4,24.667,0.25,63,132.69
126,B-4,24.667,0.25,63,132.69
127,E-5,24.667,0.25,63,132.69
128,G3,25.0,1.0,70,132.69
129,G2,25.0,1.0,70,132.69
130,E-5,25.333,0.25,58,132.69
131,B4,25.333,0.25,58,132.69
132,E-4,25.333,0.25,58,132.69
133,E-5,25.667,0.25,57,132.69
134,B4,25.667,0.25,57,132.69
135,E-4,25.667,0.25,57,132.69
136,G#3,26.0,1.0,78,132.69
137,G#2,26.0,1.0,78,132.69
138,E-4,26.333,0.25,62,132.69
139,C5,26.333,0.25,62,132.69
140,E-5,26.333,0.25,62,132.69
141,E-4,26.667,0.25,61,132.69
142,C5,26.667,0.25,61,132.69
143,E-5,26.667,0.25,61,132.69
144,A2,27.0,1.0,80,132.69
145,A3,27.0,1.0,80,132.69
146,F4,27.333,0.25,70,132.69
147,C5,27.333,0.25,70,132.69
148,E-5,27.333,0.25,70,132.69
149,F5,27.333,0.25,70,132.69
150,F4,27.667,0.25,70,132.69
151,C5,27.667,0.25,70,132.69
152,E-5,27.667,0.25,70,132.69
153,F5,27.667,0.25,70,132.69
154,B-3,28.0,1.0,86,132.69
155,B-2,28.0,1.0,86,132.69
156,G5,28.333,0.25,72,132.69
157,E-5,28.333,0.25,72,132.69
158,B-4,28.333,0.25,72,132.69
159,G4,28.333,0.25,72,132.69
160,G5,28.667,0.25,72,132.69
161,E-5,28.667,0.25,72,132.69
162,B-4,28.667,0.25,72,132.69
163,G4,28.667,0.25,72,132.69
164,B-1,29.0,1.0,58,132.69
165,B-2,29.0,1.0,58,132.69
166,E-5,29.333,0.25,45,132.69
167,B-4,29.333,0.25,45,132.69
168,G4,29.333,0.25,45,132.69
169,E-5,29.667,0.25,44,132.69
170,B-4,29.667,0.25,44,132.69
171,G4,29.667,0.25,44,132.69
172,G2,30.0,1.0,62,132.69
173,G3,30.0,1.0,62,132.69
174,B-4,30.333,0.25,44,132.69
175,E-4,30.333,0.25,44,132.69
176,B-4,30.667,0.25,43,132.69
177,E-4,30.667,0.25,43,132.69
178,F2,31.0,1.0,41,132.69
179,F3,31.0,1.0,41,132.69
180,D4,31.333,0.25,34,132.69
181,G#4,31.333,0.25,34,132.69
182,B-4,31.333,0.25,34,132.69
183,B-4,31.667,0.25,33,132.69
184,G#4,31.667,0.25,33,132.69
185,D4,31.667,0.25,33,132.69
186,F2,32.0,2.0,45,132.69
187,F3,32.0,2.0,45,132.69
188,B-4,32.333,0.25,31,132.69
189,G#4,32.333,0.25,31,132.69
190,D4,32.333,0.25,31,132.69
191,B-4,32.667,0.25,31,132.69
192,G#4,32.667,0.25,31,132.69
193,D4,32.667,0.25,31,132.69
194,D4,33.0,0.25,34,132.69
195,G#4,33.0,0.25,34,132.69
196,B4,33.0,0.25,34,132.69
197,B-4,33.333,0.25,31,132.69
198,G#4,33.333,0.25,31,132.69
199,D4,33.333,0.25,31,132.69
200,B-4,33.667,0.25,31,132.69
201,G#4,33.667,0.25,31,132.69
202,D4,33.667,0.25,31,132.69
203,E-5,34.0,1.0,35,132.69
204,G4,34.0,1.0,35,132.69
205,E-4,34.0,1.0,35,132.69
206,E-2,34.0,1.0,34,132.69
207,E-3,34.0,1.0,34,132.69
208,B-2,35.0,1.0,39,132.69
209,E-3,36.0,1.0,48,132.69
210,E-4,36.333,0.25,35,132.69
211,G4,36.333,0.25,35,132.69
212,E-4,36.667,0.25,35,132.69
213,G4,36.667,0.25,35,132.69
214,G3,37.0,1.0,51,132.69
215,G4,37.333,0.25,40,132.69
216,E-4,37.333,0.25,40,132.69
217,G4,37.667,0.25,40,132.69
218,E-4,37.667,0.25,40,132.69
219,B-3,38.0,1.0,56,132.69
220,E-4,38.333,0.25,45,132.69
221,G4,38.333,0.25,45,132.69
222,E-4,38.667,0.25,46,132.69
223,G4,38.667,0.25,46,132.69
224,B3,39.0,1.0,66,132.69
225,E-4,39.333,0.25,48,132.69
226,G4,39.333,0.25,48,132.69
227,E-4,39.667,0.25,48,132.69
228,G4,39.667,0.25,48,132.69
229,C4,40.0,1.0,73,132.69
230,E-4,40.333,0.25,48,132.69
231,G4,40.333,0.25,48,132.69
232,E-4,40.667,0.25,48,132.69
233,G4,40.667,0.25,48,132.69
234,A3,41.0,1.0,50,132.69
235,E-4,41.333,0.25,42,132.69
236,G4,41.333,0.25,42,132.69
237,E-4,41.667,0.25,42,132.69
238,G4,41.667,0.25,42,132.69
239,B-3,42.0,1.0,55,132.69
240,G4,42.333,0.25,44,132.69
241,E-4,42.333,0.25,44,132.69
242,G4,42.667,0.25,42,132.69
243,E-4,42.667,0.25,42,132.69
244,E-3,43.0,1.0,47,132.69
245,G4,43.333,0.25,38,132.69
246,E-4,43.333,0.25,38,132.69
247,G4,43.667,0.25,38,132.69
248,E-4,43.667,0.25,38,132.69
249,D3,44.0,2.0,46,132.69
250,B-4,44.333,0.25,40,132.69
251,F4,44.333,0.25,40,132.69
252,B-4,44.667,0.25,42,132.69
253,F4,44.667,0.25,42,132.69
254,B-3,45.0,1.0,56,132.69
255,G#4,45.333,0.25,48,132.69
256,F4,45.333,0.25,48,132.69
257,G#4,45.667,0.25,49,132.69
258,F4,45.667,0.25,49,132.69
259,E-3,45.875,2.125,54,132.69
