,note_name,start_time,duration,velocity,tempo
0,B-3,0.002,1.0,41,133.5
1,B-2,0.002,1.0,41,133.5
2,A3,1.0,167/1000,29,133.5
3,A2,1.0,167/1000,27,133.5
4,B-3,1.167,167/1000,31,133.5
5,B-2,1.167,167/1000,28,133.5
6,C#4,1.333,167/1000,33,133.5
7,C#3,1.333,167/1000,29,133.5
8,F4,1.5,0.25,37,133.5
9,F3,1.5,0.25,33,133.5
10,A3,2.5,167/1000,29,133.5
11,A2,2.5,167/1000,26,133.5
12,B-3,2.667,167/1000,31,133.5
13,B-2,2.667,167/1000,27,133.5
14,C#4,2.833,167/1000,32,133.5
15,C#3,2.833,167/1000,29,133.5
16,F4,3.0,0.25,37,133.5
17,F3,3.0,0.25,32,133.5
18,B-3,6.0,0.25,100,133.5
19,B-1,6.0,0.25,95,133.5
20,B-2,6.0,0.25,95,133.5
21,F#6,7.5,1.5,87,133.5
22,B-5,7.5,1.5,87,133.5
23,B-6,7.5,1.5,87,133.5
24,B-3,7.5,1.5,80,133.5
25,C4,7.5,1.5,80,133.5
26,E-4,7.5,1.5,80,133.5
27,F#4,7.5,1.5,80,133.5
28,B-4,7.5,1.5,80,133.5
29,F#6,10.5,1.5,87,133.5
30,B-5,10.5,1.5,87,133.5
31,B-6,10.5,1.5,87,133.5
32,B-3,10.5,1.5,80,133.5
33,C4,10.5,1.5,80,133.5
34,E-4,10.5,1.5,80,133.5
35,F#4,10.5,1.5,80,133.5
36,B-4,10.5,1.5,80,133.5
37,E-5,12.0,0.75,58,133.5
38,C6,12.0,0.75,58,133.5
39,E-6,12.0,0.75,58,133.5
40,B-3,12.0,0.75,52,133.5
41,C4,12.0,0.75,52,133.5
42,E-4,12.0,0.75,52,133.5
43,F#4,12.0,0.75,52,133.5
44,B-4,12.0,0.75,52,133.5
45,C6,12.75,0.25,64,133.5
46,F5,12.75,0.25,64,133.5
47,F6,12.75,0.25,64,133.5
48,B-3,12.75,0.25,57,133.5
49,C4,12.75,0.25,57,133.5
50,E-4,12.75,0.25,57,133.5
51,F#4,12.75,0.25,57,133.5
52,B-4,12.75,0.25,57,133.5
53,F#6,13.0,0.5,67,133.5
54,F#5,13.0,0.5,67,133.5
55,C6,13.0,0.5,67,133.5
56,B-3,13.0,0.5,62,133.5
57,C4,13.0,0.5,62,133.5
58,E-4,13.0,0.5,62,133.5
59,F#4,13.0,0.5,62,133.5
60,B-4,13.0,0.5,62,133.5
61,C#6,13.5,0.5,64,133.5
