,note_name,start_time,duration,velocity,tempo
0,F#5,0.008,374/125,55,110.5
1,F5,3.0,0.5,48,110.5
2,F#5,3.0,1/125,55,110.5
3,F#5,3.5,0.5,53,110.5
4,G#5,4.0,0.5,57,110.5
5,F#5,4.5,0.5,55,110.5
6,E5,5.0,0.5,52,110.5
7,E-5,5.5,0.5,49,110.5
8,B-3,6.0,0.5,33,110.5
9,E4,6.0,0.5,43,110.5
10,C#5,6.0,0.5,43,110.5
11,F#4,6.5,0.25,40,110.5
12,F#3,6.5,0.5,31,110.5
13,B-4,6.75,0.25,36,110.5
14,G#4,7.0,0.5,46,110.5
15,C#3,7.0,0.5,34,110.5
16,F#4,7.5,9/20,42,110.5
17,F#2,7.5,0.5,31,110.5
18,F#4,8.0,0.5,41,110.5
19,C#3,8.0,0.5,33,110.5
20,E-5,8.5,0.5,41,110.5
21,F#3,8.5,0.5,33,110.5
22,B-3,9.0,0.5,36,110.5
23,E4,9.0,0.5,43,110.5
24,C#5,9.0,0.5,43,110.5
25,F#4,9.5,0.25,44,110.5
26,F#3,9.5,0.5,33,110.5
27,B-4,9.75,0.25,33,110.5
28,G#4,10.0,0.5,45,110.5
29,C#3,10.0,0.5,33,110.5
30,F#4,10.5,9/20,43,110.5
31,F#2,10.5,0.5,33,110.5
32,F#4,11.0,0.5,43,110.5
33,C#3,11.0,0.5,33,110.5
34,E-5,11.5,0.5,43,110.5
35,F#3,11.5,0.5,33,110.5
36,B2,12.0,0.5,39,110.5
37,E4,12.0,0.5,44,110.5
38,C#5,12.0,0.5,44,110.5
39,F#4,12.5,0.5,52,110.5
40,F#3,12.5,0.5,35,110.5
41,B2,13.0,0.5,43,110.5
42,E-4,13.0,0.5,59,110.5
43,B4,13.0,0.5,59,110.5
44,F#4,13.5,0.5,56,110.5
45,F#3,13.5,0.5,38,110.5
46,E-3,14.0,0.5,44,110.5
47,B4,14.0,0.5,56,110.5
48,E-5,14.0,0.5,56,110.5
49,F#4,14.5,0.5,56,110.5
50,B3,14.5,0.5,40,110.5
51,E-4,15.0,0.5,32,110.5
52,B4,15.0,0.5,49,110.5
53,F5,15.0,0.5,49,110.5
54,F#3,15.5,0.5,33,110.5
55,F#4,15.5,0.5,52,110.5
56,F#5,15.5,0.5,52,110.5
57,B3,16.0,0.5,39,110.5
58,G#5,16.0,0.5,57,110.5
59,B4,16.0,0.5,57,110.5
60,E-3,16.5,0.5,33,110.5
61,F#4,16.5,0.5,52,110.5
62,F#5,16.5,0.5,52,110.5
63,F#3,17.0,0.5,36,110.5
64,B4,17.0,0.5,50,110.5
65,E5,17.0,0.5,50,110.5
66,B2,17.5,0.5,33,110.5
67,F#4,17.5,0.5,49,110.5
68,E-5,17.5,0.5,49,110.5
69,B-3,18.0,0.5,40,110.5
70,E4,18.0,0.5,52,110.5
71,C#5,18.0,0.5,52,110.5
72,F#4,18.5,0.25,56,110.5
73,F#3,18.5,0.5,37,110.5
74,B-4,18.75,0.25,43,110.5
75,G#4,19.0,0.5,55,110.5
76,C#3,19.0,0.5,40,110.5
77,F#4,19.5,9/20,52,110.5
78,F#2,19.5,0.5,36,110.5
79,F#4,20.0,0.5,52,110.5
80,C#3,20.0,0.5,36,110.5
81,E-5,20.5,0.5,52,110.5
82,F#3,20.5,0.5,36,110.5
83,B-3,21.0,0.5,40,110.5
84,E4,21.0,0.5,54,110.5
85,C#5,21.0,0.5,54,110.5
86,F#4,21.5,0.25,55,110.5
87,F#3,21.5,0.5,34,110.5
88,B-4,21.75,0.25,41,110.5
89,G#4,22.0,0.5,52,110.5
90,C#3,22.0,0.5,38,110.5
91,F#4,22.5,9/20,51,110.5
92,F#2,22.5,0.5,35,110.5
93,F#4,23.0,0.5,51,110.5
94,C#3,23.0,0.5,38,110.5
95,E-5,23.5,0.5,51,110.5
96,F#3,23.5,0.5,32,110.5
97,B2,24.0,0.5,41,110.5
98,E4,24.0,0.5,56,110.5
99,C#5,24.0,0.5,56,110.5
100,F#4,24.5,0.5,56,110.5
101,F#3,24.5,0.5,37,110.5
102,B2,25.0,0.5,45,110.5
103,E-4,25.0,0.5,59,110.5
104,B4,25.0,0.5,59,110.5
105,F#4,25.5,0.5,59,110.5
106,F#3,25.5,0.5,36,110.5
107,E-3,26.0,0.5,48,110.5
108,B4,26.0,0.5,62,110.5
109,E-5,26.0,0.5,62,110.5
110,F#4,26.5,0.5,62,110.5
111,B3,26.5,0.5,39,110.5
112,E-4,27.0,0.5,48,110.5
113,B4,27.0,0.5,64,110.5
114,F#5,27.0,0.5,64,110.5
115,F#4,27.5,0.5,66,110.5
116,F#3,27.5,0.5,39,110.5
117,C#4,28.0,0.5,52,110.5
118,G5,28.0,0.5,68,110.5
119,B4,28.0,0.5,68,110.5
120,G4,28.5,0.5,69,110.5
121,E3,28.5,0.5,48,110.5
122,B3,29.0,0.5,53,110.5
123,G#5,29.0,0.5,70,110.5
124,B4,29.0,0.5,70,110.5
125,G#4,29.5,0.5,70,110.5
126,E-3,29.5,0.5,49,110.5
127,G#2,30.0,0.5,54,110.5
128,E-5,30.0,0.5,70,110.5
129,B5,30.0,0.5,70,110.5
130,E-5,30.5,0.25,66,110.5
131,E-3,30.5,0.5,47,110.5
132,F#5,30.75,0.25,46,110.5
133,E5,31.0,0.5,70,110.5
134,E-4,31.0,0.5,54,110.5
135,E-5,31.5,0.5,66,110.5
136,G#3,31.5,0.5,47,110.5
137,B4,32.0,0.5,69,110.5
138,E-4,32.0,0.5,52,110.5
139,B3,32.5,0.5,35,110.5
140,B5,32.5,0.5,52,110.5
141,G#5,32.5,0.5,52,110.5
142,E-3,33.0,0.5,39,110.5
143,F#5,33.0,0.5,59,110.5
144,B-5,33.0,0.5,59,110.5
145,E-5,33.5,0.5,65,110.5
