,note_name,start_time,duration,velocity,tempo
0,C3,0.002,1249/500,90,69.03
1,C2,0.002,1249/500,74,69.03
2,E-3,2.5,0.5,79,69.03
3,E-2,2.5,0.5,66,69.03
4,G#3,3.0,0.5,83,69.03
5,G#2,3.0,0.5,70,69.03
6,B-3,3.5,0.5,76,69.03
7,B-2,3.5,0.5,64,69.03
8,C4,4.0,0.5,83,69.03
9,C3,4.0,0.5,70,69.03
10,G#3,4.5,0.5,75,69.03
11,G#2,4.5,0.5,63,69.03
12,E-4,5.0,0.5,76,69.03
13,E-3,5.0,0.5,63,69.03
14,B-4,5.5,0.5,72,69.03
15,B-3,5.5,0.5,55,69.03
16,C5,6.0,0.5,73,69.03
17,C4,6.0,0.5,58,69.03
18,G#4,6.5,0.5,68,69.03
19,G#3,6.5,0.5,54,69.03
20,E-5,7.0,0.5,76,69.03
21,E-4,7.0,0.5,62,69.03
22,B-5,7.5,0.5,68,69.03
23,B-4,7.5,0.5,54,69.03
24,C6,8.0,0.5,69,69.03
25,C5,8.0,0.5,57,69.03
26,G5,8.5,0.5,58,69.03
27,G4,8.5,0.5,48,69.03
28,B-5,9.0,0.5,59,69.03
29,B-4,9.0,0.5,53,69.03
30,G#5,9.5,0.5,53,69.03
31,G#4,9.5,0.5,35,69.03
32,G5,10.0,1.0,49,69.03
33,G4,10.0,1.0,32,69.03
34,F#5,11.0,0.5,44,69.03
35,F#4,11.0,0.5,27,69.03
36,F#5,12.5,0.5,40,69.03
37,F#4,12.5,0.5,34,69.03
38,G5,13.0,0.5,44,69.03
39,G4,13.0,0.5,37,69.03
40,F#5,13.5,0.5,41,69.03
41,F#4,13.5,0.5,34,69.03
42,F5,14.0,0.5,44,69.03
43,F4,14.0,0.5,37,69.03
44,F#5,14.5,0.5,41,69.03
45,F#4,14.5,0.5,34,69.03
46,A5,15.0,333/1000,45,69.03
47,A4,15.0,333/1000,38,69.03
48,G5,15.333,333/1000,41,69.03
49,G4,15.333,333/1000,34,69.03
50,E-5,15.667,333/1000,44,69.03
51,E-4,15.667,333/1000,37,69.03
52,E-5,16.0,0.75,43,69.03
53,E-4,16.0,0.75,36,69.03
