,note_name,start_time,duration,velocity,tempo
0,E-5,3.0,1.0,49,84.0
1,E-5,4.0,1.0,40,84.0
2,G#1,4.0,167/1000,35,84.0
3,G#4,4.167,167/1000,22,84.0
4,E-3,4.167,167/1000,17,84.0
5,C5,4.333,167/1000,22,84.0
6,G#3,4.333,167/1000,18,84.0
7,E-4,4.5,167/1000,22,84.0
8,C4,4.5,167/1000,18,84.0
9,G#4,4.667,167/1000,22,84.0
10,G#3,4.667,167/1000,18,84.0
11,C5,4.833,167/1000,23,84.0
12,E-3,4.833,167/1000,18,84.0
13,E-5,5.0,1.0,44,84.0
14,G#2,5.0,167/1000,30,84.0
15,G#4,5.167,167/1000,23,84.0
16,E-3,5.167,167/1000,19,84.0
17,C5,5.333,167/1000,24,84.0
18,G#3,5.333,167/1000,19,84.0
19,E-4,5.5,167/1000,24,84.0
20,C4,5.5,167/1000,19,84.0
21,G#4,5.667,167/1000,24,84.0
22,G#3,5.667,167/1000,20,84.0
23,C5,5.833,167/1000,24,84.0
24,E-3,5.833,167/1000,20,84.0
25,E-5,6.0,1.0,49,84.0
26,G#2,6.0,167/1000,20,84.0
27,G#4,6.167,167/1000,26,84.0
28,E-3,6.167,167/1000,20,84.0
29,C5,6.333,167/1000,26,84.0
30,G#3,6.333,167/1000,20,84.0
31,E-4,6.5,167/1000,26,84.0
32,C4,6.5,167/1000,20,84.0
33,G#4,6.667,167/1000,27,84.0
34,G#3,6.667,167/1000,22,84.0
35,C5,6.833,167/1000,27,84.0
36,E-3,6.833,167/1000,22,84.0
37,E-5,7.0,1.0,52,84.0
38,G#2,7.0,167/1000,23,84.0
39,G#4,7.167,167/1000,27,84.0
40,E-3,7.167,167/1000,23,84.0
41,C5,7.333,167/1000,28,84.0
42,G#3,7.333,167/1000,23,84.0
43,E-4,7.5,167/1000,28,84.0
44,C4,7.5,167/1000,24,84.0
45,G#4,7.667,167/1000,28,84.0
46,G#3,7.667,167/1000,24,84.0
47,C5,7.833,167/1000,28,84.0
48,E-3,7.833,167/1000,24,84.0
49,F5,8.0,1.0,55,84.0
50,G#2,8.0,167/1000,26,84.0
51,G#4,8.167,167/1000,30,84.0
52,E-3,8.167,167/1000,26,84.0
53,C5,8.333,167/1000,29,84.0
54,G#3,8.333,167/1000,25,84.0
55,E-4,8.5,167/1000,29,84.0
56,C4,8.5,167/1000,25,84.0
57,G#4,8.667,167/1000,29,84.0
58,G#3,8.667,167/1000,25,84.0
59,C5,8.833,167/1000,29,84.0
60,E-3,8.833,167/1000,24,84.0
61,E-5,9.0,1.0,52,84.0
62,G#2,9.0,167/1000,24,84.0
63,G#4,9.167,167/1000,29,84.0
64,E-3,9.167,167/1000,24,84.0
65,C5,9.333,167/1000,29,84.0
66,G#3,9.333,167/1000,24,84.0
67,E-4,9.5,167/1000,29,84.0
68,C4,9.5,167/1000,24,84.0
69,G#4,9.667,167/1000,28,84.0
70,G#3,9.667,167/1000,23,84.0
71,C5,9.833,167/1000,28,84.0
72,E-3,9.833,167/1000,23,84.0
73,E-5,10.0,1.0,50,84.0
74,G#2,10.0,167/1000,23,84.0
75,G#4,10.167,167/1000,27,84.0
76,E-3,10.167,167/1000,23,84.0
77,C5,10.333,167/1000,27,84.0
78,G#3,10.333,167/1000,23,84.0
79,E-4,10.5,167/1000,27,84.0
80,C4,10.5,167/1000,23,84.0
81,G#4,10.667,167/1000,27,84.0
82,G#3,10.667,167/1000,23,84.0
83,C5,10.833,167/1000,27,84.0
84,E-3,10.833,167/1000,23,84.0
85,E-5,11.0,1.0,51,84.0
86,G#2,11.0,167/1000,23,84.0
87,G#4,11.167,167/1000,26,84.0
88,E-3,11.167,167/1000,23,84.0
89,C5,11.333,167/1000,26,84.0
90,G#3,11.333,167/1000,22,84.0
91,E-4,11.5,167/1000,26,84.0
92,C4,11.5,167/1000,22,84.0
93,G#4,11.667,167/1000,26,84.0
94,G#3,11.667,167/1000,22,84.0
95,C5,11.833,167/1000,26,84.0
96,E-3,11.833,167/1000,22,84.0
97,E-5,12.0,1.0,55,84.0
98,G#2,12.0,167/1000,24,84.0
99,B-4,12.167,167/1000,27,84.0
100,E-3,12.167,167/1000,24,84.0
101,C#5,12.333,167/1000,27,84.0
102,G3,12.333,167/1000,24,84.0
103,E-4,12.5,167/1000,28,84.0
104,C#4,12.5,167/1000,25,84.0
105,B-4,12.667,167/1000,29,84.0
106,G3,12.667,167/1000,25,84.0
107,C#5,12.833,167/1000,29,84.0
108,E-3,12.833,167/1000,26,84.0
109,E-5,13.0,1.0,60,84.0
110,G#2,13.0,167/1000,26,84.0
111,B-4,13.167,167/1000,30,84.0
112,E-3,13.167,167/1000,27,84.0
113,C#5,13.333,167/1000,30,84.0
114,G3,13.333,167/1000,27,84.0
115,E-4,13.5,167/1000,31,84.0
116,C#4,13.5,167/1000,27,84.0
117,B-4,13.667,167/1000,33,84.0
118,G3,13.667,167/1000,28,84.0
119,C#5,13.833,167/1000,33,84.0
120,E-3,13.833,167/1000,28,84.0
121,F5,14.0,1.0,62,84.0
122,G#2,14.0,167/1000,29,84.0
123,B-4,14.167,167/1000,34,84.0
124,E-3,14.167,167/1000,29,84.0
125,C#5,14.333,167/1000,35,84.0
126,G3,14.333,167/1000,29,84.0
127,E-4,14.5,167/1000,36,84.0
128,C#4,14.5,167/1000,29,84.0
129,B-4,14.667,167/1000,36,84.0
130,G3,14.667,167/1000,30,84.0
131,C#5,14.833,167/1000,37,84.0
132,E-3,14.833,167/1000,30,84.0
133,E-5,15.0,1.0,61,84.0
134,G#2,15.0,167/1000,30,84.0
135,B-4,15.167,167/1000,37,84.0
136,E-3,15.167,167/1000,30,84.0
137,C#5,15.333,167/1000,37,84.0
138,G3,15.333,167/1000,29,84.0
139,E-4,15.5,167/1000,37,84.0
140,C#4,15.5,167/1000,29,84.0
141,B-4,15.667,167/1000,36,84.0
142,G3,15.667,167/1000,29,84.0
143,C#5,15.833,167/1000,34,84.0
144,E-3,15.833,167/1000,28,84.0
145,B-5,16.0,1.0,66,84.0
146,G#2,16.0,167/1000,29,84.0
147,C5,16.167,167/1000,41,84.0
148,E-3,16.167,167/1000,29,84.0
149,E-5,16.333,167/1000,40,84.0
150,G#3,16.333,167/1000,28,84.0
151,E-4,16.5,167/1000,40,84.0
152,C4,16.5,167/1000,28,84.0
153,C5,16.667,167/1000,39,84.0
154,G#3,16.667,167/1000,28,84.0
155,E-5,16.833,167/1000,39,84.0
156,E-3,16.833,167/1000,27,84.0
157,G#5,17.0,1.0,64,84.0
158,G#2,17.0,167/1000,31,84.0
159,C5,17.167,167/1000,38,84.0
160,E-3,17.167,167/1000,31,84.0
161,E-5,17.333,167/1000,38,84.0
162,G#3,17.333,167/1000,30,84.0
163,E-4,17.5,167/1000,37,84.0
164,C4,17.5,167/1000,30,84.0
165,C5,17.667,167/1000,37,84.0
166,G#3,17.667,167/1000,29,84.0
167,E-5,17.833,167/1000,36,84.0
168,E-3,17.833,167/1000,29,84.0
169,G#5,18.0,1.0,70,84.0
170,G#2,18.0,167/1000,28,84.0
171,C5,18.167,167/1000,36,84.0
172,E3,18.167,167/1000,28,84.0
173,E5,18.333,167/1000,36,84.0
174,G#3,18.333,167/1000,29,84.0
175,E4,18.5,167/1000,37,84.0
176,C4,18.5,167/1000,29,84.0
177,C5,18.667,167/1000,38,84.0
178,G#3,18.667,167/1000,29,84.0
179,E5,18.833,167/1000,38,84.0
180,E3,18.833,167/1000,30,84.0
181,G#5,19.0,1.0,69,84.0
182,G#2,19.0,167/1000,31,84.0
183,C5,19.167,167/1000,39,84.0
184,E3,19.167,167/1000,31,84.0
185,E5,19.333,167/1000,39,84.0
186,G#3,19.333,167/1000,33,84.0
187,E4,19.5,167/1000,40,84.0
188,C4,19.5,167/1000,34,84.0
189,C5,19.667,167/1000,41,84.0
190,G#3,19.667,167/1000,34,84.0
191,E5,19.833,167/1000,42,84.0
192,E3,19.833,167/1000,35,84.0
193,G#5,20.0,1.0,73,84.0
194,C#2,20.0,167/1000,44,84.0
195,C#5,20.167,167/1000,37,84.0
196,G#3,20.167,167/1000,31,84.0
197,F5,20.333,167/1000,37,84.0
198,C#4,20.333,167/1000,31,84.0
199,G#4,20.5,167/1000,37,84.0
200,F4,20.5,167/1000,31,84.0
201,C#5,20.667,167/1000,37,84.0
202,C#4,20.667,167/1000,33,84.0
203,F5,20.833,167/1000,38,84.0
204,G#3,20.833,167/1000,33,84.0
205,G#5,21.0,1.0,70,84.0
206,C#3,21.0,167/1000,46,84.0
207,C#5,21.167,167/1000,38,84.0
208,G#3,21.167,167/1000,34,84.0
209,F5,21.333,167/1000,38,84.0
210,C#4,21.333,167/1000,34,84.0
211,G#4,21.5,167/1000,39,84.0
212,F4,21.5,167/1000,34,84.0
213,C#5,21.667,167/1000,39,84.0
214,C#4,21.667,167/1000,34,84.0
215,F5,21.833,167/1000,39,84.0
216,G#3,21.833,167/1000,35,84.0
217,G#5,22.0,1.0,77,84.0
218,C#3,22.0,167/1000,35,84.0
219,C#5,22.167,167/1000,39,84.0
220,G#3,22.167,167/1000,35,84.0
221,F5,22.333,167/1000,39,84.0
222,C#4,22.333,167/1000,36,84.0
223,G#4,22.5,167/1000,39,84.0
224,F4,22.5,167/1000,36,84.0
225,C#5,22.667,167/1000,39,84.0
226,C#4,22.667,167/1000,36,84.0
227,F5,22.833,167/1000,40,84.0
228,G#3,22.833,167/1000,36,84.0
229,B-5,23.0,1.0,77,84.0
230,C#3,23.0,167/1000,50,84.0
231,C#5,23.167,167/1000,40,84.0
232,G3,23.167,167/1000,37,84.0
233,F5,23.333,167/1000,40,84.0
234,C#4,23.333,167/1000,37,84.0
235,G4,23.5,167/1000,42,84.0
236,F4,23.5,167/1000,38,84.0
237,C#5,23.667,167/1000,42,84.0
238,C#4,23.667,167/1000,38,84.0
239,F5,23.833,167/1000,42,84.0
240,G3,23.833,167/1000,38,84.0
241,C6,24.0,1.0,80,84.0
242,C3,24.0,167/1000,50,84.0
243,C5,24.167,167/1000,40,84.0
244,G3,24.167,167/1000,39,84.0
245,F5,24.333,167/1000,40,84.0
246,C4,24.333,167/1000,39,84.0
247,G4,24.5,167/1000,39,84.0
248,F4,24.5,167/1000,38,84.0
249,C5,24.667,167/1000,39,84.0
250,C4,24.667,167/1000,38,84.0
251,F5,24.833,167/1000,39,84.0
252,G3,24.833,167/1000,37,84.0
253,B-5,25.0,1.0,77,84.0
254,C3,25.0,167/1000,37,84.0
255,C5,25.167,167/1000,38,84.0
256,G3,25.167,167/1000,36,84.0
257,E5,25.333,167/1000,38,84.0
258,C4,25.333,167/1000,36,84.0
259,G4,25.5,167/1000,38,84.0
260,E4,25.5,167/1000,36,84.0
261,C5,25.667,167/1000,37,84.0
262,C4,25.667,167/1000,35,84.0
263,E5,25.833,167/1000,37,84.0
264,G3,25.833,167/1000,35,84.0
265,G#5,26.0,1.0,77,84.0
266,F3,26.0,167/1000,34,84.0
267,C5,26.167,167/1000,36,84.0
268,G#3,26.167,167/1000,34,84.0
269,F5,26.333,167/1000,35,84.0
270,C4,26.333,167/1000,33,84.0
271,G#4,26.5,167/1000,35,84.0
272,F4,26.5,167/1000,33,84.0
273,C5,26.667,167/1000,35,84.0
274,C4,26.667,167/1000,31,84.0
275,F5,26.833,81/500,34,84.0
276,G#3,26.833,167/1000,31,84.0
277,F5,27.0,1.0,70,84.0
278,B2,27.0,167/1000,41,84.0
279,B4,27.167,167/1000,33,84.0
280,F3,27.167,167/1000,29,84.0
281,E-5,27.333,167/1000,33,84.0
282,G#3,27.333,167/1000,29,84.0
283,F4,27.5,167/1000,31,84.0
284,E-4,27.5,167/1000,29,84.0
285,B4,27.667,167/1000,31,84.0
286,G#3,27.667,167/1000,28,84.0
287,E-5,27.833,167/1000,31,84.0
288,F3,27.833,167/1000,28,84.0
