,note_name,start_time,duration,velocity,tempo
0,F3,0.0,417/1000,35,201.53
1,F2,0.0,417/1000,30,201.53
2,G3,0.333,417/1000,29,201.53
3,G2,0.333,417/1000,24,201.53
4,B-3,0.667,417/1000,30,201.53
5,B-2,0.667,417/1000,25,201.53
6,C#4,1.0,417/1000,30,201.53
7,C#3,1.0,417/1000,25,201.53
8,E3,1.333,417/1000,33,201.53
9,E2,1.333,417/1000,28,201.53
10,G3,1.667,333/1000,31,201.53
11,G2,1.667,333/1000,26,201.53
12,F3,2.0,417/1000,37,201.53
13,F2,2.0,417/1000,30,201.53
14,G3,2.333,417/1000,30,201.53
15,G2,2.333,417/1000,26,201.53
16,B-3,2.667,417/1000,31,201.53
17,B-2,2.667,417/1000,26,201.53
18,C#4,3.0,417/1000,32,201.53
19,C#3,3.0,417/1000,27,201.53
20,E3,3.333,417/1000,34,201.53
21,E2,3.333,417/1000,28,201.53
22,G3,3.667,3/10,33,201.53
23,G2,3.667,3/10,27,201.53
24,G3,4.0,417/1000,40,201.53
25,G2,4.0,417/1000,34,201.53
26,A3,4.333,417/1000,33,201.53
27,A2,4.333,417/1000,28,201.53
28,C4,4.667,417/1000,35,201.53
29,C3,4.667,417/1000,29,201.53
30,E-4,5.0,417/1000,36,201.53
31,E-3,5.0,417/1000,28,201.53
32,F#3,5.333,417/1000,34,201.53
33,F#2,5.333,417/1000,28,201.53
34,A3,5.667,333/1000,36,201.53
35,A2,5.667,333/1000,30,201.53
36,G3,6.0,417/1000,40,201.53
37,G2,6.0,417/1000,34,201.53
38,A3,6.333,417/1000,34,201.53
39,A2,6.333,417/1000,28,201.53
40,C4,6.667,417/1000,34,201.53
41,C3,6.667,417/1000,28,201.53
42,E-4,7.0,417/1000,35,201.53
43,E-3,7.0,417/1000,30,201.53
44,F#3,7.333,417/1000,34,201.53
45,F#2,7.333,417/1000,28,201.53
46,A3,7.667,333/1000,36,201.53
47,A2,7.667,333/1000,30,201.53
48,B-3,8.0,417/1000,45,201.53
49,B-2,8.0,417/1000,38,201.53
50,C4,8.333,417/1000,35,201.53
51,C3,8.333,417/1000,29,201.53
52,E-4,8.667,417/1000,38,201.53
53,E-3,8.667,417/1000,32,201.53
54,F#4,9.0,417/1000,43,201.53
55,F#3,9.0,417/1000,36,201.53
56,A3,9.333,417/1000,39,201.53
57,A2,9.333,417/1000,33,201.53
58,C4,9.667,333/1000,38,201.53
59,C3,9.667,333/1000,31,201.53
60,C#4,10.0,417/1000,41,201.53
61,C#3,10.0,417/1000,34,201.53
62,E-4,10.333,417/1000,39,201.53
63,E-3,10.333,417/1000,32,201.53
64,F#4,10.667,417/1000,39,201.53
65,F#3,10.667,417/1000,33,201.53
66,A4,11.0,417/1000,43,201.53
67,A3,11.0,417/1000,35,201.53
68,C4,11.333,417/1000,39,201.53
69,C3,11.333,417/1000,33,201.53
70,E-4,11.667,333/1000,39,201.53
71,E-3,11.667,333/1000,34,201.53
72,C#4,12.0,417/1000,49,201.53
73,C#3,12.0,417/1000,41,201.53
74,E-4,12.333,417/1000,42,201.53
75,E-3,12.333,417/1000,35,201.53
76,F#4,12.667,333/1000,39,201.53
77,F#3,12.667,333/1000,32,201.53
78,A4,13.0,417/1000,40,201.53
79,A3,13.0,417/1000,37,201.53
80,C4,13.333,417/1000,42,201.53
81,C3,13.333,417/1000,36,201.53
82,E-4,13.667,333/1000,43,201.53
83,E-3,13.667,333/1000,36,201.53
84,F#4,14.0,417/1000,50,201.53
85,F#3,14.0,417/1000,41,201.53
86,B-4,14.333,417/1000,40,201.53
87,B-3,14.333,417/1000,34,201.53
88,C5,14.667,417/1000,41,201.53
89,C4,14.667,417/1000,34,201.53
90,E-5,15.0,417/1000,44,201.53
91,E-4,15.0,417/1000,38,201.53
92,F4,15.333,417/1000,44,201.53
93,F3,15.333,417/1000,37,201.53
94,A4,15.667,333/1000,44,201.53
95,A3,15.667,333/1000,37,201.53
96,B-4,16.0,417/1000,56,201.53
97,B-3,16.0,417/1000,47,201.53
98,C#5,16.333,417/1000,45,201.53
99,C#4,16.333,417/1000,38,201.53
100,F#5,16.667,417/1000,49,201.53
101,F#4,16.667,417/1000,40,201.53
102,F5,17.0,417/1000,46,201.53
103,F4,17.0,417/1000,37,201.53
104,C5,17.333,417/1000,45,201.53
105,C4,17.333,417/1000,38,201.53
106,C#5,17.667,333/1000,45,201.53
107,C#4,17.667,333/1000,38,201.53
108,E5,18.0,667/1000,50,201.53
109,E4,18.0,667/1000,42,201.53
110,C5,18.333,333/1000,46,201.53
111,C4,18.333,333/1000,39,201.53
112,C#5,18.667,417/1000,45,201.53
113,C#4,18.667,417/1000,40,201.53
114,A4,19.0,333/1000,43,201.53
115,A3,19.0,333/1000,36,201.53
116,B-4,19.333,417/1000,47,201.53
117,B-3,19.333,417/1000,39,201.53
118,F#4,19.667,333/1000,44,201.53
119,F#3,19.667,333/1000,36,201.53
120,E4,20.0,417/1000,48,201.53
121,E3,20.0,417/1000,40,201.53
122,F4,20.333,417/1000,44,201.53
123,F3,20.333,417/1000,37,201.53
124,B-4,20.667,333/1000,44,201.53
125,B-3,20.667,333/1000,37,201.53
