,note_name,start_time,duration,velocity,tempo
0,D3,0.0,0.062,48,72.1
1,A3,0.0,0.062,48,72.1
2,B3,0.25,0.062,45,72.1
3,F4,0.25,0.062,45,72.1
4,C4,0.5,0.062,48,72.1
5,F3,0.5,0.062,48,72.1
6,A4,0.75,0.062,45,72.1
7,D4,0.75,0.062,45,72.1
8,B3,1.0,26/125,48,72.1
9,D3,1.0,0.25,48,72.1
10,B3,1.25,0.125,44,72.1
11,C4,1.375,0.125,44,72.1
12,A4,1.5,0.25,45,72.1
13,F4,1.5,0.25,45,72.1
14,B3,1.5,0.25,45,72.1
15,A3,1.75,0.188,45,72.1
16,B3,2.0,0.094,48,72.1
17,D3,2.0,0.094,48,72.1
18,F4,2.5,0.188,43,72.1
19,A4,2.5,0.188,43,72.1
20,C4,2.5,0.188,43,72.1
21,B3,3.0,0.25,48,72.1
22,A2,3.0,0.5,48,72.1
23,C4,3.25,0.25,45,72.1
24,D4,3.5,0.125,48,72.1
25,C5,3.5,0.5,48,72.1
26,A4,3.5,0.5,48,72.1
27,E4,3.75,0.125,45,72.1
28,F#4,4.0,0.125,48,72.1
29,D2,4.0,0.5,45,72.1
30,F#4,4.25,83/1000,45,72.1
31,G4,4.333,83/1000,44,72.1
32,F#4,4.417,83/1000,44,72.1
33,E4,4.5,0.25,48,72.1
34,C5,4.5,0.5,42,72.1
35,A4,4.5,0.5,42,72.1
36,D4,4.75,0.25,45,72.1
37,C4,5.0,26/125,48,72.1
38,A2,5.0,0.5,48,72.1
39,D4,5.25,26/125,44,72.1
40,C5,5.5,229/500,44,72.1
41,A4,5.5,229/500,44,72.1
42,E4,5.5,229/500,44,72.1
43,E4,6.0,0.25,48,72.1
44,E2,6.0,0.5,48,72.1
45,F#4,6.25,0.25,45,72.1
46,G#4,6.5,0.125,45,72.1
47,B3,6.5,0.5,48,72.1
48,A4,6.75,0.125,45,72.1
49,F#4,7.0,26/125,48,72.1
50,E3,7.0,0.5,48,72.1
51,F#4,7.25,0.125,49,72.1
52,G#4,7.375,0.125,51,72.1
53,A3,7.5,0.5,51,72.1
54,F#4,7.5,0.25,52,72.1
55,D4,7.5,0.25,52,72.1
56,C4,7.75,0.188,46,72.1
57,E4,7.75,0.188,46,72.1
58,E2,8.0,0.25,48,72.1
59,F#4,8.0,0.25,52,72.1
60,D4,8.0,0.25,52,72.1
61,D4,8.5,0.25,57,72.1
62,F#4,8.5,0.25,57,72.1
63,A4,8.5,0.25,57,72.1
64,B3,9.0,0.75,54,72.1
65,E3,9.0,3.0,54,72.1
66,G#4,9.0,0.25,49,72.1
67,E4,9.0,0.25,49,72.1
68,F#4,9.25,0.25,46,72.1
69,A4,9.25,0.25,46,72.1
70,E4,9.5,177/250,49,72.1
71,G#4,9.5,177/250,49,72.1
72,C4,9.75,0.25,54,72.1
73,B3,10.0,0.75,51,72.1
74,F#4,10.25,0.25,48,72.1
75,A4,10.25,0.25,48,72.1
76,G#4,10.5,177/250,51,72.1
77,B4,10.5,177/250,51,72.1
78,C4,10.75,0.25,48,72.1
79,D4,11.0,0.75,51,72.1
80,A4,11.25,0.25,50,72.1
81,C5,11.25,0.25,50,72.1
82,E4,11.5,0.5,45,72.1
83,G#4,11.5,0.5,45,72.1
84,E4,11.75,0.25,48,72.1
85,E5,12.0,0.25,45,72.1
86,G5,12.0,0.25,45,72.1
87,A4,12.0,1.0,42,72.1
88,C4,12.0,1.0,42,72.1
89,F3,12.0,1.0,42,72.1
90,D5,12.25,0.125,43,72.1
91,F5,12.25,0.125,43,72.1
92,E5,12.375,0.125,43,72.1
93,G5,12.375,0.125,43,72.1
94,D5,12.5,0.25,45,72.1
95,F5,12.5,0.25,45,72.1
96,C5,12.75,0.25,42,72.1
97,E5,12.75,0.25,42,72.1
98,D5,13.0,0.25,45,72.1
99,B-4,13.0,0.25,45,72.1
100,F4,13.0,1.0,34,72.1
101,D4,13.0,1.0,34,72.1
102,G3,13.0,1.0,34,72.1
103,A4,13.25,0.25,43,72.1
104,C5,13.25,0.25,43,72.1
105,B-4,13.5,0.75,44,72.1
106,D5,13.5,0.75,44,72.1
107,C3,14.0,1.0,38,72.1
108,G3,14.0,1.0,38,72.1
109,E4,14.0,1.0,38,72.1
110,A4,14.25,0.125,42,72.1
111,C5,14.25,0.125,42,72.1
112,B-4,14.375,0.125,42,72.1
113,D5,14.375,0.125,42,72.1
114,C5,14.5,0.25,44,72.1
115,A4,14.5,0.25,44,72.1
116,B-4,14.75,0.25,42,72.1
117,G4,14.75,0.25,42,72.1
118,F4,15.0,0.25,44,72.1
119,A4,15.0,0.25,44,72.1
120,F3,15.0,0.5,36,72.1
121,A3,15.0,0.5,36,72.1
122,C4,15.0,0.5,36,72.1
123,E4,15.25,0.25,43,72.1
124,G4,15.25,0.25,43,72.1
125,F4,15.5,229/500,43,72.1
126,A4,15.5,229/500,43,72.1
127,D3,15.5,229/500,34,72.1
128,A3,15.5,229/500,34,72.1
129,D4,15.5,229/500,34,72.1
130,A4,16.0,1.0,48,72.1
131,E5,16.0,0.25,51,72.1
132,G5,16.0,0.25,51,72.1
133,F2,16.0,1.0,48,72.1
134,A3,16.0,1.0,48,72.1
135,C3,16.0,1.0,48,72.1
136,D5,16.25,0.125,49,72.1
137,F5,16.25,0.125,49,72.1
138,E5,16.375,0.125,49,72.1
139,G5,16.375,0.125,49,72.1
140,D5,16.5,0.25,51,72.1
141,F5,16.5,0.25,51,72.1
142,C5,16.75,0.25,48,72.1
143,E5,16.75,0.25,48,72.1
144,F4,17.0,1.0,39,72.1
145,B-4,17.0,0.25,51,72.1
146,D5,17.0,0.25,51,72.1
147,G2,17.0,1.0,39,72.1
148,B-3,17.0,1.0,39,72.1
149,D3,17.0,1.0,39,72.1
150,A4,17.25,0.25,49,72.1
151,C5,17.25,0.25,49,72.1
152,B-4,17.5,0.5,50,72.1
153,D5,17.5,0.5,50,72.1
154,E4,18.0,1.0,43,72.1
155,B-4,18.0,0.25,50,72.1
156,D5,18.0,0.25,50,72.1
157,C3,18.0,1.0,43,72.1
158,G3,18.0,1.0,43,72.1
159,C4,18.0,1.0,43,72.1
160,A4,18.25,0.125,46,72.1
161,C5,18.25,0.125,46,72.1
162,B-4,18.375,0.125,46,72.1
163,D5,18.375,0.125,46,72.1
164,C5,18.5,0.25,49,72.1
165,A4,18.5,0.25,49,72.1
166,B-4,18.75,0.25,45,72.1
167,G4,18.75,0.25,45,72.1
168,F4,19.0,0.25,46,72.1
169,A4,19.0,0.25,46,72.1
170,F3,19.0,0.75,38,72.1
171,C4,19.0,0.75,38,72.1
172,E4,19.25,0.25,45,72.1
173,G4,19.25,0.25,45,72.1
174,F4,19.5,1.25,49,72.1
175,A4,19.5,0.75,49,72.1
176,E3,19.75,0.25,43,72.1
177,D3,20.0,0.75,45,72.1
178,F3,20.0,1.0,45,72.1
179,G4,20.25,0.25,48,72.1
180,A4,20.5,0.5,49,72.1
181,E4,20.75,0.25,46,72.1
182,C3,20.75,0.25,45,72.1
183,D4,21.0,3.0,46,72.1
184,A4,21.0,0.25,49,72.1
185,F3,21.0,2.5,48,72.1
186,B2,21.0,0.75,48,72.1
187,G4,21.25,0.25,46,72.1
188,A4,21.5,0.75,49,72.1
189,A2,21.75,0.25,50,72.1
190,G2,22.0,0.75,54,72.1
191,B4,22.25,0.25,52,72.1
192,D5,22.5,0.25,56,72.1
193,B4,22.75,0.25,52,72.1
194,A2,22.75,0.25,57,72.1
195,A4,23.0,0.25,50,72.1
196,B2,23.0,1.0,62,72.1
197,B4,23.25,0.25,49,72.1
198,E4,23.5,0.25,50,72.1
199,G3,23.5,0.25,48,72.1
200,G4,23.75,0.25,49,72.1
201,E3,23.75,0.25,48,72.1
202,D4,24.0,3.0,52,72.1
203,A4,24.0,0.25,52,72.1
204,B2,24.0,0.75,52,72.1
205,F3,24.0,2.75,52,72.1
206,G4,24.25,0.25,49,72.1
207,A4,24.5,0.75,52,72.1
208,A2,24.75,0.25,49,72.1
209,G2,25.0,0.75,54,72.1
210,B4,25.25,0.25,54,72.1
211,D5,25.5,0.25,56,72.1
212,B4,25.75,0.25,52,72.1
213,A2,25.75,0.25,55,72.1
214,A4,26.0,0.25,55,72.1
215,B2,26.0,1.0,61,72.1
216,B4,26.25,0.25,50,72.1
217,A4,26.5,0.25,49,72.1
218,F4,26.75,0.25,48,72.1
219,G3,26.75,0.25,52,72.1
220,E4,27.0,2.344,39,72.1
221,C4,27.0,1.844,39,72.1
222,G#3,27.0,0.25,45,72.1
223,C3,27.0,3.0,45,72.1
224,F#3,27.25,0.25,43,72.1
225,E3,27.5,0.25,43,72.1
226,F#3,27.75,0.25,43,72.1
227,G#3,28.0,0.25,46,72.1
228,A3,28.25,0.094,44,72.1
229,B3,28.5,0.094,44,72.1
230,C4,28.75,1.25,44,72.1
231,D4,29.0,0.094,46,72.1
232,E4,29.25,0.75,42,72.1
233,F#4,29.5,0.094,42,72.1
234,G#4,29.75,0.094,42,72.1
235,D4,30.0,2.094,40,72.1
236,E4,30.0,2.344,40,72.1
237,B2,30.0,3.0,44,72.1
238,G#3,30.0,0.25,44,72.1
239,F#3,30.25,0.25,40,72.1
240,E3,30.5,0.25,40,72.1
241,F#3,30.75,0.25,40,72.1
242,G#3,31.0,0.25,44,72.1
243,A3,31.25,0.094,40,72.1
244,B3,31.5,0.094,40,72.1
245,C4,31.75,0.094,40,72.1
246,D4,32.0,1.0,44,72.1
247,E4,32.25,0.75,38,72.1
248,F#4,32.5,0.094,37,72.1
249,G#4,32.75,0.094,34,72.1
250,A3,33.0,0.062,44,72.1
251,D2,33.0,0.062,44,72.1
252,B3,33.25,0.062,42,72.1
253,F4,33.5,0.062,41,72.1
254,A4,33.5,0.062,41,72.1
255,C4,33.5,0.062,41,72.1
256,A2,33.5,0.062,39,72.1
257,F3,33.5,0.062,39,72.1
258,D4,33.75,0.062,42,72.1
259,B3,34.0,26/125,44,72.1
260,D2,34.0,0.25,44,72.1
261,B3,34.25,0.125,40,72.1
262,C4,34.375,0.125,40,72.1
263,A4,34.5,0.25,40,72.1
264,F4,34.5,0.25,40,72.1
265,B3,34.5,0.25,40,72.1
266,F3,34.5,0.062,39,72.1
267,A2,34.5,0.062,39,72.1
268,A3,34.75,0.188,42,72.1
269,B3,35.0,0.094,44,72.1
270,D2,35.0,0.094,44,72.1
271,F4,35.5,0.062,39,72.1
272,A4,35.5,0.062,39,72.1
273,C4,35.5,0.062,39,72.1
274,F3,35.5,0.062,44,72.1
275,A2,35.5,0.062,44,72.1
276,B3,36.0,0.25,44,72.1
277,D2,36.0,0.062,44,72.1
278,C4,36.25,0.25,42,72.1
279,D4,36.5,0.125,44,72.1
280,C5,36.5,0.5,39,72.1
281,A4,36.5,0.5,39,72.1
282,F#3,36.5,0.062,39,72.1
283,A2,36.5,0.062,39,72.1
284,E4,36.75,0.125,42,72.1
285,F#4,37.0,0.125,44,72.1
286,D2,37.0,0.25,44,72.1
287,F#4,37.25,83/1000,42,72.1
288,G4,37.333,83/1000,40,72.1
289,F#4,37.417,83/1000,40,72.1
290,E4,37.5,0.25,44,72.1
291,C5,37.5,0.5,38,72.1
292,A4,37.5,0.5,38,72.1
293,F#3,37.5,0.062,39,72.1
294,A2,37.5,0.062,39,72.1
295,D4,37.75,0.25,42,72.1
296,C4,38.0,26/125,44,72.1
297,D2,38.0,0.25,44,72.1
298,D4,38.25,26/125,40,72.1
299,E4,38.5,0.5,40,72.1
300,C5,38.5,0.5,40,72.1
301,A4,38.5,0.5,40,72.1
302,F#3,38.5,0.062,39,72.1
303,A2,38.5,0.062,39,72.1
304,A4,39.0,0.062,44,72.1
305,D2,39.0,0.062,44,72.1
306,B4,39.25,0.062,42,72.1
307,F4,39.5,0.062,41,72.1
308,D4,39.5,0.062,41,72.1
309,C5,39.5,0.062,41,72.1
310,A2,39.5,0.062,39,72.1
311,F3,39.5,0.062,39,72.1
312,D5,39.75,0.062,43,72.1
313,B4,40.0,26/125,45,72.1
314,D2,40.0,0.25,45,72.1
315,B4,40.25,0.125,43,72.1
316,C5,40.375,0.125,43,72.1
317,D4,40.5,0.25,43,72.1
318,F4,40.5,0.25,43,72.1
319,B4,40.5,0.25,43,72.1
320,F3,40.5,0.062,42,72.1
321,A2,40.5,0.062,42,72.1
322,A4,40.75,0.188,44,72.1
323,B4,41.0,0.094,48,72.1
324,D2,41.0,0.094,48,72.1
325,F4,41.5,0.062,43,72.1
326,D4,41.5,0.062,43,72.1
327,C5,41.5,0.062,43,72.1
328,F3,41.5,0.062,49,72.1
329,A2,41.5,0.062,49,72.1
330,B4,42.0,0.25,50,72.1
331,D2,42.0,0.062,50,72.1
332,C5,42.25,0.25,48,72.1
333,D5,42.5,0.125,52,72.1
334,D4,42.5,0.125,50,72.1
335,C5,42.5,0.5,44,72.1
336,A4,42.5,0.5,44,72.1
337,E5,42.75,0.125,50,72.1
338,E4,42.75,0.125,48,72.1
339,F#5,43.0,0.125,52,72.1
340,F#4,43.0,0.125,50,72.1
341,F#5,43.25,83/1000,48,72.1
342,F#4,43.25,83/1000,48,72.1
343,G5,43.333,83/1000,48,72.1
344,G4,43.333,83/1000,46,72.1
345,F#5,43.417,83/1000,48,72.1
346,F#4,43.417,83/1000,46,72.1
347,E5,43.5,0.25,52,72.1
348,E4,43.5,0.25,50,72.1
349,D5,43.75,0.25,50,72.1
350,D4,43.75,0.25,48,72.1
351,C5,44.0,0.25,52,72.1
352,C4,44.0,0.25,50,72.1
353,D5,44.25,0.25,48,72.1
354,D4,44.25,0.25,46,72.1
355,E5,44.5,0.5,48,72.1
356,E4,44.5,0.5,46,72.1
357,E5,45.0,0.5,48,72.1
358,E4,45.0,0.5,46,72.1
359,A4,45.0,0.25,48,72.1
360,C5,45.0,0.25,48,72.1
361,A3,45.0,0.25,48,72.1
362,C4,45.0,0.25,48,72.1
363,D5,45.25,0.25,48,72.1
364,D4,45.25,0.25,46,72.1
365,G4,45.5,229/500,43,72.1
366,B4,45.5,229/500,43,72.1
367,E5,45.5,229/500,43,72.1
368,G3,45.5,229/500,42,72.1
369,B3,45.5,229/500,42,72.1
370,E4,45.5,229/500,42,72.1
371,F#4,46.0,0.5,40,72.1
372,A4,46.0,0.25,46,72.1
373,F#3,46.0,0.5,40,72.1
374,A3,46.0,0.25,44,72.1
375,B4,46.25,0.25,45,72.1
376,B3,46.25,0.25,43,72.1
377,C5,46.5,479/500,46,72.1
378,C4,46.5,479/500,44,72.1
379,F4,46.5,0.5,39,72.1
380,G#4,46.5,0.5,39,72.1
381,F3,46.5,0.5,39,72.1
382,G#3,46.5,0.5,39,72.1
383,E4,47.0,0.5,38,72.1
384,G4,47.0,0.5,38,72.1
385,E3,47.0,0.5,39,72.1
386,G3,47.0,0.5,39,72.1
387,G#4,47.5,0.5,37,72.1
388,G#3,47.5,0.5,38,72.1
389,E-4,47.5,0.5,34,72.1
390,F#4,47.5,0.5,34,72.1
391,E-3,47.5,0.5,34,72.1
392,F#3,47.5,0.5,34,72.1
393,G#4,48.0,0.5,37,72.1
394,G#3,48.0,0.5,38,72.1
395,F4,48.0,0.5,31,72.1
396,D4,48.0,0.5,31,72.1
397,D3,48.0,0.5,33,72.1
398,F3,48.0,0.5,33,72.1
399,E4,48.5,2.5,32,72.1
400,C#4,48.5,0.5,32,72.1
401,E3,48.5,2.5,33,72.1
402,C#3,48.5,0.5,33,72.1
403,C4,49.0,0.188,32,72.1
404,C3,49.0,0.188,33,72.1
405,B3,49.5,0.188,31,72.1
406,B2,49.5,0.188,32,72.1
407,D4,50.0,0.188,31,72.1
408,B-3,50.0,0.188,31,72.1
409,B-2,50.0,0.188,31,72.1
410,D3,50.0,0.188,31,72.1
411,E2,50.5,0.188,37,72.1
412,A1,51.0,229/500,34,72.1
413,A3,51.5,0.094,44,72.1
414,C4,51.5,0.094,40,72.1
415,E4,51.5,0.094,40,72.1
416,A4,51.5,0.094,40,72.1
417,E3,51.75,0.094,38,72.1
418,B3,51.75,0.094,35,72.1
419,D4,51.75,0.094,35,72.1
420,E4,51.75,0.094,35,72.1
421,E3,52.0,71/1000,38,72.1
422,B3,52.0,71/1000,35,72.1
423,D4,52.0,71/1000,35,72.1
424,E4,52.0,71/1000,35,72.1
425,A3,52.25,0.094,38,72.1
426,C4,52.25,0.094,35,72.1
427,E4,52.25,0.094,35,72.1
428,A4,52.25,0.094,35,72.1
429,A3,52.5,0.094,44,72.1
430,C4,52.5,0.094,39,72.1
431,E4,52.5,0.094,39,72.1
432,A4,52.5,0.094,39,72.1
433,E3,52.75,0.094,44,72.1
434,E4,52.75,0.094,39,72.1
435,B3,52.75,0.094,39,72.1
436,D4,52.75,0.094,39,72.1
437,E3,53.0,71/1000,39,72.1
438,B3,53.0,71/1000,36,72.1
439,E4,53.0,71/1000,36,72.1
440,D4,53.0,71/1000,36,72.1
441,A2,53.25,0.094,42,72.1
442,C4,53.25,0.094,38,72.1
443,E4,53.25,0.094,38,72.1
444,A4,53.25,0.094,38,72.1
445,E2,53.5,71/1000,49,72.1
446,D4,53.5,71/1000,44,72.1
447,G4,53.5,71/1000,44,72.1
448,B4,53.5,71/1000,44,72.1
449,A1,54.0,479/1000,68,72.1
450,A5,54.0,479/1000,73,72.1
451,A4,54.0,479/1000,73,72.1
452,A3,54.5,0.094,44,72.1
453,C4,54.5,0.094,40,72.1
454,E4,54.5,0.094,40,72.1
455,A4,54.5,0.094,40,72.1
456,E3,54.75,0.094,38,72.1
457,B3,54.75,0.094,35,72.1
458,D4,54.75,0.094,35,72.1
459,E4,54.75,0.094,35,72.1
460,E3,55.0,71/1000,38,72.1
461,B3,55.0,71/1000,35,72.1
462,D4,55.0,71/1000,35,72.1
463,E4,55.0,71/1000,35,72.1
464,A3,55.25,0.094,38,72.1
465,C4,55.25,0.094,35,72.1
466,E4,55.25,0.094,35,72.1
467,A4,55.25,0.094,35,72.1
468,A3,55.5,0.094,44,72.1
469,E4,55.5,0.094,39,72.1
470,A4,55.5,0.094,39,72.1
471,C4,55.5,0.094,39,72.1
472,E3,55.75,0.094,44,72.1
473,D4,55.75,0.094,39,72.1
474,B3,55.75,0.094,39,72.1
475,E4,55.75,0.094,39,72.1
476,E3,56.0,71/1000,39,72.1
477,B3,56.0,71/1000,36,72.1
478,E4,56.0,71/1000,36,72.1
479,D4,56.0,71/1000,36,72.1
480,A2,56.25,0.094,46,72.1
481,C4,56.25,0.094,41,72.1
482,E4,56.25,0.094,41,72.1
483,A4,56.25,0.094,41,72.1
484,G2,56.5,71/1000,51,72.1
485,D4,56.5,71/1000,46,72.1
486,G4,56.5,71/1000,46,72.1
487,B4,56.5,71/1000,46,72.1
488,C2,57.0,479/1000,69,72.1
489,C6,57.0,479/1000,74,72.1
490,C5,57.0,479/1000,74,72.1
491,C4,57.5,0.094,49,72.1
492,E4,57.5,0.094,45,72.1
493,G4,57.5,0.094,45,72.1
494,C5,57.5,0.094,45,72.1
495,G3,57.75,0.094,42,72.1
496,D4,57.75,0.094,38,72.1
497,F4,57.75,0.094,38,72.1
498,G4,57.75,0.094,38,72.1
499,G3,58.0,71/1000,42,72.1
500,D4,58.0,71/1000,38,72.1
501,F4,58.0,71/1000,38,72.1
502,G4,58.0,71/1000,38,72.1
503,C4,58.25,0.094,42,72.1
504,C5,58.25,0.094,38,72.1
505,E4,58.25,0.094,38,72.1
506,G4,58.25,0.094,38,72.1
507,C4,58.5,0.094,49,72.1
508,E4,58.5,0.094,44,72.1
509,G4,58.5,0.094,44,72.1
510,C5,58.5,0.094,44,72.1
511,G3,58.75,0.094,49,72.1
512,D4,58.75,0.094,44,72.1
513,F4,58.75,0.094,44,72.1
514,G4,58.75,0.094,44,72.1
515,G3,59.0,71/1000,43,72.1
