,note_name,start_time,duration,velocity,tempo
0,B-5,0.0,0.25,80,112.84
1,B-4,0.0,0.25,68,112.84
2,G#5,0.25,0.25,74,112.84
3,G#4,0.25,0.25,62,112.84
4,B-5,0.75,0.25,74,112.84
5,B-4,0.75,0.25,62,112.84
6,F5,1.0,0.25,76,112.84
7,F4,1.0,0.25,64,112.84
8,B-5,1.5,0.188,80,112.84
9,B-4,1.5,0.188,68,112.84
10,G#5,2.0,0.25,80,112.84
11,G#4,2.0,0.25,68,112.84
12,F5,2.25,0.25,80,112.84
13,F4,2.25,0.25,68,112.84
14,E-5,2.75,0.25,74,112.84
15,E-4,2.75,0.25,62,112.84
16,B4,3.0,1.0,80,112.84
17,B3,3.0,1.0,68,112.84
18,G#4,4.25,0.25,80,112.84
19,G#3,4.25,0.25,65,112.84
20,F4,4.5,0.25,79,112.84
21,F3,4.5,0.25,65,112.84
22,E-4,4.75,0.25,84,112.84
23,E-3,4.75,0.25,67,112.84
24,B3,5.0,1.0,86,112.84
25,B2,5.0,1.0,71,112.84
26,G#3,6.25,0.25,80,112.84
27,G#2,6.25,0.25,65,112.84
28,F3,6.5,0.25,79,112.84
29,F2,6.5,0.25,65,112.84
30,E-3,6.75,0.25,84,112.84
31,E-2,6.75,0.25,67,112.84
32,B2,7.0,0.5,86,112.84
33,B1,7.0,0.5,71,112.84
34,G3,7.5,0.5,90,112.84
35,D3,7.5,0.5,90,112.84
36,B-2,7.5,0.5,72,112.84
37,B-1,7.5,0.5,72,112.84
38,E-2,10.0,0.188,40,112.84
39,B-2,10.0,0.188,40,112.84
40,E-3,10.5,0.188,40,112.84
41,B-3,10.5,0.188,40,112.84
42,G3,10.5,0.188,33,112.84
43,F3,10.5,0.188,33,112.84
44,E-2,11.0,0.188,40,112.84
45,B-2,11.0,0.188,40,112.84
46,B-3,11.5,0.125,54,112.84
47,E-3,11.5,0.125,54,112.84
48,G3,11.5,0.188,35,112.84
49,F3,11.5,0.188,35,112.84
50,B-3,11.75,0.125,60,112.84
51,E-3,11.75,0.125,60,112.84
52,E-2,12.0,0.188,40,112.84
53,B-2,12.0,0.188,40,112.84
54,E-3,12.5,0.188,40,112.84
55,B-3,12.5,0.188,40,112.84
56,G3,12.5,0.188,33,112.84
57,F3,12.5,0.188,33,112.84
58,E-2,13.0,0.188,40,112.84
59,B-2,13.0,0.188,40,112.84
60,E-3,13.5,0.188,40,112.84
61,B-3,13.5,0.188,40,112.84
62,G3,13.5,0.188,33,112.84
63,F3,13.5,0.188,33,112.84
64,E-2,14.0,0.188,40,112.84
65,B-2,14.0,0.188,40,112.84
66,B-3,14.5,0.125,54,112.84
67,E-3,14.5,0.125,54,112.84
68,G3,14.5,0.188,35,112.84
69,F3,14.5,0.188,35,112.84
70,B-3,14.75,0.125,60,112.84
71,E-3,14.75,0.125,60,112.84
72,E-2,15.0,0.188,40,112.84
73,B-2,15.0,0.188,40,112.84
74,E-3,15.5,0.188,40,112.84
75,B-3,15.5,0.188,40,112.84
76,G3,15.5,0.188,33,112.84
77,F3,15.5,0.188,33,112.84
78,E-2,16.0,0.188,34,112.84
79,B-2,16.0,0.188,34,112.84
80,E-3,16.5,0.188,32,112.84
81,B-3,16.5,0.188,32,112.84
82,G3,16.5,0.188,27,112.84
83,F3,16.5,0.188,27,112.84
84,E-2,17.0,0.188,31,112.84
85,B-2,17.0,0.188,31,112.84
86,E-3,17.5,0.188,29,112.84
87,B-3,17.5,0.188,29,112.84
88,G3,17.5,0.188,24,112.84
89,F3,17.5,0.188,24,112.84
90,B-4,18.0,0.25,80,112.84
91,E-2,18.0,0.188,40,112.84
92,B-2,18.0,0.188,40,112.84
93,G#4,18.25,0.25,74,112.84
94,B3,18.5,0.25,45,112.84
95,E-4,18.5,0.25,45,112.84
96,G#3,18.5,0.188,33,112.84
97,F3,18.5,0.188,33,112.84
98,B-4,18.75,0.25,74,112.84
99,F4,19.0,0.25,76,112.84
100,E-2,19.0,0.188,40,112.84
101,B-2,19.0,0.188,40,112.84
102,B3,19.5,0.188,57,112.84
103,E-4,19.5,0.188,57,112.84
104,B-4,19.5,0.188,57,112.84
105,G#3,19.5,0.188,35,112.84
106,F3,19.5,0.188,35,112.84
107,G#4,20.0,0.25,80,112.84
108,E-2,20.0,0.188,40,112.84
109,B-2,20.0,0.188,40,112.84
110,F4,20.25,0.25,80,112.84
111,B3,20.5,0.188,45,112.84
112,G#3,20.5,0.188,33,112.84
113,F3,20.5,0.188,33,112.84
114,E-4,20.75,0.25,74,112.84
115,B3,21.0,0.25,80,112.84
116,E-2,21.0,0.188,40,112.84
117,B-2,21.0,0.188,40,112.84
118,B3,21.5,0.125,76,112.84
119,E-4,21.5,0.125,76,112.84
120,G#3,21.5,0.188,33,112.84
121,F3,21.5,0.188,33,112.84
122,B-3,22.0,0.188,80,112.84
123,E-2,22.0,0.188,37,112.84
124,B-2,22.0,0.188,37,112.84
125,B-3,22.25,0.25,74,112.84
126,G3,22.5,0.188,30,112.84
127,F3,22.5,0.188,30,112.84
128,C4,22.75,0.25,74,112.84
129,B-3,23.0,0.25,76,112.84
130,B-2,23.0,0.188,43,112.84
131,E-2,23.0,0.188,43,112.84
132,E-4,23.438,0.25,68,112.84
133,B-4,23.5,0.188,80,112.84
134,F3,23.5,0.188,38,112.84
135,G3,23.5,0.188,38,112.84
136,B-3,24.0,2.0,80,112.84
137,B-2,24.0,0.188,46,112.84
138,E-2,24.0,0.188,46,112.84
139,F3,24.5,0.188,37,112.84
140,G3,24.5,0.188,37,112.84
141,B-2,25.0,0.188,40,112.84
142,E-2,25.0,0.188,40,112.84
143,F3,25.5,0.188,32,112.84
144,G3,25.5,0.188,32,112.84
145,B-3,26.0,0.25,64,112.84
146,E-2,26.0,0.188,40,112.84
147,B-2,26.0,0.188,40,112.84
148,G#3,26.25,0.25,57,112.84
149,F3,26.5,0.188,33,112.84
150,E-3,26.5,0.188,33,112.84
151,B-3,26.75,0.25,56,112.84
152,C4,27.0,0.25,64,112.84
153,E-2,27.0,0.188,40,112.84
154,B-2,27.0,0.188,40,112.84
155,G#3,27.5,0.188,53,112.84
156,F3,27.5,0.188,35,112.84
157,E-3,27.5,0.188,35,112.84
158,B-3,28.0,0.25,64,112.84
159,E-2,28.0,0.188,40,112.84
160,B-2,28.0,0.188,40,112.84
161,G#3,28.25,0.25,57,112.84
162,F3,28.5,0.188,33,112.84
163,E-3,28.5,0.188,33,112.84
164,B-3,28.75,0.25,56,112.84
165,B3,29.0,0.25,64,112.84
166,E-2,29.0,0.188,40,112.84
167,B-2,29.0,0.188,40,112.84
168,G#3,29.5,0.188,53,112.84
169,F3,29.5,0.188,35,112.84
170,E-3,29.5,0.188,35,112.84
171,B-3,30.0,0.25,64,112.84
172,B-2,30.0,0.25,54,112.84
173,G#3,30.25,0.25,59,112.84
174,G#2,30.25,0.25,50,112.84
175,F3,30.75,0.188,59,112.84
176,F2,30.75,0.188,50,112.84
177,E-3,31.0,0.25,61,112.84
178,E-2,31.0,0.25,51,112.84
179,D3,31.5,0.25,65,112.84
180,D2,31.5,0.25,55,112.84
181,C3,32.0,0.25,71,112.84
182,C2,32.0,0.25,60,112.84
183,G2,32.5,0.25,68,112.84
184,G1,32.5,0.25,57,112.84
185,C3,33.0,0.25,76,112.84
186,C2,33.0,0.25,64,112.84
187,D3,33.5,0.25,80,112.84
188,D2,33.5,0.25,68,112.84
189,B-4,34.0,0.25,80,112.84
190,E-2,34.0,0.188,40,112.84
191,B-2,34.0,0.188,40,112.84
192,G#4,34.25,0.25,74,112.84
193,B3,34.5,0.25,45,112.84
194,E-4,34.5,0.25,45,112.84
195,G#3,34.5,0.188,33,112.84
196,F3,34.5,0.188,33,112.84
197,B-4,34.75,0.25,74,112.84
198,F4,35.0,0.25,76,112.84
199,E-2,35.0,0.188,40,112.84
200,B-2,35.0,0.188,40,112.84
201,B3,35.5,0.188,57,112.84
202,E-4,35.5,0.188,57,112.84
203,B-4,35.5,0.188,57,112.84
204,G#3,35.5,0.188,35,112.84
205,F3,35.5,0.188,35,112.84
206,G#4,36.0,0.25,80,112.84
207,E-2,36.0,0.188,40,112.84
208,B-2,36.0,0.188,40,112.84
209,F4,36.25,0.25,80,112.84
210,B3,36.5,0.188,45,112.84
211,G#3,36.5,0.188,33,112.84
212,F3,36.5,0.188,33,112.84
213,E-4,36.75,0.25,74,112.84
214,B3,37.0,0.25,80,112.84
215,E-2,37.0,0.188,40,112.84
216,B-2,37.0,0.188,40,112.84
217,B3,37.5,0.125,76,112.84
218,E-4,37.5,0.125,76,112.84
219,G#3,37.5,0.188,33,112.84
220,F3,37.5,0.188,33,112.84
221,B-3,38.0,0.188,80,112.84
222,E-2,38.0,0.188,37,112.84
223,B-2,38.0,0.188,37,112.84
224,B-3,38.25,0.25,74,112.84
225,G3,38.5,0.188,30,112.84
226,F3,38.5,0.188,30,112.84
227,C4,38.75,0.25,74,112.84
228,B-3,39.0,0.25,76,112.84
229,B-2,39.0,0.188,43,112.84
230,E-2,39.0,0.188,43,112.84
231,E-4,39.438,0.25,68,112.84
232,B-4,39.5,0.188,80,112.84
233,F3,39.5,0.188,38,112.84
234,G3,39.5,0.188,38,112.84
235,B-3,40.0,2.0,80,112.84
236,B-2,40.0,0.188,46,112.84
237,E-2,40.0,0.188,46,112.84
238,F3,40.5,0.188,37,112.84
239,G3,40.5,0.188,37,112.84
240,B-2,41.0,0.188,40,112.84
241,E-2,41.0,0.188,40,112.84
242,F3,41.5,0.188,32,112.84
243,G3,41.5,0.188,32,112.84
244,B-3,42.0,0.188,55,112.84
245,F#2,42.0,0.188,37,112.84
246,C#3,42.0,0.188,37,112.84
247,B-3,42.25,0.25,49,112.84
248,C#3,42.5,0.188,30,112.84
249,G#3,42.5,0.188,30,112.84
250,F#3,42.5,0.188,30,112.84
251,C4,42.75,0.25,53,112.84
252,B-3,43.0,0.25,61,112.84
253,F#2,43.0,0.188,37,112.84
254,C#3,43.0,0.188,37,112.84
255,C#4,43.5,0.188,53,112.84
256,C#3,43.5,0.188,31,112.84
257,A3,43.5,0.188,31,112.84
258,F#3,43.5,0.188,31,112.84
259,E-4,44.0,0.188,64,112.84
260,C#3,44.0,0.188,40,112.84
261,F#2,44.0,0.188,40,112.84
262,F4,44.5,0.188,61,112.84
263,F#3,44.5,0.125,33,112.84
264,B-3,44.5,0.125,33,112.84
265,C#3,44.5,0.125,33,112.84
266,E-4,45.0,0.188,65,112.84
267,C#3,45.0,0.188,42,112.84
268,F#2,45.0,0.188,42,112.84
269,F#4,45.5,0.188,71,112.84
270,F#3,45.5,0.125,37,112.84
271,B3,45.5,0.125,37,112.84
272,C#3,45.5,0.125,37,112.84
273,F4,46.0,0.188,80,112.84
274,F4,46.25,0.25,74,112.84
275,E4,46.5,0.188,54,112.84
276,C#4,46.5,0.188,54,112.84
277,G4,46.75,0.25,74,112.84
278,F4,47.0,0.438,76,112.84
279,C4,47.0,0.5,60,112.84
280,E-4,47.0,0.5,60,112.84
281,G4,47.438,0.25,68,112.84
282,D5,47.5,0.188,80,112.84
283,E-4,47.5,0.125,52,112.84
284,A3,47.5,0.125,52,112.84
285,F3,47.5,0.125,52,112.84
