,note_name,start_time,duration,velocity,tempo
0,D4,0.0,1.0,82,200.0
1,D2,0.0,1.0,55,200.0
2,D3,0.0,1.0,55,200.0
3,E4,1.0,0.25,78,200.0
4,E3,1.0,0.25,52,200.0
5,E2,1.0,0.25,52,200.0
6,D4,1.5,0.25,75,200.0
7,D3,1.5,0.25,50,200.0
8,D2,1.5,0.25,50,200.0
9,C#4,2.0,0.25,79,200.0
10,C#2,2.0,0.25,54,200.0
11,C#3,2.0,0.25,54,200.0
12,D4,2.5,0.25,73,200.0
13,D2,2.5,0.25,49,200.0
14,D3,2.5,0.25,49,200.0
15,E4,3.0,0.25,81,200.0
16,E3,3.0,0.25,54,200.0
17,E2,3.0,0.25,54,200.0
18,G4,4.0,0.25,75,200.0
19,G3,4.0,0.25,44,200.0
20,G2,4.0,0.25,44,200.0
21,F#4,5.0,0.25,73,200.0
22,F#2,5.0,0.25,49,200.0
23,F#3,5.0,0.25,49,200.0
24,D4,6.0,0.875,82,200.0
25,D2,6.0,0.875,55,200.0
26,D3,6.0,0.875,55,200.0
27,F#4,6.875,0.125,71,200.0
28,F#3,6.875,0.125,48,200.0
29,F#2,6.875,0.125,48,200.0
30,E4,7.0,0.25,75,200.0
31,E3,7.0,0.25,50,200.0
32,E2,7.0,0.25,50,200.0
33,D4,7.5,0.25,73,200.0
34,D2,7.5,0.25,48,200.0
35,D3,7.5,0.25,48,200.0
36,C#4,8.0,0.25,77,200.0
37,C#2,8.0,0.25,52,200.0
38,C#3,8.0,0.25,52,200.0
39,D4,8.5,0.25,71,200.0
40,D3,8.5,0.25,48,200.0
41,D2,8.5,0.25,48,200.0
42,E4,9.0,0.25,80,200.0
43,E2,9.0,0.25,54,200.0
44,E3,9.0,0.25,54,200.0
45,G4,10.0,0.25,74,200.0
46,G2,10.0,0.25,44,200.0
47,G3,10.0,0.25,44,200.0
48,F#4,11.0,0.25,73,200.0
49,F#2,11.0,0.25,49,200.0
50,F#3,11.0,0.25,49,200.0
51,D4,12.0,1.0,80,200.0
