,note_name,start_time,duration,velocity,tempo
0,A3,0.0,1.5,34,143.38
1,A4,0.0,0.75,42,143.38
2,F2,0.0,3.0,24,143.38
3,C3,0.0,1.5,28,143.38
4,G4,0.75,0.25,31,143.38
5,F4,1.0,0.25,31,143.38
6,G4,1.25,0.25,31,143.38
7,B-3,1.5,1.5,30,143.38
8,A4,1.5,1.0,36,143.38
9,D3,1.5,1.5,24,143.38
10,F4,2.5,0.5,36,143.38
11,C4,3.0,1.5,34,143.38
12,A4,3.0,0.75,42,143.38
13,E3,3.0,1.5,28,143.38
14,F2,3.0,3.0,24,143.38
15,G4,3.75,0.25,32,143.38
16,F4,4.0,0.25,32,143.38
17,G4,4.25,0.25,32,143.38
18,D3,4.5,1.375,24,143.38
19,B-3,4.5,1.375,33,143.38
20,A4,4.5,1.375,33,143.38
21,F2,5.875,0.125,25,143.38
22,C3,5.938,0.062,29,143.38
23,F4,6.0,1.5,36,143.38
24,C5,6.0,0.75,45,143.38
25,A3,6.0,1.5,30,143.38
26,F2,6.0,3.0,25,143.38
27,C3,6.0,2.938,29,143.38
28,D5,6.75,0.25,38,143.38
29,E5,7.0,0.25,42,143.38
30,D5,7.25,0.25,38,143.38
31,B-3,7.5,1.5,30,143.38
32,C5,7.5,1.0,42,143.38
33,F4,7.5,1.0,42,143.38
34,E4,8.5,0.5,42,143.38
35,G#4,8.5,0.5,42,143.38
36,F2,8.875,0.125,23,143.38
37,C3,8.938,0.062,27,143.38
38,C5,9.0,1.5,48,143.38
39,F4,9.0,2.5,40,143.38
40,A3,9.0,1.5,32,143.38
41,F2,9.0,2.5,23,143.38
42,C3,9.0,2.438,27,143.38
43,F5,10.5,1.0,52,143.38
44,C4,12.0,1.5,40,143.38
45,C5,12.0,0.75,50,143.38
46,A2,12.0,3.0,29,143.38
47,E3,12.0,1.5,34,143.38
48,B4,12.75,0.25,37,143.38
49,A4,13.0,0.25,37,143.38
50,B4,13.25,0.25,37,143.38
51,D4,13.5,1.5,36,143.38
52,C5,13.5,1.0,43,143.38
53,F3,13.5,1.5,29,143.38
54,A4,14.5,0.5,43,143.38
55,E4,15.0,1.5,40,143.38
56,C5,15.0,0.75,50,143.38
57,G3,15.0,1.5,34,143.38
58,A2,15.0,3.0,29,143.38
59,B4,15.75,0.25,38,143.38
60,A4,16.0,0.25,38,143.38
61,B4,16.25,0.25,38,143.38
62,F3,16.5,1.375,29,143.38
63,D4,16.5,1.375,40,143.38
64,C5,16.5,1.375,40,143.38
65,A2,17.875,0.125,25,143.38
66,E3,17.938,0.062,29,143.38
67,A4,18.0,1.5,40,143.38
68,E5,18.0,0.75,50,143.38
69,C4,18.0,1.5,34,143.38
70,A2,18.0,3.0,25,143.38
71,E3,18.0,2.938,29,143.38
72,F5,18.75,0.25,42,143.38
73,G5,19.0,0.25,46,143.38
74,F5,19.25,0.25,42,143.38
75,D4,19.5,1.5,33,143.38
76,E5,19.5,1.0,46,143.38
77,A4,19.5,1.0,46,143.38
78,G#4,20.5,0.5,45,143.38
79,C5,20.5,0.5,45,143.38
80,E5,21.0,1.5,51,143.38
81,A4,21.0,2.0,42,143.38
82,A2,21.0,3.0,29,143.38
83,E3,21.0,3.0,29,143.38
84,C4,21.0,3.0,29,143.38
85,A5,22.5,1.5,53,143.38
86,G#4,23.0,0.5,57,143.38
87,G4,23.5,0.5,61,143.38
88,F#4,24.0,3.0,70,143.38
89,A5,24.0,1.0,53,143.38
90,D3,24.0,2.875,32,143.38
91,C4,24.0,2.875,32,143.38
92,F#5,25.0,0.5,53,143.38
93,D5,25.5,0.5,53,143.38
94,E-5,26.0,0.5,53,143.38
95,E5,26.5,0.5,53,143.38
96,G2,26.875,0.125,34,143.38
97,D3,26.938,0.062,34,143.38
98,F4,27.0,2.5,42,143.38
99,F5,27.0,1.0,53,143.38
100,B3,27.0,2.5,34,143.38
101,G2,27.0,2.5,34,143.38
102,D3,27.0,2.375,34,143.38
103,D5,28.0,0.5,49,143.38
104,B4,28.5,1.0,41,143.38
105,F#4,30.0,3.0,64,143.38
106,D3,30.0,2.875,32,143.38
107,C4,30.0,2.875,32,143.38
108,A5,30.5,0.5,53,143.38
109,F#5,31.0,0.5,47,143.38
110,D5,31.5,0.5,49,143.38
111,E-5,32.0,0.5,53,143.38
112,E5,32.5,0.5,54,143.38
113,G2,32.875,0.125,38,143.38
114,D3,32.938,0.062,40,143.38
115,F4,33.0,2.812,42,143.38
116,E5,33.0,0.5,54,143.38
117,B3,33.0,2.5,43,143.38
118,G2,33.0,2.5,38,143.38
119,D3,33.0,2.375,40,143.38
120,F5,33.5,0.5,62,143.38
121,D5,34.0,0.5,53,143.38
122,A4,34.5,0.5,56,143.38
123,B-4,35.0,0.5,58,143.38
124,B4,35.5,0.5,63,143.38
125,G2,35.812,0.188,40,143.38
126,D3,35.875,0.125,43,143.38
127,A3,35.938,0.062,46,143.38
128,B4,36.0,0.5,63,143.38
129,C4,36.0,3.0,48,143.38
130,G2,36.0,3.0,40,143.38
131,D3,36.0,3.0,43,143.38
132,A3,36.0,3.0,46,143.38
133,C5,36.5,0.5,58,143.38
134,A4,37.0,0.5,53,143.38
135,C#4,37.5,0.5,47,143.38
136,D4,38.0,0.5,43,143.38
137,E4,38.5,0.5,44,143.38
138,F4,39.0,0.5,46,143.38
139,C4,39.0,1.0,48,143.38
140,G2,39.0,1.0,40,143.38
141,D3,39.0,1.0,43,143.38
142,A3,39.0,1.0,46,143.38
143,G#4,39.5,0.5,42,143.38
144,A4,40.0,0.5,39,143.38
145,C#5,40.5,0.5,31,143.38
146,F4,41.0,0.125,27,143.38
147,A4,41.0,0.125,27,143.38
148,D5,41.0,0.125,27,143.38
149,A4,41.5,0.125,28,143.38
150,D5,41.5,0.125,28,143.38
151,F5,41.5,0.125,28,143.38
152,A5,42.0,0.125,35,143.38
153,F5,42.0,0.125,35,143.38
154,D5,42.0,0.125,35,143.38
155,E4,45.0,3.0,40,143.38
156,G#2,45.0,2.5,44,143.38
157,B3,45.0,3.0,36,143.38
158,F3,45.0,3.0,36,143.38
159,G2,47.5,0.5,32,143.38
160,C4,48.0,0.75,40,143.38
161,C2,48.0,1.5,27,143.38
162,E3,48.0,1.5,27,143.38
163,G2,48.0,1.5,27,143.38
164,B3,48.75,0.25,30,143.38
165,C4,49.0,0.25,30,143.38
166,D4,49.25,0.25,30,143.38
167,E4,49.5,1.5,34,143.38
168,F3,49.5,1.5,34,143.38
169,B3,49.5,1.5,34,143.38
170,G#2,49.5,1.5,34,143.38
171,G#3,49.5,1.5,34,143.38
172,C4,51.0,0.75,40,143.38
173,C2,51.0,1.5,27,143.38
174,E3,51.0,1.5,27,143.38
175,G2,51.0,1.5,27,143.38
176,B3,51.75,0.25,30,143.38
177,C4,52.0,0.25,30,143.38
178,D4,52.25,0.25,30,143.38
179,E4,52.5,1.5,34,143.38
180,F3,52.5,1.5,34,143.38
181,B3,52.5,1.5,34,143.38
182,G#2,52.5,1.5,34,143.38
183,G#3,52.5,1.5,34,143.38
184,C4,54.0,0.5,26,143.38
185,E3,54.0,0.5,26,143.38
186,C2,54.0,0.5,24,143.38
187,G2,54.0,0.5,24,143.38
188,E4,55.494,0.5,24,143.38
189,C5,55.494,0.5,24,143.38
190,C3,55.5,0.5,24,143.38
191,G3,55.5,0.5,24,143.38
192,C6,57.0,2.5,26,143.38
193,E5,57.0,2.5,26,143.38
194,C4,57.0,2.5,26,143.38
195,G4,57.0,2.5,26,143.38
196,A3,60.0,1.5,34,143.38
197,A4,60.0,0.75,42,143.38
198,F2,60.0,3.0,24,143.38
199,C3,60.0,1.5,28,143.38
200,G4,60.75,0.25,31,143.38
201,F4,61.0,0.25,31,143.38
202,G4,61.25,0.25,31,143.38
203,B-3,61.5,1.5,30,143.38
204,A4,61.5,1.0,36,143.38
205,D3,61.5,1.5,24,143.38
206,F4,62.5,0.5,36,143.38
207,C4,63.0,1.5,34,143.38
208,A4,63.0,0.75,42,143.38
209,E3,63.0,1.5,28,143.38
210,F2,63.0,3.0,24,143.38
211,G4,63.75,0.25,32,143.38
212,F4,64.0,0.25,32,143.38
213,G4,64.25,0.25,32,143.38
214,D3,64.5,1.375,24,143.38
215,B-3,64.5,1.375,33,143.38
216,A4,64.5,1.375,33,143.38
217,F2,65.875,0.125,22,143.38
218,C3,65.938,0.062,26,143.38
219,F4,66.0,1.5,36,143.38
220,C5,66.0,0.75,45,143.38
221,A3,66.0,1.5,30,143.38
222,F2,66.0,3.0,22,143.38
223,C3,66.0,2.938,26,143.38
224,D5,66.75,0.25,38,143.38
225,E5,67.0,0.25,42,143.38
226,D5,67.25,0.25,38,143.38
227,B-3,67.5,1.5,30,143.38
228,C5,67.5,1.0,42,143.38
229,F4,67.5,1.0,42,143.38
230,E4,68.5,0.5,42,143.38
231,G#4,68.5,0.5,42,143.38
232,F2,68.875,0.125,23,143.38
233,C3,68.938,0.062,27,143.38
234,C5,69.0,1.5,48,143.38
235,F4,69.0,2.5,39,143.38
236,A3,69.0,1.5,32,143.38
237,F2,69.0,2.5,23,143.38
238,C3,69.0,2.438,27,143.38
239,F5,70.5,1.0,51,143.38
240,C4,72.0,1.5,40,143.38
241,C5,72.0,0.75,50,143.38
242,A2,72.0,3.0,29,143.38
243,E3,72.0,1.5,34,143.38
244,B4,72.75,0.25,37,143.38
245,A4,73.0,0.25,37,143.38
246,B4,73.25,0.25,37,143.38
247,D4,73.5,1.5,36,143.38
248,C5,73.5,1.0,43,143.38
249,F3,73.5,1.5,29,143.38
250,A4,74.5,0.5,43,143.38
251,E4,75.0,1.5,40,143.38
252,C5,75.0,0.75,50,143.38
253,G3,75.0,1.5,34,143.38
254,A2,75.0,3.0,29,143.38
255,B4,75.75,0.25,38,143.38
256,A4,76.0,0.25,38,143.38
257,B4,76.25,0.25,38,143.38
258,F3,76.5,1.375,29,143.38
259,D4,76.5,1.375,40,143.38
260,C5,76.5,1.375,40,143.38
261,A2,77.875,0.125,25,143.38
262,E3,77.938,0.062,29,143.38
263,A4,78.0,1.5,40,143.38
264,E5,78.0,0.75,50,143.38
265,C4,78.0,1.5,34,143.38
266,A2,78.0,3.0,25,143.38
267,E3,78.0,2.938,29,143.38
268,F5,78.75,0.25,42,143.38
269,G5,79.0,0.25,46,143.38
270,F5,79.25,0.25,42,143.38
271,D4,79.5,1.5,33,143.38
272,E5,79.5,1.0,46,143.38
273,A4,79.5,1.0,46,143.38
274,G#4,80.5,0.5,45,143.38
275,C5,80.5,0.5,45,143.38
276,E5,81.0,1.5,51,143.38
277,A4,81.0,2.0,42,143.38
278,A2,81.0,3.0,29,143.38
279,E3,81.0,3.0,29,143.38
280,C4,81.0,3.0,29,143.38
281,A5,82.5,1.5,53,143.38
282,G#4,83.0,0.5,57,143.38
283,G4,83.5,0.5,61,143.38
284,F#4,84.0,3.0,70,143.38
285,A5,84.0,1.0,53,143.38
286,D3,84.0,2.875,32,143.38
287,C4,84.0,2.875,32,143.38
288,F#5,85.0,0.5,53,143.38
289,D5,85.5,0.5,53,143.38
290,E-5,86.0,0.5,53,143.38
291,E5,86.5,0.5,53,143.38
292,G2,86.875,0.125,34,143.38
293,D3,86.938,0.062,34,143.38
294,F4,87.0,2.5,42,143.38
295,F5,87.0,1.0,53,143.38
296,B3,87.0,2.5,34,143.38
297,G2,87.0,2.5,34,143.38
298,D3,87.0,2.375,34,143.38
299,D5,88.0,0.5,50,143.38
300,B4,88.5,1.0,46,143.38
301,F#4,90.0,3.0,64,143.38
302,D3,90.0,2.875,32,143.38
303,C4,90.0,2.875,32,143.38
304,A5,90.5,0.5,53,143.38
305,F#5,91.0,0.5,47,143.38
306,D5,91.5,0.5,49,143.38
307,E-5,92.0,0.5,53,143.38
308,E5,92.5,0.5,54,143.38
309,G2,92.875,0.125,38,143.38
310,D3,92.938,0.062,40,143.38
311,F4,93.0,2.812,42,143.38
312,E5,93.0,0.5,54,143.38
313,B3,93.0,2.5,43,143.38
314,G2,93.0,2.5,38,143.38
315,D3,93.0,2.375,40,143.38
316,F5,93.5,0.5,60,143.38
317,D5,94.0,0.5,53,143.38
318,A4,94.5,0.5,56,143.38
319,B-4,95.0,0.5,58,143.38
320,B4,95.5,0.5,63,143.38
321,G2,95.812,0.188,40,143.38
322,D3,95.875,0.125,43,143.38
323,A3,95.938,0.062,46,143.38
324,B4,96.0,0.5,63,143.38
325,C4,96.0,3.0,48,143.38
326,G2,96.0,3.0,40,143.38
327,D3,96.0,3.0,43,143.38
328,A3,96.0,3.0,46,143.38
329,C5,96.5,0.5,58,143.38
330,A4,97.0,0.5,53,143.38
331,C#4,97.5,0.5,47,143.38
332,D4,98.0,0.5,43,143.38
333,E4,98.5,0.5,44,143.38
334,F4,99.0,0.5,46,143.38
335,C4,99.0,1.0,48,143.38
336,G2,99.0,1.0,40,143.38
337,D3,99.0,1.0,43,143.38
338,A3,99.0,1.0,46,143.38
339,G#4,99.5,0.5,42,143.38
340,A4,100.0,0.5,39,143.38
341,C#5,100.5,0.5,31,143.38
342,F4,101.0,0.125,27,143.38
343,A4,101.0,0.125,27,143.38
344,D5,101.0,0.125,27,143.38
345,A4,101.5,0.125,28,143.38
346,D5,101.5,0.125,28,143.38
347,F5,101.5,0.125,28,143.38
348,A5,102.0,0.125,35,143.38
349,F5,102.0,0.125,35,143.38
350,D5,102.0,0.125,35,143.38
351,E4,105.0,3.0,40,143.38
352,G#2,105.0,2.5,44,143.38
353,B3,105.0,3.0,36,143.38
354,F3,105.0,3.0,36,143.38
355,G2,107.5,0.5,32,143.38
356,C4,108.0,0.75,40,143.38
357,C2,108.0,1.5,27,143.38
358,E3,108.0,1.5,27,143.38
359,G2,108.0,1.5,27,143.38
360,B3,108.75,0.25,30,143.38
361,C4,109.0,0.25,30,143.38
362,D4,109.25,0.25,30,143.38
363,E4,109.5,1.5,34,143.38
364,F3,109.5,1.5,34,143.38
365,B3,109.5,1.5,34,143.38
366,G#2,109.5,1.5,34,143.38
367,G#3,109.5,1.5,34,143.38
368,C4,111.0,0.75,40,143.38
369,C2,111.0,1.5,27,143.38
370,E3,111.0,1.5,27,143.38
371,G2,111.0,1.5,27,143.38
372,B3,111.75,0.25,30,143.38
373,C4,112.0,0.25,30,143.38
374,D4,112.25,0.25,30,143.38
375,E4,112.5,1.5,34,143.38
376,F3,112.5,1.5,34,143.38
