,note_name,start_time,duration,velocity,tempo
0,G4,0.0,1.0,40,64.1
1,G2,0.0,0.5,28,64.1
2,B3,0.5,1.0,18,64.1
3,D3,0.5,1.0,18,64.1
4,D4,1.0,1.0,32,64.1
5,B3,1.5,0.5,18,64.1
6,D3,1.5,0.5,18,64.1
7,G4,2.0,1.0,38,64.1
8,G2,2.0,0.5,28,64.1
9,B3,2.5,1.0,19,64.1
10,D3,2.5,1.0,19,64.1
11,D4,3.0,1.0,30,64.1
12,B3,3.5,0.5,19,64.1
13,D3,3.5,0.5,19,64.1
14,G4,4.0,333/1000,37,64.1
15,G2,4.0,0.5,28,64.1
16,F#4,4.333,333/1000,33,64.1
17,D4,4.5,0.5,28,64.1
18,B3,4.5,1.0,22,64.1
19,D3,4.5,1.0,22,64.1
20,G4,4.667,333/1000,35,64.1
21,E4,5.0,0.5,28,64.1
22,A4,5.0,333/1000,39,64.1
23,B4,5.333,333/1000,32,64.1
24,F#4,5.5,0.5,23,64.1
25,C4,5.5,0.5,21,64.1
26,D3,5.5,0.5,21,64.1
27,A4,5.667,333/1000,32,64.1
28,G4,6.0,1.0,38,64.1
29,G2,6.0,0.5,28,64.1
30,B3,6.5,1.0,22,64.1
31,D3,6.5,1.0,22,64.1
32,D4,7.0,0.75,34,64.1
33,B3,7.5,0.25,22,64.1
34,D3,7.5,0.25,22,64.1
35,F#4,7.75,0.25,33,64.1
36,B4,7.875,0.125,36,64.1
37,D5,8.0,2.0,38,64.1
38,F#4,8.0,1.0,33,64.1
39,B4,8.0,1.0,36,64.1
40,G2,8.0,0.5,28,64.1
41,C4,8.5,1.0,22,64.1
42,D3,8.5,1.0,22,64.1
43,A4,9.0,0.75,30,64.1
44,D4,9.0,0.75,30,64.1
45,C4,9.5,0.25,21,64.1
46,D3,9.5,0.25,21,64.1
47,F#4,9.75,0.25,33,64.1
48,B4,9.875,0.125,36,64.1
49,D5,10.0,2.0,38,64.1
50,F#4,10.0,1.0,33,64.1
51,B4,10.0,1.0,36,64.1
52,G2,10.0,0.5,28,64.1
53,C4,10.5,1.0,22,64.1
54,D3,10.5,1.0,22,64.1
55,A4,11.0,0.75,30,64.1
56,D4,11.0,0.75,30,64.1
57,C4,11.5,0.25,21,64.1
58,D3,11.5,0.25,21,64.1
59,F#4,11.75,0.25,33,64.1
60,B4,11.875,0.125,36,64.1
61,D5,12.0,333/1000,38,64.1
62,F#4,12.0,333/1000,33,64.1
63,B4,12.0,333/1000,36,64.1
64,G2,12.0,0.5,28,64.1
65,D4,12.333,333/1000,28,64.1
66,A4,12.333,333/1000,28,64.1
67,C4,12.5,1.0,22,64.1
68,D3,12.5,1.0,22,64.1
69,D5,12.667,333/1000,27,64.1
70,F#4,12.667,333/1000,27,64.1
71,E5,13.0,333/1000,36,64.1
72,G4,13.0,333/1000,36,64.1
73,C5,13.333,333/1000,32,64.1
74,F#5,13.333,333/1000,32,64.1
75,C4,13.5,0.25,21,64.1
76,D3,13.5,0.25,21,64.1
77,G4,13.667,83/1000,24,64.1
78,E5,13.667,167/1000,32,64.1
79,F#4,13.833,167/1000,33,64.1
80,B4,13.917,83/1000,36,64.1
81,D5,14.0,2.0,38,64.1
82,F#4,14.0,1.0,33,64.1
83,B4,14.0,1.0,36,64.1
84,G2,14.0,0.5,28,64.1
85,C4,14.5,1.0,22,64.1
86,D3,14.5,1.0,22,64.1
87,A4,15.0,0.75,30,64.1
88,D4,15.0,0.75,30,64.1
89,C4,15.5,0.25,21,64.1
90,D3,15.5,0.25,21,64.1
91,E5,15.875,0.125,38,64.1
92,G5,16.0,1.0,44,64.1
93,E5,16.0,1.0,38,64.1
94,G3,16.0,0.5,28,64.1
95,B4,16.5,1.0,22,64.1
96,D4,16.5,1.0,22,64.1
97,D5,17.0,1.0,31,64.1
98,G4,17.0,1.0,31,64.1
99,B4,17.5,0.25,21,64.1
100,D4,17.5,0.25,21,64.1
101,E5,17.875,0.125,38,64.1
102,G5,18.0,1.0,44,64.1
103,E5,18.0,1.0,38,64.1
104,G3,18.0,0.5,28,64.1
105,B4,18.5,1.0,22,64.1
106,D4,18.5,1.0,22,64.1
107,D5,19.0,0.875,31,64.1
108,G4,19.0,0.875,31,64.1
109,B4,19.5,0.25,21,64.1
110,D4,19.5,0.25,21,64.1
111,E5,19.875,0.125,34,64.1
112,G5,20.0,333/1000,37,64.1
113,E5,20.0,333/1000,34,64.1
114,G3,20.0,0.5,28,64.1
115,G4,20.333,0.25,28,64.1
116,D5,20.333,333/1000,33,64.1
117,B4,20.5,1.0,22,64.1
118,D4,20.5,1.0,22,64.1
119,G5,20.667,333/1000,40,64.1
120,E5,21.0,0.5,28,64.1
121,A5,21.0,333/1000,44,64.1
122,B5,21.333,333/1000,39,64.1
123,F#5,21.5,0.5,23,64.1
124,C5,21.5,0.375,21,64.1
125,D4,21.5,0.375,21,64.1
126,A5,21.667,26/125,38,64.1
127,E5,21.875,0.125,38,64.1
128,G5,22.0,1.0,44,64.1
129,E5,22.0,1.0,38,64.1
130,G3,22.0,0.5,28,64.1
131,B4,22.5,1.0,22,64.1
132,D4,22.5,1.0,22,64.1
133,D5,23.0,1.0,31,64.1
134,G4,23.0,1.0,31,64.1
135,B4,23.5,0.25,21,64.1
136,D4,23.5,0.25,21,64.1
137,A5,23.75,0.25,36,64.1
138,B5,23.875,0.125,41,64.1
139,D6,24.0,1.75,52,64.1
140,A5,24.0,1.0,36,64.1
141,B5,24.0,1.75,41,64.1
142,D3,24.0,0.5,28,64.1
143,B3,24.5,1.0,18,64.1
144,A4,24.5,1.0,18,64.1
145,D4,24.5,1.0,18,64.1
146,G5,25.0,0.75,30,64.1
147,D5,25.0,0.75,30,64.1
148,B3,25.5,0.25,17,64.1
149,G4,25.5,0.25,17,64.1
150,D4,25.5,0.25,17,64.1
151,B-5,25.75,0.25,36,64.1
152,D6,25.875,0.125,41,64.1
153,E6,26.0,1.75,52,64.1
154,B-5,26.0,1.0,36,64.1
155,D6,26.0,1.0,41,64.1
156,D3,26.0,0.5,28,64.1
157,B-3,26.5,1.0,18,64.1
158,A4,26.5,1.0,18,64.1
159,E4,26.5,1.0,18,64.1
160,C#6,27.0,0.75,30,64.1
161,E5,27.0,0.75,30,64.1
162,B-3,27.5,0.25,17,64.1
163,G4,27.5,0.25,17,64.1
164,E4,27.5,0.25,17,64.1
165,C6,27.75,0.25,36,64.1
166,E6,27.875,0.125,42,64.1
167,F#6,28.0,1.75,52,64.1
168,C6,28.0,1.0,36,64.1
169,E6,28.0,1.0,42,64.1
170,D3,28.0,0.5,28,64.1
171,C4,28.5,1.0,18,64.1
172,B4,28.5,1.0,18,64.1
173,F#4,28.5,1.0,18,64.1
174,D6,29.0,0.75,30,64.1
175,F#5,29.0,0.75,30,64.1
176,C4,29.5,0.25,17,64.1
177,A4,29.5,0.25,17,64.1
178,F#4,29.5,0.25,17,64.1
179,B5,29.75,0.25,41,64.1
180,D6,29.875,0.125,44,64.1
181,G6,30.0,2.0,48,64.1
182,B5,30.0,1.0,41,64.1
183,D6,30.0,1.0,44,64.1
184,G2,30.0,0.5,21,64.1
185,D3,30.0,0.5,21,64.1
186,B3,30.5,1.375,18,64.1
187,G4,30.5,1.375,18,64.1
188,D4,30.5,1.375,18,64.1
189,G5,31.0,0.875,33,64.1
190,G4,32.0,1.0,36,64.1
191,G2,32.0,0.5,25,64.1
192,B3,32.5,1.0,16,64.1
193,D3,32.5,1.0,16,64.1
194,D4,33.0,1.0,28,64.1
195,B3,33.5,0.5,16,64.1
196,D3,33.5,0.5,16,64.1
197,G4,34.0,1.0,34,64.1
198,G2,34.0,0.5,25,64.1
199,B3,34.5,1.0,16,64.1
200,D3,34.5,1.0,16,64.1
201,D4,35.0,1.0,27,64.1
202,B3,35.5,0.5,16,64.1
203,D3,35.5,0.5,16,64.1
204,G4,36.0,333/1000,33,64.1
205,G2,36.0,0.5,25,64.1
206,F#4,36.333,333/1000,29,64.1
207,D4,36.5,0.5,25,64.1
208,B3,36.5,1.0,20,64.1
209,D3,36.5,1.0,20,64.1
210,G4,36.667,333/1000,31,64.1
211,E4,37.0,0.5,25,64.1
212,A4,37.0,333/1000,35,64.1
213,B4,37.333,333/1000,28,64.1
214,F#4,37.5,0.5,20,64.1
215,C4,37.5,0.5,18,64.1
216,D3,37.5,0.5,18,64.1
217,A4,37.667,333/1000,28,64.1
218,G4,38.0,1.0,34,64.1
219,G2,38.0,0.5,25,64.1
220,B3,38.5,1.0,20,64.1
221,D3,38.5,1.0,20,64.1
222,D4,39.0,0.75,30,64.1
223,B3,39.5,0.25,20,64.1
224,D3,39.5,0.25,20,64.1
225,F#4,39.75,0.25,29,64.1
226,B4,39.875,0.125,32,64.1
227,D5,40.0,2.0,34,64.1
228,F#4,40.0,1.0,29,64.1
229,B4,40.0,1.0,32,64.1
230,G2,40.0,0.5,25,64.1
231,C4,40.5,1.0,20,64.1
232,D3,40.5,1.0,20,64.1
233,A4,41.0,0.75,27,64.1
234,D4,41.0,0.75,27,64.1
235,C4,41.5,0.25,18,64.1
236,D3,41.5,0.25,18,64.1
237,F#4,41.75,0.25,33,64.1
238,B4,41.875,0.125,36,64.1
239,D5,42.0,2.0,38,64.1
240,F#4,42.0,1.0,33,64.1
241,B4,42.0,1.0,36,64.1
242,G2,42.0,0.5,28,64.1
243,C4,42.5,1.0,22,64.1
244,D3,42.5,1.0,22,64.1
245,A4,43.0,0.75,30,64.1
246,D4,43.0,0.75,30,64.1
247,C4,43.5,0.25,21,64.1
248,D3,43.5,0.25,21,64.1
249,F#4,43.75,0.25,33,64.1
250,B4,43.875,0.125,36,64.1
251,D5,44.0,333/1000,38,64.1
252,F#4,44.0,333/1000,33,64.1
253,B4,44.0,333/1000,36,64.1
254,G2,44.0,0.5,28,64.1
255,D4,44.333,333/1000,28,64.1
256,A4,44.333,333/1000,28,64.1
257,C4,44.5,1.0,22,64.1
258,D3,44.5,1.0,22,64.1
259,D5,44.667,333/1000,27,64.1
260,F#4,44.667,333/1000,27,64.1
261,E5,45.0,333/1000,36,64.1
262,G4,45.0,333/1000,36,64.1
263,C5,45.333,333/1000,32,64.1
264,F#5,45.333,333/1000,32,64.1
265,C4,45.5,0.25,21,64.1
266,D3,45.5,0.25,21,64.1
267,G4,45.667,83/1000,24,64.1
268,E5,45.667,167/1000,32,64.1
269,F#4,45.833,167/1000,33,64.1
270,B4,45.917,83/1000,36,64.1
271,D5,46.0,2.0,38,64.1
272,F#4,46.0,1.0,33,64.1
273,B4,46.0,1.0,36,64.1
274,G2,46.0,0.5,28,64.1
275,C4,46.5,1.0,22,64.1
