,note_name,start_time,duration,velocity,tempo
0,F#5,0.0,0.75,54,120.73
1,D3,0.25,0.25,36,120.73
2,G#3,0.5,0.25,36,120.73
3,G#4,0.75,0.25,48,120.73
4,B3,0.75,0.25,36,120.73
5,A4,1.0,0.25,51,120.73
6,F#4,1.0,0.25,45,120.73
7,B-4,1.25,0.25,52,120.73
8,B4,1.5,0.25,53,120.73
9,C5,1.75,0.25,55,120.73
10,C#5,2.0,0.25,56,120.73
11,D5,2.25,0.25,57,120.73
12,E-5,2.5,0.25,58,120.73
13,E5,2.75,0.25,59,120.73
14,A5,3.0,0.25,69,120.73
15,E5,3.25,0.25,60,120.73
16,C#3,3.25,0.25,40,120.73
17,C#5,3.5,0.25,62,120.73
18,A3,3.5,0.25,44,120.73
19,A4,3.75,0.25,60,120.73
20,E4,3.75,0.25,40,120.73
21,G4,4.0,0.75,68,120.73
22,B-2,4.25,0.25,40,120.73
23,E3,4.5,0.25,43,120.73
24,E5,4.75,0.25,49,120.73
25,C#4,4.75,0.25,40,120.73
26,G#4,5.0,0.75,69,120.73
27,B2,5.25,0.25,40,120.73
28,E3,5.5,0.25,43,120.73
29,E5,5.75,0.25,49,120.73
30,D4,5.75,0.25,40,120.73
31,G4,6.0,0.75,70,120.73
32,B-2,6.25,0.25,38,120.73
33,E3,6.5,0.25,46,120.73
34,E5,6.75,0.25,47,120.73
35,C#4,6.75,0.25,38,120.73
36,G#4,7.0,0.75,69,120.73
37,B2,7.25,0.25,38,120.73
38,E3,7.5,0.25,44,120.73
39,F5,7.75,0.25,49,120.73
40,D4,7.75,0.25,38,120.73
41,F#5,8.0,0.75,67,120.73
42,D3,8.25,0.25,36,120.73
43,G#3,8.5,0.25,36,120.73
44,G#4,8.75,0.25,54,120.73
45,B3,8.75,0.25,36,120.73
46,A4,9.0,0.25,53,120.73
47,F#4,9.0,0.25,45,120.73
48,B-4,9.25,0.25,54,120.73
49,B4,9.5,0.25,55,120.73
50,C5,9.75,0.25,57,120.73
51,C#5,10.0,0.25,58,120.73
52,D5,10.25,0.25,60,120.73
53,E-5,10.5,0.25,61,120.73
54,E5,10.75,0.25,63,120.73
55,A5,11.0,0.25,69,120.73
56,E5,11.25,0.25,60,120.73
57,C#3,11.25,0.25,40,120.73
58,C#5,11.5,0.25,62,120.73
59,A3,11.5,0.25,44,120.73
60,A4,11.75,0.25,60,120.73
61,E4,11.75,0.25,40,120.73
62,C#6,12.0,0.75,76,120.73
63,A3,12.25,0.25,39,120.73
64,E-4,12.5,0.25,39,120.73
65,E-5,12.75,0.25,60,120.73
66,F#4,12.75,0.25,40,120.73
67,E5,13.0,0.25,59,120.73
68,C#5,13.0,0.25,50,120.73
69,F5,13.25,0.25,61,120.73
70,F#5,13.5,0.25,63,120.73
71,G5,13.75,0.25,66,120.73
72,G#5,14.0,0.25,67,120.73
73,A5,14.25,0.25,70,120.73
74,B-5,14.5,0.25,72,120.73
75,B5,14.75,0.25,75,120.73
76,E6,15.0,0.25,83,120.73
77,B5,15.25,0.25,73,120.73
78,G#3,15.25,0.25,48,120.73
79,G#5,15.5,0.25,76,120.73
80,E4,15.5,0.25,54,120.73
81,E5,15.75,0.25,74,120.73
82,B4,15.75,123/500,49,120.73
83,B4,16.0,0.75,78,120.73
84,B2,16.25,0.25,45,120.73
85,G#3,16.5,0.25,48,120.73
86,G#5,16.75,0.25,55,120.73
87,E4,16.75,0.25,44,120.73
88,G#4,17.0,0.75,77,120.73
89,E5,17.75,0.25,50,120.73
90,E4,18.0,0.75,68,120.73
91,B2,18.25,0.25,36,120.73
92,G3,18.5,0.25,42,120.73
93,C#5,18.75,0.25,43,120.73
94,E4,18.75,0.25,34,120.73
95,C#4,19.0,0.75,61,120.73
96,B-4,19.75,0.25,39,120.73
97,C4,20.0,0.75,53,120.73
98,B2,20.25,0.25,31,120.73
99,F#3,20.5,0.25,32,120.73
100,A4,20.75,0.25,36,120.73
101,E-4,20.75,0.25,29,120.73
102,A3,21.0,0.75,50,120.73
103,F#4,21.75,0.25,32,120.73
104,G#3,22.0,0.75,47,120.73
105,E2,22.25,0.25,24,120.73
106,B2,22.5,0.25,30,120.73
107,E4,22.75,0.25,37,120.73
108,E1,23.0,0.25,38,120.73
109,F#5,24.0,0.75,53,120.73
110,D3,24.25,0.25,36,120.73
111,G#3,24.5,0.25,36,120.73
112,G#4,24.75,0.25,48,120.73
113,B3,24.75,0.25,36,120.73
114,A4,25.0,0.25,52,120.73
115,F#4,25.0,0.25,45,120.73
116,B-4,25.25,0.25,53,120.73
117,B4,25.5,0.25,54,120.73
118,C5,25.75,0.25,55,120.73
119,C#5,26.0,0.25,56,120.73
120,D5,26.25,0.25,58,120.73
121,E-5,26.5,0.25,59,120.73
122,E5,26.75,0.25,60,120.73
123,A5,27.0,0.25,69,120.73
124,E5,27.25,0.25,60,120.73
125,C#3,27.25,0.25,40,120.73
126,C#5,27.5,0.25,62,120.73
127,A3,27.5,0.25,44,120.73
128,A4,27.75,0.25,60,120.73
129,E4,27.75,0.25,40,120.73
130,G4,28.0,0.75,68,120.73
131,B-2,28.25,0.25,40,120.73
132,E3,28.5,0.25,43,120.73
133,E5,28.75,0.25,49,120.73
134,C#4,28.75,0.25,40,120.73
135,G#4,29.0,0.75,69,120.73
136,B2,29.25,0.25,40,120.73
137,E3,29.5,0.25,43,120.73
138,E5,29.75,0.25,50,120.73
139,D4,29.75,0.25,40,120.73
140,G4,30.0,0.75,70,120.73
141,B-2,30.25,0.25,38,120.73
142,E3,30.5,0.25,46,120.73
143,E5,30.75,0.25,49,120.73
144,C#4,30.75,0.25,38,120.73
145,G#4,31.0,0.75,69,120.73
146,B2,31.25,0.25,38,120.73
147,E3,31.5,0.25,44,120.73
148,F5,31.75,0.25,45,120.73
149,D4,31.75,0.25,38,120.73
150,F#5,32.0,0.75,67,120.73
151,D3,32.25,0.25,36,120.73
152,G#3,32.5,0.25,36,120.73
153,G#4,32.75,0.25,54,120.73
154,B3,32.75,0.25,36,120.73
155,A4,33.0,0.25,53,120.73
156,F#4,33.0,0.25,45,120.73
157,B-4,33.25,0.25,54,120.73
158,B4,33.5,0.25,55,120.73
159,C5,33.75,0.25,57,120.73
160,C#5,34.0,0.25,58,120.73
161,D5,34.25,0.25,60,120.73
162,E-5,34.5,0.25,61,120.73
163,E5,34.75,0.25,63,120.73
164,A5,35.0,0.25,69,120.73
165,E5,35.25,0.25,60,120.73
166,C#3,35.25,0.25,40,120.73
167,C#5,35.5,0.25,62,120.73
168,A3,35.5,0.25,44,120.73
169,A4,35.75,0.25,60,120.73
170,E4,35.75,0.25,40,120.73
171,C#6,36.0,0.75,76,120.73
172,A3,36.25,0.25,39,120.73
173,E-4,36.5,0.25,39,120.73
174,E-5,36.75,0.25,60,120.73
175,F#4,36.75,0.25,40,120.73
176,E5,37.0,0.25,59,120.73
177,C#5,37.0,0.25,50,120.73
178,F5,37.25,0.25,61,120.73
179,F#5,37.5,0.25,63,120.73
180,G5,37.75,0.25,66,120.73
