,note_name,start_time,duration,velocity,tempo
0,E-6,1.875,0.125,70,100.0
1,D6,2.0,0.5,77,100.0
2,D6,2.5,0.5,70,100.0
3,B-5,2.5,0.25,58,100.0
4,G4,2.5,1.5,45,100.0
5,D5,2.5,1.5,45,100.0
6,G5,2.75,0.25,70,100.0
7,C5,3.0,0.5,54,100.0
8,G5,3.0,0.5,69,100.0
9,A5,3.0,0.5,69,100.0
10,A5,3.5,0.375,68,100.0
11,F#5,3.5,0.25,57,100.0
12,A4,3.5,0.375,49,100.0
13,D5,3.75,0.125,68,100.0
14,E-6,3.875,0.125,70,100.0
15,D6,4.0,0.5,77,100.0
16,D6,4.5,0.5,71,100.0
17,B-5,4.5,0.25,59,100.0
18,G4,4.5,1.5,45,100.0
19,D5,4.5,1.5,45,100.0
20,G5,4.75,0.25,72,100.0
21,C5,5.0,0.5,56,100.0
22,G5,5.0,0.5,72,100.0
23,A5,5.0,0.5,72,100.0
24,A5,5.5,0.5,72,100.0
25,F#5,5.5,0.25,60,100.0
26,A4,5.5,0.5,52,100.0
27,D5,5.75,0.25,73,100.0
28,G6,6.0,0.25,69,100.0
29,A6,6.0,0.5,82,100.0
30,F#6,6.25,0.25,66,100.0
31,D6,6.5,0.25,70,100.0
32,A5,6.5,62/125,78,100.0
33,G5,6.5,0.25,65,100.0
34,F#5,6.75,0.25,63,100.0
35,G5,7.0,0.25,61,100.0
36,A5,7.0,0.5,73,100.0
37,D5,7.0,0.25,66,100.0
38,F#5,7.25,0.25,58,100.0
39,D5,7.5,0.25,62,100.0
40,G4,7.5,0.25,57,100.0
41,A4,7.5,62/125,69,100.0
42,F#4,7.75,0.25,56,100.0
43,G4,8.0,0.25,53,100.0
44,A4,8.0,0.5,63,100.0
45,D4,8.0,0.25,57,100.0
46,F#4,8.25,0.25,54,100.0
47,D4,8.5,0.5,57,100.0
48,D3,8.5,0.25,46,100.0
49,F#4,8.75,0.25,50,100.0
50,G4,9.0,0.875,57,100.0
51,G2,9.0,0.875,47,100.0
52,G3,9.0,0.875,47,100.0
53,E-5,9.875,0.125,63,100.0
54,D5,10.0,0.5,69,100.0
55,D5,10.5,0.5,66,100.0
56,B-4,10.5,0.25,55,100.0
57,G3,10.5,1.5,40,100.0
58,D4,10.5,1.5,40,100.0
59,G4,10.75,0.25,63,100.0
60,C4,11.0,0.5,48,100.0
