,note_name,start_time,duration,velocity,tempo
0,E-2,0.002,0.25,36,193.0
1,B-2,0.5,0.25,32,193.0
2,E-2,1.0,0.25,32,193.0
3,B-1,1.5,0.25,32,193.0
4,E-2,2.0,0.25,36,193.0
5,B-2,2.5,0.25,32,193.0
6,E-2,3.0,0.25,32,193.0
7,E-4,3.5,0.25,36,193.0
8,B-1,3.5,0.25,32,193.0
9,F4,3.75,0.25,36,193.0
10,E-2,4.0,0.25,36,193.0
11,F#4,4.0,0.25,39,193.0
12,B-4,4.0,0.25,39,193.0
13,F4,4.25,0.25,36,193.0
14,E-4,4.5,0.25,36,193.0
15,B-2,4.5,0.25,33,193.0
16,F4,4.75,0.25,36,193.0
17,E-2,5.0,0.25,33,193.0
18,F#4,5.0,0.25,37,193.0
19,B-4,5.0,0.25,37,193.0
20,F4,5.25,0.25,36,193.0
21,E-4,5.5,0.25,36,193.0
22,B-1,5.5,0.25,33,193.0
23,F4,5.75,0.25,36,193.0
24,E-2,6.0,0.25,36,193.0
25,B-4,6.0,0.25,39,193.0
26,F#4,6.0,0.25,39,193.0
27,B-2,6.5,0.25,33,193.0
28,F#4,6.5,0.25,36,193.0
29,E-4,6.5,0.25,36,193.0
30,E-2,7.0,0.25,33,193.0
31,F#4,7.0,0.25,36,193.0
32,E-4,7.0,0.25,36,193.0
33,B-1,7.5,0.25,33,193.0
34,F#4,7.5,0.25,36,193.0
35,B-4,7.5,0.25,36,193.0
36,E-2,8.0,0.25,36,193.0
37,F4,8.0,0.25,40,193.0
38,A4,8.0,0.25,40,193.0
39,B-2,8.5,0.25,33,193.0
40,C4,8.5,0.25,36,193.0
41,F4,8.5,0.25,36,193.0
42,E-2,9.0,0.25,33,193.0
43,F4,9.0,0.25,36,193.0
44,C4,9.0,0.25,36,193.0
45,B-1,9.5,0.25,33,193.0
46,F4,9.5,0.25,36,193.0
47,A4,9.5,0.25,36,193.0
48,E-2,10.0,0.25,36,193.0
49,A4,10.0,1.5,43,193.0
50,F4,10.0,1.5,43,193.0
51,B-2,10.5,0.25,32,193.0
52,E-2,11.0,0.25,32,193.0
53,G#4,11.5,0.25,36,193.0
54,B-1,11.5,0.25,32,193.0
55,B-4,11.75,0.25,39,193.0
56,E-2,12.0,0.25,39,193.0
57,B4,12.0,0.25,43,193.0
58,E-5,12.0,0.25,43,193.0
59,B-4,12.25,0.25,40,193.0
60,G#4,12.5,0.25,40,193.0
61,B-2,12.5,0.25,36,193.0
62,B-4,12.75,0.25,40,193.0
63,E-2,13.0,0.25,36,193.0
64,E-5,13.0,0.25,43,193.0
65,B4,13.0,0.25,43,193.0
66,B-4,13.25,0.25,40,193.0
67,G#4,13.5,0.25,40,193.0
68,B-1,13.5,0.25,36,193.0
69,B-4,13.75,0.25,40,193.0
70,E-2,14.0,0.25,39,193.0
71,B4,14.0,0.25,43,193.0
72,E-5,14.0,0.25,43,193.0
73,B-2,14.5,0.25,36,193.0
74,B4,14.5,0.25,40,193.0
75,G#4,14.5,0.25,40,193.0
76,E-2,15.0,0.25,36,193.0
77,G#4,15.0,0.25,40,193.0
78,B4,15.0,0.25,40,193.0
79,B-1,15.5,0.25,36,193.0
80,E-5,15.5,0.25,40,193.0
81,B4,15.5,0.25,40,193.0
82,E-2,16.0,0.25,39,193.0
83,B-4,16.0,0.25,43,193.0
84,D5,16.0,0.25,43,193.0
85,B-2,16.5,0.25,36,193.0
86,B-4,16.5,0.25,40,193.0
87,F4,16.5,0.25,40,193.0
88,E-2,17.0,0.25,36,193.0
89,B-4,17.0,0.25,40,193.0
90,F4,17.0,0.25,40,193.0
91,B-1,17.5,0.25,36,193.0
92,D5,17.5,0.25,40,193.0
93,B-4,17.5,0.25,40,193.0
94,E-2,18.0,0.25,39,193.0
95,B-4,18.0,0.75,46,193.0
96,D5,18.0,0.75,46,193.0
97,B-2,18.5,0.25,36,193.0
98,E-2,19.0,0.25,36,193.0
99,F#5,19.5,0.25,74,193.0
100,G#5,19.75,0.25,74,193.0
101,B-5,20.0,0.25,86,193.0
102,C#6,20.0,0.25,86,193.0
103,F#4,20.0,1.5,67,193.0
104,C#5,20.0,1.5,67,193.0
105,G#5,20.25,0.25,73,193.0
106,F#5,20.5,0.25,73,193.0
107,G#5,20.75,0.25,73,193.0
108,C#6,21.0,229/500,79,193.0
109,B-5,21.0,229/500,79,193.0
110,C#5,21.5,0.25,73,193.0
