,note_name,start_time,duration,velocity,tempo
0,C3,0.0,3.0,40,156.6
1,C4,0.0,1.5,96,156.6
2,B3,1.5,1.5,32,156.6
3,C5,2.0,0.5,40,156.6
4,D5,2.5,0.5,37,156.6
5,F4,3.0,1.5,34,156.6
6,E5,3.0,0.5,45,156.6
7,A3,3.0,1.5,33,156.6
8,C3,3.0,3.0,40,156.6
9,C5,3.5,0.5,38,156.6
10,E5,4.0,0.75,38,156.6
11,G4,4.5,1.5,34,156.6
12,B3,4.5,1.5,27,156.6
13,D5,4.75,0.125,34,156.6
14,E5,4.875,0.125,34,156.6
15,D5,5.0,0.5,43,156.6
16,B4,5.5,0.5,38,156.6
17,E4,6.0,1.5,34,156.6
18,D5,6.0,0.25,40,156.6
19,G3,6.0,1.5,31,156.6
20,C3,6.0,3.0,40,156.6
21,D5,7.0,1.0,49,156.6
22,F4,7.5,1.5,34,156.6
23,A3,7.5,1.5,29,156.6
24,C5,8.0,0.5,40,156.6
25,A4,8.5,0.5,37,156.6
26,D4,9.0,1.5,34,156.6
27,C5,9.0,0.5,45,156.6
28,F3,9.0,1.5,33,156.6
29,C3,9.0,3.0,40,156.6
30,A4,9.5,0.5,38,156.6
31,C5,10.0,0.5,38,156.6
32,B4,10.5,0.5,45,156.6
33,C4,10.5,1.5,34,156.6
34,E3,10.5,1.5,27,156.6
35,G4,11.0,0.5,43,156.6
36,B4,11.5,0.5,38,156.6
37,B3,12.0,1.5,34,156.6
38,A4,12.0,0.25,40,156.6
39,D3,12.0,1.5,31,156.6
40,C3,12.0,3.0,40,156.6
41,A4,13.0,1.0,46,156.6
42,C4,13.5,1.5,34,156.6
43,E3,13.5,1.5,27,156.6
44,G4,14.0,0.5,40,156.6
45,E4,14.5,0.5,37,156.6
46,B3,15.0,1.5,34,156.6
47,G4,15.0,0.5,45,156.6
48,G2,15.0,3.0,28,156.6
49,D3,15.0,1.5,33,156.6
50,D4,15.5,0.5,38,156.6
51,G4,16.0,0.75,38,156.6
52,A3,16.5,1.5,34,156.6
53,C3,16.5,1.5,27,156.6
54,E4,16.75,0.125,34,156.6
55,F#4,16.875,0.125,34,156.6
56,E4,17.0,0.5,43,156.6
57,D4,17.5,0.5,38,156.6
58,B3,18.0,1.5,30,156.6
59,G4,18.0,0.5,40,156.6
60,D3,18.0,1.5,29,156.6
61,G2,18.0,3.0,28,156.6
62,D4,18.5,0.5,33,156.6
63,G4,19.0,0.75,32,156.6
64,A3,19.5,1.5,28,156.6
65,C3,19.5,1.5,22,156.6
66,E4,19.75,0.125,27,156.6
67,F#4,19.875,0.125,27,156.6
68,E4,20.0,0.5,34,156.6
69,D4,20.5,0.5,29,156.6
70,B3,21.0,0.25,28,156.6
71,G4,21.0,0.25,28,156.6
72,G2,21.0,1.5,21,156.6
73,D3,21.0,1.5,21,156.6
74,B3,22.0,2.0,26,156.6
75,G4,22.0,2.0,26,156.6
76,G1,22.5,1.5,21,156.6
77,D2,22.5,1.5,21,156.6
78,C3,24.0,3.0,40,156.6
79,C4,24.0,1.5,96,156.6
80,B3,25.5,1.5,32,156.6
