,note_name,start_time,duration,velocity,tempo
0,A2,0.0,1.0,36,140.0
1,C4,1.0,1.0,26,140.0
2,E3,1.0,1.0,26,140.0
3,E3,2.0,1.0,26,140.0
4,C4,2.0,1.0,26,140.0
5,A2,3.0,1.0,36,140.0
6,E3,4.0,1.0,26,140.0
7,C4,4.0,1.0,26,140.0
8,C4,5.0,1.0,26,140.0
9,E3,5.0,1.0,26,140.0
10,E4,6.0,1.0,50,140.0
11,A2,6.0,1.0,36,140.0
12,F#4,7.0,0.25,49,140.0
13,E3,7.0,1.0,26,140.0
14,C4,7.0,1.0,26,140.0
15,G#4,7.5,0.125,49,140.0
16,A4,8.0,0.5,53,140.0
17,C4,8.0,1.0,26,140.0
18,E3,8.0,1.0,26,140.0
19,A4,9.0,1.0,56,140.0
20,A2,9.0,1.0,36,140.0
21,B4,10.0,0.25,58,140.0
22,D4,10.0,1.0,26,140.0
23,E3,10.0,1.0,26,140.0
24,G#4,10.5,0.125,50,140.0
25,F#4,11.0,0.25,48,140.0
26,D4,11.0,1.0,26,140.0
27,E3,11.0,1.0,26,140.0
28,A4,11.875,0.125,39,140.0
29,F#4,12.0,0.25,50,140.0
30,A2,12.0,1.0,36,140.0
31,E4,13.0,2.0,47,140.0
32,C4,13.0,1.0,24,140.0
33,E3,13.0,1.0,24,140.0
34,C4,14.0,1.0,24,140.0
35,E3,14.0,1.0,24,140.0
36,E4,15.0,1.0,47,140.0
37,A2,15.0,1.0,36,140.0
38,E3,16.0,1.0,23,140.0
39,C4,16.0,1.0,23,140.0
40,C4,17.0,1.0,24,140.0
41,E3,17.0,1.0,24,140.0
42,A2,18.0,1.0,36,140.0
43,E4,18.5,0.25,43,140.0
44,F#4,19.0,0.125,46,140.0
45,C4,19.0,1.0,26,140.0
46,E3,19.0,1.0,26,140.0
47,G#4,19.5,0.125,49,140.0
48,G#4,20.0,0.5,54,140.0
49,E3,20.0,1.0,26,140.0
50,C4,20.0,1.0,26,140.0
51,A4,20.5,0.5,51,140.0
52,A2,21.0,1.0,36,140.0
53,A4,21.5,0.125,51,140.0
54,B4,22.0,0.125,56,140.0
55,E3,22.0,1.0,26,140.0
56,D4,22.0,1.0,26,140.0
57,G#4,22.5,0.125,50,140.0
58,G#4,23.0,0.5,48,140.0
59,D4,23.0,1.0,26,140.0
60,E3,23.0,1.0,26,140.0
61,F#4,23.5,0.25,50,140.0
62,A4,23.875,0.125,39,140.0
63,F#4,24.0,0.25,50,140.0
64,A2,24.0,1.0,36,140.0
65,E4,25.0,2.0,47,140.0
66,C4,25.0,1.0,24,140.0
67,E3,25.0,1.0,24,140.0
68,C4,26.0,1.0,24,140.0
69,E3,26.0,1.0,24,140.0
70,E4,27.0,1.0,47,140.0
71,A2,27.0,1.0,36,140.0
72,C4,28.0,1.0,23,140.0
73,E3,28.0,1.0,23,140.0
74,E3,29.0,1.0,24,140.0
75,C4,29.0,1.0,24,140.0
76,G4,30.0,251/500,40,140.0
77,E5,30.0,251/500,40,140.0
78,C4,30.0,251/500,30,140.0
79,E4,30.0,251/500,30,140.0
80,E5,31.0,251/500,44,140.0
81,G#4,31.0,251/500,44,140.0
82,F4,31.0,251/500,33,140.0
83,C4,31.0,251/500,33,140.0
84,A4,32.0,251/500,48,140.0
85,E5,32.0,251/500,48,140.0
86,C4,32.0,251/500,36,140.0
87,F#4,32.0,251/500,36,140.0
88,B4,33.0,3.0,45,140.0
89,E5,33.0,333/1000,54,140.0
90,D4,33.0,3.0,40,140.0
91,G4,33.0,3.0,40,140.0
92,G3,33.0,3.0,40,140.0
93,D5,33.333,333/1000,44,140.0
94,C5,33.667,333/1000,44,140.0
95,D5,34.0,2.0,48,140.0
96,C5,36.0,63/125,40,140.0
97,E4,36.0,63/125,40,140.0
98,C4,36.0,63/125,30,140.0
99,A3,36.0,63/125,30,140.0
100,C5,37.0,63/125,44,140.0
101,F4,37.0,63/125,44,140.0
102,A3,37.0,63/125,33,140.0
103,D4,37.0,63/125,33,140.0
104,F#4,38.0,63/125,48,140.0
105,C5,38.0,63/125,48,140.0
106,E-4,38.0,63/125,36,140.0
107,A3,38.0,63/125,36,140.0
108,G4,39.0,3.0,45,140.0
109,C5,39.0,333/1000,54,140.0
110,B3,39.0,3.0,40,140.0
111,E4,39.0,3.0,40,140.0
112,E3,39.0,3.0,40,140.0
113,B4,39.333,333/1000,44,140.0
114,A4,39.667,333/1000,44,140.0
115,B4,40.0,2.0,48,140.0
116,F4,42.0,3.0,45,140.0
117,B4,42.0,333/1000,54,140.0
118,C4,42.0,3.0,42,140.0
119,F3,42.0,3.0,42,140.0
120,A4,42.333,333/1000,44,140.0
121,G4,42.667,333/1000,44,140.0
122,A4,43.0,2.0,48,140.0
123,F4,45.0,333/1000,59,140.0
124,G4,45.0,3.0,43,140.0
125,G3,45.0,3.0,44,140.0
126,C4,45.0,3.0,44,140.0
127,C3,45.0,3.0,44,140.0
128,E4,45.34,333/1000,48,140.0
129,D4,45.663,333/1000,48,140.0
130,E4,46.0,2.0,52,140.0
131,C4,48.0,1.0,56,140.0
132,F4,48.0,1.0,56,140.0
133,A3,48.0,1.0,48,140.0
134,D3,48.0,1.0,48,140.0
135,G4,49.0,0.25,56,140.0
136,C4,49.0,0.25,56,140.0
137,E3,49.0,0.25,46,140.0
138,A3,49.0,0.25,46,140.0
139,A4,49.5,0.25,52,140.0
140,C4,49.5,0.25,52,140.0
141,A3,49.5,0.25,44,140.0
142,F3,49.5,0.25,44,140.0
143,F4,50.0,0.375,61,140.0
144,C4,50.0,0.375,61,140.0
145,D3,50.0,0.375,52,140.0
146,A3,50.0,0.375,52,140.0
147,D4,51.0,0.375,44,140.0
148,B3,51.0,0.375,44,140.0
149,A3,51.0,0.375,38,140.0
150,F3,51.0,0.375,38,140.0
151,E4,52.0,2.0,38,140.0
152,B3,52.0,2.0,38,140.0
153,E3,52.0,2.0,38,140.0
154,G#3,52.0,2.0,38,140.0
155,A2,54.0,1.0,36,140.0
156,C4,55.0,1.0,26,140.0
157,E3,55.0,1.0,26,140.0
158,C4,56.0,1.0,26,140.0
159,E3,56.0,1.0,26,140.0
160,A2,57.0,1.0,36,140.0
161,E3,58.0,1.0,26,140.0
162,C4,58.0,1.0,26,140.0
163,E3,59.0,1.0,26,140.0
164,C4,59.0,1.0,26,140.0
165,E4,60.0,1.0,50,140.0
166,A2,60.0,1.0,36,140.0
167,F#4,61.0,0.25,48,140.0
168,E3,61.0,1.0,26,140.0
169,C4,61.0,1.0,26,140.0
170,G#4,61.5,0.125,46,140.0
171,A4,62.0,0.5,53,140.0
172,E3,62.0,1.0,26,140.0
173,C4,62.0,1.0,26,140.0
174,A4,63.0,1.0,54,140.0
175,A2,63.0,1.0,36,140.0
176,B4,64.0,0.25,58,140.0
177,E3,64.0,1.0,26,140.0
178,D4,64.0,1.0,26,140.0
179,G#4,64.5,0.125,53,140.0
180,F#4,65.0,0.5,48,140.0
181,E3,65.0,1.0,26,140.0
182,D4,65.0,1.0,26,140.0
183,A4,65.875,0.125,39,140.0
184,F#4,66.0,0.25,50,140.0
185,A2,66.0,1.0,36,140.0
186,E4,67.0,2.0,47,140.0
187,C4,67.0,1.0,24,140.0
188,E3,67.0,1.0,24,140.0
189,E3,68.0,1.0,24,140.0
190,C4,68.0,1.0,24,140.0
191,E4,69.0,1.0,47,140.0
192,A2,69.0,1.0,36,140.0
193,C4,70.0,1.0,23,140.0
194,E3,70.0,1.0,23,140.0
195,C4,71.0,1.0,24,140.0
196,E3,71.0,1.0,24,140.0
197,A2,72.0,1.0,36,140.0
198,E4,72.5,0.125,43,140.0
199,F#4,73.0,0.125,48,140.0
200,E3,73.0,1.0,26,140.0
201,C4,73.0,1.0,26,140.0
202,G#4,73.5,0.125,44,140.0
203,G#4,74.0,0.5,54,140.0
204,E3,74.0,1.0,26,140.0
205,C4,74.0,1.0,26,140.0
206,A4,74.5,0.5,50,140.0
207,A2,75.0,1.0,36,140.0
208,A4,75.5,0.125,52,140.0
209,B4,76.0,0.125,56,140.0
210,E3,76.0,1.0,26,140.0
211,D4,76.0,1.0,26,140.0
212,G#4,76.5,0.125,50,140.0
213,G#4,77.0,0.5,48,140.0
214,E3,77.0,1.0,26,140.0
215,D4,77.0,1.0,26,140.0
216,F#4,77.5,0.25,50,140.0
217,A4,77.875,0.125,39,140.0
218,F#4,78.0,0.25,50,140.0
219,A2,78.0,1.0,36,140.0
220,E4,79.0,2.0,47,140.0
221,E3,79.0,1.0,24,140.0
222,C4,79.0,1.0,24,140.0
223,C4,80.0,1.0,24,140.0
224,E3,80.0,1.0,24,140.0
225,E4,81.0,1.0,47,140.0
226,A2,81.0,1.0,36,140.0
227,C4,82.0,1.0,23,140.0
228,E3,82.0,1.0,23,140.0
229,C4,83.0,1.0,24,140.0
230,E3,83.0,1.0,24,140.0
231,G4,84.0,63/125,40,140.0
232,E5,84.0,63/125,40,140.0
233,C4,84.0,63/125,30,140.0
234,E4,84.0,63/125,30,140.0
235,G#4,85.0,63/125,44,140.0
236,E5,85.0,63/125,44,140.0
237,F4,85.0,63/125,33,140.0
238,C4,85.0,63/125,33,140.0
239,A4,86.0,63/125,48,140.0
240,E5,86.0,63/125,48,140.0
241,F#4,86.0,63/125,36,140.0
242,C4,86.0,63/125,36,140.0
243,E5,87.0,333/1000,54,140.0
244,B4,87.0,3.0,45,140.0
245,G3,87.0,3.0,40,140.0
246,G4,87.0,3.0,40,140.0
247,D4,87.0,3.0,40,140.0
248,D5,87.333,333/1000,44,140.0
249,C5,87.667,333/1000,44,140.0
250,D5,88.0,2.0,48,140.0
251,E4,90.0,63/125,40,140.0
252,C5,90.0,63/125,40,140.0
253,C4,90.0,63/125,30,140.0
254,A3,90.0,63/125,30,140.0
255,C5,91.0,63/125,44,140.0
256,F4,91.0,63/125,44,140.0
257,D4,91.0,63/125,33,140.0
258,A3,91.0,63/125,33,140.0
259,C5,92.0,63/125,48,140.0
260,F#4,92.0,63/125,48,140.0
261,E-4,92.0,63/125,36,140.0
262,A3,92.0,63/125,36,140.0
263,C5,93.0,333/1000,54,140.0
264,G4,93.0,3.0,45,140.0
265,E3,93.0,3.0,40,140.0
266,E4,93.0,3.0,40,140.0
267,B3,93.0,3.0,40,140.0
268,B4,93.333,333/1000,44,140.0
269,A4,93.667,333/1000,44,140.0
270,B4,94.0,2.0,48,140.0
271,F4,96.0,3.0,45,140.0
272,B4,96.0,333/1000,54,140.0
273,F3,96.0,3.0,42,140.0
274,C4,96.0,3.0,42,140.0
275,A4,96.333,333/1000,44,140.0
276,G4,96.667,333/1000,44,140.0
277,A4,97.0,2.0,48,140.0
278,F4,99.0,333/1000,59,140.0
279,G4,99.0,3.0,44,140.0
280,C4,99.0,3.0,44,140.0
281,G3,99.0,3.0,44,140.0
282,C3,99.0,3.0,44,140.0
283,E4,99.34,333/1000,48,140.0
284,D4,99.662,333/1000,48,140.0
285,E4,100.0,2.0,52,140.0
286,C4,102.0,1.0,56,140.0
287,F4,102.0,1.0,56,140.0
288,D3,102.0,1.0,48,140.0
289,A3,102.0,1.0,48,140.0
290,C4,103.0,0.25,56,140.0
291,G4,103.0,0.25,56,140.0
292,A3,103.0,0.25,46,140.0
293,E3,103.0,0.25,46,140.0
294,C4,103.5,0.25,52,140.0
295,A4,103.5,0.25,52,140.0
296,F3,103.5,0.25,44,140.0
297,A3,103.5,0.25,44,140.0
298,C4,104.0,0.375,61,140.0
299,F4,104.0,0.375,61,140.0
300,D3,104.0,0.375,52,140.0
301,A3,104.0,0.375,52,140.0
302,D4,105.0,0.375,44,140.0
303,B3,105.0,0.375,44,140.0
304,F3,105.0,0.375,38,140.0
305,A3,105.0,0.375,38,140.0
306,B3,106.0,2.0,38,140.0
307,E4,106.0,2.0,38,140.0
308,E3,106.0,2.0,38,140.0
309,G#3,106.0,2.0,38,140.0
310,A4,108.0,2.0,52,140.0
311,C#5,109.0,1.0,43,140.0
312,E5,109.0,1.0,43,140.0
313,B4,110.0,0.5,54,140.0
314,C#5,110.0,1.0,43,140.0
315,E5,110.0,1.0,43,140.0
316,G#4,110.5,0.375,50,140.0
317,A4,110.875,0.125,39,140.0
318,F#4,111.0,0.5,50,140.0
319,E4,111.5,0.25,50,140.0
320,E4,112.0,2.0,47,140.0
321,E5,112.0,1.0,42,140.0
322,G#4,112.0,1.0,42,140.0
323,D5,112.0,1.0,42,140.0
324,G#4,113.0,1.0,42,140.0
325,D5,113.0,1.0,42,140.0
326,E5,113.0,1.0,42,140.0
327,A4,114.0,1.0,52,140.0
328,B4,115.0,0.5,54,140.0
329,C#5,115.0,1.0,43,140.0
330,E5,115.0,1.0,43,140.0
331,C#5,115.5,0.5,54,140.0
332,A4,116.0,0.5,54,140.0
333,C#5,116.0,1.0,43,140.0
334,E5,116.0,1.0,43,140.0
335,F#4,116.5,0.375,50,140.0
336,G#4,116.875,0.125,39,140.0
337,F#4,117.0,0.5,50,140.0
338,E4,117.5,0.25,50,140.0
339,E4,118.0,2.0,47,140.0
340,D5,118.0,1.0,37,140.0
341,G#4,118.0,1.0,37,140.0
342,E5,118.0,1.0,37,140.0
343,G#4,119.0,1.0,37,140.0
344,D5,119.0,1.0,37,140.0
345,E5,119.0,1.0,37,140.0
346,A4,120.0,2.0,52,140.0
347,C#5,121.0,1.0,43,140.0
348,E5,121.0,1.0,43,140.0
349,E4,122.0,0.5,54,140.0
350,E5,122.0,1.0,43,140.0
351,C#5,122.0,1.0,43,140.0
352,F#4,122.5,0.5,50,140.0
353,F#4,123.0,0.5,54,140.0
354,G#4,123.5,0.5,50,140.0
355,G#4,124.0,2.0,52,140.0
356,C#5,124.0,1.0,43,140.0
357,E5,124.0,1.0,43,140.0
358,C#5,125.0,1.0,43,140.0
359,E5,125.0,1.0,43,140.0
360,G#4,126.0,0.5,54,140.0
361,B4,126.5,0.5,57,140.0
362,B4,127.0,0.5,61,140.0
363,C#5,127.0,1.0,44,140.0
364,E5,127.0,1.0,44,140.0
365,A4,127.5,0.5,54,140.0
366,E4,128.0,0.5,61,140.0
367,C#5,128.0,1.0,44,140.0
368,E5,128.0,1.0,44,140.0
369,F#4,128.5,0.5,56,140.0
370,F#4,129.0,0.5,57,140.0
371,G#4,129.5,0.5,45,140.0
372,G#4,130.0,2.0,51,140.0
373,E5,130.0,1.0,38,140.0
374,C#5,130.0,1.0,38,140.0
375,C#5,131.0,1.0,38,140.0
376,E5,131.0,1.0,38,140.0
377,A4,132.0,2.0,52,140.0
378,C#5,133.0,1.0,43,140.0
379,E5,133.0,1.0,43,140.0
380,B4,134.0,0.5,54,140.0
381,C#5,134.0,1.0,43,140.0
382,E5,134.0,1.0,43,140.0
383,G#4,134.5,0.375,50,140.0
384,A4,134.875,0.125,39,140.0
385,F#4,135.0,0.5,50,140.0
386,E4,135.5,0.25,50,140.0
387,E4,136.0,2.0,47,140.0
388,E5,136.0,1.0,42,140.0
389,G#4,136.0,1.0,42,140.0
390,D5,136.0,1.0,42,140.0
391,G#4,137.0,1.0,42,140.0
392,D5,137.0,1.0,42,140.0
393,E5,137.0,1.0,42,140.0
394,A4,138.0,1.0,52,140.0
395,B4,139.0,0.5,54,140.0
396,C#5,139.0,1.0,43,140.0
397,E5,139.0,1.0,43,140.0
398,C#5,139.5,0.5,54,140.0
399,A4,140.0,0.5,54,140.0
400,C#5,140.0,1.0,43,140.0
401,E5,140.0,1.0,43,140.0
402,F#4,140.5,0.375,50,140.0
403,G#4,140.875,0.125,39,140.0
404,F#4,141.0,0.5,50,140.0
405,E4,141.5,0.25,50,140.0
