,note_name,start_time,duration,velocity,tempo
0,D2,0.0,0.5,36,114.28
1,A2,0.0,0.5,36,114.28
2,A3,1.0,0.5,31,114.28
3,D3,1.0,0.5,31,114.28
4,D3,1.5,0.5,31,114.28
5,A3,1.5,0.5,31,114.28
6,D3,2.0,0.5,36,114.28
7,A3,2.0,0.5,36,114.28
8,D2,3.0,0.5,31,114.28
9,A2,3.0,0.5,31,114.28
10,A2,3.5,0.5,31,114.28
11,D2,3.5,0.5,31,114.28
12,D2,4.0,0.5,36,114.28
13,A2,4.0,0.5,36,114.28
14,D3,5.0,0.5,31,114.28
15,A3,5.0,0.5,31,114.28
16,D3,5.5,0.5,31,114.28
17,A3,5.5,0.5,31,114.28
18,D3,6.0,0.5,35,114.28
19,A3,6.0,0.5,35,114.28
20,D2,7.0,0.5,31,114.28
21,A2,7.0,0.5,31,114.28
22,A4,7.5,167/1000,39,114.28
23,A2,7.5,0.5,31,114.28
24,D2,7.5,0.5,31,114.28
25,B4,7.667,167/1000,39,114.28
26,A4,7.833,167/1000,41,114.28
27,F#4,8.0,1.0,44,114.28
28,A2,8.0,0.5,35,114.28
29,D2,8.0,0.5,35,114.28
30,A4,8.5,0.5,44,114.28
31,F#4,9.0,0.125,44,114.28
32,D5,9.0,0.125,44,114.28
33,D3,9.0,0.125,31,114.28
34,A3,9.0,0.125,31,114.28
35,F#5,9.5,0.125,44,114.28
36,F#4,9.5,0.125,44,114.28
37,D3,9.5,0.125,31,114.28
38,A3,9.5,0.125,31,114.28
39,E5,10.0,0.5,45,114.28
40,F#4,10.0,1.0,37,114.28
41,D3,10.0,0.5,35,114.28
42,A3,10.0,0.5,35,114.28
43,D5,10.5,0.5,42,114.28
44,F#4,11.0,0.125,42,114.28
45,D2,11.0,0.125,31,114.28
46,A2,11.0,0.125,31,114.28
47,A4,11.5,0.125,41,114.28
48,F#4,11.5,0.125,41,114.28
49,D2,11.5,0.125,31,114.28
50,A2,11.5,0.125,31,114.28
51,B4,12.0,0.5,45,114.28
52,A4,12.0,0.5,45,114.28
53,F#4,12.0,0.5,45,114.28
54,A2,12.0,1.0,35,114.28
55,D2,12.0,1.0,35,114.28
56,F#4,13.0,0.5,41,114.28
57,A4,13.0,0.5,41,114.28
58,B4,13.0,0.5,41,114.28
59,D3,13.0,0.5,33,114.28
60,A3,13.0,0.5,33,114.28
61,F#4,13.75,0.25,41,114.28
62,B4,13.75,0.25,41,114.28
63,A4,13.75,0.25,41,114.28
64,D3,13.75,0.25,33,114.28
65,A3,13.75,0.25,33,114.28
66,B4,14.0,1.0,41,114.28
67,A4,14.0,1.0,41,114.28
68,F#4,14.0,1.0,41,114.28
69,A3,14.0,1.0,33,114.28
70,D3,14.0,1.0,33,114.28
71,D4,15.0,0.125,42,114.28
72,F#4,15.0,0.125,42,114.28
73,D4,15.5,0.125,42,114.28
74,G#4,15.5,0.125,42,114.28
75,F#4,15.5,0.125,42,114.28
76,A4,16.0,0.5,45,114.28
77,D4,16.0,1.0,45,114.28
78,F#4,16.0,1.0,45,114.28
79,B1,16.0,1.0,34,114.28
80,F#2,16.0,1.0,34,114.28
81,B4,16.5,0.5,42,114.28
82,F#4,17.0,0.125,44,114.28
83,D4,17.0,0.125,44,114.28
84,F#3,17.0,0.125,31,114.28
85,B2,17.0,0.125,31,114.28
86,D4,17.5,0.125,44,114.28
87,G#4,17.5,0.125,44,114.28
88,F#4,17.5,0.125,44,114.28
89,B2,17.5,0.125,31,114.28
90,F#3,17.5,0.125,31,114.28
91,A4,18.0,0.5,45,114.28
92,D4,18.0,1.0,45,114.28
93,F#4,18.0,1.0,45,114.28
94,E2,18.0,1.0,34,114.28
95,B2,18.0,1.0,34,114.28
96,B4,18.5,0.5,42,114.28
97,D4,19.0,0.25,44,114.28
98,F#4,19.0,0.25,44,114.28
99,E3,19.0,0.25,31,114.28
100,B3,19.0,0.25,31,114.28
101,F#4,19.5,0.125,44,114.28
102,D4,19.5,0.125,44,114.28
103,G#4,19.5,0.125,44,114.28
104,E3,19.5,0.125,31,114.28
105,B3,19.5,0.125,31,114.28
106,D4,20.0,0.5,47,114.28
107,E4,20.0,0.5,47,114.28
108,A4,20.0,0.5,47,114.28
109,A1,20.0,1.0,35,114.28
110,E2,20.0,1.0,35,114.28
111,C#4,21.0,0.5,42,114.28
112,A4,21.0,0.5,42,114.28
113,A3,21.0,0.5,33,114.28
114,E4,21.0,0.5,33,114.28
115,A4,21.75,0.25,42,114.28
116,C#4,21.75,0.25,42,114.28
117,E4,21.75,0.25,33,114.28
118,A3,21.75,0.25,33,114.28
119,A4,22.0,0.5,42,114.28
120,C#4,22.0,0.5,42,114.28
121,E4,22.0,0.5,33,114.28
122,A3,22.0,0.5,33,114.28
123,C#5,23.5,167/1000,44,114.28
124,D5,23.667,167/1000,44,114.28
125,C#5,23.833,167/1000,44,114.28
126,B4,24.0,1.0,47,114.28
127,G2,24.0,1.0,39,114.28
128,D3,24.0,1.0,39,114.28
129,D5,24.5,0.5,47,114.28
130,G5,25.0,0.125,49,114.28
131,B4,25.0,0.125,49,114.28
132,D4,25.0,0.125,38,114.28
133,G3,25.0,0.125,38,114.28
134,B5,25.5,0.125,45,114.28
135,B4,25.5,0.125,45,114.28
136,G3,25.5,0.125,38,114.28
137,D4,25.5,0.125,38,114.28
138,A5,26.0,0.5,48,114.28
139,B4,26.0,1.0,41,114.28
140,G3,26.0,1.0,41,114.28
141,D4,26.0,1.0,41,114.28
142,G5,26.5,0.5,42,114.28
143,B4,27.0,0.125,42,114.28
144,G4,27.0,0.125,42,114.28
145,G4,27.5,0.125,42,114.28
146,B4,27.5,0.125,42,114.28
147,D5,27.5,0.125,42,114.28
148,F#5,28.0,0.5,46,114.28
149,D5,28.0,0.5,46,114.28
150,B4,28.0,0.5,46,114.28
151,G4,28.0,0.5,46,114.28
152,E2,28.0,1.0,36,114.28
153,B2,28.0,1.0,36,114.28
154,F#5,29.0,0.5,42,114.28
155,D5,29.0,0.5,42,114.28
156,B4,29.0,0.5,42,114.28
157,G4,29.0,0.5,42,114.28
158,B3,29.0,0.5,34,114.28
159,E3,29.0,0.5,34,114.28
160,F#5,29.75,0.25,42,114.28
161,D5,29.75,0.25,42,114.28
162,B4,29.75,0.25,42,114.28
163,G4,29.75,0.25,42,114.28
164,E3,29.75,0.25,34,114.28
165,B3,29.75,0.25,34,114.28
166,F#5,30.0,1.0,42,114.28
167,D5,30.0,1.0,42,114.28
168,G4,30.0,1.0,42,114.28
169,B4,30.0,1.0,42,114.28
170,E3,30.0,1.0,36,114.28
171,B3,30.0,1.0,36,114.28
172,B4,31.0,0.125,42,114.28
173,G4,31.0,0.125,42,114.28
174,C#5,31.5,0.125,42,114.28
175,B4,31.5,0.125,42,114.28
176,G4,31.5,0.125,42,114.28
177,D5,32.0,0.5,46,114.28
178,G4,32.0,1.0,46,114.28
179,B4,32.0,1.0,46,114.28
180,A2,32.0,1.0,39,114.28
181,E3,32.0,1.0,39,114.28
182,E5,32.5,0.5,42,114.28
183,B4,33.0,0.125,45,114.28
184,G4,33.0,0.125,45,114.28
185,E4,33.0,0.125,36,114.28
186,A3,33.0,0.125,36,114.28
187,G4,33.5,0.125,45,114.28
188,B4,33.5,0.125,45,114.28
189,C#5,33.5,0.125,45,114.28
190,A3,33.5,0.125,36,114.28
191,E4,33.5,0.125,36,114.28
192,D5,34.0,0.5,47,114.28
193,G4,34.0,1.0,47,114.28
194,B4,34.0,1.0,47,114.28
195,A3,34.0,1.0,39,114.28
196,E4,34.0,1.0,39,114.28
197,E5,34.5,0.5,44,114.28
198,B4,35.0,0.125,45,114.28
199,G4,35.0,0.125,45,114.28
200,G4,35.5,0.125,45,114.28
201,B4,35.5,0.125,45,114.28
202,C#5,35.5,0.125,45,114.28
203,D5,36.0,0.5,49,114.28
204,A4,36.0,0.5,49,114.28
205,G4,36.0,0.5,49,114.28
206,A2,36.0,1.0,39,114.28
207,D2,36.0,1.0,39,114.28
208,D5,37.0,0.5,45,114.28
209,F#4,37.0,0.5,45,114.28
210,A4,37.0,0.5,36,114.28
211,D4,37.0,0.5,36,114.28
212,D5,37.75,0.25,45,114.28
213,F#4,37.75,0.25,45,114.28
214,A4,37.75,0.25,36,114.28
215,D4,37.75,0.25,36,114.28
216,D5,38.0,0.5,45,114.28
217,F#4,38.0,0.5,45,114.28
218,D4,38.0,1.0,36,114.28
219,A4,38.0,1.0,36,114.28
220,D3,39.0,0.5,27,114.28
221,A3,39.0,0.5,27,114.28
222,D3,39.5,0.5,27,114.28
223,A3,39.5,0.5,27,114.28
224,D3,40.0,0.5,31,114.28
225,A3,40.0,0.5,31,114.28
226,D4,41.0,0.5,27,114.28
227,A4,41.0,0.5,27,114.28
228,D4,41.5,0.5,27,114.28
229,A4,41.5,0.5,27,114.28
230,D4,42.0,0.5,33,114.28
231,A4,42.0,0.5,33,114.28
232,D3,43.0,0.5,27,114.28
233,A3,43.0,0.5,27,114.28
234,D3,43.5,0.5,27,114.28
235,A3,43.5,0.5,27,114.28
236,A3,44.0,0.5,30,114.28
237,D3,44.0,0.5,30,114.28
238,D4,45.0,0.5,27,114.28
239,A4,45.0,0.5,27,114.28
240,D4,45.5,0.5,27,114.28
241,A4,45.5,0.5,27,114.28
242,D4,46.0,0.5,31,114.28
243,A4,46.0,0.5,31,114.28
244,D3,47.0,0.5,27,114.28
245,A3,47.0,0.5,27,114.28
246,A5,47.5,167/1000,35,114.28
247,D3,47.5,0.5,27,114.28
248,A3,47.5,0.5,27,114.28
249,B5,47.667,167/1000,35,114.28
250,A5,47.833,167/1000,36,114.28
251,F#5,48.0,1.0,39,114.28
252,D3,48.0,0.5,31,114.28
253,A3,48.0,0.5,31,114.28
254,A5,48.5,0.5,39,114.28
255,F#5,49.0,0.125,39,114.28
256,D6,49.0,0.125,39,114.28
257,D4,49.0,0.125,27,114.28
258,A4,49.0,0.125,27,114.28
259,F#6,49.5,0.125,37,114.28
260,F#5,49.5,0.125,37,114.28
261,A4,49.5,0.125,27,114.28
262,D4,49.5,0.125,27,114.28
263,E6,50.0,0.5,41,114.28
264,F#5,50.0,1.0,33,114.28
265,D4,50.0,0.5,31,114.28
266,A4,50.0,0.5,31,114.28
267,D6,50.5,0.5,37,114.28
268,F#5,51.0,0.125,37,114.28
269,A3,51.0,0.125,27,114.28
270,D3,51.0,0.125,27,114.28
271,A5,51.5,0.125,36,114.28
272,F#5,51.5,0.125,36,114.28
273,A3,51.5,0.125,27,114.28
274,D3,51.5,0.125,27,114.28
275,F#5,52.0,0.5,39,114.28
276,A5,52.0,0.5,39,114.28
277,B5,52.0,0.5,39,114.28
278,D3,52.0,1.0,31,114.28
279,A3,52.0,1.0,31,114.28
280,F#5,53.0,0.5,37,114.28
281,A5,53.0,0.5,37,114.28
282,B5,53.0,0.5,37,114.28
283,D4,53.0,0.5,30,114.28
284,A4,53.0,0.5,30,114.28
285,B5,53.75,0.25,37,114.28
286,F#5,53.75,0.25,37,114.28
287,A5,53.75,0.25,37,114.28
288,D4,53.75,0.25,30,114.28
289,A4,53.75,0.25,30,114.28
290,F#5,54.0,1.0,37,114.28
291,A5,54.0,1.0,37,114.28
292,B5,54.0,1.0,37,114.28
293,A4,54.0,1.0,30,114.28
294,D4,54.0,1.0,30,114.28
295,D5,55.0,0.125,38,114.28
296,F#5,55.0,0.125,38,114.28
297,D5,55.5,0.125,38,114.28
298,G#5,55.5,0.125,38,114.28
299,F#5,55.5,0.125,38,114.28
300,A5,56.0,0.5,41,114.28
301,F#5,56.0,1.0,41,114.28
302,D5,56.0,1.0,41,114.28
303,B2,56.0,1.0,30,114.28
304,F#3,56.0,1.0,30,114.28
305,B5,56.5,0.5,37,114.28
306,F#5,57.0,0.125,39,114.28
307,D5,57.0,0.125,39,114.28
308,F#4,57.0,0.125,27,114.28
309,B3,57.0,0.125,27,114.28
310,G#5,57.5,0.125,38,114.28
311,D5,57.5,0.125,38,114.28
312,F#5,57.5,0.125,38,114.28
313,B3,57.5,0.125,27,114.28
314,F#4,57.5,0.125,27,114.28
315,A5,58.0,0.5,41,114.28
316,F#5,58.0,1.0,41,114.28
317,D5,58.0,1.0,41,114.28
318,E3,58.0,1.0,30,114.28
319,B3,58.0,1.0,30,114.28
320,B5,58.5,0.5,37,114.28
321,D5,59.0,0.125,39,114.28
322,F#5,59.0,0.125,39,114.28
323,E4,59.0,0.125,27,114.28
324,B4,59.0,0.125,27,114.28
325,G#5,59.5,0.125,39,114.28
326,D5,59.5,0.125,39,114.28
327,F#5,59.5,0.125,39,114.28
328,B4,59.5,0.125,27,114.28
329,E4,59.5,0.125,27,114.28
330,D5,60.0,0.5,41,114.28
331,E5,60.0,0.5,41,114.28
332,A5,60.0,0.5,41,114.28
333,A3,60.0,1.0,30,114.28
334,E4,60.0,1.0,30,114.28
335,C#5,61.0,0.5,38,114.28
336,A5,61.0,0.5,38,114.28
337,A4,61.0,0.5,28,114.28
