,note_name,start_time,duration,velocity,tempo
0,D5,1.5,0.375,72,90.0
1,G5,1.875,0.125,66,90.0
2,D5,2.0,0.5,72,90.0
3,G3,2.0,1.0,57,90.0
4,B3,2.0,1.0,57,90.0
5,B4,2.5,0.375,72,90.0
6,D5,2.875,0.125,67,90.0
7,B4,3.0,0.5,72,90.0
8,G4,3.5,0.375,72,90.0
9,B4,3.875,0.125,66,90.0
10,G4,4.0,1.0,72,90.0
11,G3,4.5,0.5,52,90.0
12,B3,4.5,0.5,52,90.0
13,G3,5.0,1.0,57,90.0
14,B3,5.0,1.0,57,90.0
15,D5,5.5,0.5,72,90.0
16,C5,6.0,167/1000,72,90.0
17,D5,6.167,167/1000,66,90.0
18,E5,6.333,167/1000,66,90.0
19,D5,6.5,0.5,72,90.0
20,G3,6.5,0.5,52,90.0
21,B3,6.5,0.5,52,90.0
22,G3,7.0,1.0,57,90.0
23,B3,7.0,1.0,57,90.0
24,B4,7.5,0.5,72,90.0
25,A4,8.0,167/1000,72,90.0
26,B4,8.167,167/1000,63,90.0
27,C5,8.333,167/1000,64,90.0
28,B4,8.5,0.5,72,90.0
29,G3,8.5,0.5,52,90.0
30,B3,8.5,0.5,52,90.0
31,G3,9.0,1.0,57,90.0
32,B3,9.0,1.0,57,90.0
33,D5,9.5,0.5,72,90.0
34,E5,10.0,0.062,67,90.0
35,C3,10.0,1.0,57,90.0
36,C4,10.0,1.0,57,90.0
37,F#5,10.062,0.062,54,90.0
38,E5,10.125,0.125,66,90.0
39,D5,10.25,0.25,61,90.0
40,E5,10.5,0.25,64,90.0
41,F#5,10.75,0.25,69,90.0
42,G5,11.0,0.25,74,90.0
43,B2,11.0,1.0,57,90.0
44,B3,11.0,1.0,57,90.0
45,F#5,11.25,0.25,67,90.0
46,E5,11.5,0.25,67,90.0
47,D5,11.75,0.25,67,90.0
48,C5,12.0,0.25,61,90.0
49,A3,12.0,0.5,52,90.0
50,D5,12.25,0.125,59,90.0
51,C5,12.375,0.125,52,90.0
52,D5,12.5,0.125,59,90.0
53,D3,12.5,0.5,44,90.0
54,C5,12.625,0.125,52,90.0
55,B4,12.75,0.125,52,90.0
56,C5,12.875,0.125,52,90.0
57,B4,13.0,0.5,62,90.0
58,G3,13.0,1.0,52,90.0
59,B4,13.5,0.5,52,90.0
60,A4,14.0,0.25,56,90.0
61,C3,14.0,1.5,52,90.0
62,C5,14.25,0.25,47,90.0
63,B4,14.5,0.25,55,90.0
64,A4,14.75,0.25,52,90.0
65,E5,15.0,0.5,59,90.0
66,G4,15.5,0.5,54,90.0
67,C#3,15.5,0.5,47,90.0
68,G4,16.0,0.5,51,90.0
69,D3,16.0,0.5,51,90.0
70,F#4,16.5,0.5,44,90.0
71,D2,16.5,0.5,46,90.0
72,D3,17.0,0.25,51,90.0
73,A5,17.25,0.25,51,90.0
74,F#3,17.5,0.25,46,90.0
75,A5,17.75,0.25,51,90.0
76,A3,18.0,0.25,47,90.0
77,A5,18.25,0.25,53,90.0
78,D4,18.5,0.25,51,90.0
79,A5,18.75,0.25,55,90.0
80,F#4,19.0,0.25,56,90.0
81,A5,19.25,0.25,56,90.0
82,D4,19.5,0.25,50,90.0
83,A5,19.75,0.25,58,90.0
84,G5,20.0,167/1000,59,90.0
85,E4,20.0,0.5,58,90.0
86,A5,20.167,167/1000,51,90.0
87,G5,20.333,167/1000,51,90.0
88,F#5,20.5,0.5,60,90.0
89,D4,20.5,0.5,51,90.0
90,E5,21.0,167/1000,59,90.0
91,G4,21.0,0.5,58,90.0
92,F#5,21.167,167/1000,51,90.0
93,E5,21.333,167/1000,51,90.0
94,D5,21.5,0.5,59,90.0
95,F#4,21.5,0.5,52,90.0
96,C#5,22.0,167/1000,60,90.0
97,E4,22.0,0.5,57,90.0
98,B4,22.167,167/1000,51,90.0
99,A4,22.333,167/1000,51,90.0
100,D5,22.5,0.5,61,90.0
101,F#4,22.5,0.5,51,90.0
102,A2,23.0,0.25,51,90.0
103,G5,23.25,0.25,54,90.0
104,C#3,23.5,0.25,46,90.0
105,G5,23.75,0.25,56,90.0
106,E3,24.0,0.25,47,90.0
107,G5,24.25,0.25,59,90.0
108,A3,24.5,0.25,51,90.0
109,G5,24.75,0.25,62,90.0
110,C#4,25.0,0.25,56,90.0
111,G5,25.25,0.25,65,90.0
112,E4,25.5,0.25,50,90.0
113,G5,25.75,0.25,67,90.0
114,F#5,26.0,167/1000,71,90.0
115,D4,26.0,1.0,58,90.0
116,E5,26.167,167/1000,62,90.0
117,D5,26.333,167/1000,56,90.0
118,C#5,26.5,167/1000,60,90.0
119,B4,26.667,167/1000,55,90.0
120,A4,26.833,167/1000,52,90.0
121,E5,27.0,167/1000,59,90.0
122,D4,27.0,0.5,58,90.0
123,F#5,27.167,167/1000,56,90.0
124,E5,27.333,167/1000,56,90.0
125,F#5,27.5,0.125,59,90.0
126,C#4,27.5,0.5,52,90.0
127,E5,27.625,0.125,53,90.0
128,D5,27.75,0.125,59,90.0
129,E5,27.875,0.125,54,90.0
130,D5,28.0,0.5,59,90.0
131,D4,28.0,0.5,58,90.0
132,D6,28.5,0.5,62,90.0
133,B3,28.5,0.25,55,90.0
134,D4,28.75,0.25,44,90.0
135,C#6,29.0,0.5,61,90.0
136,A3,29.0,0.25,54,90.0
137,D4,29.25,0.25,50,90.0
138,B5,29.5,0.5,59,90.0
139,G3,29.5,0.25,55,90.0
140,D4,29.75,0.25,47,90.0
141,A5,30.0,0.5,63,90.0
142,F#3,30.0,0.5,55,90.0
143,B5,30.5,167/1000,70,90.0
144,G3,30.5,0.5,51,90.0
145,A5,30.667,167/1000,65,90.0
146,G5,30.833,167/1000,65,90.0
147,F#5,31.0,0.5,75,90.0
148,A3,31.0,0.5,57,90.0
149,E5,31.5,1/10,73,90.0
150,A2,31.5,0.5,55,90.0
151,F#5,31.6,1/10,66,90.0
152,E5,31.7,1/10,67,90.0
153,D5,31.8,1/10,67,90.0
154,E5,31.9,1/10,67,90.0
155,D5,32.0,1.0,76,90.0
156,D3,32.0,0.25,59,90.0
157,A2,32.5,0.25,54,90.0
158,D2,33.0,0.25,50,90.0
159,D5,33.5,0.375,72,90.0
160,G5,33.875,0.125,66,90.0
161,D5,34.0,0.5,72,90.0
162,G3,34.0,1.0,57,90.0
163,B3,34.0,1.0,57,90.0
164,B4,34.5,0.375,72,90.0
165,D5,34.875,0.125,67,90.0
166,B4,35.0,0.5,72,90.0
167,G4,35.5,0.375,72,90.0
168,B4,35.875,0.125,66,90.0
169,G4,36.0,1.0,72,90.0
170,G3,36.5,0.5,52,90.0
171,B3,36.5,0.5,52,90.0
172,G3,37.0,1.0,57,90.0
173,B3,37.0,1.0,57,90.0
174,D5,37.5,0.5,72,90.0
175,C5,38.0,167/1000,72,90.0
176,D5,38.167,167/1000,66,90.0
177,E5,38.333,167/1000,66,90.0
178,D5,38.5,0.5,72,90.0
179,G3,38.5,0.5,52,90.0
180,B3,38.5,0.5,52,90.0
181,G3,39.0,1.0,57,90.0
182,B3,39.0,1.0,57,90.0
183,B4,39.5,0.5,72,90.0
184,A4,40.0,167/1000,72,90.0
185,B4,40.167,167/1000,63,90.0
186,C5,40.333,167/1000,64,90.0
187,B4,40.5,0.5,72,90.0
188,G3,40.5,0.5,52,90.0
189,B3,40.5,0.5,52,90.0
190,G3,41.0,1.0,57,90.0
191,B3,41.0,1.0,57,90.0
192,D5,41.5,0.5,72,90.0
193,E5,42.0,0.062,67,90.0
194,C3,42.0,1.0,57,90.0
195,C4,42.0,1.0,57,90.0
196,F#5,42.062,0.062,54,90.0
197,E5,42.125,0.125,66,90.0
198,D5,42.25,0.25,61,90.0
199,E5,42.5,0.25,64,90.0
200,F#5,42.75,0.25,69,90.0
201,G5,43.0,0.25,74,90.0
202,B2,43.0,1.0,57,90.0
203,B3,43.0,1.0,57,90.0
204,F#5,43.25,0.25,67,90.0
205,E5,43.5,0.25,67,90.0
206,D5,43.75,0.25,67,90.0
207,C5,44.0,0.25,61,90.0
208,A3,44.0,0.5,52,90.0
209,D5,44.25,0.125,59,90.0
210,C5,44.375,0.125,52,90.0
211,D5,44.5,0.125,59,90.0
212,D3,44.5,0.5,44,90.0
213,C5,44.625,0.125,52,90.0
214,B4,44.75,0.125,52,90.0
215,C5,44.875,0.125,52,90.0
216,B4,45.0,0.5,62,90.0
217,G3,45.0,1.0,52,90.0
218,B4,45.5,0.5,52,90.0
219,A4,46.0,0.25,56,90.0
220,C3,46.0,1.5,52,90.0
221,C5,46.25,0.25,47,90.0
222,B4,46.5,0.25,55,90.0
223,A4,46.75,0.25,52,90.0
224,E5,47.0,0.5,59,90.0
225,G4,47.5,0.5,54,90.0
226,C#3,47.5,0.5,47,90.0
227,G4,48.0,0.5,51,90.0
228,D3,48.0,0.5,51,90.0
229,F#4,48.5,0.5,44,90.0
230,D2,48.5,0.5,46,90.0
231,D3,49.0,0.25,51,90.0
232,A5,49.25,0.25,51,90.0
233,F#3,49.5,0.25,46,90.0
234,A5,49.75,0.25,51,90.0
235,A3,50.0,0.25,47,90.0
236,A5,50.25,0.25,53,90.0
237,D4,50.5,0.25,51,90.0
238,A5,50.75,0.25,55,90.0
239,F#4,51.0,0.25,56,90.0
240,A5,51.25,0.25,56,90.0
241,D4,51.5,0.25,50,90.0
242,A5,51.75,0.25,58,90.0
243,G5,52.0,167/1000,59,90.0
244,E4,52.0,0.5,58,90.0
245,A5,52.167,167/1000,51,90.0
246,G5,52.333,167/1000,51,90.0
247,F#5,52.5,0.5,60,90.0
248,D4,52.5,0.5,51,90.0
249,E5,53.0,167/1000,59,90.0
250,G4,53.0,0.5,58,90.0
251,F#5,53.167,167/1000,51,90.0
252,E5,53.333,167/1000,51,90.0
253,D5,53.5,0.5,59,90.0
254,F#4,53.5,0.5,52,90.0
255,C#5,54.0,167/1000,60,90.0
256,E4,54.0,0.5,57,90.0
257,B4,54.167,167/1000,51,90.0
258,A4,54.333,167/1000,51,90.0
259,D5,54.5,0.5,61,90.0
260,F#4,54.5,0.5,51,90.0
261,A2,55.0,0.25,51,90.0
262,G5,55.25,0.25,54,90.0
263,C#3,55.5,0.25,46,90.0
264,G5,55.75,0.25,56,90.0
