,note_name,start_time,duration,velocity,tempo
0,G#5,1.5,123/500,42,73.41
1,B5,1.5,123/500,42,73.41
2,A5,1.75,123/500,38,73.41
3,F#5,1.75,123/500,38,73.41
4,E5,2.0,229/500,44,73.41
5,G#5,2.0,229/500,44,73.41
6,G#5,2.5,123/500,36,73.41
7,E5,2.5,123/500,36,73.41
8,B4,2.75,123/500,34,73.41
9,F#5,2.75,123/500,34,73.41
10,G#4,3.0,229/500,38,73.41
11,E5,3.0,229/500,38,73.41
12,B5,3.5,123/500,40,73.41
13,G#5,3.5,123/500,40,73.41
14,F#5,3.75,123/500,38,73.41
15,A5,3.75,123/500,38,73.41
16,E5,4.0,229/500,42,73.41
17,G#5,4.0,229/500,42,73.41
18,G#5,4.5,123/500,36,73.41
19,E5,4.5,123/500,36,73.41
20,B4,4.75,123/500,34,73.41
21,F#5,4.75,123/500,34,73.41
22,E5,5.0,229/500,39,73.41
23,G#4,5.0,229/500,39,73.41
24,E5,5.5,123/500,39,73.41
25,G#4,5.5,123/500,39,73.41
26,B4,5.75,123/500,36,73.41
27,F#5,5.75,123/500,36,73.41
28,G#5,6.0,229/500,42,73.41
29,E5,6.0,229/500,42,73.41
30,B4,6.5,123/500,42,73.41
31,F#5,6.5,123/500,42,73.41
32,E5,6.75,123/500,38,73.41
33,G#5,6.75,123/500,38,73.41
34,F#5,7.0,229/500,47,73.41
35,A5,7.0,229/500,47,73.41
36,B4,7.5,123/500,42,73.41
37,F#5,7.5,123/500,42,73.41
38,F#5,7.75,123/500,40,73.41
39,A5,7.75,123/500,40,73.41
40,B5,8.0,229/500,47,73.41
41,G#5,8.0,229/500,47,73.41
42,F#5,8.5,123/500,37,73.41
43,A5,8.5,123/500,37,73.41
44,G#5,8.75,123/500,34,73.41
45,E5,8.75,123/500,34,73.41
46,B4,9.0,229/500,42,73.41
47,F#5,9.0,229/500,42,73.41
48,B5,9.5,123/500,42,73.41
49,G#5,9.5,123/500,42,73.41
50,F#5,9.75,123/500,38,73.41
51,A5,9.75,123/500,38,73.41
52,G#5,10.0,229/500,46,73.41
53,E5,10.0,229/500,46,73.41
54,E5,10.5,123/500,38,73.41
55,G#5,10.5,123/500,38,73.41
56,F#5,10.75,123/500,34,73.41
57,B4,10.75,123/500,34,73.41
58,E5,11.0,229/500,42,73.41
59,G#4,11.0,229/500,42,73.41
60,G#5,11.5,123/500,45,73.41
61,B5,11.5,123/500,45,73.41
62,A5,11.75,123/500,42,73.41
63,F#5,11.75,123/500,42,73.41
64,E5,12.0,229/500,50,73.41
65,G#5,12.0,229/500,50,73.41
66,E5,12.5,123/500,37,73.41
67,G#5,12.5,123/500,37,73.41
68,B4,12.75,123/500,34,73.41
69,F#5,12.75,123/500,34,73.41
70,G#4,13.0,229/500,44,73.41
71,E5,13.0,229/500,44,73.41
72,G#4,13.5,123/500,42,73.41
73,E5,13.5,123/500,42,73.41
74,F#5,13.75,123/500,38,73.41
75,B4,13.75,123/500,38,73.41
76,E5,14.0,229/500,42,73.41
77,G#5,14.0,229/500,42,73.41
78,A5,14.5,123/500,37,73.41
79,F#5,14.5,123/500,37,73.41
80,G#5,14.75,123/500,33,73.41
81,E5,14.75,123/500,33,73.41
