,note_name,start_time,duration,velocity,tempo
0,C1,0.0,0.5,60,143.5
1,C2,0.0,0.5,60,143.5
2,C3,0.25,0.25,66,143.5
3,G1,0.5,0.5,62,143.5
4,G2,0.5,0.5,62,143.5
5,G3,0.75,0.25,71,143.5
6,F1,1.0,0.5,66,143.5
7,F2,1.0,0.5,66,143.5
8,F3,1.25,0.25,73,143.5
9,E-1,1.5,0.5,70,143.5
10,E-2,1.5,0.5,70,143.5
11,E-3,1.75,0.25,78,143.5
12,D1,2.0,0.5,74,143.5
13,D2,2.0,0.5,74,143.5
14,D3,2.25,0.25,82,143.5
15,C1,2.5,0.5,93,143.5
16,C2,2.5,0.5,93,143.5
17,C3,2.75,0.25,76,143.5
18,C6,3.0,0.25,81,143.5
19,E-5,3.0,0.25,81,143.5
20,C5,3.0,0.25,81,143.5
21,C4,3.0,0.25,80,143.5
22,G3,3.0,0.25,80,143.5
23,E-3,3.0,0.25,80,143.5
24,C3,3.0,0.25,80,143.5
25,G5,3.75,0.25,74,143.5
26,E-5,3.75,0.25,74,143.5
27,C5,3.75,0.25,74,143.5
28,G4,3.75,0.25,74,143.5
29,C4,3.75,0.25,63,143.5
30,G3,3.75,0.25,63,143.5
31,E-3,3.75,0.25,63,143.5
32,C3,3.75,0.25,63,143.5
33,G4,4.0,0.25,80,143.5
34,C5,4.0,0.25,80,143.5
35,E-5,4.0,0.25,80,143.5
36,G5,4.0,0.25,80,143.5
37,C4,4.0,0.25,70,143.5
38,G3,4.0,0.25,70,143.5
39,E-3,4.0,0.25,70,143.5
40,C3,4.0,0.25,70,143.5
41,E-4,5.25,0.25,74,143.5
42,G4,5.25,0.25,74,143.5
43,E-5,5.25,0.25,74,143.5
44,C3,5.25,0.25,56,143.5
45,E-3,5.25,0.25,56,143.5
46,C4,5.25,0.25,56,143.5
47,G3,5.25,0.25,56,143.5
48,E-4,5.5,0.25,79,143.5
49,G4,5.5,0.25,79,143.5
50,E-5,5.5,0.25,79,143.5
51,C4,5.5,0.25,66,143.5
52,G3,5.5,0.25,66,143.5
53,E-3,5.5,0.25,66,143.5
54,C3,5.5,0.25,66,143.5
55,E-4,6.75,0.25,69,143.5
56,G4,6.75,0.25,69,143.5
57,C5,6.75,0.25,69,143.5
58,C3,6.75,0.25,56,143.5
