,note_name,start_time,duration,velocity,tempo
0,C#3,3.917,0.062,70,136.0
1,C#4,3.917,0.062,70,136.0
2,C#3,4.0,0.875,77,136.0
3,C#4,4.0,0.875,77,136.0
4,F#3,4.917,0.062,72,136.0
5,F#4,4.917,0.062,72,136.0
6,F#4,5.0,0.875,81,136.0
7,F#3,5.0,0.875,81,136.0
8,E3,5.917,0.062,68,136.0
9,E4,5.917,0.062,68,136.0
10,E3,6.0,0.375,75,136.0
11,E4,6.0,0.375,75,136.0
12,E-3,6.417,0.062,65,136.0
13,E-4,6.417,0.062,65,136.0
14,E-3,6.5,0.375,75,136.0
15,E-4,6.5,0.375,75,136.0
16,C#3,6.917,0.062,70,136.0
17,C#4,6.917,0.062,70,136.0
18,C#3,7.0,0.375,76,136.0
19,C#4,7.0,0.375,76,136.0
20,C3,7.417,0.062,68,136.0
21,C4,7.417,0.062,68,136.0
22,C3,7.5,0.375,75,136.0
23,C4,7.5,0.375,75,136.0
24,C#3,7.917,0.062,68,136.0
25,C#4,7.917,0.062,68,136.0
26,C#3,8.0,0.25,76,136.0
27,C#4,8.0,0.25,76,136.0
28,B-2,8.5,83/1000,44,136.0
29,G1,8.5,83/1000,40,136.0
30,C#3,8.583,83/1000,38,136.0
31,E2,8.583,83/1000,29,136.0
32,B-2,8.667,83/1000,45,136.0
33,G1,8.667,83/1000,40,136.0
34,C#3,8.75,83/1000,39,136.0
35,E2,8.75,83/1000,31,136.0
36,B-2,8.833,0.125,46,136.0
37,G1,8.833,83/1000,39,136.0
38,C#3,8.917,83/1000,42,136.0
39,E2,8.917,83/1000,30,136.0
40,B-2,9.0,83/1000,47,136.0
41,G1,9.0,83/1000,39,136.0
42,C#3,9.083,83/1000,42,136.0
43,E2,9.083,83/1000,34,136.0
44,B-2,9.167,83/1000,48,136.0
45,G1,9.167,83/1000,41,136.0
46,C#3,9.25,83/1000,44,136.0
47,E2,9.25,83/1000,37,136.0
48,B-2,9.333,0.125,50,136.0
49,G1,9.333,83/1000,43,136.0
50,C#3,9.417,83/1000,45,136.0
51,E2,9.417,83/1000,38,136.0
52,B-2,9.5,83/1000,51,136.0
53,G1,9.5,83/1000,44,136.0
54,C#3,9.583,83/1000,46,136.0
55,E2,9.583,83/1000,41,136.0
56,B-2,9.667,83/1000,52,136.0
57,G1,9.667,83/1000,46,136.0
58,C#3,9.75,83/1000,47,136.0
59,E2,9.75,83/1000,42,136.0
60,B-2,9.833,0.125,53,136.0
61,G1,9.833,83/1000,48,136.0
62,C#3,9.917,83/1000,48,136.0
63,E2,9.917,83/1000,43,136.0
64,B-2,10.0,83/1000,55,136.0
65,G1,10.0,83/1000,49,136.0
66,C#3,10.083,83/1000,49,136.0
67,E2,10.083,83/1000,45,136.0
68,B-2,10.167,83/1000,56,136.0
69,G1,10.167,83/1000,51,136.0
70,C#3,10.25,83/1000,50,136.0
71,E2,10.25,83/1000,45,136.0
72,B-2,10.333,0.125,57,136.0
73,G1,10.333,83/1000,53,136.0
74,C#3,10.417,83/1000,51,136.0
75,E2,10.417,83/1000,47,136.0
76,B-2,10.5,83/1000,58,136.0
77,G1,10.5,83/1000,54,136.0
78,C#3,10.583,83/1000,55,136.0
79,E2,10.583,83/1000,49,136.0
80,B-2,10.667,83/1000,60,136.0
81,G1,10.667,83/1000,56,136.0
82,C#3,10.75,83/1000,53,136.0
83,E2,10.75,83/1000,52,136.0
84,B-2,10.833,0.125,61,136.0
85,G1,10.833,83/1000,57,136.0
86,C#3,10.917,83/1000,54,136.0
87,E2,10.917,83/1000,58,136.0
88,B-2,11.0,83/1000,62,136.0
89,G1,11.0,83/1000,59,136.0
90,C#3,11.083,83/1000,58,136.0
91,E2,11.083,83/1000,60,136.0
92,B-2,11.167,83/1000,63,136.0
93,G1,11.167,83/1000,61,136.0
94,C#3,11.25,83/1000,59,136.0
95,E2,11.25,83/1000,62,136.0
96,B-2,11.333,0.125,67,136.0
97,G1,11.333,83/1000,62,136.0
98,C#3,11.417,83/1000,70,136.0
99,E2,11.417,83/1000,63,136.0
100,B-2,11.5,83/1000,73,136.0
101,G1,11.5,83/1000,64,136.0
102,C#3,11.583,83/1000,76,136.0
103,E2,11.583,83/1000,65,136.0
104,B-2,11.667,83/1000,79,136.0
105,G1,11.667,83/1000,67,136.0
106,C#3,11.75,83/1000,82,136.0
107,E2,11.75,83/1000,68,136.0
108,B-2,11.833,0.125,85,136.0
109,G1,11.833,83/1000,69,136.0
110,C#3,11.917,83/1000,88,136.0
111,E2,11.917,83/1000,70,136.0
112,A2,12.042,83/1000,89,136.0
113,C3,12.042,83/1000,89,136.0
114,F#1,12.042,83/1000,70,136.0
115,E-2,12.042,83/1000,70,136.0
116,B-2,12.125,0.25,95,136.0
117,C#3,12.125,0.25,95,136.0
118,G1,12.125,0.25,80,136.0
119,E2,12.125,0.25,80,136.0
120,G#4,15.917,0.062,70,136.0
121,G#3,15.917,0.062,70,136.0
122,G#3,16.0,0.875,77,136.0
123,G#4,16.0,0.875,77,136.0
124,C#4,16.917,0.062,68,136.0
125,C#5,16.917,0.062,68,136.0
126,C#4,17.0,0.875,76,136.0
127,C#5,17.0,0.875,76,136.0
128,B3,17.917,0.062,68,136.0
129,B4,17.917,0.062,68,136.0
130,B3,18.0,0.375,75,136.0
131,B4,18.0,0.375,75,136.0
132,B-3,18.417,0.062,70,136.0
133,B-4,18.417,0.062,70,136.0
134,B-3,18.5,0.375,75,136.0
135,B-4,18.5,0.375,75,136.0
136,G#3,18.917,0.062,70,136.0
137,G#4,18.917,0.062,70,136.0
138,G#3,19.0,0.375,76,136.0
139,G#4,19.0,0.375,76,136.0
140,G4,19.417,0.062,68,136.0
141,G3,19.417,0.062,68,136.0
142,G3,19.5,0.375,75,136.0
143,G4,19.5,0.375,75,136.0
144,G#3,19.917,0.062,68,136.0
145,G#4,19.917,0.062,68,136.0
146,G#3,20.0,0.25,76,136.0
147,G#4,20.0,0.25,76,136.0
148,F1,20.5,83/1000,40,136.0
149,D3,20.5,83/1000,44,136.0
150,B2,20.5,83/1000,44,136.0
151,G#3,20.583,83/1000,38,136.0
152,D2,20.583,83/1000,29,136.0
153,F1,20.667,83/1000,40,136.0
154,D3,20.667,83/1000,45,136.0
155,B2,20.667,83/1000,45,136.0
156,G#3,20.75,83/1000,39,136.0
157,D2,20.75,83/1000,31,136.0
158,F1,20.833,83/1000,39,136.0
159,D3,20.833,0.125,46,136.0
160,B2,20.833,0.125,46,136.0
161,G#3,20.917,83/1000,42,136.0
162,D2,20.917,83/1000,30,136.0
163,F1,21.0,83/1000,39,136.0
164,D3,21.0,83/1000,47,136.0
165,B2,21.0,83/1000,47,136.0
166,G#3,21.083,83/1000,42,136.0
167,D2,21.083,83/1000,34,136.0
168,F1,21.167,83/1000,41,136.0
169,D3,21.167,83/1000,48,136.0
170,B2,21.167,83/1000,48,136.0
171,G#3,21.25,83/1000,44,136.0
172,D2,21.25,83/1000,37,136.0
173,F1,21.333,83/1000,43,136.0
174,D3,21.333,0.125,50,136.0
175,B2,21.333,0.125,50,136.0
176,G#3,21.417,83/1000,45,136.0
177,D2,21.417,83/1000,38,136.0
178,F1,21.5,83/1000,44,136.0
179,D3,21.5,83/1000,51,136.0
180,B2,21.5,83/1000,51,136.0
181,G#3,21.583,83/1000,46,136.0
182,D2,21.583,83/1000,41,136.0
183,F1,21.667,83/1000,46,136.0
184,D3,21.667,83/1000,52,136.0
185,B2,21.667,83/1000,52,136.0
186,G#3,21.75,83/1000,47,136.0
187,D2,21.75,83/1000,42,136.0
188,F1,21.833,83/1000,48,136.0
189,D3,21.833,0.125,53,136.0
