,note_name,start_time,duration,velocity,tempo
0,C#4,0.0,0.25,46,67.67
1,A4,0.0,0.25,46,67.67
2,A2,0.0,4.0,37,67.67
3,A3,0.0,4.0,37,67.67
4,E4,0.25,0.25,36,67.67
5,C#4,0.5,0.25,36,67.67
6,E4,0.75,0.25,36,67.67
7,A4,1.0,0.25,50,67.67
8,E4,1.25,0.25,34,67.67
9,B4,1.5,0.25,42,67.67
10,G#4,1.5,0.25,42,67.67
11,E4,1.75,0.25,33,67.67
12,A4,2.0,0.25,46,67.67
13,C#5,2.0,0.25,46,67.67
14,E4,2.25,0.25,36,67.67
15,C#4,2.5,0.25,36,67.67
16,E4,2.75,0.25,36,67.67
17,C#5,3.0,0.25,50,67.67
18,A4,3.25,0.25,33,67.67
19,B4,3.5,0.25,46,67.67
20,D5,3.5,0.25,46,67.67
21,A4,3.75,0.25,33,67.67
22,C#5,4.0,0.25,47,67.67
23,E5,4.0,0.25,47,67.67
24,A1,4.0,1.5,37,67.67
25,A2,4.0,1.5,37,67.67
26,A4,4.25,0.25,40,67.67
27,C#5,4.5,0.25,54,67.67
28,E5,4.5,0.25,54,67.67
29,A4,4.75,0.25,43,67.67
30,D5,5.0,0.25,58,67.67
31,F#5,5.0,0.25,58,67.67
32,A4,5.25,0.25,41,67.67
33,E5,5.5,0.25,62,67.67
34,G#5,5.5,0.25,62,67.67
35,G#1,5.5,0.5,37,67.67
36,G#2,5.5,0.5,37,67.67
37,A4,5.75,0.25,48,67.67
38,G#5,6.0,0.25,47,67.67
39,B5,6.0,0.5,56,67.67
40,F#2,6.0,2.0,42,67.67
41,F#1,6.0,2.0,42,67.67
42,A4,6.25,0.25,33,67.67
43,A5,6.5,0.5,52,67.67
44,F#5,6.5,0.25,44,67.67
45,A4,6.75,0.25,29,67.67
46,G#5,7.0,0.5,48,67.67
47,E5,7.0,0.25,40,67.67
48,A4,7.25,0.25,29,67.67
49,F#5,7.5,0.5,49,67.67
50,D5,7.5,0.25,41,67.67
51,A4,7.75,0.25,36,67.67
52,E5,8.0,0.5,49,67.67
53,C#5,8.0,0.25,41,67.67
54,F#4,8.25,0.25,29,67.67
55,D5,8.5,0.5,48,67.67
56,B4,8.5,0.25,40,67.67
57,F#4,8.75,0.25,24,67.67
58,C#5,9.0,0.5,47,67.67
59,E4,9.0,0.25,39,67.67
60,F#2,9.0,1.0,42,67.67
61,F#1,9.0,1.0,42,67.67
62,F#4,9.25,0.25,34,67.67
63,B4,9.5,0.5,45,67.67
64,D4,9.5,0.25,38,67.67
65,F#4,9.75,0.25,33,67.67
66,A4,10.0,0.5,45,67.67
67,C#4,10.0,0.25,38,67.67
68,D3,10.0,1.0,42,67.67
69,D2,10.0,1.0,42,67.67
70,E4,10.25,0.25,33,67.67
71,C#5,10.5,0.5,47,67.67
72,E4,10.75,0.25,33,67.67
73,D4,11.0,0.25,35,67.67
74,B4,11.0,0.5,42,67.67
75,E3,11.0,2.0,40,67.67
76,E2,11.0,2.0,40,67.67
77,E4,11.25,0.25,32,67.67
78,G#4,11.5,0.5,42,67.67
79,E4,11.75,0.25,29,67.67
80,C#4,12.0,0.25,41,67.67
81,A4,12.0,0.25,41,67.67
82,E4,12.25,0.25,32,67.67
83,C#4,12.5,0.25,31,67.67
84,E4,12.75,0.25,30,67.67
85,A4,13.0,0.25,39,67.67
86,E3,13.0,1.0,40,67.67
87,A2,13.0,1.0,40,67.67
88,C#5,13.25,0.25,32,67.67
89,E5,13.5,0.25,37,67.67
90,C#5,13.75,0.25,33,67.67
91,C#4,14.0,0.5,34,67.67
92,A4,14.0,0.5,34,67.67
93,A4,15.0,0.5,32,67.67
94,C#4,15.0,0.5,32,67.67
95,A2,15.0,0.5,28,67.67
96,E3,15.0,0.5,28,67.67
97,C#4,16.0,0.5,37,67.67
98,A4,16.0,0.5,37,67.67
99,E3,16.0,0.5,25,67.67
100,A2,16.0,0.5,25,67.67
101,A2,17.0,0.5,30,67.67
