,note_name,start_time,duration,velocity,tempo
0,F4,2.0,1.0,52,210.0
1,G#4,2.0,1.0,62,210.0
2,C#5,2.0,1.0,62,210.0
3,E-4,3.002,2.0,55,210.0
4,C5,3.002,2.0,65,210.0
5,G#4,3.002,2.0,65,210.0
6,C#4,5.0,1.0,49,210.0
7,G4,5.0,1.0,58,210.0
8,B-4,5.0,1.0,58,210.0
9,C4,6.0,0.188,46,210.0
10,G#4,6.0,0.188,54,210.0
11,E-5,6.0,0.188,54,210.0
12,F4,8.0,0.188,53,210.0
13,C#5,8.0,0.188,53,210.0
14,C#3,8.0,0.188,44,210.0
15,B-3,8.0,0.188,44,210.0
16,G#4,9.0,0.188,53,210.0
17,C5,9.0,0.188,53,210.0
18,E-4,9.0,0.188,45,210.0
19,E-3,9.0,0.188,45,210.0
20,G4,11.0,0.188,52,210.0
21,B-4,11.0,0.188,52,210.0
22,E-3,11.0,0.188,42,210.0
23,C#4,11.0,0.188,42,210.0
24,G#4,12.0,0.188,51,210.0
25,G#3,12.0,0.188,41,210.0
26,C4,12.0,0.188,41,210.0
27,B-4,14.0,1.0,55,210.0
28,C#5,14.0,1.0,65,210.0
29,F#5,14.0,1.0,65,210.0
30,G#4,15.0,2.0,55,210.0
31,C#5,15.0,2.0,65,210.0
32,F5,15.0,2.0,65,210.0
33,F#4,17.0,1.0,52,210.0
34,C5,17.0,1.0,61,210.0
35,E-5,17.0,1.0,61,210.0
36,F4,18.0,0.188,47,210.0
37,C#5,18.0,0.188,56,210.0
38,G#5,18.0,0.188,56,210.0
39,B-4,20.0,0.188,55,210.0
40,F#5,20.0,0.188,55,210.0
41,F#3,20.0,0.188,47,210.0
42,E-4,20.0,0.188,47,210.0
43,C#5,21.0,0.188,55,210.0
44,F5,21.0,0.188,55,210.0
45,G#3,21.0,0.188,47,210.0
46,G#4,21.0,0.188,47,210.0
47,C5,23.0,0.188,53,210.0
48,E-5,23.0,0.188,53,210.0
49,G#3,23.0,0.188,45,210.0
50,F#4,23.0,0.188,45,210.0
51,C#5,24.0,0.188,50,210.0
52,C#4,24.0,0.188,44,210.0
53,F4,24.0,0.188,44,210.0
54,C#4,26.0,1.0,65,210.0
55,C#5,26.0,1.0,65,210.0
56,F3,26.0,1.0,47,210.0
57,G#3,26.0,1.0,47,210.0
58,C#4,27.0,1.0,65,210.0
59,C#5,27.0,1.0,65,210.0
60,E-3,27.0,2.0,55,210.0
61,G#3,27.0,2.0,55,210.0
62,C4,28.0,1.0,65,210.0
63,C5,28.0,1.0,65,210.0
64,B-3,29.0,1.0,65,210.0
65,B-4,29.0,1.0,65,210.0
66,G3,29.0,1.0,49,210.0
67,C#3,29.0,1.0,49,210.0
68,E-4,30.0,1.0,65,210.0
69,B-4,30.0,1.0,65,210.0
70,C3,30.0,1.0,55,210.0
71,C4,30.0,1.0,55,210.0
72,E-5,31.0,0.25,65,210.0
73,C#5,32.0,1.0,62,210.0
74,F4,32.0,1.0,62,210.0
75,C#3,32.0,0.5,48,210.0
76,B-3,32.0,0.5,48,210.0
