,note_name,start_time,duration,velocity,tempo
0,G#3,0.002,1.0,71,93.28
1,G#4,0.002,1.0,71,93.28
2,F#3,1.0,1.0,70,93.28
3,F#4,1.0,1.0,70,93.28
4,B3,2.0,1.0,71,93.28
5,B4,2.0,1.0,71,93.28
6,E-2,2.0,1.0,62,93.28
7,E-1,2.0,1.0,62,93.28
8,C#4,3.0,0.5,72,93.28
9,C#5,3.0,0.5,72,93.28
10,B-2,3.0,1.0,60,93.28
11,B-1,3.0,1.0,60,93.28
12,F#4,3.5,0.5,62,93.28
13,F#5,3.5,0.5,62,93.28
14,E-4,4.0,1.0,69,93.28
15,E-5,4.0,1.0,69,93.28
16,B2,4.0,1.0,57,93.28
17,B1,4.0,1.0,57,93.28
18,C#4,5.0,0.5,72,93.28
19,C#5,5.0,0.5,72,93.28
20,B-1,5.0,1.0,62,93.28
21,B-2,5.0,1.0,62,93.28
22,F#4,5.5,0.5,68,93.28
23,F#5,5.5,0.5,68,93.28
24,E-4,6.0,1.0,70,93.28
25,E-5,6.0,1.0,70,93.28
26,B2,6.0,1.0,59,93.28
27,B1,6.0,1.0,59,93.28
28,B3,7.0,1.0,70,93.28
29,B4,7.0,1.0,70,93.28
30,E-2,7.0,1.0,56,93.28
31,E-1,7.0,1.0,56,93.28
32,C#4,8.0,1.0,77,93.28
33,C#5,8.0,1.0,77,93.28
34,E2,8.0,1.0,57,93.28
35,E1,8.0,1.0,57,93.28
36,G#3,9.0,1.0,64,93.28
37,G#4,9.0,1.0,64,93.28
38,F1,9.0,1.0,50,93.28
39,F2,9.0,1.0,50,93.28
40,F#3,10.0,0.938,64,93.28
41,F#4,10.0,0.938,64,93.28
42,F#1,10.0,0.938,50,93.28
43,F#2,10.0,0.938,50,93.28
44,G#2,11.002,1.0,70,93.28
45,G#1,11.002,1.0,70,93.28
46,F#2,12.0,1.0,69,93.28
47,F#1,12.0,1.0,69,93.28
48,E-5,13.0,1.0,62,93.28
49,F#5,13.0,1.0,62,93.28
50,F#4,13.0,1.0,62,93.28
51,B4,13.0,1.0,62,93.28
52,B2,13.0,1.0,70,93.28
53,B1,13.0,1.0,70,93.28
54,B-4,14.0,1.0,56,93.28
55,C#5,14.0,1.0,56,93.28
56,C#4,14.0,1.0,56,93.28
57,F#4,14.0,1.0,56,93.28
58,C#2,14.0,0.5,71,93.28
59,C#3,14.0,0.5,71,93.28
60,F#3,14.5,0.5,66,93.28
61,F#2,14.5,0.5,66,93.28
62,E-5,15.0,1.0,59,93.28
63,F#5,15.0,1.0,59,93.28
64,F#4,15.0,1.0,59,93.28
65,B4,15.0,1.0,59,93.28
66,E-3,15.0,1.0,68,93.28
67,E-2,15.0,1.0,68,93.28
