,note_name,start_time,duration,velocity,tempo
0,E5,0.002,187/250,60,87.6
1,C3,0.5,0.5,40,87.6
2,F5,0.75,0.125,54,87.6
3,G5,0.875,0.125,54,87.6
4,C5,1.0,0.5,60,87.6
5,E3,1.0,0.5,40,87.6
6,G3,1.5,0.5,40,87.6
7,B4,1.5,0.5,49,87.6
8,D5,1.5,0.5,49,87.6
9,B4,2.0,0.5,53,87.6
10,D5,2.0,0.375,53,87.6
11,C4,2.0,0.5,43,87.6
12,F5,2.375,0.125,48,87.6
13,C3,2.5,0.5,40,87.6
14,E5,2.5,0.5,53,87.6
15,C5,2.5,0.5,53,87.6
16,G3,3.0,0.5,43,87.6
17,B4,3.0,1.0,50,87.6
18,D5,3.0,1.0,50,87.6
19,G2,3.5,0.5,40,87.6
20,E5,4.0,0.75,60,87.6
21,C3,4.5,0.5,40,87.6
22,F5,4.75,0.125,56,87.6
23,G5,4.875,0.125,56,87.6
24,C5,5.0,0.5,61,87.6
25,E3,5.0,0.5,40,87.6
26,G3,5.5,0.5,43,87.6
27,D5,5.5,0.25,49,87.6
28,B4,5.5,0.25,49,87.6
29,C4,6.0,0.5,44,87.6
30,D5,6.0,0.5,54,87.6
31,F5,6.0,0.5,54,87.6
32,E5,6.5,1/10,49,87.6
33,C5,6.5,0.5,49,87.6
34,C3,6.5,0.5,41,87.6
35,F5,6.6,1/10,49,87.6
36,E5,6.7,1/10,49,87.6
37,F5,6.8,1/10,49,87.6
38,E5,6.9,1/10,49,87.6
39,G3,7.0,0.5,43,87.6
40,B4,7.0,1.0,52,87.6
41,D5,7.0,1.0,52,87.6
42,G2,7.5,0.5,41,87.6
43,F5,8.0,0.75,64,87.6
44,A3,8.0,0.5,47,87.6
45,C4,8.5,0.5,46,87.6
46,G5,8.75,0.125,60,87.6
47,F5,8.875,0.125,60,87.6
48,E5,9.0,0.5,64,87.6
49,G3,9.0,0.5,49,87.6
50,E5,9.5,0.25,62,87.6
51,C4,9.5,0.5,45,87.6
52,A5,10.0,0.75,69,87.6
53,F3,10.0,0.5,49,87.6
54,C4,10.5,0.5,47,87.6
55,B5,10.75,0.125,63,87.6
56,C6,10.875,0.125,63,87.6
57,G5,11.0,0.5,69,87.6
58,E3,11.0,0.5,50,87.6
59,G5,11.5,0.25,69,87.6
60,C4,11.5,0.5,46,87.6
61,G5,12.0,0.25,68,87.6
62,F5,12.25,0.188,63,87.6
63,F5,12.5,0.25,64,87.6
64,G4,12.5,0.5,43,87.6
65,B3,12.5,0.5,43,87.6
66,D5,12.75,0.188,63,87.6
67,F5,13.0,0.25,69,87.6
68,E5,13.25,0.188,64,87.6
69,E5,13.5,0.25,66,87.6
70,G4,13.5,0.5,43,87.6
71,C4,13.5,0.5,43,87.6
72,C5,13.75,0.188,64,87.6
73,C#5,14.0,0.25,64,87.6
74,B3,14.0,1.0,44,87.6
75,G3,14.0,1.0,44,87.6
76,D5,14.25,0.25,60,87.6
77,E5,14.5,0.25,64,87.6
78,D5,14.75,0.25,62,87.6
79,C5,15.0,0.25,63,87.6
80,B4,15.25,0.25,61,87.6
81,A4,15.5,0.25,61,87.6
82,G4,15.75,0.25,60,87.6
83,E5,16.0,0.75,70,87.6
84,C2,16.0,0.25,64,87.6
85,E2,16.25,0.25,56,87.6
86,G2,16.5,0.25,57,87.6
87,F5,16.75,0.125,64,87.6
88,C3,16.75,0.25,56,87.6
89,G5,16.875,0.125,64,87.6
90,C5,17.0,0.5,70,87.6
91,E2,17.0,0.25,60,87.6
92,E3,17.25,0.25,57,87.6
93,G2,17.5,0.25,60,87.6
94,D5,17.5,0.5,60,87.6
95,B4,17.5,0.5,60,87.6
96,G3,17.75,0.25,57,87.6
97,D5,18.0,0.375,63,87.6
98,B4,18.0,0.5,63,87.6
99,C3,18.0,0.25,60,87.6
100,E3,18.25,0.25,55,87.6
101,F5,18.375,0.125,57,87.6
102,G3,18.5,0.25,57,87.6
103,C5,18.5,0.5,63,87.6
104,E5,18.5,0.5,63,87.6
105,C4,18.75,0.25,56,87.6
106,G2,19.0,0.25,60,87.6
107,B4,19.0,1.0,61,87.6
108,D5,19.0,1.0,61,87.6
109,B2,19.25,0.25,57,87.6
110,D3,19.5,0.25,59,87.6
111,G3,19.75,0.25,57,87.6
112,E5,20.0,0.75,70,87.6
113,C2,20.0,0.25,60,87.6
114,E2,20.25,0.25,56,87.6
115,G2,20.5,0.25,57,87.6
116,F5,20.75,0.125,67,87.6
117,C3,20.75,0.25,55,87.6
118,G5,20.875,0.125,67,87.6
119,C5,21.0,0.5,71,87.6
120,E2,21.0,0.25,60,87.6
121,E3,21.25,0.25,57,87.6
122,G2,21.5,0.25,58,87.6
123,D5,21.5,0.25,60,87.6
124,B4,21.5,0.25,60,87.6
125,G3,21.75,0.25,57,87.6
126,C3,22.0,0.25,60,87.6
127,F5,22.0,0.5,64,87.6
128,D5,22.0,0.5,64,87.6
129,E3,22.25,0.25,55,87.6
130,C5,22.5,0.5,60,87.6
131,E5,22.5,1/10,60,87.6
132,G3,22.5,0.25,57,87.6
133,F5,22.6,1/10,60,87.6
134,E5,22.7,1/10,60,87.6
135,C4,22.75,0.25,56,87.6
136,F5,22.8,1/10,60,87.6
137,E5,22.9,1/10,60,87.6
138,G2,23.0,0.25,62,87.6
139,B4,23.0,1.0,62,87.6
140,D5,23.0,1.0,62,87.6
141,B2,23.25,0.25,56,87.6
142,D3,23.5,0.25,57,87.6
143,G3,23.75,0.25,56,87.6
144,F5,24.0,0.75,77,87.6
145,A3,24.0,0.25,53,87.6
146,C4,24.25,0.25,49,87.6
147,A3,24.5,0.25,53,87.6
148,G5,24.75,0.125,70,87.6
149,C4,24.75,0.25,49,87.6
150,F5,24.875,0.125,70,87.6
151,E5,25.0,0.5,77,87.6
152,G3,25.0,0.25,53,87.6
153,C4,25.25,0.25,50,87.6
154,E5,25.5,0.25,74,87.6
155,G3,25.5,0.25,53,87.6
156,C4,25.75,0.25,50,87.6
157,A5,26.0,0.75,78,87.6
158,F3,26.0,0.25,57,87.6
159,C4,26.25,0.25,53,87.6
160,F3,26.5,0.25,57,87.6
161,B5,26.75,0.125,71,87.6
162,C4,26.75,0.25,53,87.6
163,C6,26.875,0.125,69,87.6
164,G5,27.0,0.5,79,87.6
165,E3,27.0,0.25,57,87.6
166,C4,27.25,0.25,53,87.6
167,G5,27.5,0.25,77,87.6
168,E3,27.5,0.25,57,87.6
169,C4,27.75,0.25,52,87.6
170,G#5,28.0,0.25,77,87.6
171,A5,28.25,0.25,74,87.6
172,F5,28.5,0.25,75,87.6
173,D4,28.5,0.25,49,87.6
174,F3,28.5,0.25,49,87.6
175,D5,28.75,0.25,72,87.6
176,C5,29.0,0.5,75,87.6
177,E4,29.0,0.5,49,87.6
178,G3,29.0,1.0,49,87.6
179,B4,29.5,0.5,71,87.6
180,D4,29.5,0.5,49,87.6
181,C5,30.0,167/1000,75,87.6
182,E4,30.0,1.0,49,87.6
183,C4,30.0,1.0,49,87.6
