,note_name,start_time,duration,velocity,tempo
0,E-3,0.0,2.75,84,40.0
1,G3,0.0,2.75,84,40.0
2,C4,0.0,2.75,84,40.0
3,C2,0.0,2.75,73,40.0
4,E-2,0.0,2.75,73,40.0
5,G2,0.0,2.75,73,40.0
6,C3,0.0,2.75,73,40.0
7,E-3,2.75,0.25,36,40.0
8,G3,2.75,0.25,44,40.0
9,C4,2.75,0.25,44,40.0
10,D3,3.0,0.75,41,40.0
11,G3,3.0,0.75,45,40.0
12,B3,3.0,0.75,45,40.0
13,D4,3.0,0.75,45,40.0
14,C3,3.75,9/40,36,40.0
15,G3,3.75,9/40,44,40.0
16,C4,3.75,9/40,44,40.0
17,E-4,3.75,9/40,44,40.0
18,F#3,4.0,2.0,39,40.0
19,A3,4.0,2.0,47,40.0
20,C4,4.0,2.0,47,40.0
21,E-4,4.0,2.0,47,40.0
22,G3,6.0,1.0,25,40.0
23,B3,6.0,1.0,32,40.0
24,D4,6.0,1.0,32,40.0
25,G#2,7.75,0.25,89,40.0
26,G#3,8.0,2.75,93,40.0
27,B3,8.0,2.75,95,40.0
28,D4,8.0,2.75,95,40.0
29,F4,8.0,2.75,95,40.0
30,G#3,10.75,9/40,38,40.0
31,D4,10.75,9/40,45,40.0
32,B3,10.75,9/40,45,40.0
33,F4,10.75,9/40,45,40.0
34,G3,11.0,0.75,43,40.0
35,B3,11.0,0.75,47,40.0
36,D4,11.0,0.75,47,40.0
37,G4,11.0,0.75,47,40.0
38,F3,11.75,9/40,38,40.0
39,D4,11.75,9/40,46,40.0
40,G#4,11.75,9/40,46,40.0
41,B3,11.75,9/40,46,40.0
42,E-3,12.0,3.0,37,40.0
43,G#4,12.0,2.0,50,40.0
44,B3,12.0,2.0,50,40.0
45,D4,12.0,2.0,50,40.0
46,C4,14.0,1.0,33,40.0
47,G4,14.0,1.0,33,40.0
48,E-4,14.0,1.0,33,40.0
49,E-3,15.75,0.25,86,40.0
50,E-4,16.0,2.75,91,40.0
51,F#4,16.0,2.75,93,40.0
52,A4,16.0,2.75,93,40.0
53,C5,16.0,2.75,93,40.0
54,E-4,18.75,9/40,45,40.0
55,A4,18.75,9/40,52,40.0
