,note_name,start_time,duration,velocity,tempo
0,A4,0.002,331/1000,50,167.56
1,B4,0.333,333/1000,46,167.56
2,C5,0.667,333/1000,46,167.56
3,B4,1.0,333/1000,50,167.56
4,C5,1.333,333/1000,46,167.56
5,D5,1.667,333/1000,46,167.56
6,E5,2.0,1.0,65,167.56
7,E4,2.0,333/1000,50,167.56
8,F#4,2.333,333/1000,44,167.56
9,G#4,2.667,333/1000,44,167.56
10,A4,3.0,333/1000,50,167.56
11,F#4,3.0,333/1000,52,167.56
12,B4,3.333,333/1000,45,167.56
13,G#4,3.333,333/1000,45,167.56
14,C5,3.667,333/1000,45,167.56
15,A4,3.667,333/1000,45,167.56
16,B4,4.0,1.0,70,167.56
17,C5,4.333,333/1000,44,167.56
18,D5,4.667,333/1000,44,167.56
19,E5,5.0,1.0,65,167.56
20,E4,5.0,333/1000,50,167.56
21,F#4,5.333,333/1000,46,167.56
22,G#4,5.667,333/1000,46,167.56
23,A4,6.0,333/1000,50,167.56
24,F#4,6.0,333/1000,50,167.56
25,B4,6.333,333/1000,45,167.56
26,G#4,6.333,333/1000,45,167.56
27,C5,6.667,333/1000,45,167.56
28,A4,6.667,333/1000,45,167.56
29,B4,7.0,1.0,66,167.56
30,C5,7.333,333/1000,45,167.56
31,D5,7.667,333/1000,45,167.56
32,C5,8.0,333/1000,50,167.56
33,A4,8.0,333/1000,50,167.56
34,D5,8.333,333/1000,48,167.56
35,B4,8.333,333/1000,50,167.56
36,E5,8.667,333/1000,50,167.56
37,C5,8.667,333/1000,51,167.56
38,F5,9.0,333/1000,50,167.56
39,D5,9.0,333/1000,52,167.56
40,G5,9.333,333/1000,54,167.56
41,E5,9.333,333/1000,53,167.56
42,A5,9.667,333/1000,58,167.56
43,F5,9.667,333/1000,56,167.56
44,G5,10.0,333/1000,61,167.56
45,E5,10.0,333/1000,60,167.56
46,F5,10.333,333/1000,56,167.56
47,D5,10.333,333/1000,55,167.56
48,E5,10.667,333/1000,53,167.56
49,C5,10.667,333/1000,51,167.56
50,D5,11.0,333/1000,55,167.56
51,B4,11.0,333/1000,55,167.56
52,C5,11.333,333/1000,52,167.56
53,A4,11.333,333/1000,52,167.56
54,B4,11.667,333/1000,48,167.56
55,G4,11.667,333/1000,50,167.56
56,A4,12.0,333/1000,56,167.56
57,F4,12.0,0.375,59,167.56
58,B4,12.333,333/1000,50,167.56
59,C5,12.667,333/1000,50,167.56
60,B4,13.0,333/1000,53,167.56
61,C4,13.0,0.375,56,167.56
62,A4,13.333,333/1000,48,167.56
63,G4,13.667,333/1000,48,167.56
64,F4,14.0,333/1000,53,167.56
65,A3,14.0,1.0,50,167.56
66,E4,14.333,333/1000,47,167.56
67,E-4,14.667,333/1000,47,167.56
68,E4,15.0,1.0,57,167.56
69,G#3,15.0,333/1000,53,167.56
70,F#3,15.333,333/1000,48,167.56
71,E3,15.667,333/1000,48,167.56
72,E-3,16.0,333/1000,52,167.56
73,C#3,16.333,333/1000,47,167.56
74,B2,16.667,333/1000,48,167.56
75,B3,17.0,333/1000,50,167.56
76,A3,17.0,1.0,64,167.56
77,C#4,17.333,333/1000,45,167.56
78,E-4,17.667,333/1000,45,167.56
79,E4,18.0,333/1000,54,167.56
80,G#3,18.0,333/1000,54,167.56
81,F#4,18.333,333/1000,49,167.56
82,F#3,18.333,333/1000,49,167.56
83,G#4,18.667,333/1000,49,167.56
84,E3,18.667,333/1000,49,167.56
85,A4,19.0,1.0,59,167.56
86,E-3,19.0,333/1000,53,167.56
87,C#3,19.333,333/1000,47,167.56
88,B2,19.667,333/1000,47,167.56
89,B3,20.0,333/1000,50,167.56
90,A3,20.0,1.0,64,167.56
91,C#4,20.333,333/1000,45,167.56
92,E-4,20.667,333/1000,45,167.56
93,E4,21.0,333/1000,54,167.56
94,G#3,21.0,333/1000,54,167.56
95,F#4,21.333,333/1000,48,167.56
96,F#3,21.333,333/1000,47,167.56
97,G#4,21.667,333/1000,48,167.56
98,E3,21.667,333/1000,47,167.56
99,A4,22.0,1.0,58,167.56
100,E-3,22.0,333/1000,52,167.56
101,C#3,22.333,333/1000,44,167.56
102,B2,22.667,333/1000,44,167.56
103,B3,23.0,333/1000,50,167.56
104,A3,23.0,1.0,64,167.56
105,C#4,23.333,333/1000,46,167.56
106,E-4,23.667,333/1000,46,167.56
107,E4,24.0,333/1000,54,167.56
108,G#3,24.0,333/1000,50,167.56
109,F#4,24.333,333/1000,47,167.56
110,F#3,24.333,333/1000,43,167.56
111,G#4,24.667,333/1000,47,167.56
112,E3,24.667,333/1000,43,167.56
113,F#4,25.0,333/1000,60,167.56
114,F#3,25.0,333/1000,52,167.56
115,G#4,25.333,333/1000,53,167.56
116,E3,25.333,333/1000,44,167.56
117,A4,25.667,333/1000,53,167.56
118,E-3,25.667,333/1000,44,167.56
119,G#4,26.0,333/1000,64,167.56
120,E3,26.0,333/1000,52,167.56
121,A4,26.333,333/1000,58,167.56
122,E-3,26.333,333/1000,47,167.56
123,B4,26.667,333/1000,60,167.56
124,D3,26.667,333/1000,47,167.56
125,A4,27.0,333/1000,68,167.56
126,E3,27.0,333/1000,56,167.56
127,B4,27.333,333/1000,60,167.56
128,D3,27.333,333/1000,52,167.56
129,C5,27.667,333/1000,63,167.56
130,C3,27.667,333/1000,53,167.56
131,B4,28.0,333/1000,73,167.56
132,D3,28.0,333/1000,58,167.56
133,C5,28.333,333/1000,63,167.56
134,C3,28.333,333/1000,55,167.56
