,note_name,start_time,duration,velocity,tempo
0,B-5,0.0,0.5,54,129.93
1,B-3,0.0,0.25,34,129.93
2,D4,0.0,0.25,34,129.93
3,F4,0.25,0.25,25,129.93
4,A5,0.5,0.5,47,129.93
5,B-3,0.5,0.25,26,129.93
6,D4,0.5,0.25,26,129.93
7,F4,0.75,0.25,24,129.93
8,B-5,1.0,0.5,47,129.93
9,D4,1.0,0.25,26,129.93
10,B-3,1.0,0.25,26,129.93
11,F4,1.25,0.25,25,129.93
12,G5,1.5,0.5,51,129.93
13,E-4,1.5,0.25,31,129.93
14,B-3,1.5,0.25,31,129.93
15,G4,1.75,0.25,25,129.93
16,A5,2.0,0.25,46,129.93
17,E-4,2.0,0.25,26,129.93
18,B-3,2.0,0.25,26,129.93
19,B-5,2.25,0.25,47,129.93
20,G4,2.25,0.25,24,129.93
21,C6,2.5,0.25,49,129.93
22,B-3,2.5,0.25,26,129.93
23,E-4,2.5,0.25,26,129.93
24,D6,2.75,0.25,50,129.93
25,G4,2.75,0.25,24,129.93
26,B-5,3.0,0.5,53,129.93
27,B-3,3.0,0.25,37,129.93
28,D4,3.0,0.25,37,129.93
29,F4,3.25,0.25,25,129.93
30,C6,3.5,0.25,54,129.93
31,D4,3.5,0.25,26,129.93
32,B-3,3.5,0.25,26,129.93
33,B-5,3.75,0.25,47,129.93
34,F4,3.75,0.25,24,129.93
35,A5,4.0,0.25,51,129.93
36,B-3,4.0,0.25,26,129.93
37,D4,4.0,0.25,26,129.93
38,G5,4.25,0.25,47,129.93
39,F4,4.25,0.25,24,129.93
40,F5,4.5,0.125,56,129.93
41,E-4,4.5,0.25,32,129.93
42,A3,4.5,0.25,32,129.93
43,F4,4.75,0.25,25,129.93
44,F5,5.0,0.125,51,129.93
45,A3,5.0,0.25,26,129.93
46,E-4,5.0,0.25,26,129.93
47,F4,5.25,0.25,26,129.93
48,F5,5.5,0.125,50,129.93
49,A3,5.5,0.25,26,129.93
50,E-4,5.5,0.25,26,129.93
51,F4,5.75,0.25,25,129.93
52,F#5,6.0,0.5,61,129.93
53,E-4,6.0,0.25,34,129.93
54,A3,6.0,0.25,34,129.93
55,F#4,6.25,0.25,25,129.93
56,F#6,6.5,0.5,57,129.93
57,A3,6.5,0.25,26,129.93
58,E-4,6.5,0.25,26,129.93
59,F#4,6.75,0.25,25,129.93
60,F#6,7.0,0.125,57,129.93
61,A3,7.0,0.25,26,129.93
62,E-4,7.0,0.25,26,129.93
63,F#4,7.25,0.25,25,129.93
64,G6,7.5,0.5,65,129.93
65,B-3,7.5,0.25,32,129.93
66,E-4,7.5,0.25,32,129.93
67,G4,7.75,0.25,25,129.93
68,G5,8.0,0.5,51,129.93
69,E-4,8.0,0.25,26,129.93
70,B-3,8.0,0.25,26,129.93
71,G4,8.25,0.25,25,129.93
72,G5,8.5,0.125,51,129.93
73,B-3,8.5,0.25,26,129.93
74,E-4,8.5,0.25,26,129.93
75,G4,8.75,0.25,25,129.93
76,A5,9.0,0.125,53,129.93
77,C4,9.0,0.25,32,129.93
78,E-4,9.0,0.25,32,129.93
79,F4,9.25,0.25,25,129.93
80,B-6,9.438,0.062,46,129.93
81,A6,9.5,0.25,52,129.93
82,C4,9.5,0.25,26,129.93
83,E-4,9.5,0.25,26,129.93
84,G6,9.75,0.25,51,129.93
85,F4,9.75,0.25,25,129.93
86,A6,10.0,0.5,52,129.93
87,C4,10.0,0.25,26,129.93
88,E-4,10.0,0.25,26,129.93
89,F4,10.25,0.25,25,129.93
90,B-6,10.5,0.125,54,129.93
91,B-3,10.5,0.25,32,129.93
92,D4,10.5,0.25,32,129.93
93,F4,10.75,0.25,25,129.93
94,C6,10.938,0.062,45,129.93
95,B-5,11.0,0.25,51,129.93
96,B-3,11.0,0.25,26,129.93
97,D4,11.0,0.25,26,129.93
98,A5,11.25,0.25,47,129.93
99,F4,11.25,0.25,25,129.93
100,B-5,11.5,0.25,51,129.93
101,B-3,11.5,0.25,26,129.93
102,D4,11.5,0.25,26,129.93
103,F4,11.75,0.25,25,129.93
104,B-3,12.0,0.5,48,129.93
105,B-4,12.0,0.25,37,129.93
106,D5,12.0,0.25,37,129.93
107,F5,12.25,0.25,35,129.93
108,A3,12.5,0.5,40,129.93
109,B-4,12.5,0.25,38,129.93
110,D5,12.5,0.25,38,129.93
111,F5,12.75,0.25,34,129.93
112,B-3,13.0,0.5,40,129.93
113,D5,13.0,0.25,38,129.93
114,B-4,13.0,0.25,38,129.93
115,F5,13.25,0.25,35,129.93
116,G3,13.5,0.5,48,129.93
117,B-4,13.5,0.25,38,129.93
118,D5,13.5,0.25,38,129.93
119,G5,13.75,0.25,35,129.93
120,A3,14.0,0.25,39,129.93
121,B-4,14.0,0.25,38,129.93
122,D5,14.0,0.25,38,129.93
123,G5,14.25,0.25,34,129.93
124,B-3,14.25,0.25,39,129.93
125,C4,14.5,0.25,40,129.93
126,B-4,14.5,0.25,38,129.93
127,D5,14.5,0.25,38,129.93
128,G5,14.75,0.25,34,129.93
129,D4,14.75,0.25,40,129.93
130,B-3,15.0,0.5,46,129.93
131,B-4,15.0,0.25,40,129.93
132,D5,15.0,0.25,40,129.93
133,F5,15.25,0.25,35,129.93
134,C4,15.5,0.25,44,129.93
135,B-4,15.5,0.25,38,129.93
136,D5,15.5,0.25,38,129.93
137,F5,15.75,0.25,34,129.93
138,B-3,15.75,0.25,40,129.93
139,A3,16.0,0.25,44,129.93
140,D5,16.0,0.25,38,129.93
141,B-4,16.0,0.25,38,129.93
142,F5,16.25,0.25,34,129.93
143,G3,16.25,0.25,40,129.93
144,F3,16.5,0.125,47,129.93
145,E-5,16.5,0.25,43,129.93
146,A4,16.5,0.25,43,129.93
147,F5,16.75,0.25,35,129.93
148,F3,17.0,0.125,40,129.93
149,E-5,17.0,0.25,38,129.93
150,A4,17.0,0.25,38,129.93
151,F5,17.25,0.25,37,129.93
152,F3,17.5,0.125,40,129.93
153,E-5,17.5,0.25,38,129.93
154,A4,17.5,0.25,38,129.93
155,F5,17.75,0.25,35,129.93
156,F#3,18.0,0.5,51,129.93
157,A4,18.0,0.25,42,129.93
158,E-5,18.0,0.25,42,129.93
159,A5,18.25,0.25,35,129.93
160,F#4,18.5,0.5,39,129.93
161,A4,18.5,0.25,38,129.93
162,E-5,18.5,0.25,38,129.93
163,A5,18.75,0.25,35,129.93
164,F#4,19.0,0.125,41,129.93
165,A4,19.0,0.25,38,129.93
166,E-5,19.0,0.25,38,129.93
167,A5,19.25,0.25,35,129.93
168,G4,19.5,0.5,51,129.93
169,E-5,19.5,0.25,40,129.93
170,B-4,19.5,0.25,40,129.93
171,B-5,19.75,0.25,35,129.93
172,G3,20.0,0.5,45,129.93
173,B-4,20.0,0.25,38,129.93
174,E-5,20.0,0.25,38,129.93
175,A5,20.25,0.25,35,129.93
176,G3,20.5,0.125,46,129.93
177,B-4,20.5,0.25,38,129.93
178,E-5,20.5,0.25,38,129.93
179,G5,20.75,0.25,35,129.93
180,B-3,21.0,0.125,51,129.93
181,G#4,21.0,0.25,38,129.93
182,D5,21.0,0.25,38,129.93
183,F5,21.25,0.25,35,129.93
184,C3,21.375,167/1000,39,129.93
185,B-2,21.5,73/250,46,129.93
186,G#4,21.5,0.25,38,129.93
187,D5,21.5,0.25,38,129.93
188,F5,21.75,0.25,35,129.93
189,A2,21.75,73/250,42,129.93
190,B-2,22.0,0.5,45,129.93
191,D5,22.0,0.25,38,129.93
192,G#4,22.0,0.25,38,129.93
193,F5,22.25,0.25,35,129.93
194,E-3,22.5,0.125,42,129.93
195,E-5,22.5,0.25,38,129.93
196,G4,22.5,0.25,38,129.93
197,G5,22.75,0.25,35,129.93
198,F2,22.875,167/1000,37,129.93
199,E-2,23.0,73/250,42,129.93
200,E-5,23.0,0.25,38,129.93
201,G4,23.0,0.25,38,129.93
202,G5,23.25,0.25,35,129.93
203,D2,23.25,73/250,39,129.93
204,E-2,23.5,0.25,42,129.93
205,E-5,23.5,0.25,38,129.93
206,G4,23.5,0.25,38,129.93
207,B-5,24.0,0.125,56,129.93
208,E-4,24.0,0.25,32,129.93
209,G4,24.0,0.25,32,129.93
210,B-4,24.25,0.25,28,129.93
211,G#5,24.375,0.125,50,129.93
212,G5,24.5,0.25,56,129.93
213,E-4,24.5,0.25,29,129.93
214,G4,24.5,0.25,29,129.93
215,F5,24.75,0.25,52,129.93
216,B-4,24.75,0.25,28,129.93
217,G5,25.0,0.5,56,129.93
218,E-4,25.0,0.25,29,129.93
219,G4,25.0,0.25,29,129.93
220,B-4,25.25,0.25,28,129.93
221,B-5,25.5,0.125,56,129.93
222,D4,25.5,0.25,29,129.93
223,F4,25.5,0.25,29,129.93
224,B-4,25.75,0.25,28,129.93
225,G5,25.875,0.125,49,129.93
226,F5,26.0,0.25,56,129.93
227,D4,26.0,0.25,29,129.93
228,F4,26.0,0.25,29,129.93
229,E5,26.25,0.25,52,129.93
230,B-4,26.25,0.25,28,129.93
231,F5,26.5,0.5,56,129.93
232,C#4,26.5,0.25,29,129.93
233,F4,26.5,0.25,29,129.93
234,B-4,26.75,0.25,28,129.93
235,C6,27.0,0.5,58,129.93
236,C4,27.0,0.25,29,129.93
237,F4,27.0,0.25,29,129.93
238,G#4,27.25,0.25,28,129.93
239,B-5,27.5,0.25,59,129.93
240,C4,27.5,0.25,29,129.93
241,F4,27.5,0.25,29,129.93
242,G#5,27.75,0.25,54,129.93
243,G#4,27.75,0.25,28,129.93
244,G5,28.0,0.25,58,129.93
245,C4,28.0,0.25,29,129.93
246,F4,28.0,0.25,29,129.93
247,F5,28.25,0.25,58,129.93
248,G#4,28.25,0.25,28,129.93
249,C6,28.5,0.5,58,129.93
250,C4,28.5,0.25,29,129.93
251,F4,28.5,0.25,29,129.93
252,G4,28.75,0.25,28,129.93
253,C5,29.0,0.5,56,129.93
254,C4,29.0,0.25,29,129.93
255,E4,29.0,0.25,29,129.93
256,G4,29.25,0.25,28,129.93
257,C5,29.5,0.5,56,129.93
258,C4,29.5,0.25,29,129.93
259,E4,29.5,0.25,29,129.93
260,G4,29.75,0.25,30,129.93
261,G#3,30.0,1.5,37,129.93
262,C4,30.0,0.5,44,129.93
263,G#4,30.0,0.25,40,129.93
264,C5,30.0,0.25,40,129.93
265,E-5,30.25,0.25,39,129.93
266,C#4,30.5,0.5,40,129.93
267,G#4,30.5,0.25,42,129.93
268,C5,30.5,0.25,42,129.93
269,E-5,30.75,0.25,38,129.93
270,C4,31.0,0.5,40,129.93
271,G#4,31.0,0.25,42,129.93
272,C5,31.0,0.25,42,129.93
273,E-5,31.25,0.25,39,129.93
274,C#3,31.5,1.5,37,129.93
275,B-3,31.5,0.5,44,129.93
276,G#4,31.5,0.25,40,129.93
277,F5,31.5,0.25,40,129.93
278,G#5,31.75,0.25,39,129.93
279,F3,32.0,0.5,42,129.93
280,G#4,32.0,0.25,43,129.93
281,F5,32.0,0.25,43,129.93
282,G#5,32.25,0.25,39,129.93
283,G3,32.5,0.5,44,129.93
284,G#4,32.5,0.25,45,129.93
285,F5,32.5,0.25,45,129.93
286,G#5,32.75,0.25,43,129.93
287,B-3,32.875,0.125,44,129.93
288,E-3,33.0,1.5,37,129.93
289,G#3,33.0,0.5,44,129.93
290,G#4,33.0,0.25,40,129.93
291,C5,33.0,0.25,40,129.93
292,E-5,33.25,0.25,38,129.93
293,G3,33.5,0.5,38,129.93
294,G#4,33.5,0.25,38,129.93
295,C5,33.5,0.25,38,129.93
296,E-5,33.75,0.25,34,129.93
297,G#3,34.0,0.5,35,129.93
298,G#4,34.0,0.25,37,129.93
299,C5,34.0,0.25,37,129.93
300,E-5,34.25,0.25,33,129.93
301,B-3,34.5,1.0,37,129.93
302,E-3,34.5,1.5,37,129.93
303,G4,34.5,0.25,34,129.93
304,C#5,34.5,0.25,34,129.93
305,E-5,34.75,0.25,32,129.93
306,G4,35.0,0.25,34,129.93
307,C#5,35.0,0.25,34,129.93
308,E-5,35.25,0.25,31,129.93
309,B3,35.5,0.5,34,129.93
310,G4,35.5,0.25,34,129.93
311,C#5,35.5,0.25,34,129.93
312,E-5,35.75,0.25,32,129.93
313,G#4,36.0,0.125,50,129.93
314,C5,36.0,0.125,50,129.93
315,E-5,36.0,0.125,50,129.93
316,G#3,36.0,0.25,32,129.93
317,C4,36.0,0.25,32,129.93
318,E-4,36.25,0.25,28,129.93
319,C#5,36.375,0.125,48,129.93
320,C5,36.5,0.25,56,129.93
321,G#3,36.5,0.25,29,129.93
322,C4,36.5,0.25,29,129.93
323,B-4,36.75,0.25,52,129.93
324,E-4,36.75,0.25,28,129.93
325,C5,37.0,0.5,56,129.93
326,G#3,37.0,0.25,29,129.93
327,C4,37.0,0.25,29,129.93
328,E-4,37.25,0.25,28,129.93
329,E-5,37.5,0.125,56,129.93
330,G3,37.5,0.25,29,129.93
331,B-3,37.5,0.25,29,129.93
332,E-4,37.75,0.25,28,129.93
333,C5,37.875,0.125,48,129.93
334,B-4,38.0,0.25,56,129.93
335,G3,38.0,0.25,29,129.93
336,B-3,38.0,0.25,29,129.93
337,A4,38.25,0.25,52,129.93
338,E-4,38.25,0.25,28,129.93
339,B-4,38.5,0.5,56,129.93
340,F#3,38.5,0.25,29,129.93
341,B-3,38.5,0.25,29,129.93
342,E-4,38.75,0.25,28,129.93
343,F5,39.0,0.5,58,129.93
344,F3,39.0,0.25,29,129.93
345,B-3,39.0,0.25,29,129.93
346,C#4,39.25,0.25,28,129.93
347,E-5,39.5,0.25,59,129.93
348,F3,39.5,0.25,29,129.93
349,B-3,39.5,0.25,29,129.93
350,C#5,39.75,0.25,54,129.93
351,C#4,39.75,0.25,28,129.93
352,C5,40.0,0.25,58,129.93
353,F3,40.0,0.25,29,129.93
354,B-3,40.0,0.25,29,129.93
355,B-4,40.25,0.25,58,129.93
356,C#4,40.25,0.25,28,129.93
357,F5,40.5,0.5,58,129.93
358,F3,40.5,0.25,29,129.93
359,B-3,40.5,0.25,29,129.93
360,C4,40.75,0.25,28,129.93
361,F4,41.0,0.5,56,129.93
362,F3,41.0,0.25,29,129.93
363,A3,41.0,0.25,29,129.93
364,C4,41.25,0.25,28,129.93
365,F4,41.5,0.5,56,129.93
366,F3,41.5,0.25,29,129.93
