,note_name,start_time,duration,velocity,tempo
0,D5,0.0,1.0,50,91.09
1,B-2,0.0,0.25,35,91.09
2,D4,0.5,0.5,24,91.09
3,D5,1.0,9/20,45,91.09
4,F3,1.0,0.5,24,91.09
5,B-3,1.0,0.5,24,91.09
6,D5,1.5,9/20,45,91.09
7,D4,1.5,0.5,25,91.09
8,B-4,2.0,1.0,50,91.09
9,D3,2.0,0.25,35,91.09
10,F4,2.5,0.5,27,91.09
11,B-4,3.0,1.0,45,91.09
12,B-3,3.0,0.5,28,91.09
13,F3,3.0,0.5,28,91.09
14,F4,3.5,0.5,27,91.09
15,A4,4.0,1.0,50,91.09
16,C3,4.0,0.25,35,91.09
17,E-4,4.5,0.5,26,91.09
18,A4,5.0,0.5,47,91.09
19,F3,5.0,0.5,26,91.09
20,A3,5.0,0.5,26,91.09
21,A4,5.5,0.375,47,91.09
22,E-4,5.5,0.5,26,91.09
23,A4,5.875,0.125,40,91.09
24,E-5,6.0,2.0,50,91.09
25,F2,6.0,0.25,35,91.09
26,C4,6.5,0.5,23,91.09
27,A3,7.0,0.5,21,91.09
28,F3,7.0,0.5,21,91.09
29,C4,7.5,0.5,23,91.09
30,D5,8.0,1.0,50,91.09
31,B-2,8.0,0.25,35,91.09
32,D4,8.5,0.5,24,91.09
33,D5,9.0,9/20,45,91.09
34,F3,9.0,0.5,24,91.09
35,B-3,9.0,0.5,24,91.09
36,D5,9.5,9/20,45,91.09
37,D4,9.5,0.5,25,91.09
38,D5,10.0,0.5,50,91.09
39,E-2,10.0,0.25,35,91.09
40,G4,10.5,0.25,50,91.09
41,C4,10.5,0.5,27,91.09
42,G4,11.0,1.0,45,91.09
43,G3,11.0,0.5,27,91.09
44,B-3,11.0,0.5,27,91.09
45,E-3,11.0,0.5,27,91.09
46,C4,11.5,0.5,27,91.09
47,C5,12.0,0.5,50,91.09
48,E2,12.0,0.25,35,91.09
49,B4,12.5,0.25,44,91.09
50,C4,12.5,0.5,26,91.09
51,C5,12.75,0.25,44,91.09
52,B4,13.0,0.25,44,91.09
53,B-3,13.0,0.5,26,91.09
54,G3,13.0,0.5,26,91.09
55,E3,13.0,0.5,26,91.09
56,C5,13.25,0.25,47,91.09
57,D5,13.5,0.25,49,91.09
58,C4,13.5,0.5,26,91.09
59,C5,13.75,0.25,44,91.09
60,F4,14.0,2.0,50,91.09
61,F2,14.0,0.25,35,91.09
62,F3,14.5,1.5,20,91.09
63,A3,14.5,0.5,25,91.09
64,C4,14.512,0.5,32,91.09
65,D4,15.0,0.5,31,91.09
66,B-3,15.0,0.5,23,91.09
67,E-4,15.5,0.5,29,91.09
68,C4,15.5,0.5,21,91.09
69,B-2,16.0,0.5,35,91.09
70,D6,16.0,1.0,46,91.09
71,D5,16.0,1.0,46,91.09
72,D4,16.5,0.5,24,91.09
73,D6,17.0,9/20,42,91.09
74,D5,17.0,9/20,42,91.09
75,B-3,17.0,0.5,24,91.09
76,F3,17.0,0.5,24,91.09
77,D4,17.5,0.5,25,91.09
78,D6,17.5,9/20,42,91.09
79,D5,17.5,9/20,42,91.09
80,D3,18.0,0.5,35,91.09
81,B-5,18.0,1.0,46,91.09
82,B-4,18.0,1.0,46,91.09
83,F4,18.5,0.5,27,91.09
84,B-5,19.0,1.0,42,91.09
85,B-4,19.0,1.0,42,91.09
86,F3,19.0,0.5,28,91.09
87,B-3,19.0,0.5,28,91.09
