,note_name,start_time,duration,velocity,tempo
0,B-4,0.0,4.0,44,110.94
1,F#2,0.0,4.0,32,110.94
2,C#3,0.0,4.0,32,110.94
3,B-3,0.333,333/1000,26,110.94
4,C#4,0.667,333/1000,26,110.94
5,F#4,1.0,333/1000,29,110.94
6,C#4,1.333,333/1000,25,110.94
7,B-3,1.667,333/1000,22,110.94
8,C#4,2.0,333/1000,30,110.94
9,B-3,2.333,333/1000,25,110.94
10,C#4,2.667,333/1000,25,110.94
11,F#4,3.0,333/1000,29,110.94
12,C#4,3.333,333/1000,26,110.94
13,B-3,3.667,333/1000,23,110.94
14,B-4,4.0,2.0,41,110.94
15,C#3,4.0,2.0,32,110.94
16,F#2,4.0,2.0,32,110.94
17,B-3,4.333,333/1000,27,110.94
18,C#4,4.667,333/1000,29,110.94
19,F#4,5.0,333/1000,31,110.94
20,C#4,5.333,333/1000,26,110.94
21,B-3,5.667,333/1000,29,110.94
22,B-4,6.0,2.0,44,110.94
23,F#2,6.0,2.0,32,110.94
24,C#3,6.0,2.0,32,110.94
25,B-3,6.333,333/1000,28,110.94
26,C#4,6.667,333/1000,30,110.94
27,F#4,7.0,333/1000,35,110.94
28,C#4,7.333,333/1000,31,110.94
29,B-3,7.667,333/1000,33,110.94
30,B-4,8.0,4.0,49,110.94
31,E-3,8.0,8.0,32,110.94
32,E-2,8.0,8.0,32,110.94
33,B-3,8.333,333/1000,27,110.94
34,E-4,8.667,333/1000,27,110.94
35,F#4,9.0,333/1000,34,110.94
36,E-4,9.333,333/1000,29,110.94
37,B-3,9.667,333/1000,26,110.94
38,E-4,10.0,333/1000,37,110.94
39,B-3,10.333,333/1000,29,110.94
40,E-4,10.667,333/1000,29,110.94
41,F#4,11.0,333/1000,36,110.94
42,E-4,11.333,333/1000,29,110.94
43,B-3,11.667,333/1000,25,110.94
44,F#4,12.0,4.0,49,110.94
45,F#3,12.333,333/1000,30,110.94
46,B-3,12.667,333/1000,30,110.94
47,E-4,13.0,333/1000,36,110.94
48,B-3,13.333,333/1000,30,110.94
49,F#3,13.667,333/1000,30,110.94
50,B-3,14.0,333/1000,37,110.94
51,F#3,14.333,333/1000,30,110.94
52,B-3,14.667,333/1000,30,110.94
53,E-4,15.0,333/1000,35,110.94
54,B-3,15.333,333/1000,30,110.94
55,F#3,15.667,333/1000,27,110.94
56,G#4,16.0,4.0,49,110.94
57,B1,16.0,4.0,32,110.94
58,B2,16.0,4.0,32,110.94
59,G#3,16.333,333/1000,29,110.94
60,B3,16.667,333/1000,29,110.94
61,E-4,17.0,333/1000,37,110.94
62,B3,17.333,333/1000,29,110.94
63,G#3,17.667,333/1000,29,110.94
64,B3,18.0,333/1000,37,110.94
65,G#3,18.333,333/1000,29,110.94
66,B3,18.667,333/1000,29,110.94
67,E-4,19.0,333/1000,36,110.94
68,B3,19.333,333/1000,29,110.94
69,G#3,19.667,333/1000,29,110.94
