,note_name,start_time,duration,velocity,tempo
0,A5,2.0,1.0,50,160.0
1,A4,2.0,1.0,50,160.0
2,C3,3.0,19/40,45,160.0
3,B-4,3.0,1.0,54,160.0
4,B-5,3.0,1.0,54,160.0
5,E4,3.5,19/40,31,160.0
6,C4,3.5,19/40,31,160.0
7,B-3,3.5,19/40,31,160.0
8,E5,4.0,1.0,57,160.0
9,E6,4.0,1.0,57,160.0
10,B-3,4.0,19/40,32,160.0
11,C4,4.0,19/40,32,160.0
12,E4,4.0,19/40,32,160.0
13,B-3,4.5,19/40,32,160.0
14,C4,4.5,19/40,32,160.0
15,E4,4.5,19/40,32,160.0
16,G5,5.0,1.0,60,160.0
17,G6,5.0,1.0,60,160.0
18,B-3,5.0,19/40,34,160.0
19,C4,5.0,19/40,34,160.0
20,E4,5.0,19/40,34,160.0
21,B-3,5.5,19/40,35,160.0
22,C4,5.5,19/40,35,160.0
23,E4,5.5,19/40,35,160.0
24,C3,6.0,19/40,50,160.0
25,G6,6.0,2.0,62,160.0
26,G5,6.0,2.0,62,160.0
27,E4,6.5,19/40,31,160.0
28,C4,6.5,19/40,31,160.0
29,B-3,6.5,19/40,31,160.0
30,E4,7.0,19/40,32,160.0
31,C4,7.0,19/40,32,160.0
32,B-3,7.0,19/40,32,160.0
33,E4,7.5,19/40,33,160.0
34,C4,7.5,19/40,33,160.0
35,B-3,7.5,19/40,33,160.0
36,G#4,8.0,1.0,57,160.0
37,G#5,8.0,1.0,57,160.0
38,E4,8.0,19/40,34,160.0
39,C4,8.0,19/40,34,160.0
40,B-3,8.0,19/40,34,160.0
41,E4,8.5,19/40,35,160.0
42,C4,8.5,19/40,35,160.0
43,B-3,8.5,19/40,35,160.0
44,F3,9.0,19/40,50,160.0
45,A5,9.0,1.0,62,160.0
46,A4,9.0,1.0,62,160.0
47,F4,9.5,19/40,31,160.0
48,C4,9.5,19/40,31,160.0
49,A3,9.5,19/40,31,160.0
50,C5,10.0,1.0,57,160.0
51,C6,10.0,1.0,57,160.0
52,A3,10.0,19/40,32,160.0
53,C4,10.0,19/40,32,160.0
54,F4,10.0,19/40,32,160.0
55,A3,10.5,19/40,33,160.0
56,C4,10.5,19/40,33,160.0
57,F4,10.5,19/40,33,160.0
58,F6,11.0,1.0,62,160.0
59,F5,11.0,1.0,62,160.0
60,A3,11.0,19/40,34,160.0
61,C4,11.0,19/40,34,160.0
62,F4,11.0,19/40,34,160.0
63,A3,11.5,19/40,35,160.0
64,C4,11.5,19/40,35,160.0
65,F4,11.5,19/40,35,160.0
66,A2,12.0,19/40,50,160.0
67,F5,12.0,2.0,62,160.0
68,F6,12.0,2.0,62,160.0
69,F4,12.5,19/40,36,160.0
70,C4,12.5,19/40,36,160.0
71,A3,12.5,19/40,36,160.0
72,F4,13.0,19/40,36,160.0
73,C4,13.0,19/40,36,160.0
74,A3,13.0,19/40,36,160.0
75,F4,13.5,19/40,37,160.0
76,C4,13.5,19/40,37,160.0
77,A3,13.5,19/40,37,160.0
78,F#5,14.0,1.0,50,160.0
79,F#4,14.0,1.0,50,160.0
80,A3,14.0,19/40,37,160.0
81,C4,14.0,19/40,37,160.0
82,E-4,14.0,19/40,37,160.0
83,A3,14.5,19/40,37,160.0
84,C4,14.5,19/40,37,160.0
85,E-4,14.5,19/40,37,160.0
86,B-2,15.0,19/40,45,160.0
87,G4,15.0,1.0,54,160.0
88,G5,15.0,1.0,54,160.0
89,D4,15.5,19/40,31,160.0
90,B-3,15.5,19/40,31,160.0
91,G3,15.5,19/40,31,160.0
92,B-4,16.0,1.0,57,160.0
93,B-5,16.0,1.0,57,160.0
94,G3,16.0,19/40,32,160.0
95,B-3,16.0,19/40,32,160.0
96,D4,16.0,19/40,32,160.0
97,G3,16.5,19/40,32,160.0
98,B-3,16.5,19/40,32,160.0
99,D4,16.5,19/40,32,160.0
100,D5,17.0,1.0,60,160.0
101,D6,17.0,1.0,60,160.0
102,G3,17.0,19/40,34,160.0
103,B-3,17.0,19/40,34,160.0
104,D4,17.0,19/40,34,160.0
105,G3,17.5,19/40,35,160.0
106,B-3,17.5,19/40,35,160.0
107,D4,17.5,19/40,35,160.0
108,C3,18.0,19/40,50,160.0
109,D6,18.0,2.0,62,160.0
110,D5,18.0,2.0,62,160.0
111,C4,18.5,19/40,31,160.0
112,B-3,18.5,19/40,31,160.0
113,G3,18.5,19/40,31,160.0
114,C4,19.0,19/40,32,160.0
115,B-3,19.0,19/40,32,160.0
116,G3,19.0,19/40,32,160.0
117,C4,19.5,19/40,33,160.0
118,B-3,19.5,19/40,33,160.0
119,G3,19.5,19/40,33,160.0
120,E4,20.0,1.0,57,160.0
121,E5,20.0,1.0,57,160.0
122,C4,20.0,19/40,34,160.0
123,B-3,20.0,19/40,34,160.0
124,G3,20.0,19/40,34,160.0
125,C4,20.5,19/40,35,160.0
126,B-3,20.5,19/40,35,160.0
127,G3,20.5,19/40,35,160.0
128,F3,21.0,19/40,50,160.0
129,F5,21.0,1.0,62,160.0
130,F4,21.0,1.0,62,160.0
131,A3,21.5,19/40,30,160.0
132,F3,21.5,19/40,30,160.0
133,A4,22.0,1.0,52,160.0
134,A5,22.0,1.0,52,160.0
135,F3,22.0,19/40,30,160.0
136,A3,22.0,19/40,30,160.0
137,F3,22.5,19/40,30,160.0
138,A3,22.5,19/40,30,160.0
139,C6,23.0,1.0,52,160.0
140,C5,23.0,1.0,52,160.0
141,F3,23.0,19/40,30,160.0
142,A3,23.0,19/40,30,160.0
143,F3,23.5,19/40,30,160.0
144,A3,23.5,19/40,30,160.0
145,F3,24.0,19/40,40,160.0
146,C5,24.0,2.0,49,160.0
147,C6,24.0,2.0,49,160.0
148,F4,24.5,19/40,29,160.0
149,C4,24.5,19/40,29,160.0
150,A3,24.5,19/40,29,160.0
151,F4,25.0,19/40,29,160.0
152,C4,25.0,19/40,29,160.0
153,A3,25.0,19/40,29,160.0
154,F4,25.5,19/40,30,160.0
155,C4,25.5,19/40,30,160.0
156,A3,25.5,19/40,30,160.0
157,A4,25.875,1.0,38,160.0
158,A5,26.0,1.0,45,160.0
159,A3,26.0,19/40,30,160.0
160,C4,26.0,19/40,30,160.0
161,F4,26.0,19/40,30,160.0
162,A3,26.5,19/40,30,160.0
163,C4,26.5,19/40,30,160.0
164,F4,26.5,19/40,30,160.0
165,B-4,26.875,0.125,40,160.0
166,B-5,27.0,1.0,48,160.0
167,B-4,27.0,0.875,40,160.0
168,C4,27.0,19/40,34,160.0
