,note_name,start_time,duration,velocity,tempo
0,G#4,3.0,771/1000,43,65.0
1,C5,3.0,771/1000,43,65.0
2,C4,3.0,771/1000,43,65.0
3,G#2,3.0,0.75,36,65.0
4,E-3,3.0,0.75,36,65.0
5,G4,3.75,271/1000,43,65.0
6,C#4,3.75,271/1000,43,65.0
7,C#5,3.75,271/1000,43,65.0
8,B-2,3.75,0.25,36,65.0
9,E-3,3.75,0.25,36,65.0
10,G#4,4.0,0.5,43,65.0
11,C5,4.0,0.5,43,65.0
12,C4,4.0,0.5,43,65.0
13,G#2,4.0,0.5,36,65.0
14,E-3,4.0,0.5,36,65.0
15,C#5,4.5,3.0,35,65.0
16,C#4,4.5,3.0,35,65.0
17,G4,4.5,3.0,35,65.0
18,E-3,4.5,3.0,30,65.0
19,B-2,4.5,3.0,30,65.0
20,C5,7.5,771/1000,43,65.0
21,C4,7.5,771/1000,43,65.0
22,G#4,7.5,771/1000,43,65.0
23,G#2,7.5,0.75,36,65.0
24,E-3,7.5,0.75,36,65.0
25,C#4,8.25,271/1000,43,65.0
26,G4,8.25,271/1000,43,65.0
27,C#5,8.25,271/1000,43,65.0
28,E-3,8.25,271/1000,36,65.0
29,B-2,8.25,271/1000,36,65.0
30,C4,8.5,0.5,43,65.0
31,C5,8.5,0.5,43,65.0
32,G#4,8.5,0.5,43,65.0
33,G#2,8.5,0.5,36,65.0
34,E-3,8.5,0.5,36,65.0
35,G4,9.0,3.0,37,65.0
36,B-3,9.0,3.0,37,65.0
37,B-4,9.0,3.0,37,65.0
38,E-3,9.0,3.0,30,65.0
39,E-2,9.0,3.0,30,65.0
40,G#4,12.0,771/1000,43,65.0
41,C4,12.0,771/1000,43,65.0
42,C5,12.0,771/1000,43,65.0
43,G#2,12.0,0.75,36,65.0
44,E-3,12.0,0.75,36,65.0
45,G4,12.75,271/1000,43,65.0
46,C#5,12.75,271/1000,43,65.0
47,C#4,12.75,271/1000,43,65.0
48,B-2,12.75,0.25,36,65.0
49,E-3,12.75,0.25,36,65.0
50,C5,13.0,0.5,43,65.0
51,C4,13.0,0.5,43,65.0
52,G#4,13.0,0.5,43,65.0
53,E-3,13.0,0.5,36,65.0
54,G#2,13.0,0.5,36,65.0
55,C5,13.5,771/1000,38,65.0
56,C4,13.5,771/1000,38,65.0
57,G#4,13.5,771/1000,38,65.0
