,note_name,start_time,duration,velocity,tempo
0,D3,1.5,0.125,46,100.0
1,G3,2.0,167/1000,50,100.0
2,G2,2.0,2.0,46,100.0
3,G1,2.0,2.0,46,100.0
4,D3,2.167,167/1000,36,100.0
5,A3,2.333,167/1000,36,100.0
6,B-3,2.5,0.125,50,100.0
7,A3,3.0,167/1000,50,100.0
8,D3,3.167,167/1000,36,100.0
9,B-3,3.333,167/1000,36,100.0
10,C4,3.5,0.125,50,100.0
11,B-3,4.0,167/1000,50,100.0
12,D3,4.167,167/1000,35,100.0
13,C4,4.333,167/1000,35,100.0
14,D4,4.5,0.125,50,100.0
15,G3,5.0,167/1000,50,100.0
16,G2,5.0,1.0,46,100.0
17,G1,5.0,1.0,46,100.0
18,D3,5.167,167/1000,36,100.0
19,A3,5.333,167/1000,36,100.0
20,B-3,5.5,0.125,50,100.0
21,A3,6.0,167/1000,50,100.0
22,E-3,6.167,167/1000,38,100.0
23,B-3,6.333,167/1000,38,100.0
24,C4,6.5,0.125,50,100.0
25,B-1,6.5,0.125,40,100.0
26,B-2,6.5,0.125,40,100.0
27,F#3,7.0,167/1000,50,100.0
28,C3,7.0,0.25,46,100.0
29,C2,7.0,0.25,46,100.0
30,C3,7.167,167/1000,40,100.0
31,G3,7.333,167/1000,40,100.0
32,A3,7.5,0.125,50,100.0
33,G3,8.0,167/1000,50,100.0
34,D2,8.0,0.25,44,100.0
35,D3,8.0,0.25,44,100.0
36,D3,8.167,167/1000,40,100.0
37,A3,8.333,167/1000,41,100.0
38,B-3,8.5,0.125,50,100.0
39,A3,9.0,0.25,50,100.0
40,G2,9.0,0.5,46,100.0
41,G1,9.0,0.5,46,100.0
42,F#3,9.375,0.125,44,100.0
43,D3,9.5,0.125,58,100.0
44,G3,10.0,167/1000,50,100.0
45,D3,10.167,167/1000,38,100.0
46,A3,10.333,167/1000,38,100.0
47,B-3,10.5,0.125,50,100.0
48,D2,10.5,0.125,47,100.0
49,A3,11.0,167/1000,50,100.0
50,G2,11.0,2.0,46,100.0
51,G1,11.0,2.0,46,100.0
52,D3,11.167,167/1000,38,100.0
53,B-3,11.333,167/1000,38,100.0
54,C4,11.5,0.125,50,100.0
55,B-3,12.0,167/1000,50,100.0
56,D3,12.167,167/1000,37,100.0
57,C4,12.333,167/1000,37,100.0
58,D4,12.5,0.125,50,100.0
59,G3,13.0,167/1000,50,100.0
60,D3,13.167,167/1000,40,100.0
61,A3,13.333,167/1000,40,100.0
62,B-3,13.5,0.125,50,100.0
63,A3,14.0,167/1000,50,100.0
64,G2,14.0,1.0,46,100.0
65,G1,14.0,1.0,46,100.0
66,E-3,14.167,167/1000,40,100.0
67,B-3,14.333,167/1000,40,100.0
68,C4,14.5,0.125,50,100.0
69,B3,15.0,167/1000,50,100.0
70,D3,15.167,167/1000,39,100.0
71,C4,15.333,167/1000,40,100.0
72,D4,15.5,0.125,50,100.0
73,B-2,15.5,0.125,40,100.0
74,B-1,15.5,0.125,40,100.0
75,C4,16.0,167/1000,50,100.0
