,note_name,start_time,duration,velocity,tempo
0,F4,2.5,0.5,51,138.92
1,G4,3.0,1.5,55,138.92
2,B-3,3.0,0.5,32,138.92
3,D4,3.0,0.5,32,138.92
4,F4,3.0,0.5,32,138.92
5,B-3,3.5,0.5,32,138.92
6,F4,3.5,0.5,32,138.92
7,D4,3.5,0.5,32,138.92
8,B-3,4.0,0.5,29,138.92
9,F4,4.0,0.5,29,138.92
10,D4,4.0,0.5,29,138.92
11,A4,4.5,1.0,56,138.92
12,D4,4.5,0.5,32,138.92
13,F4,4.5,0.5,32,138.92
14,B-3,4.5,0.5,32,138.92
15,D4,5.0,0.5,27,138.92
16,F4,5.0,0.5,27,138.92
17,B-3,5.0,0.5,27,138.92
18,B-4,5.5,0.5,55,138.92
19,D5,6.0,1.5,61,138.92
20,F4,6.5,0.5,34,138.92
21,E-4,6.5,0.5,34,138.92
22,A3,6.5,0.5,34,138.92
23,E-4,7.0,0.5,34,138.92
24,A3,7.0,0.5,34,138.92
25,F4,7.0,0.5,34,138.92
26,C5,7.5,1.0,55,138.92
27,A3,7.5,0.5,34,138.92
28,F4,7.5,0.5,34,138.92
29,E-4,7.5,0.5,34,138.92
30,E-4,8.0,479/1000,34,138.92
31,A3,8.0,479/1000,34,138.92
32,F4,8.0,479/1000,34,138.92
33,F4,8.5,0.5,52,138.92
34,B4,9.0,1.5,55,138.92
35,D4,9.5,0.5,32,138.92
36,G#3,9.5,0.5,32,138.92
37,F4,9.5,0.5,32,138.92
38,G#3,10.0,0.5,32,138.92
39,F4,10.0,0.5,32,138.92
40,D4,10.0,0.5,32,138.92
41,C5,10.5,1.0,60,138.92
42,G#3,10.5,0.5,35,138.92
43,F4,10.5,0.5,35,138.92
44,D4,10.5,0.5,35,138.92
45,G#3,11.0,0.5,35,138.92
46,F4,11.0,0.5,35,138.92
47,D4,11.0,0.5,35,138.92
48,D5,11.5,0.5,58,138.92
49,F5,12.0,1.5,66,138.92
50,G3,12.5,0.5,41,138.92
51,E-4,12.5,0.5,41,138.92
52,C4,12.5,0.5,41,138.92
53,C4,13.0,0.5,41,138.92
54,E-4,13.0,0.5,41,138.92
55,G3,13.0,0.5,41,138.92
56,E-5,13.5,1.0,64,138.92
57,G3,13.5,0.5,41,138.92
58,E-4,13.5,0.5,41,138.92
59,C4,13.5,0.5,41,138.92
60,C4,14.0,0.5,41,138.92
61,G3,14.0,0.5,41,138.92
62,E-4,14.0,0.5,41,138.92
63,E-5,14.5,0.5,71,138.92
64,E5,15.0,1.5,77,138.92
65,A3,15.5,0.5,47,138.92
66,G3,15.5,0.5,47,138.92
67,E4,15.5,0.5,47,138.92
68,C#4,15.5,0.5,47,138.92
69,G3,16.0,0.5,42,138.92
70,C#4,16.0,0.5,42,138.92
71,A3,16.0,0.5,42,138.92
72,E4,16.0,0.5,42,138.92
73,B-5,16.5,1.0,72,138.92
74,G3,16.5,0.5,46,138.92
75,C#4,16.5,0.5,46,138.92
76,A3,16.5,0.5,46,138.92
77,E4,16.5,0.5,46,138.92
78,A3,17.0,0.5,46,138.92
79,G3,17.0,0.5,46,138.92
80,E4,17.0,0.5,46,138.92
81,C#4,17.0,0.5,46,138.92
82,A5,17.5,0.5,67,138.92
83,A4,18.0,1.5,66,138.92
84,F3,18.5,0.5,39,138.92
85,A3,18.5,0.5,39,138.92
86,D4,18.5,0.5,39,138.92
87,D4,19.0,0.5,39,138.92
88,A3,19.0,0.5,39,138.92
89,F3,19.0,0.5,39,138.92
90,B-5,19.5,1.0,69,138.92
91,F3,19.5,0.5,38,138.92
92,A3,19.5,0.5,38,138.92
93,D4,19.5,0.5,38,138.92
94,D4,20.0,0.5,38,138.92
95,F3,20.0,0.5,38,138.92
96,A3,20.0,0.5,38,138.92
97,A5,20.5,0.5,61,138.92
98,A4,21.0,1.5,56,138.92
99,G3,21.5,0.5,34,138.92
100,E3,21.5,0.5,34,138.92
101,A3,21.5,0.5,34,138.92
102,C#4,21.5,0.5,34,138.92
103,E3,22.0,0.5,33,138.92
104,C#4,22.0,0.5,33,138.92
105,G3,22.0,0.5,33,138.92
106,A3,22.0,0.5,33,138.92
107,B-5,22.5,1.0,58,138.92
108,E3,22.5,0.5,32,138.92
109,C#4,22.5,0.5,32,138.92
110,G3,22.5,0.5,32,138.92
111,A3,22.5,0.5,32,138.92
112,E3,23.0,0.5,32,138.92
113,C#4,23.0,0.5,32,138.92
114,G3,23.0,0.5,32,138.92
115,A3,23.0,0.5,32,138.92
116,A5,23.5,0.5,53,138.92
117,A4,24.0,2.5,50,138.92
118,D4,24.5,0.5,35,138.92
119,F4,24.5,0.5,35,138.92
120,A3,24.5,0.5,28,138.92
121,D3,24.5,0.5,28,138.92
122,D4,25.0,0.5,31,138.92
123,F4,25.0,0.5,31,138.92
124,A3,25.0,0.5,25,138.92
125,D3,25.0,0.5,25,138.92
126,F4,25.5,0.5,31,138.92
127,D4,25.5,0.5,31,138.92
128,D3,25.5,0.5,25,138.92
129,A3,25.5,0.5,25,138.92
130,D4,26.0,0.5,31,138.92
131,F4,26.0,0.5,31,138.92
132,D3,26.0,0.5,25,138.92
133,A3,26.0,0.5,25,138.92
134,F3,26.5,0.5,52,138.92
135,G3,27.0,1.5,55,138.92
136,C3,27.5,0.5,33,138.92
137,E-4,27.5,0.5,33,138.92
138,F3,27.5,0.5,33,138.92
139,F4,27.5,0.5,33,138.92
140,F3,28.0,0.5,31,138.92
141,C3,28.0,0.5,31,138.92
142,F4,28.0,0.5,31,138.92
143,E-4,28.0,0.5,31,138.92
144,A3,28.5,1.0,55,138.92
145,F3,28.5,0.5,35,138.92
146,E-4,28.5,0.5,35,138.92
147,F4,28.5,0.5,35,138.92
148,C3,28.5,0.5,35,138.92
149,F3,29.0,0.5,28,138.92
150,C3,29.0,0.5,28,138.92
151,F4,29.0,0.5,28,138.92
152,E-4,29.0,0.5,28,138.92
153,C4,29.5,0.5,52,138.92
154,G3,30.0,1.5,59,138.92
155,B-2,30.5,0.5,34,138.92
156,D4,30.5,0.5,34,138.92
157,F4,30.5,0.5,34,138.92
158,D4,31.0,0.5,34,138.92
159,F4,31.0,0.5,34,138.92
160,B-2,31.0,0.5,34,138.92
161,F3,31.5,1.0,55,138.92
162,B-2,31.5,0.5,34,138.92
163,F4,31.5,0.5,34,138.92
164,D4,31.5,0.5,34,138.92
165,D4,32.0,0.5,34,138.92
166,B-2,32.0,0.5,34,138.92
167,F4,32.0,0.5,34,138.92
168,G3,32.5,0.5,57,138.92
169,A3,33.0,1.5,63,138.92
170,G3,33.5,0.5,34,138.92
171,D3,33.5,0.5,34,138.92
172,G4,33.5,0.5,34,138.92
173,F4,33.5,0.5,34,138.92
174,G3,34.0,0.5,34,138.92
175,F4,34.0,0.5,34,138.92
176,G4,34.0,0.5,34,138.92
177,D3,34.0,0.5,34,138.92
178,B3,34.5,1.0,66,138.92
179,G3,34.5,0.5,38,138.92
180,F4,34.5,0.5,38,138.92
181,G4,34.5,0.5,38,138.92
182,D3,34.5,0.5,38,138.92
183,G3,35.0,0.5,38,138.92
184,F4,35.0,0.5,38,138.92
185,G4,35.0,0.5,38,138.92
186,D3,35.0,0.5,38,138.92
187,D4,35.5,0.5,61,138.92
188,G#3,36.0,1.5,72,138.92
189,C4,36.5,0.5,44,138.92
190,C3,36.5,0.5,44,138.92
191,E-4,36.5,0.5,44,138.92
