,note_name,start_time,duration,velocity,tempo
0,F#4,0.002,249/500,55,70.54
1,G#4,0.5,73/250,52,70.54
2,A4,0.75,0.25,48,70.54
3,G#4,1.0,0.5,55,70.54
4,D3,1.0,1.0,37,70.54
5,E3,1.0,2.0,44,70.54
6,E4,1.0,1.0,33,70.54
7,B3,1.0,1.0,33,70.54
8,B4,1.5,0.5,45,70.54
9,E4,2.0,1.0,55,70.54
10,C#3,2.0,1.0,42,70.54
11,A4,2.5,0.5,52,70.54
12,E4,3.0,1.0,55,70.54
13,B2,3.0,229/500,53,70.54
14,E3,3.0,1.0,44,70.54
15,G#4,3.0,229/500,57,70.54
16,B4,3.0,229/500,57,70.54
17,A2,3.5,229/500,55,70.54
18,A4,3.5,229/500,61,70.54
19,C#5,3.5,229/500,61,70.54
20,E4,4.0,2.0,46,70.54
21,G#2,4.0,1.0,40,70.54
22,E3,4.0,2.0,45,70.54
23,B4,4.0,1.0,54,70.54
24,E5,4.0,1.0,54,70.54
25,A2,5.0,1.0,39,70.54
26,C#5,5.0,1.0,53,70.54
27,A4,5.0,1.0,53,70.54
28,C#5,6.0,0.5,69,70.54
29,D5,6.5,73/250,68,70.54
30,E5,6.75,0.25,66,70.54
31,F#5,7.0,0.5,66,70.54
32,C#5,7.0,1.0,50,70.54
33,F#4,7.0,1.0,50,70.54
34,B-2,7.0,1.0,44,70.54
35,C#4,7.0,1.0,44,70.54
36,F#3,7.0,1.0,44,70.54
37,C#5,7.5,0.5,59,70.54
38,B4,8.0,1.0,45,70.54
39,F#4,8.0,1.0,45,70.54
40,D5,8.0,1.0,45,70.54
41,B2,8.0,1.0,36,70.54
42,B3,8.0,1.0,36,70.54
43,F#3,8.0,1.0,36,70.54
44,F#4,9.0,0.5,58,70.54
45,G#4,9.5,73/250,55,70.54
46,A4,9.75,0.25,51,70.54
47,E-4,10.0,1.0,46,70.54
48,C#5,10.0,0.5,50,70.54
49,A3,10.0,1.0,38,70.54
50,B2,10.0,1.0,38,70.54
51,B-4,10.5,1.0,45,70.54
52,D4,11.0,1.0,40,70.54
53,E3,11.0,1.0,31,70.54
54,G#3,11.0,1.0,31,70.54
55,B4,11.5,0.5,42,70.54
56,F#4,12.0,0.5,55,70.54
57,G#4,12.5,73/250,54,70.54
58,A4,12.75,0.25,50,70.54
59,G#4,13.0,0.5,55,70.54
60,E3,13.0,2.0,44,70.54
61,D3,13.0,1.0,44,70.54
62,E4,13.0,1.0,37,70.54
63,B3,13.0,1.0,37,70.54
64,B4,13.5,0.5,45,70.54
65,E4,14.0,1.0,55,70.54
66,C#3,14.0,1.0,42,70.54
67,A4,14.5,0.5,55,70.54
68,E4,15.0,1.0,55,70.54
69,B2,15.0,229/500,53,70.54
70,E3,15.0,1.0,44,70.54
71,G#4,15.0,229/500,57,70.54
72,B4,15.0,229/500,57,70.54
73,A2,15.5,229/500,56,70.54
74,A4,15.5,229/500,62,70.54
75,C#5,15.5,229/500,62,70.54
76,E4,16.0,2.0,45,70.54
77,E3,16.0,2.0,42,70.54
78,G#2,16.0,1.0,43,70.54
79,B4,16.0,1.0,55,70.54
80,E5,16.0,1.0,55,70.54
81,A2,17.0,1.0,43,70.54
82,C#5,17.0,1.0,58,70.54
83,A4,17.0,1.0,58,70.54
84,C#5,18.0,0.5,75,70.54
85,E-5,18.5,73/250,72,70.54
86,E5,18.75,0.25,68,70.54
87,E4,19.0,1.0,53,70.54
88,G#4,19.0,0.5,73,70.54
89,B2,19.0,2.0,50,70.54
90,C#5,19.5,0.5,59,70.54
91,A3,20.0,0.5,59,70.54
92,B4,20.0,1.0,49,70.54
93,E-4,20.0,1.0,49,70.54
94,F#4,20.0,1.0,49,70.54
95,B3,20.5,0.5,54,70.54
96,C#5,21.0,0.5,76,70.54
97,G#3,21.0,1.0,61,70.54
98,B2,21.0,1.0,50,70.54
99,B4,21.0,1.0,58,70.54
100,E4,21.0,1.0,58,70.54
101,E-5,21.5,73/250,75,70.54
102,E5,21.75,0.25,70,70.54
103,E4,22.0,1.0,53,70.54
104,G#4,22.0,0.5,73,70.54
105,B2,22.0,2.0,50,70.54
106,C#5,22.5,0.5,58,70.54
107,A3,23.0,0.5,59,70.54
108,B4,23.0,1.0,49,70.54
109,F#4,23.0,1.0,49,70.54
110,E-4,23.0,1.0,49,70.54
111,B3,23.5,0.5,54,70.54
112,C#5,24.0,0.5,77,70.54
113,G#3,24.0,0.5,58,70.54
114,B2,24.0,0.5,50,70.54
115,E4,24.0,1.0,59,70.54
116,B4,24.0,1.0,59,70.54
117,E-5,24.5,73/250,75,70.54
118,E5,24.75,0.25,71,70.54
119,G#5,25.0,0.5,75,70.54
120,E5,25.5,0.5,64,70.54
121,E-5,26.0,0.5,68,70.54
122,C#5,26.5,0.5,62,70.54
123,F#3,27.0,0.5,62,70.54
124,C#5,27.0,1.0,48,70.54
125,F#4,27.0,1.0,48,70.54
126,E-4,27.0,1.0,48,70.54
127,G#3,27.5,73/250,58,70.54
128,A3,27.75,0.25,50,70.54
129,C#4,28.0,0.5,58,70.54
130,B2,28.0,1.0,50,70.54
131,E-4,28.0,1.0,48,70.54
132,F#4,28.0,1.0,48,70.54
133,B3,28.5,479/1000,56,70.54
134,A3,29.0,0.5,52,70.54
135,E3,29.0,1.0,44,70.54
136,B3,29.0,1.0,42,70.54
137,E4,29.0,1.0,42,70.54
138,G#3,29.5,0.5,50,70.54
139,D5,30.0,0.5,54,70.54
140,E2,30.0,0.5,50,70.54
141,E3,30.25,0.125,45,70.54
142,C#5,30.5,73/250,50,70.54
143,F#3,30.5,0.125,46,70.54
144,B4,30.75,0.25,47,70.54
145,G#3,30.75,0.125,47,70.54
146,E-4,31.0,1.0,43,70.54
147,F#4,31.0,0.5,51,70.54
148,A3,31.0,0.25,50,70.54
149,E3,31.0,2.0,36,70.54
150,B3,31.25,0.25,45,70.54
151,A4,31.5,0.5,40,70.54
152,C4,31.5,1.0,47,70.54
153,E4,32.0,1.0,42,70.54
154,G#4,32.0,1.0,42,70.54
155,B3,32.5,0.5,35,70.54
156,A2,33.0,0.5,44,70.54
157,E3,33.0,2.0,37,70.54
158,C#4,33.0,0.5,46,70.54
159,F#4,33.0,0.5,46,70.54
160,G#2,33.5,0.5,31,70.54
161,C4,33.5,0.5,35,70.54
162,G#4,33.5,0.5,35,70.54
163,A2,34.0,0.5,44,70.54
164,C#4,34.0,0.5,46,70.54
165,F#4,34.0,0.5,46,70.54
166,G#2,34.5,0.5,34,70.54
167,G#4,34.5,0.5,34,70.54
168,C4,34.5,0.5,34,70.54
169,A3,35.0,0.5,38,70.54
170,E3,35.0,1.0,33,70.54
171,B3,35.0,1.0,40,70.54
172,E4,35.0,1.0,40,70.54
173,G#3,35.5,0.5,36,70.54
174,D5,36.0,0.5,54,70.54
175,E2,36.0,0.5,50,70.54
176,E3,36.25,0.125,45,70.54
177,C#5,36.5,73/250,50,70.54
178,F#3,36.5,0.125,46,70.54
179,B4,36.75,0.25,47,70.54
180,G#3,36.75,0.125,47,70.54
181,E-4,37.0,1.0,43,70.54
182,F#4,37.0,0.5,51,70.54
183,A3,37.0,0.25,50,70.54
184,E3,37.0,2.0,36,70.54
185,B3,37.25,0.25,45,70.54
186,A4,37.5,0.5,40,70.54
187,C4,37.5,1.0,46,70.54
188,E4,38.0,1.0,42,70.54
189,G#4,38.0,1.0,42,70.54
190,B3,38.5,0.5,34,70.54
191,A2,39.0,0.5,44,70.54
192,E3,39.0,2.0,37,70.54
193,C#4,39.0,0.5,46,70.54
194,F#4,39.0,0.5,46,70.54
195,G#2,39.5,0.5,31,70.54
196,C4,39.5,0.5,35,70.54
197,G#4,39.5,0.5,35,70.54
198,A2,40.0,0.5,44,70.54
199,C#4,40.0,0.5,46,70.54
200,F#4,40.0,0.5,46,70.54
201,G#2,40.5,0.5,34,70.54
202,G#4,40.5,0.5,34,70.54
203,C4,40.5,0.5,34,70.54
204,A3,41.0,0.5,38,70.54
205,E3,41.0,1.0,33,70.54
206,B3,41.0,1.0,40,70.54
207,E4,41.0,1.0,40,70.54
208,G#3,41.5,0.5,36,70.54
209,C#3,42.0,0.5,50,70.54
210,G#3,42.0,2.0,41,70.54
211,E4,42.0,0.5,51,70.54
212,B-4,42.0,0.5,51,70.54
213,C3,42.5,0.5,42,70.54
214,E-4,42.5,0.5,46,70.54
215,C5,42.5,0.5,46,70.54
216,C#3,43.0,0.5,51,70.54
217,B-4,43.0,0.5,51,70.54
218,E4,43.0,0.5,51,70.54
219,C3,43.5,0.5,46,70.54
220,E-4,43.5,0.5,46,70.54
221,C5,43.5,0.5,46,70.54
222,C#4,44.0,0.5,44,70.54
223,G#3,44.0,1.0,34,70.54
224,E-4,44.0,1.0,46,70.54
225,G#4,44.0,1.0,46,70.54
226,C4,44.5,0.5,41,70.54
227,F3,45.0,0.5,53,70.54
228,C4,45.0,2.0,45,70.54
229,G#4,45.0,0.5,55,70.54
230,D5,45.0,0.5,55,70.54
231,E3,45.5,0.5,46,70.54
232,G4,45.5,0.5,51,70.54
233,E5,45.5,0.5,51,70.54
234,F3,46.0,0.5,57,70.54
235,D5,46.0,0.5,58,70.54
236,G#4,46.0,0.5,58,70.54
237,E3,46.5,0.5,51,70.54
238,G4,46.5,0.5,52,70.54
239,E5,46.5,0.5,52,70.54
240,C5,47.0,1.0,52,70.54
241,F#4,47.0,0.5,40,70.54
242,E-4,47.0,0.5,40,70.54
243,C4,47.0,0.5,42,70.54
244,G#3,47.0,0.5,42,70.54
245,E4,47.5,0.5,34,70.54
246,G4,47.5,0.5,34,70.54
247,C3,47.5,0.5,29,70.54
248,G3,47.5,0.5,29,70.54
249,D5,48.0,73/250,59,70.54
250,G#4,48.0,0.5,55,70.54
251,C4,48.0,2.0,44,70.54
252,F3,48.0,0.5,55,70.54
253,F5,48.25,73/250,47,70.54
254,G3,48.5,0.5,40,70.54
255,C5,48.5,0.5,49,70.54
256,G4,48.5,0.5,49,70.54
257,E5,48.5,0.5,49,70.54
258,G#4,49.0,0.5,56,70.54
259,D5,49.0,73/250,59,70.54
260,F3,49.0,0.5,58,70.54
261,F5,49.25,73/250,49,70.54
262,G3,49.5,0.5,44,70.54
263,G4,49.5,0.5,49,70.54
264,C5,49.5,0.5,49,70.54
265,E5,49.5,0.5,49,70.54
266,C5,50.0,1.0,59,70.54
267,E-4,50.0,0.5,45,70.54
268,F#4,50.0,0.5,45,70.54
269,G#3,50.0,0.5,40,70.54
270,C4,50.0,0.5,40,70.54
271,E4,50.5,0.5,38,70.54
272,G4,50.5,0.5,38,70.54
273,G3,50.5,0.5,26,70.54
274,C3,50.5,0.5,26,70.54
275,C4,51.0,1.0,46,70.54
276,F3,51.0,0.5,56,70.54
277,D5,51.0,0.5,62,70.54
278,G#4,51.0,0.5,62,70.54
279,C3,51.5,0.5,46,70.54
280,E5,51.5,0.5,54,70.54
281,G4,51.5,0.5,54,70.54
282,C5,51.5,0.5,54,70.54
283,B-4,52.0,0.5,65,70.54
284,G5,52.0,0.5,65,70.54
285,C#4,52.0,0.5,51,70.54
286,A3,52.0,0.5,51,70.54
287,D4,52.5,0.5,54,70.54
288,A4,52.5,0.5,58,70.54
289,F#5,52.5,0.5,58,70.54
290,F5,53.0,0.5,65,70.54
291,G#4,53.0,0.5,65,70.54
292,B3,53.0,0.5,51,70.54
293,G3,53.0,0.5,51,70.54
294,C4,53.5,0.5,54,70.54
295,G4,53.5,0.5,58,70.54
296,E5,53.5,0.5,58,70.54
297,G4,54.0,0.5,65,70.54
298,E5,54.0,0.5,65,70.54
299,B-3,54.0,0.5,46,70.54
300,F#3,54.0,0.5,46,70.54
301,B3,54.5,0.5,54,70.54
302,F#4,54.5,0.5,58,70.54
303,E-5,54.5,0.5,58,70.54
304,B-4,55.0,73/250,65,70.54
305,E4,55.0,0.5,63,70.54
306,G3,55.0,0.5,58,70.54
307,C#5,55.25,73/250,52,70.54
308,F#4,55.5,0.5,46,70.54
309,B4,55.5,0.5,46,70.54
310,E-4,55.5,0.5,46,70.54
311,B2,55.5,0.5,34,70.54
312,F#3,55.5,0.5,34,70.54
313,G4,56.0,0.5,63,70.54
314,E5,56.0,0.5,63,70.54
315,B-3,56.0,0.5,44,70.54
316,F#3,56.0,0.5,44,70.54
317,B3,56.5,0.5,49,70.54
318,F#4,56.5,0.5,58,70.54
319,E-5,56.5,0.5,58,70.54
320,E4,57.0,0.5,58,70.54
321,B-4,57.0,73/250,55,70.54
322,G3,57.0,0.5,57,70.54
323,C#5,57.25,73/250,52,70.54
324,E-4,57.5,0.5,36,70.54
325,B4,57.5,0.5,36,70.54
326,F#4,57.5,0.5,36,70.54
327,F#3,57.5,0.5,28,70.54
328,B2,57.5,0.5,28,70.54
329,B-4,58.0,73/250,56,70.54
