,note_name,start_time,duration,velocity,tempo
0,E-4,0.0,2.0,72,118.35
1,G4,0.0,1.5,80,118.35
2,E-5,0.0,1.5,80,118.35
3,E-3,0.0,3.0,64,118.35
4,B-3,0.0,3.0,64,118.35
5,G4,1.5,0.5,73,118.35
6,B-4,2.0,1.0,75,118.35
7,G4,2.0,1.0,75,118.35
8,E-4,2.0,1.0,75,118.35
9,E-4,3.0,1.0,64,118.35
10,C5,3.0,0.5,71,118.35
11,G4,3.0,0.5,71,118.35
12,E-3,3.0,1.0,47,118.35
13,B-3,3.0,1.0,47,118.35
14,B-2,3.0,1.0,47,118.35
15,G4,3.5,0.5,73,118.35
16,B-4,4.0,2.0,71,118.35
17,E-4,4.0,2.0,71,118.35
18,G4,4.0,2.0,71,118.35
19,B-3,4.0,3.0,58,118.35
20,E-3,4.0,3.0,58,118.35
21,B-4,6.0,0.5,81,118.35
22,E-4,6.0,1.0,64,118.35
23,G4,6.0,1.0,64,118.35
24,C5,6.5,0.5,70,118.35
25,E-4,7.0,1.0,68,118.35
26,G4,7.0,0.5,81,118.35
27,E-3,7.0,1.0,52,118.35
28,B-3,7.0,1.0,52,118.35
29,B-2,7.0,1.0,52,118.35
30,C5,7.5,0.5,68,118.35
31,B-4,8.0,2.0,71,118.35
32,G4,8.0,2.0,71,118.35
33,E-4,8.0,2.0,71,118.35
34,E-3,8.0,3.0,60,118.35
35,B-3,8.0,3.0,60,118.35
36,E-4,10.0,2.0,72,118.35
37,G4,10.0,2.0,72,118.35
38,B-4,10.0,2.0,72,118.35
39,B-2,11.0,1.0,54,118.35
40,B-3,11.0,1.0,54,118.35
41,E-3,11.0,1.0,54,118.35
42,B-4,12.0,3.0,70,118.35
43,F5,12.0,1.5,77,118.35
44,F4,12.0,1.5,77,118.35
45,D4,12.0,3.0,60,118.35
46,B-3,12.0,3.0,60,118.35
47,E-3,12.0,3.0,60,118.35
48,G5,13.5,0.5,70,118.35
49,G4,13.5,0.5,70,118.35
50,F4,14.0,1.0,77,118.35
51,F5,14.0,1.0,77,118.35
52,G#4,15.0,1.0,68,118.35
53,C4,15.0,0.5,74,118.35
54,C5,15.0,0.5,74,118.35
55,F3,15.0,1.0,51,118.35
56,B-2,15.0,1.0,51,118.35
57,D4,15.5,0.5,72,118.35
58,D5,15.5,0.5,72,118.35
59,E-5,16.0,2.0,75,118.35
60,E-4,16.0,2.0,75,118.35
61,G4,16.0,2.0,75,118.35
62,E-3,16.0,3.0,62,118.35
63,B-3,16.0,3.0,62,118.35
64,G4,18.0,1.0,67,118.35
65,E-4,18.0,0.5,74,118.35
66,E-5,18.0,0.5,74,118.35
67,D4,18.5,0.5,64,118.35
68,D5,18.5,0.5,64,118.35
69,G#4,19.0,1.0,63,118.35
70,C5,19.0,0.5,69,118.35
71,C4,19.0,0.5,69,118.35
72,B-2,19.0,1.0,51,118.35
73,F3,19.0,1.0,51,118.35
74,D5,19.5,0.5,58,118.35
75,D4,19.5,0.5,58,118.35
76,B-3,20.0,2.0,65,118.35
77,E-3,20.0,2.5,65,118.35
78,G4,20.0,3.0,69,118.35
79,E-4,20.0,3.0,69,118.35
80,B-4,20.0,3.0,69,118.35
81,B-3,22.0,2.0,72,118.35
82,D3,22.5,0.5,63,118.35
83,C3,23.0,0.5,59,118.35
84,B-2,23.0,1.0,50,118.35
85,B-4,23.0,1.0,63,118.35
86,G#4,23.0,1.0,63,118.35
87,F4,23.0,1.0,63,118.35
88,D3,23.5,0.5,56,118.35
89,B-3,24.0,2.0,60,118.35
90,E-3,24.0,2.5,60,118.35
91,G4,24.0,3.0,65,118.35
92,B-4,24.0,3.0,65,118.35
93,E-4,24.0,3.0,65,118.35
94,B-3,26.0,2.0,72,118.35
95,D3,26.5,0.5,63,118.35
96,B-2,27.0,1.0,50,118.35
97,C3,27.0,0.5,59,118.35
98,F4,27.0,1.0,63,118.35
99,G#4,27.0,1.0,63,118.35
100,B-4,27.0,1.0,63,118.35
101,D3,27.5,0.5,56,118.35
102,E-4,28.0,2.0,72,118.35
103,G4,28.0,1.5,80,118.35
104,E-5,28.0,1.5,80,118.35
105,B-3,28.0,3.0,64,118.35
106,E-3,28.0,3.0,64,118.35
107,G4,29.5,0.5,73,118.35
108,B-4,30.0,1.0,75,118.35
109,G4,30.0,1.0,75,118.35
110,E-4,30.0,1.0,75,118.35
111,E-4,31.0,1.0,64,118.35
112,C5,31.0,0.5,71,118.35
113,G4,31.0,0.5,71,118.35
114,B-2,31.0,1.0,47,118.35
115,B-3,31.0,1.0,47,118.35
116,E-3,31.0,1.0,47,118.35
117,G4,31.5,0.5,73,118.35
118,B-4,32.0,2.0,71,118.35
119,G4,32.0,2.0,71,118.35
120,E-4,32.0,2.0,71,118.35
121,E-3,32.0,3.0,58,118.35
122,B-3,32.0,3.0,58,118.35
123,B-4,34.0,0.5,81,118.35
124,G4,34.0,1.0,64,118.35
125,E-4,34.0,1.0,64,118.35
126,C5,34.5,0.5,70,118.35
127,E-4,35.0,1.0,68,118.35
128,G4,35.0,0.5,81,118.35
129,E-3,35.0,1.0,52,118.35
130,B-2,35.0,1.0,52,118.35
131,B-3,35.0,1.0,52,118.35
132,C5,35.5,0.5,68,118.35
133,E-4,36.0,2.0,71,118.35
134,B-4,36.0,2.0,71,118.35
135,G4,36.0,2.0,71,118.35
136,B-3,36.0,3.0,60,118.35
137,E-3,36.0,3.0,60,118.35
138,B-4,38.0,2.0,72,118.35
139,G4,38.0,2.0,72,118.35
140,E-4,38.0,2.0,72,118.35
141,E-3,39.0,1.0,54,118.35
142,B-2,39.0,1.0,54,118.35
143,B-3,39.0,1.0,54,118.35
144,B-4,40.0,3.0,70,118.35
145,F5,40.0,1.5,77,118.35
146,F4,40.0,1.5,77,118.35
147,E-3,40.0,3.0,60,118.35
148,B-3,40.0,3.0,60,118.35
149,D4,40.0,3.0,60,118.35
150,G4,41.5,0.5,70,118.35
151,G5,41.5,0.5,70,118.35
152,F4,42.0,1.0,77,118.35
153,F5,42.0,1.0,77,118.35
154,G#4,43.0,1.0,68,118.35
155,C5,43.0,0.5,74,118.35
156,C4,43.0,0.5,74,118.35
157,F3,43.0,1.0,51,118.35
158,B-2,43.0,1.0,51,118.35
159,D4,43.5,0.5,72,118.35
160,D5,43.5,0.5,72,118.35
161,G4,44.0,2.0,75,118.35
162,E-4,44.0,2.0,75,118.35
163,E-5,44.0,2.0,75,118.35
164,B-3,44.0,3.0,62,118.35
165,E-3,44.0,3.0,62,118.35
166,G4,46.0,1.0,67,118.35
167,E-4,46.0,0.5,74,118.35
168,E-5,46.0,0.5,74,118.35
169,D4,46.5,0.5,64,118.35
170,D5,46.5,0.5,64,118.35
171,G#4,47.0,1.0,63,118.35
172,C5,47.0,0.5,69,118.35
173,C4,47.0,0.5,69,118.35
174,F3,47.0,1.0,51,118.35
175,B-2,47.0,1.0,51,118.35
176,D5,47.5,0.5,58,118.35
177,D4,47.5,0.5,58,118.35
178,E-4,48.0,2.0,62,118.35
179,B-4,48.0,3.0,68,118.35
180,G4,48.0,3.0,68,118.35
181,E-3,48.0,3.0,62,118.35
182,B-3,48.0,3.0,62,118.35
183,E-4,50.0,0.5,70,118.35
184,D4,50.5,0.5,66,118.35
185,C4,51.0,0.5,61,118.35
186,F#4,51.0,1.0,65,118.35
187,C5,51.0,1.0,65,118.35
188,G#2,51.0,1.0,50,118.35
189,D3,51.0,1.0,50,118.35
190,D4,51.5,0.5,58,118.35
191,C4,52.0,2.0,62,118.35
192,G4,52.0,2.5,68,118.35
193,D4,52.0,2.5,68,118.35
194,G2,52.0,2.5,57,118.35
195,D3,52.0,2.5,57,118.35
196,B3,54.0,0.5,63,118.35
197,F2,54.5,0.5,63,118.35
198,G3,55.0,1.0,80,118.35
199,E-2,55.0,0.5,63,118.35
200,D2,55.5,0.5,63,118.35
201,C4,56.0,0.25,75,118.35
202,C2,56.0,0.25,67,118.35
203,G2,56.5,0.25,61,118.35
204,C3,57.0,0.25,63,118.35
205,E-4,57.0,1.0,69,118.35
206,G4,57.0,1.0,69,118.35
207,C4,57.0,1.0,69,118.35
208,G2,57.5,0.25,59,118.35
209,D4,58.0,0.5,67,118.35
210,C2,58.0,0.25,67,118.35
211,G2,58.5,0.25,59,118.35
212,C3,59.0,0.25,62,118.35
213,F4,59.0,1.0,70,118.35
214,G4,59.0,1.0,70,118.35
215,D4,59.0,1.0,70,118.35
216,G2,59.5,0.25,59,118.35
217,E-4,60.0,0.5,73,118.35
218,C2,60.0,0.25,68,118.35
219,G2,60.5,0.25,60,118.35
220,D4,61.0,0.5,58,118.35
221,C3,61.0,0.25,63,118.35
222,F4,61.0,1.0,64,118.35
223,G4,61.0,1.0,64,118.35
224,C4,61.5,0.5,71,118.35
225,G2,61.5,0.25,60,118.35
226,B3,62.0,0.5,66,118.35
227,C2,62.0,0.25,67,118.35
228,G2,62.5,0.25,60,118.35
229,C3,63.0,0.25,63,118.35
230,G4,63.0,1.0,68,118.35
231,G3,63.0,1.0,68,118.35
232,F4,63.0,1.0,68,118.35
233,G2,63.5,0.25,59,118.35
234,C4,64.0,0.5,75,118.35
235,C2,64.0,0.25,67,118.35
236,G2,64.5,0.25,61,118.35
237,C3,65.0,0.25,63,118.35
238,C4,65.0,1.0,71,118.35
239,G4,65.0,1.0,71,118.35
240,E-4,65.0,1.0,71,118.35
241,G2,65.5,0.25,59,118.35
242,A3,66.0,0.5,67,118.35
243,C2,66.0,0.25,67,118.35
244,G2,66.5,0.25,59,118.35
245,A3,67.0,0.5,66,118.35
246,C3,67.0,0.25,62,118.35
247,F4,67.0,1.0,74,118.35
248,G4,67.0,1.0,74,118.35
249,B3,67.5,0.5,67,118.35
250,G2,67.5,0.25,59,118.35
251,C4,68.0,0.5,75,118.35
252,C2,68.0,0.25,67,118.35
