,note_name,start_time,duration,velocity,tempo
0,G2,0.0,1.0,40,95.76
1,D3,1.0,1.0,38,95.76
2,B-3,2.0,2.0,30,95.76
3,G3,2.0,2.0,30,95.76
4,D4,2.0,2.0,30,95.76
5,G2,4.0,1.0,40,95.76
6,D3,5.0,1.0,38,95.76
7,D4,6.0,2.0,35,95.76
8,G3,6.0,2.0,35,95.76
9,B-3,6.0,2.0,35,95.76
10,D4,6.5,0.5,53,95.76
11,E4,7.0,0.5,54,95.76
12,F#4,7.5,0.5,56,95.76
13,G4,8.0,0.5,57,95.76
14,G2,8.0,1.0,40,95.76
15,A4,8.5,0.5,59,95.76
16,B-4,9.0,0.5,61,95.76
17,D3,9.0,1.0,37,95.76
18,C5,9.5,0.5,63,95.76
19,D5,10.0,0.5,65,95.76
20,B-3,10.0,1.0,36,95.76
21,D4,10.0,1.0,36,95.76
22,G3,10.0,1.0,36,95.76
23,G5,10.5,0.5,68,95.76
24,F#5,11.0,0.5,66,95.76
25,A2,11.0,1.0,45,95.76
26,G5,11.5,0.5,58,95.76
27,D5,12.0,2.0,53,95.76
28,B-2,12.0,1.0,44,95.76
29,G3,13.0,1.0,38,95.76
30,D4,14.0,249/250,32,95.76
31,G4,14.0,249/250,32,95.76
32,D5,14.5,0.5,56,95.76
33,A4,15.0,0.5,59,95.76
34,C3,15.0,1.0,35,95.76
35,E-4,15.0,1.0,31,95.76
36,G4,15.0,1.0,31,95.76
37,C5,15.5,0.5,51,95.76
38,D3,16.0,0.5,42,95.76
39,D4,16.0,0.5,48,95.76
40,G4,16.0,0.5,48,95.76
41,B-4,16.0,0.5,48,95.76
42,E-4,16.5,0.5,50,95.76
43,G3,17.0,0.5,35,95.76
44,B-3,17.0,0.5,35,95.76
45,C#4,17.0,0.5,35,95.76
46,E-4,17.5,0.5,39,95.76
47,G3,18.0,0.5,36,95.76
48,B-3,18.0,0.5,36,95.76
49,D4,18.0,0.5,36,95.76
50,B-4,18.5,0.5,53,95.76
51,C4,19.0,1.0,46,95.76
52,F#4,19.0,0.5,57,95.76
