,note_name,start_time,duration,velocity,tempo
0,D4,0.002,499/500,42,36.99
1,B-3,0.002,499/500,42,36.99
2,G3,0.5,1.0,38,36.99
3,E-4,1.0,1.0,42,36.99
4,C4,1.0,1.0,42,36.99
5,G3,1.5,0.5,33,36.99
6,G3,2.0,0.5,33,36.99
7,D4,2.0,1.0,42,36.99
8,B-3,2.0,1.0,42,36.99
9,G3,2.5,1.0,36,36.99
10,D4,3.0,1.0,43,36.99
11,A3,3.0,1.0,43,36.99
12,C4,3.0,1.0,43,36.99
13,G3,3.5,0.5,33,36.99
14,G3,4.0,0.5,33,36.99
15,D4,4.0,1.0,42,36.99
16,B-3,4.0,1.0,42,36.99
17,G4,4.5,0.125,56,36.99
18,G3,4.5,1.0,38,36.99
19,G4,4.75,83/1000,52,36.99
20,A4,4.833,83/1000,49,36.99
21,G4,4.917,83/1000,48,36.99
22,F#4,5.0,0.75,57,36.99
23,C4,5.0,1.0,40,36.99
24,E-4,5.0,1.0,40,36.99
25,G3,5.5,0.5,33,36.99
26,A4,5.75,0.25,44,36.99
27,G4,6.0,0.25,52,36.99
28,G3,6.0,0.5,33,36.99
29,D4,6.0,1.0,46,36.99
30,B-3,6.0,1.0,46,36.99
31,B-4,6.25,0.25,57,36.99
32,D5,6.5,0.25,64,36.99
33,G3,6.5,1.0,40,36.99
34,F#5,6.75,0.25,69,36.99
35,G5,7.0,0.75,68,36.99
36,C4,7.0,1.0,39,36.99
37,A3,7.0,1.0,39,36.99
38,D4,7.0,1.0,39,36.99
39,G3,7.5,0.5,34,36.99
40,F#5,7.75,0.25,60,36.99
41,D5,8.0,0.5,61,36.99
42,G3,8.0,0.5,34,36.99
43,B-3,8.0,62/125,36,36.99
44,D4,8.0,62/125,36,36.99
45,G2,8.5,0.125,46,36.99
46,G3,8.5,0.5,38,36.99
47,B-3,8.5,0.5,38,36.99
48,D4,8.5,0.5,38,36.99
49,G2,8.75,83/1000,39,36.99
50,A2,8.833,83/1000,39,36.99
51,G2,8.917,83/1000,39,36.99
52,F#2,9.0,0.75,49,36.99
53,D4,9.5,0.5,41,36.99
54,C4,9.5,0.5,41,36.99
55,A3,9.5,0.5,41,36.99
56,A2,9.75,0.25,47,36.99
57,G2,10.0,73/250,46,36.99
58,B-2,10.25,73/250,49,36.99
59,D3,10.5,73/250,51,36.99
60,D4,10.5,0.5,46,36.99
61,B-3,10.5,0.5,46,36.99
62,F#3,10.75,73/250,54,36.99
63,G3,11.0,0.75,57,36.99
64,D4,11.5,0.5,39,36.99
65,A3,11.5,0.5,39,36.99
66,C4,11.5,0.5,39,36.99
67,F#3,11.75,0.25,44,36.99
68,D3,12.0,1.0,40,36.99
69,G4,12.5,0.125,56,36.99
