,note_name,start_time,duration,velocity,tempo
0,D4,0.0,1.75,71,125.71
1,D5,0.0,1.75,71,125.71
2,D5,1.75,0.25,69,125.71
3,D4,1.75,0.25,69,125.71
4,D4,2.0,1.75,71,125.71
5,D5,2.0,1.75,71,125.71
6,D5,3.75,0.25,67,125.71
7,D4,3.75,0.25,67,125.71
8,D4,4.0,1.75,74,125.71
9,D5,4.0,1.75,74,125.71
10,D4,5.75,0.25,70,125.71
11,D5,5.75,0.25,70,125.71
12,D5,6.0,1.75,74,125.71
13,D4,6.0,1.75,74,125.71
14,D4,7.75,0.25,71,125.71
15,D5,7.75,0.25,71,125.71
16,D4,8.0,1.0,74,125.71
17,D5,8.0,1.0,74,125.71
18,G3,8.0,1333/1000,64,125.71
19,B2,8.0,1333/1000,64,125.71
20,D5,9.0,2.0,74,125.71
21,D4,9.0,2.0,74,125.71
22,B2,9.333,0.25,60,125.71
23,G3,9.333,0.25,60,125.71
24,G3,9.667,0.25,60,125.71
25,B2,9.667,0.25,60,125.71
26,B2,10.0,1333/1000,66,125.71
27,G3,10.0,1333/1000,66,125.71
28,D4,11.0,1.0,74,125.71
29,D5,11.0,1.0,74,125.71
30,B2,11.333,0.25,60,125.71
31,G3,11.333,0.25,60,125.71
32,G3,11.667,0.25,58,125.71
33,B2,11.667,0.25,58,125.71
34,B2,12.0,1.5,64,125.71
35,G3,12.0,1.5,64,125.71
36,D4,13.0,1.0,74,125.71
37,D5,13.0,1.0,74,125.71
38,B3,13.5,0.25,58,125.71
39,G3,13.5,0.25,58,125.71
40,D4,14.0,1.5,74,125.71
41,D5,14.0,1.5,74,125.71
42,A3,14.0,0.25,64,125.71
43,C4,14.0,0.25,64,125.71
44,B3,14.5,0.25,58,125.71
45,G3,14.5,0.25,58,125.71
46,C4,15.0,0.25,64,125.71
47,A3,15.0,0.25,64,125.71
48,D5,15.5,1.0,71,125.71
49,D4,15.5,1.0,71,125.71
50,D3,15.5,0.25,64,125.71
51,A3,15.5,0.25,64,125.71
52,B3,16.0,1333/1000,64,125.71
53,D4,16.0,1333/1000,64,125.71
54,D5,16.5,0.25,72,125.71
55,D4,16.5,0.25,72,125.71
56,D4,17.333,0.25,60,125.71
57,B3,17.333,0.25,60,125.71
58,B3,17.667,0.25,60,125.71
59,D4,17.667,0.25,60,125.71
60,G5,18.0,2.0,83,125.71
61,G4,18.0,2.0,83,125.71
62,B3,18.0,1333/1000,66,125.71
63,D4,18.0,1333/1000,66,125.71
64,D4,19.333,0.25,60,125.71
65,B3,19.333,0.25,60,125.71
66,B3,19.667,0.25,58,125.71
67,D4,19.667,0.25,58,125.71
68,G4,20.0,1.0,74,125.71
69,G5,20.0,1.0,74,125.71
70,E4,20.0,0.25,64,125.71
71,C4,20.0,0.25,64,125.71
72,B3,20.5,0.25,58,125.71
73,D4,20.5,0.25,58,125.71
74,G4,21.0,0.5,74,125.71
75,G5,21.0,0.5,74,125.71
76,A3,21.0,0.25,62,125.71
77,C4,21.0,0.25,62,125.71
78,G4,21.5,1.0,74,125.71
79,G5,21.5,1.0,74,125.71
80,G3,21.5,0.25,56,125.71
81,B3,21.5,0.25,56,125.71
82,A3,22.0,0.25,75,125.71
83,D3,22.0,0.25,75,125.71
84,G5,22.5,0.25,72,125.71
85,G4,22.5,0.25,72,125.71
86,B3,22.5,0.25,70,125.71
87,G3,22.5,0.25,70,125.71
88,D6,23.0,0.25,90,125.71
89,D5,23.0,0.25,90,125.71
90,F#5,23.0,0.25,90,125.71
91,D3,23.0,0.5,75,125.71
92,A3,23.0,0.5,75,125.71
93,D6,23.5,0.25,82,125.71
94,D5,23.5,0.25,82,125.71
95,G5,23.5,0.25,82,125.71
96,D6,24.0,0.5,87,125.71
