,note_name,start_time,duration,velocity,tempo
0,C2,0.0,0.375,25,160.47
1,C3,0.5,0.375,30,160.47
2,E3,0.5,0.375,30,160.47
3,G2,0.5,0.375,24,160.47
4,C2,0.5,0.375,24,160.47
5,C3,1.0,0.375,30,160.47
6,E3,1.0,0.375,30,160.47
7,G2,1.0,0.375,24,160.47
8,C2,1.0,0.375,24,160.47
9,C3,1.5,0.375,31,160.47
10,E3,1.5,0.375,31,160.47
11,G2,1.5,0.375,24,160.47
12,C2,1.5,0.375,24,160.47
13,C3,2.0,0.375,31,160.47
14,E3,2.0,0.375,31,160.47
15,G2,2.0,0.375,24,160.47
16,C2,2.0,0.375,24,160.47
17,C3,2.5,0.375,31,160.47
18,E3,2.5,0.375,31,160.47
19,G2,2.5,0.375,26,160.47
20,C2,2.5,0.375,26,160.47
21,C3,3.0,0.375,32,160.47
22,E3,3.0,0.375,32,160.47
23,G2,3.0,0.375,26,160.47
24,C2,3.0,0.375,26,160.47
25,C3,3.5,0.375,32,160.47
26,E3,3.5,0.375,32,160.47
27,G2,3.5,0.375,26,160.47
28,C2,3.5,0.375,26,160.47
29,C3,4.0,0.375,33,160.47
30,E3,4.0,0.375,33,160.47
31,C2,4.0,0.375,28,160.47
32,G2,4.0,0.375,28,160.47
33,C3,4.5,0.375,33,160.47
34,E3,4.5,0.375,33,160.47
35,C2,4.5,0.375,24,160.47
36,G2,4.5,0.375,24,160.47
37,C3,5.0,0.375,34,160.47
38,E3,5.0,0.375,34,160.47
39,C2,5.0,0.375,26,160.47
40,G2,5.0,0.375,26,160.47
41,C3,5.5,0.375,35,160.47
42,E3,5.5,0.375,35,160.47
43,C2,5.5,0.375,26,160.47
44,G2,5.5,0.375,26,160.47
45,C3,6.0,0.375,36,160.47
46,E3,6.0,0.375,36,160.47
47,C2,6.0,0.375,28,160.47
48,G2,6.0,0.375,28,160.47
49,C3,6.5,0.375,37,160.47
50,E3,6.5,0.375,37,160.47
51,C2,6.5,0.375,28,160.47
