,note_name,start_time,duration,velocity,tempo
0,C4,0.0,0.25,100,128.0
1,G#1,0.0,0.25,100,128.0
2,C2,0.0,0.5,98,128.0
3,G4,0.25,0.25,100,128.0
4,G#1,0.25,0.25,100,128.0
5,C4,0.75,0.25,100,128.0
6,G#1,0.75,0.25,100,128.0
7,G4,1.0,0.25,100,128.0
8,G#1,1.0,0.25,100,128.0
9,F#2,1.0,0.5,98,128.0
10,C2,1.0,0.5,98,128.0
11,C4,1.5,0.25,100,128.0
12,G#1,1.5,0.25,100,128.0
13,G4,1.75,0.25,100,128.0
14,G#1,1.75,0.25,100,128.0
15,C2,2.0,0.5,98,128.0
16,C4,2.25,0.25,100,128.0
17,G#1,2.25,0.25,100,128.0
18,G4,2.5,0.25,100,128.0
19,G#1,2.5,0.5,100,128.0
20,F4,3.0,1.0,100,128.0
21,F#2,3.0,0.5,98,128.0
22,C2,3.0,0.5,98,128.0
23,C4,4.0,0.25,100,128.0
24,C2,4.0,0.25,100,128.0
25,C2,4.0,0.5,98,128.0
26,G4,4.25,0.25,100,128.0
27,C2,4.25,0.25,100,128.0
28,C4,4.75,0.25,100,128.0
29,C2,4.75,0.25,100,128.0
30,G4,5.0,0.25,100,128.0
31,C2,5.0,0.25,100,128.0
32,C2,5.0,0.5,98,128.0
33,F#2,5.0,0.5,98,128.0
34,C4,5.5,0.25,100,128.0
35,C2,5.5,0.25,100,128.0
36,G4,5.75,0.25,100,128.0
37,C2,5.75,0.25,100,128.0
38,C2,6.0,0.5,98,128.0
39,C4,6.25,0.25,100,128.0
40,C2,6.25,0.25,100,128.0
41,G4,6.5,0.25,100,128.0
42,C2,6.5,0.5,100,128.0
43,F4,7.0,1.0,100,128.0
44,F#2,7.0,0.5,98,128.0
45,C2,7.0,0.5,98,128.0
46,B-3,8.0,0.25,100,128.0
47,B-1,8.0,0.25,100,128.0
48,C2,8.0,0.5,98,128.0
49,F4,8.25,0.25,100,128.0
50,B-1,8.25,0.25,100,128.0
51,B-3,8.75,0.25,100,128.0
52,B-1,8.75,0.25,100,128.0
53,F4,9.0,0.25,100,128.0
54,B-1,9.0,0.25,100,128.0
55,C2,9.0,0.5,98,128.0
56,F#2,9.0,0.5,98,128.0
57,B-3,9.5,0.25,100,128.0
58,B-1,9.5,0.25,100,128.0
59,F4,9.75,0.25,100,128.0
60,B-1,9.75,0.25,100,128.0
61,C2,10.0,0.5,98,128.0
62,B-3,10.25,0.25,100,128.0
63,B-1,10.25,0.25,100,128.0
64,F4,10.5,0.25,100,128.0
65,B-1,10.5,0.5,100,128.0
66,D4,11.0,1.0,100,128.0
67,C2,11.0,0.5,98,128.0
68,F#2,11.0,0.5,98,128.0
69,B-3,12.0,0.25,100,128.0
70,B-1,12.0,0.25,100,128.0
71,C2,12.0,0.5,98,128.0
72,B-4,12.25,0.25,100,128.0
73,B-1,12.25,0.25,100,128.0
74,B-3,12.75,0.25,100,128.0
75,B-1,12.75,0.25,100,128.0
76,B-4,13.0,0.25,100,128.0
77,B-1,13.0,0.25,100,128.0
78,F#2,13.0,0.5,98,128.0
79,C2,13.0,0.5,98,128.0
80,B-3,13.5,0.25,100,128.0
81,B-1,13.5,0.25,100,128.0
82,B-4,13.75,0.25,100,128.0
83,B-1,13.75,0.25,100,128.0
84,C2,14.0,0.5,98,128.0
85,B-3,14.25,0.25,100,128.0
86,B-1,14.25,0.25,100,128.0
87,B-4,14.5,0.25,100,128.0
88,B-1,14.5,0.5,100,128.0
89,F4,15.0,1.0,100,128.0
90,C2,15.0,0.5,98,128.0
91,F#2,15.0,0.5,98,128.0
92,C4,16.0,0.25,100,128.0
93,G#1,16.0,0.25,100,128.0
94,C2,16.0,0.5,98,128.0
95,G4,16.25,0.25,100,128.0
96,G#1,16.25,0.25,100,128.0
97,C4,16.75,0.25,100,128.0
98,G#1,16.75,0.25,100,128.0
99,G4,17.0,0.25,100,128.0
