,note_name,start_time,duration,velocity,tempo
0,C3,0.0,4.0,100,132.0
1,D4,0.0,0.5,100,132.0
2,E-4,0.5,0.5,100,132.0
3,C4,1.5,0.5,100,132.0
4,D4,2.0,0.5,100,132.0
5,E-4,2.5,0.5,100,132.0
6,E-3,4.0,4.0,100,132.0
7,F4,4.0,0.5,100,132.0
8,G4,4.5,0.5,100,132.0
9,E-4,5.5,0.5,100,132.0
10,F4,6.0,0.5,100,132.0
11,G4,6.5,0.5,100,132.0
12,G4,8.0,0.5,100,132.0
13,F3,8.0,4.0,100,132.0
14,G#4,8.5,0.5,100,132.0
15,F4,9.5,0.5,100,132.0
16,G4,10.0,0.5,100,132.0
17,G#4,10.5,0.5,100,132.0
18,G#3,12.0,2.0,100,132.0
19,B-4,12.0,0.5,100,132.0
20,F5,12.5,0.5,100,132.0
21,B-4,13.5,0.5,100,132.0
22,E-5,14.0,0.5,100,132.0
23,B-3,14.0,1.5,100,132.0
24,G5,14.5,0.5,100,132.0
25,C3,16.0,4.0,100,132.0
26,D4,16.0,0.5,100,132.0
27,E-4,16.5,0.5,100,132.0
28,C4,17.5,0.5,100,132.0
29,D4,18.0,0.5,100,132.0
30,E-4,18.5,0.5,100,132.0
31,E-3,20.0,4.0,100,132.0
32,F4,20.0,0.5,100,132.0
33,G4,20.5,0.5,100,132.0
34,E-4,21.5,0.5,100,132.0
35,F4,22.0,0.5,100,132.0
36,G4,22.5,0.5,100,132.0
37,F3,24.0,4.0,100,132.0
38,G4,24.0,0.5,100,132.0
39,G#4,24.5,0.5,100,132.0
40,F4,25.5,0.5,100,132.0
41,G4,26.0,0.5,100,132.0
42,G#4,26.5,0.5,100,132.0
43,G#3,28.0,2.0,100,132.0
44,B-4,28.0,0.5,100,132.0
45,F5,28.5,0.5,100,132.0
46,B-4,29.5,0.5,100,132.0
47,B-3,30.0,1.5,100,132.0
48,E-5,30.0,0.5,100,132.0
49,G5,30.5,0.5,100,132.0
50,E-4,32.0,0.25,100,132.0
51,C3,32.0,4.0,100,132.0
52,D4,32.0,0.5,100,132.0
53,C2,32.0,0.5,100,132.0
54,C2,32.0,0.5,100,132.0
55,B2,32.0,0.5,100,132.0
56,F4,32.5,0.25,100,132.0
57,E-4,32.5,0.5,100,132.0
58,C2,32.5,0.5,100,132.0
59,C2,32.5,0.5,100,132.0
60,B2,32.5,0.5,100,132.0
61,G4,33.0,0.375,100,132.0
62,C2,33.0,0.5,100,132.0
63,C2,33.0,0.5,100,132.0
64,B2,33.0,0.5,100,132.0
65,C4,33.5,0.5,100,132.0
66,G4,34.0,0.25,100,132.0
67,D4,34.0,0.5,100,132.0
68,C2,34.0,0.5,100,132.0
69,B2,34.0,0.5,100,132.0
70,C2,34.0,0.5,100,132.0
71,B-4,34.5,0.25,100,132.0
72,E-4,34.5,0.5,100,132.0
73,C2,34.5,0.5,100,132.0
74,B2,34.5,0.5,100,132.0
75,C2,34.5,0.5,100,132.0
76,C3,35.5,0.5,100,132.0
77,C2,35.5,0.5,100,132.0
78,D3,35.5,0.5,100,132.0
79,C5,36.0,0.25,100,132.0
80,F4,36.0,0.5,100,132.0
81,E-3,36.0,4.0,100,132.0
82,E-2,36.0,0.5,100,132.0
83,B2,36.0,0.5,100,132.0
84,C2,36.0,0.5,100,132.0
85,B-4,36.5,0.25,100,132.0
86,G4,36.5,0.5,100,132.0
87,E-2,36.5,2.0,100,132.0
88,B2,36.5,0.5,100,132.0
89,C2,36.5,0.5,100,132.0
90,G4,37.0,0.25,100,132.0
91,B2,37.0,0.5,100,132.0
92,C2,37.0,0.5,100,132.0
93,F4,37.5,0.25,100,132.0
94,E-4,37.5,0.5,100,132.0
95,G4,38.0,0.25,100,132.0
96,F4,38.0,0.5,100,132.0
97,B2,38.0,0.5,100,132.0
98,C2,38.0,0.5,100,132.0
99,B-4,38.5,0.25,100,132.0
100,G4,38.5,0.5,100,132.0
101,C2,38.5,0.5,100,132.0
102,B2,38.5,0.5,100,132.0
103,G4,39.5,0.25,100,132.0
104,E-2,39.5,0.5,100,132.0
105,C2,39.5,0.5,100,132.0
106,D3,39.5,0.5,100,132.0
107,E-4,40.0,0.25,100,132.0
108,F3,40.0,4.0,100,132.0
109,G4,40.0,0.5,100,132.0
110,F2,40.0,0.5,100,132.0
111,B2,40.0,0.5,100,132.0
112,C2,40.0,0.5,100,132.0
113,F4,40.5,0.25,100,132.0
114,G#4,40.5,0.5,100,132.0
115,F2,40.5,0.5,100,132.0
116,B2,40.5,0.5,100,132.0
117,C2,40.5,0.5,100,132.0
118,G4,41.0,0.5,100,132.0
119,F2,41.0,2.5,100,132.0
120,B2,41.0,0.5,100,132.0
121,C2,41.0,0.5,100,132.0
122,F4,41.5,0.5,100,132.0
123,G4,42.0,0.25,100,132.0
124,G4,42.0,0.5,100,132.0
125,C2,42.0,0.5,100,132.0
126,B2,42.0,0.5,100,132.0
127,B-4,42.5,0.25,100,132.0
128,G#4,42.5,0.5,100,132.0
129,B2,42.5,0.5,100,132.0
130,C2,42.5,0.5,100,132.0
131,F3,43.5,0.5,100,132.0
132,C2,43.5,0.5,100,132.0
133,D3,43.5,0.5,100,132.0
134,C5,44.0,0.25,100,132.0
135,G#3,44.0,2.0,100,132.0
136,B-4,44.0,0.5,100,132.0
137,G#2,44.0,0.5,100,132.0
138,B2,44.0,0.5,100,132.0
139,C2,44.0,0.5,100,132.0
140,B-4,44.5,0.25,100,132.0
141,F5,44.5,0.5,100,132.0
142,G#2,44.5,0.5,100,132.0
143,B2,44.5,0.5,100,132.0
144,C2,44.5,0.5,100,132.0
145,G4,45.0,0.25,100,132.0
146,G#2,45.0,0.5,100,132.0
147,C2,45.0,0.5,100,132.0
148,B2,45.0,0.5,100,132.0
149,F4,45.5,0.25,100,132.0
150,B-4,45.5,0.5,100,132.0
151,G4,46.0,0.25,100,132.0
152,B-3,46.0,1.5,100,132.0
153,E-5,46.0,0.5,100,132.0
154,B-2,46.0,0.5,100,132.0
155,B2,46.0,0.5,100,132.0
156,C2,46.0,0.5,100,132.0
157,B-4,46.5,0.25,100,132.0
158,G5,46.5,0.5,100,132.0
159,B-2,46.5,0.5,100,132.0
160,B2,46.5,0.5,100,132.0
161,C2,46.5,0.5,100,132.0
162,B-2,47.0,1.0,100,132.0
163,G4,47.5,0.25,100,132.0
164,D3,47.5,0.5,100,132.0
165,C2,47.5,0.5,100,132.0
166,E-4,48.0,0.25,100,132.0
167,D4,48.0,0.5,100,132.0
168,C3,48.0,4.0,100,132.0
169,C2,48.0,0.5,100,132.0
170,B2,48.0,0.5,100,132.0
171,C2,48.0,0.5,100,132.0
172,F4,48.5,0.25,100,132.0
173,E-4,48.5,0.5,100,132.0
174,C2,48.5,0.5,100,132.0
175,C2,48.5,0.5,100,132.0
176,B2,48.5,0.5,100,132.0
177,G4,49.0,0.375,100,132.0
178,C2,49.0,0.5,100,132.0
179,C2,49.0,0.5,100,132.0
180,B2,49.0,0.5,100,132.0
181,C4,49.5,0.5,100,132.0
182,G4,50.0,0.25,100,132.0
183,D4,50.0,0.5,100,132.0
184,C2,50.0,0.5,100,132.0
