,note_name,start_time,duration,velocity,tempo
0,E-5,0.0,0.25,100,82.0
1,G#2,0.0,4.0,100,82.0
2,F#2,0.0,0.125,100,82.0
3,C2,0.0,0.5,100,82.0
4,F5,0.25,0.75,100,82.0
5,F#2,0.5,13/250,100,82.0
6,F#2,0.562,13/250,100,82.0
7,F#2,0.625,13/250,100,82.0
8,F#2,0.688,13/250,100,82.0
9,F#2,0.75,13/250,100,82.0
10,C2,0.75,0.25,100,82.0
11,F#2,0.812,13/250,100,82.0
12,F#2,0.875,13/250,100,82.0
13,F#2,0.938,13/250,100,82.0
14,C#2,1.0,0.25,100,82.0
15,B-4,1.5,0.25,100,82.0
16,F#2,1.5,0.125,100,82.0
17,C2,1.5,0.5,100,82.0
18,C5,1.75,0.75,100,82.0
19,F#2,1.75,0.125,100,82.0
20,F#2,2.0,0.125,100,82.0
21,F#2,2.25,0.125,100,82.0
22,C2,2.5,0.5,100,82.0
23,F#2,2.5,0.125,100,82.0
24,F#2,2.75,0.125,100,82.0
25,F4,3.0,0.25,100,82.0
26,C#2,3.0,0.25,100,82.0
27,F#2,3.0,0.125,100,82.0
28,G4,3.25,0.75,100,82.0
29,C2,3.25,0.5,100,82.0
30,F#2,3.25,0.125,100,82.0
31,F#2,3.5,0.125,100,82.0
32,F#2,3.75,0.125,100,82.0
33,G#2,4.0,2.5,100,82.0
34,F#2,4.0,0.125,100,82.0
35,F#2,4.25,0.125,100,82.0
36,C2,4.5,0.5,100,82.0
37,F#2,4.5,0.125,100,82.0
38,F#2,4.75,0.125,100,82.0
39,C#2,5.0,0.25,100,82.0
40,F#2,5.0,0.125,100,82.0
41,F#2,5.25,0.125,100,82.0
42,F#2,5.5,0.125,100,82.0
43,C#2,5.75,0.25,100,82.0
44,F#2,5.75,0.125,100,82.0
45,E-4,6.0,0.25,100,82.0
46,F#2,6.0,0.125,100,82.0
47,F4,6.25,0.25,100,82.0
48,F#2,6.25,0.125,100,82.0
49,G4,6.5,0.25,100,82.0
50,E-2,6.5,1.5,100,82.0
51,C2,6.5,0.5,100,82.0
52,F#2,6.5,0.125,100,82.0
53,G#4,6.75,0.25,100,82.0
54,F#2,6.75,0.125,100,82.0
55,G4,7.0,0.25,100,82.0
56,C#2,7.0,0.25,100,82.0
57,F#2,7.0,0.125,100,82.0
58,C2,7.25,0.25,100,82.0
59,F#2,7.25,0.125,100,82.0
60,F4,7.5,0.25,100,82.0
61,F#2,7.5,13/250,100,82.0
62,F#2,7.562,13/250,100,82.0
63,F#2,7.625,13/250,100,82.0
64,F#2,7.688,13/250,100,82.0
65,F#2,7.75,13/250,100,82.0
66,F#2,7.812,13/250,100,82.0
67,F#2,7.875,13/250,100,82.0
68,F#2,7.938,13/250,100,82.0
69,B-4,8.0,0.5,100,82.0
70,G#2,8.0,3.5,100,82.0
71,C2,8.0,0.25,100,82.0
72,F#2,8.0,0.125,100,82.0
73,F#2,8.25,0.125,100,82.0
74,F#2,8.5,0.125,100,82.0
75,F#2,8.75,13/250,100,82.0
76,C2,8.75,0.25,100,82.0
77,F#2,8.812,13/250,100,82.0
78,F#2,8.875,13/250,100,82.0
79,F#2,8.938,13/250,100,82.0
80,C#2,9.0,0.25,100,82.0
81,F#2,9.0,0.125,100,82.0
82,F#2,9.25,0.125,100,82.0
83,C2,9.5,0.25,100,82.0
84,F#2,9.5,0.125,100,82.0
85,F#2,9.75,0.125,100,82.0
86,F#2,10.0,0.125,100,82.0
87,F#2,10.25,0.125,100,82.0
88,C2,10.25,0.25,100,82.0
89,F#2,10.5,0.125,100,82.0
90,C2,10.5,0.25,100,82.0
91,F#2,10.75,0.125,100,82.0
92,F#2,11.0,0.125,100,82.0
93,C#2,11.0,0.25,100,82.0
94,F#2,11.25,0.125,100,82.0
95,G#3,11.5,0.25,100,82.0
96,F#2,11.5,0.125,100,82.0
97,E-2,11.75,0.25,100,82.0
98,C#2,11.75,0.25,100,82.0
99,F#2,11.75,13/250,100,82.0
100,F#2,11.812,13/250,100,82.0
101,F#2,11.875,13/250,100,82.0
102,F#2,11.938,13/250,100,82.0
103,E-2,12.0,4.0,100,82.0
104,F#2,12.0,0.125,100,82.0
105,F#2,12.25,0.125,100,82.0
106,F#2,12.5,0.125,100,82.0
107,C2,12.5,0.25,100,82.0
108,F#2,12.75,0.125,100,82.0
109,C#2,13.0,0.25,100,82.0
110,F#2,13.0,0.125,100,82.0
111,C2,13.25,0.25,100,82.0
112,F#2,13.25,0.125,100,82.0
113,F#2,13.5,0.125,100,82.0
114,F#2,13.75,0.125,100,82.0
115,F#2,14.25,0.125,100,82.0
116,C2,14.25,0.25,100,82.0
117,F#2,14.5,0.125,100,82.0
118,C2,14.5,0.25,100,82.0
119,F#2,14.75,0.125,100,82.0
120,E-4,15.0,0.25,100,82.0
121,F#2,15.0,0.125,100,82.0
122,C#2,15.0,0.25,100,82.0
123,F4,15.25,0.25,100,82.0
124,F#2,15.25,0.125,100,82.0
125,C2,15.25,0.25,100,82.0
126,G4,15.5,0.25,100,82.0
127,F#2,15.5,0.125,100,82.0
128,B-4,15.75,0.25,100,82.0
129,F#2,15.75,0.125,100,82.0
130,C2,15.75,0.25,100,82.0
131,E-5,16.0,0.25,100,82.0
132,G#2,16.0,4.0,100,82.0
133,C2,16.0,0.5,100,82.0
