,note_name,start_time,duration,velocity,tempo
0,G#3,352.0,0.5,76,120
1,G#4,352.0,0.5,76,120
2,B3,352.75,0.5,76,120
3,B4,352.75,0.5,76,120
4,C#4,353.5,0.5,76,120
5,C#5,353.5,0.5,76,120
6,E-4,354.25,0.5,76,120
7,E-5,354.25,0.5,76,120
8,G#4,355.0,0.5,76,120
9,G#5,355.0,0.5,76,120
10,G#5,359.5,0.5,76,120
11,G#3,360.0,0.5,76,120
12,G#4,360.0,0.5,76,120
13,B3,360.75,0.5,76,120
14,B4,360.75,0.5,76,120
15,C#4,361.5,0.5,76,120
16,C#5,361.5,0.5,76,120
17,E-4,362.25,0.5,76,120
18,E-5,362.25,0.5,76,120
19,G#4,363.0,0.5,76,120
20,G#5,363.0,0.5,76,120
21,G#3,368.0,0.5,76,120
22,G#4,368.0,0.5,76,120
23,B3,368.75,0.5,76,120
24,B4,368.75,0.5,76,120
25,F#4,369.5,0.5,76,120
26,F#5,369.5,0.5,76,120
27,F#4,370.25,0.5,76,120
28,F#5,370.25,0.5,76,120
29,G#4,371.0,0.5,76,120
30,G#5,371.0,0.5,76,120
31,G#4,375.5,0.5,76,120
32,G#5,375.5,0.5,76,120
33,G#3,376.0,0.5,76,120
34,G#4,376.0,0.5,76,120
35,B3,376.75,0.5,76,120
36,B4,376.75,0.5,76,120
37,C#4,377.5,0.5,76,120
38,C#5,377.5,0.5,76,120
39,E-4,378.25,0.5,76,120
40,E-5,378.25,0.5,76,120
41,G#4,379.0,0.5,76,120
42,G#5,379.0,0.5,76,120
43,G#3,384.0,0.5,76,120
44,G#4,384.0,0.5,76,120
45,B3,384.75,0.5,76,120
46,B4,384.75,0.5,76,120
47,C#4,385.5,0.5,76,120
48,C#5,385.5,0.5,76,120
49,E-4,386.25,0.5,76,120
50,E-5,386.25,0.5,76,120
51,G#4,387.0,0.5,76,120
52,G#5,387.0,0.5,76,120
53,G#5,391.5,0.5,76,120
54,G#3,392.0,0.5,76,120
55,G#4,392.0,0.5,76,120
56,B3,392.75,0.5,76,120
57,B4,392.75,0.5,76,120
58,C#4,393.5,0.5,76,120
59,C#5,393.5,0.5,76,120
60,E-4,394.25,0.5,76,120
61,E-5,394.25,0.5,76,120
62,G#4,395.0,0.5,76,120
63,G#5,395.0,0.5,76,120
64,G#3,400.0,0.5,76,120
65,G#4,400.0,0.5,76,120
66,B3,400.75,0.5,76,120
67,B4,400.75,0.5,76,120
68,F#4,401.5,0.5,76,120
69,F#5,401.5,0.5,76,120
70,F#4,402.25,0.5,76,120
71,F#5,402.25,0.5,76,120
72,G#4,403.0,0.5,76,120
73,G#5,403.0,0.5,76,120
74,G#4,407.5,0.5,76,120
75,G#5,407.5,0.5,76,120
76,G#3,408.0,0.5,76,120
77,G#4,408.0,0.5,76,120
78,B3,408.75,0.5,76,120
79,B4,408.75,0.5,76,120
80,C#4,409.5,0.5,76,120
81,C#5,409.5,0.5,76,120
82,E-4,410.25,0.5,76,120
83,E-5,410.25,0.5,76,120
84,G#4,411.0,0.5,76,120
85,G#5,411.0,0.5,76,120
86,G#3,496.0,0.5,76,120
87,G#4,496.0,0.5,76,120
88,B3,496.75,0.5,76,120
89,B4,496.75,0.5,76,120
90,C#4,497.5,0.5,76,120
91,C#5,497.5,0.5,76,120
92,E-4,498.25,0.5,76,120
93,E-5,498.25,0.5,76,120
94,G#4,499.0,0.5,76,120
95,G#5,499.0,0.5,76,120
96,G#5,503.5,0.5,76,120
97,G#3,504.0,0.5,76,120
98,G#4,504.0,0.5,76,120
99,B3,504.75,0.5,76,120
100,B4,504.75,0.5,76,120
101,C#4,505.5,0.5,76,120
102,C#5,505.5,0.5,76,120
103,E-4,506.25,0.5,76,120
104,E-5,506.25,0.5,76,120
105,G#4,507.0,0.5,76,120
106,G#5,507.0,0.5,76,120
107,G#3,512.0,0.5,76,120
108,G#4,512.0,0.5,76,120
109,B3,512.75,0.5,76,120
110,B4,512.75,0.5,76,120
111,F#4,513.5,0.5,76,120
112,F#5,513.5,0.5,76,120
113,F#4,514.25,0.5,76,120
114,F#5,514.25,0.5,76,120
115,G#4,515.0,0.5,76,120
116,G#5,515.0,0.5,76,120
117,G#4,519.5,0.5,76,120
118,G#5,519.5,0.5,76,120
119,G#3,520.0,0.5,76,120
120,G#4,520.0,0.5,76,120
121,B3,520.75,0.5,76,120
122,B4,520.75,0.5,76,120
123,C#4,521.5,0.5,76,120
124,C#5,521.5,0.5,76,120
125,E-4,522.25,0.5,76,120
126,E-5,522.25,0.5,76,120
127,G#4,523.0,0.5,76,120
128,G#5,523.0,0.5,76,120
129,G#3,528.0,0.5,76,120
130,G#4,528.0,0.5,76,120
131,B3,528.75,0.5,76,120
132,B4,528.75,0.5,76,120
133,C#4,529.5,0.5,76,120
134,C#5,529.5,0.5,76,120
135,E-4,530.25,0.5,76,120
136,E-5,530.25,0.5,76,120
137,G#4,531.0,0.5,76,120
138,G#5,531.0,0.5,76,120
139,G#5,535.5,0.5,76,120
140,G#3,536.0,0.5,76,120
141,G#4,536.0,0.5,76,120
142,B3,536.75,0.5,76,120
143,B4,536.75,0.5,76,120
