,note_name,start_time,duration,velocity,tempo
0,E-2,0.0,4.0,95,145.0
1,F#5,0.0,0.25,95,145.0
2,E-5,0.0,0.25,95,145.0
3,B-4,0.0,0.25,95,145.0
4,C#5,0.0,0.25,95,145.0
5,F#5,1.0,0.25,95,145.0
6,C#5,1.0,0.25,95,145.0
7,E-5,1.0,0.25,95,145.0
8,B-4,1.0,0.25,95,145.0
9,C#5,2.0,0.25,95,145.0
10,E-5,2.0,0.25,95,145.0
11,F#5,2.0,0.25,95,145.0
12,B-4,2.0,0.25,95,145.0
13,E-5,3.0,0.25,95,145.0
14,B-4,3.0,0.25,95,145.0
15,F#5,3.0,0.25,95,145.0
16,C#5,3.0,0.25,95,145.0
17,E-2,4.0,4.0,95,145.0
18,E-5,4.0,0.25,95,145.0
19,F#5,4.0,0.25,95,145.0
20,B-4,4.0,0.25,95,145.0
21,C#5,4.0,0.25,95,145.0
22,C#5,5.0,0.25,95,145.0
23,F#5,5.0,0.25,95,145.0
24,B-4,5.0,0.25,95,145.0
25,E-5,5.0,0.25,95,145.0
26,C#5,6.0,0.25,95,145.0
27,E-5,6.0,0.25,95,145.0
28,B-4,6.0,0.25,95,145.0
29,F#5,6.0,0.25,95,145.0
30,B-4,7.0,0.25,95,145.0
31,C#5,7.0,0.25,95,145.0
32,F#5,7.0,0.25,95,145.0
33,E-5,7.0,0.25,95,145.0
34,C#2,8.0,4.0,95,145.0
35,E-5,8.0,0.25,95,145.0
36,F5,8.0,0.25,95,145.0
37,C#5,8.0,0.25,95,145.0
38,B-4,8.0,0.25,95,145.0
39,E-5,9.0,0.25,95,145.0
40,F5,9.0,0.25,95,145.0
41,B-4,9.0,0.25,95,145.0
42,C#5,9.0,0.25,95,145.0
43,B-4,10.0,0.25,95,145.0
44,F5,10.0,0.25,95,145.0
45,E-5,10.0,0.25,95,145.0
46,C#5,10.0,0.25,95,145.0
47,E-5,11.0,0.25,95,145.0
48,F5,11.0,0.25,95,145.0
49,C#5,11.0,0.25,95,145.0
50,B-4,11.0,0.25,95,145.0
51,C#2,12.0,4.0,95,145.0
52,B-4,12.0,0.25,95,145.0
53,E-5,12.0,0.25,95,145.0
54,F5,12.0,0.25,95,145.0
55,C#5,12.0,0.25,95,145.0
56,B-4,13.0,0.25,95,145.0
57,C#5,13.0,0.25,95,145.0
58,F5,13.0,0.25,95,145.0
59,E-5,13.0,0.25,95,145.0
60,B-4,14.0,0.25,95,145.0
61,C#5,14.0,0.25,95,145.0
62,E-5,14.0,0.25,95,145.0
63,F5,14.0,0.25,95,145.0
64,E-5,15.0,0.25,95,145.0
65,B-4,15.0,0.25,95,145.0
66,C#5,15.0,0.25,95,145.0
67,F5,15.0,0.25,95,145.0
68,B-1,16.0,4.0,95,145.0
69,B-4,16.0,0.25,95,145.0
70,C#5,16.0,0.25,95,145.0
71,F5,16.0,0.25,95,145.0
72,C#5,17.0,0.25,95,145.0
73,F5,17.0,0.25,95,145.0
74,B-4,17.0,0.25,95,145.0
75,B-4,18.0,0.25,95,145.0
76,C#5,18.0,0.25,95,145.0
77,F5,18.0,0.25,95,145.0
78,C#5,19.0,0.25,95,145.0
79,B-4,19.0,0.25,95,145.0
80,F5,19.0,0.25,95,145.0
81,B-1,20.0,4.0,95,145.0
82,F5,20.0,0.25,95,145.0
83,B-4,20.0,0.25,95,145.0
84,C#5,20.0,0.25,95,145.0
85,C#5,21.0,0.25,95,145.0
86,B-4,21.0,0.25,95,145.0
87,F5,21.0,0.25,95,145.0
88,C#5,22.0,0.25,95,145.0
89,F5,22.0,0.25,95,145.0
90,B-4,22.0,0.25,95,145.0
91,F5,23.0,0.25,95,145.0
92,B-4,23.0,0.25,95,145.0
93,C#5,23.0,0.25,95,145.0
94,F2,24.0,4.0,95,145.0
95,A5,24.0,0.25,95,145.0
96,F5,24.0,0.25,95,145.0
97,E-5,24.0,0.25,95,145.0
98,C5,24.0,0.25,95,145.0
99,E-5,25.0,0.25,95,145.0
100,A5,25.0,0.25,95,145.0
101,F5,25.0,0.25,95,145.0
102,C5,25.0,0.25,95,145.0
103,C5,26.0,0.25,95,145.0
104,E-5,26.0,0.25,95,145.0
105,A5,26.0,0.25,95,145.0
106,F5,26.0,0.25,95,145.0
107,F5,27.0,0.25,95,145.0
108,A5,27.0,0.25,95,145.0
109,C5,27.0,0.25,95,145.0
110,E-5,27.0,0.25,95,145.0
111,F2,28.0,4.0,95,145.0
112,F5,28.0,0.25,95,145.0
113,C5,28.0,0.25,95,145.0
114,E-5,28.0,0.25,95,145.0
115,A5,28.0,0.25,95,145.0
116,E-5,29.0,0.25,95,145.0
117,F5,29.0,0.25,95,145.0
118,C5,29.0,0.25,95,145.0
119,A5,29.0,0.25,95,145.0
120,E-5,30.0,0.25,95,145.0
121,C5,30.0,0.25,95,145.0
122,A5,30.0,0.25,95,145.0
123,F5,30.0,0.25,95,145.0
124,F5,31.0,0.25,95,145.0
125,C5,31.0,0.25,95,145.0
126,A5,31.0,0.25,95,145.0
127,E-5,31.0,0.25,95,145.0
128,E-2,32.0,4.0,95,145.0
129,F#5,32.0,0.25,95,145.0
130,B-5,32.0,0.25,95,145.0
131,E-5,32.0,0.25,95,145.0
132,B-4,32.0,0.25,95,145.0
133,C#5,32.0,0.25,95,145.0
134,B-4,33.0,0.25,95,145.0
135,F#5,33.0,0.25,95,145.0
136,C#5,33.0,0.25,95,145.0
137,E-5,33.0,0.25,95,145.0
138,B-5,33.0,0.25,95,145.0
139,B-5,34.0,0.25,95,145.0
140,B-4,34.0,0.25,95,145.0
141,F#5,34.0,0.25,95,145.0
142,C#5,34.0,0.25,95,145.0
143,E-5,34.0,0.25,95,145.0
144,B-5,35.0,0.25,95,145.0
145,F#5,35.0,0.25,95,145.0
146,C#5,35.0,0.25,95,145.0
147,E-5,35.0,0.25,95,145.0
148,B-4,35.0,0.25,95,145.0
149,E-2,36.0,4.0,95,145.0
150,E-5,36.0,0.25,95,145.0
151,C#5,36.0,0.25,95,145.0
152,F#5,36.0,0.25,95,145.0
153,B-5,36.0,0.25,95,145.0
154,B-4,36.0,0.25,95,145.0
155,C#5,37.0,0.25,95,145.0
156,B-5,37.0,0.25,95,145.0
157,E-5,37.0,0.25,95,145.0
158,B-4,37.0,0.25,95,145.0
159,F#5,37.0,0.25,95,145.0
160,C#5,38.0,0.25,95,145.0
161,F#5,38.0,0.25,95,145.0
162,E-5,38.0,0.25,95,145.0
163,B-5,38.0,0.25,95,145.0
164,B-4,38.0,0.25,95,145.0
165,B-4,39.0,0.25,95,145.0
166,B-5,39.0,0.25,95,145.0
167,C#5,39.0,0.25,95,145.0
168,E-5,39.0,0.25,95,145.0
169,F#5,39.0,0.25,95,145.0
170,C#2,40.0,4.0,95,145.0
171,F5,40.0,0.25,95,145.0
172,B-4,40.0,0.25,95,145.0
173,C#5,40.0,0.25,95,145.0
174,E-5,40.0,0.25,95,145.0
175,F5,41.0,0.25,95,145.0
176,C#5,41.0,0.25,95,145.0
177,E-5,41.0,0.25,95,145.0
178,B-4,41.0,0.25,95,145.0
179,C#5,42.0,0.25,95,145.0
180,B-4,42.0,0.25,95,145.0
181,E-5,42.0,0.25,95,145.0
182,F5,42.0,0.25,95,145.0
183,E-5,43.0,0.25,95,145.0
184,F5,43.0,0.25,95,145.0
185,C#5,43.0,0.25,95,145.0
186,B-4,43.0,0.25,95,145.0
187,C#2,44.0,4.0,95,145.0
188,B-4,44.0,0.25,95,145.0
189,C#5,44.0,0.25,95,145.0
190,E-5,44.0,0.25,95,145.0
191,F5,44.0,0.25,95,145.0
192,C#5,45.0,0.25,95,145.0
193,E-5,45.0,0.25,95,145.0
194,F5,45.0,0.25,95,145.0
195,B-4,45.0,0.25,95,145.0
196,B-4,46.0,0.25,95,145.0
197,E-5,46.0,0.25,95,145.0
198,F5,46.0,0.25,95,145.0
199,C#5,46.0,0.25,95,145.0
200,B-4,47.0,0.25,95,145.0
201,C#5,47.0,0.25,95,145.0
202,F5,47.0,0.25,95,145.0
203,E-5,47.0,0.25,95,145.0
204,B-1,48.0,4.0,95,145.0
205,F5,48.0,0.25,95,145.0
206,B-4,48.0,0.25,95,145.0
207,C#5,48.0,0.25,95,145.0
208,F5,49.0,0.25,95,145.0
209,B-4,49.0,0.25,95,145.0
210,C#5,49.0,0.25,95,145.0
211,C#5,50.0,0.25,95,145.0
212,F5,50.0,0.25,95,145.0
213,B-4,50.0,0.25,95,145.0
214,C#5,51.0,0.25,95,145.0
215,F5,51.0,0.25,95,145.0
216,B-4,51.0,0.25,95,145.0
217,B-1,52.0,4.0,95,145.0
218,F5,52.0,0.25,95,145.0
219,C#5,52.0,0.25,95,145.0
220,B-4,52.0,0.25,95,145.0
221,C#5,53.0,0.25,95,145.0
222,F5,53.0,0.25,95,145.0
223,B-4,53.0,0.25,95,145.0
224,B-4,54.0,0.25,95,145.0
225,F5,54.0,0.25,95,145.0
226,C#5,54.0,0.25,95,145.0
227,C#5,55.0,0.25,95,145.0
228,F5,55.0,0.25,95,145.0
229,B-4,55.0,0.25,95,145.0
230,F2,56.0,4.0,95,145.0
231,C5,56.0,0.25,95,145.0
232,A5,56.0,0.25,95,145.0
233,F5,56.0,0.25,95,145.0
