,note_name,start_time,duration,velocity,tempo
0,E-5,3.5,0.5,101,139.5
1,E-1,4.0,49/100,100,139.5
2,B1,4.0,49/100,127,139.5
3,G#2,4.0,49/100,101,139.5
4,F#4,4.0,4.0,64,139.5
5,E-5,4.0,49/100,101,139.5
6,F#4,4.0,399/100,90,139.5
7,B-3,4.0,399/100,90,139.5
8,G#2,4.5,49/100,74,139.5
9,E-5,4.5,3.5,101,139.5
10,G#2,5.0,49/100,101,139.5
11,E-2,5.0,49/100,80,139.5
12,E2,5.0,49/100,127,139.5
13,E-1,5.5,49/100,100,139.5
14,G#2,5.5,49/100,74,139.5
15,F1,6.0,49/100,100,139.5
16,G#2,6.0,49/100,101,139.5
17,F#1,6.5,49/100,100,139.5
18,B1,6.5,49/100,127,139.5
19,G#2,6.5,49/100,74,139.5
20,G#2,7.0,49/100,101,139.5
21,E-2,7.0,49/100,80,139.5
22,E2,7.0,49/100,127,139.5
23,B1,7.5,0.5,100,139.5
24,G#2,7.5,49/100,74,139.5
25,B1,8.0,6/25,100,139.5
26,B1,8.0,49/100,127,139.5
27,G#2,8.0,49/100,101,139.5
28,F#4,8.0,149/100,64,139.5
29,E-5,8.0,31/25,101,139.5
30,F4,8.0,3979/1000,90,139.5
31,G#3,8.0,3979/1000,90,139.5
32,B-1,8.5,56/25,100,139.5
33,G#2,8.5,49/100,74,139.5
34,G#2,9.0,49/100,101,139.5
35,E-2,9.0,49/100,80,139.5
36,E2,9.0,49/100,127,139.5
37,G#2,9.5,49/100,74,139.5
38,C#5,9.5,239/250,101,139.5
39,G#2,10.0,49/100,101,139.5
40,F4,10.0,39/40,64,139.5
41,B1,10.5,49/100,127,139.5
42,G#2,10.5,49/100,74,139.5
43,C#5,10.5,239/250,101,139.5
44,G#2,11.0,49/100,101,139.5
45,E-2,11.0,49/100,80,139.5
46,E2,11.0,49/100,127,139.5
47,F4,11.0,239/250,64,139.5
48,G#2,11.5,49/100,74,139.5
49,B4,11.5,0.5,101,139.5
