,note_name,start_time,duration,velocity,tempo
0,G4,0.0,0.25,100,110.0
1,B-2,0.0,0.125,100,110.0
2,C2,0.0,0.5,98,110.0
3,A4,0.25,0.25,100,110.0
4,B-2,0.25,0.125,100,110.0
5,B-2,0.5,0.125,100,110.0
6,B-5,0.75,0.5,100,110.0
7,B-2,0.75,0.125,100,110.0
8,B-2,1.0,0.125,100,110.0
9,F#2,1.0,0.5,98,110.0
10,C2,1.0,0.5,98,110.0
11,C6,1.25,0.25,100,110.0
12,B-2,1.25,0.125,100,110.0
13,D6,1.5,0.25,100,110.0
14,B-2,1.5,0.125,100,110.0
15,B-2,1.75,0.125,100,110.0
16,F5,2.0,0.5,100,110.0
17,B-2,2.0,0.125,100,110.0
18,C2,2.0,0.5,98,110.0
19,B-2,2.25,0.125,100,110.0
20,G5,2.5,0.5,100,110.0
21,B-2,2.5,0.125,100,110.0
22,B-2,2.75,0.125,100,110.0
23,D5,3.0,1.0,100,110.0
24,B-2,3.0,0.125,100,110.0
25,C2,3.0,0.5,98,110.0
26,F#2,3.0,0.5,98,110.0
27,B-2,3.25,0.125,100,110.0
28,B-2,3.5,0.125,100,110.0
29,B-2,3.75,0.125,100,110.0
30,G4,4.0,0.25,100,110.0
31,D3,4.0,0.125,100,110.0
32,C2,4.0,0.5,98,110.0
33,A4,4.25,0.25,100,110.0
34,D3,4.25,0.125,100,110.0
35,D3,4.5,0.125,100,110.0
36,B-5,4.75,0.5,100,110.0
37,D3,4.75,0.125,100,110.0
38,D3,5.0,0.125,100,110.0
39,F#2,5.0,0.5,98,110.0
40,C2,5.0,0.5,98,110.0
41,C6,5.25,0.25,100,110.0
42,D3,5.25,0.125,100,110.0
43,D6,5.5,0.25,100,110.0
44,D3,5.5,0.125,100,110.0
45,D3,5.75,0.125,100,110.0
46,F5,6.0,0.5,100,110.0
47,D3,6.0,0.125,100,110.0
48,C2,6.0,0.5,98,110.0
49,D3,6.25,0.125,100,110.0
50,G5,6.5,0.5,100,110.0
51,D3,6.5,0.125,100,110.0
52,D3,6.75,0.125,100,110.0
53,D5,7.0,0.5,100,110.0
54,D3,7.0,0.125,100,110.0
55,C2,7.0,0.5,98,110.0
56,F#2,7.0,0.5,98,110.0
57,D3,7.25,0.125,100,110.0
58,C5,7.5,0.5,100,110.0
59,D3,7.5,0.125,100,110.0
60,D3,7.75,0.125,100,110.0
61,G4,8.0,0.25,100,110.0
62,F3,8.0,0.125,100,110.0
63,C2,8.0,0.5,98,110.0
64,A4,8.25,0.25,100,110.0
65,F3,8.25,0.125,100,110.0
66,F3,8.5,0.125,100,110.0
67,B-5,8.75,0.5,100,110.0
68,F3,8.75,0.125,100,110.0
69,F3,9.0,0.125,100,110.0
70,C2,9.0,0.5,98,110.0
71,F#2,9.0,0.5,98,110.0
72,C6,9.25,0.25,100,110.0
73,F3,9.25,0.125,100,110.0
74,D6,9.5,0.25,100,110.0
75,F3,9.5,0.125,100,110.0
76,F3,9.75,0.125,100,110.0
77,F5,10.0,0.5,100,110.0
78,F3,10.0,0.125,100,110.0
79,C2,10.0,0.5,98,110.0
80,F3,10.25,0.125,100,110.0
81,A4,10.5,0.5,100,110.0
82,F3,10.5,0.125,100,110.0
83,F3,10.75,0.125,100,110.0
84,B-4,11.0,1.0,100,110.0
85,F3,11.0,0.125,100,110.0
86,F#2,11.0,0.5,98,110.0
87,C2,11.0,0.5,98,110.0
88,F3,11.25,0.125,100,110.0
89,F3,11.5,0.125,100,110.0
90,F3,11.75,0.125,100,110.0
91,G4,12.0,0.25,100,110.0
92,F3,12.0,0.125,100,110.0
93,C2,12.0,0.5,98,110.0
94,A4,12.25,0.25,100,110.0
95,F3,12.25,0.125,100,110.0
96,F3,12.5,0.125,100,110.0
97,B-5,12.75,0.5,100,110.0
98,F3,12.75,0.125,100,110.0
99,F3,13.0,0.125,100,110.0
100,C2,13.0,0.5,98,110.0
101,F#2,13.0,0.5,98,110.0
102,C6,13.25,0.25,100,110.0
103,F3,13.25,0.125,100,110.0
104,D6,13.5,0.25,100,110.0
105,F3,13.5,0.125,100,110.0
106,F3,13.75,0.125,100,110.0
107,A4,14.0,0.5,100,110.0
108,F3,14.0,0.125,100,110.0
109,C2,14.0,0.5,98,110.0
110,F3,14.25,0.125,100,110.0
111,F5,14.5,0.5,100,110.0
112,F3,14.5,0.125,100,110.0
113,F3,14.75,0.125,100,110.0
114,D5,15.0,1.0,100,110.0
115,F3,15.0,0.125,100,110.0
116,F#2,15.0,0.5,98,110.0
117,C2,15.0,0.5,98,110.0
118,F3,15.25,0.125,100,110.0
119,F3,15.5,0.125,100,110.0
120,F3,15.75,0.125,100,110.0
121,G4,16.0,0.25,100,110.0
122,B-2,16.0,0.125,100,110.0
123,C2,16.0,0.5,98,110.0
124,A4,16.25,0.25,100,110.0
125,B-2,16.25,0.125,100,110.0
126,B-2,16.5,0.125,100,110.0
127,B-5,16.75,0.5,100,110.0
128,B-2,16.75,0.125,100,110.0
129,B-2,17.0,0.125,100,110.0
130,F#2,17.0,0.5,98,110.0
131,C2,17.0,0.5,98,110.0
132,C6,17.25,0.25,100,110.0
133,B-2,17.25,0.125,100,110.0
134,D6,17.5,0.25,100,110.0
135,B-2,17.5,0.125,100,110.0
136,B-2,17.75,0.125,100,110.0
137,F5,18.0,0.5,100,110.0
138,B-2,18.0,0.125,100,110.0
139,C2,18.0,0.5,98,110.0
140,B-2,18.25,0.125,100,110.0
141,G5,18.5,0.5,100,110.0
142,B-2,18.5,0.125,100,110.0
143,B-2,18.75,0.125,100,110.0
144,D5,19.0,1.0,100,110.0
145,B-2,19.0,0.125,100,110.0
146,C2,19.0,0.5,98,110.0
147,F#2,19.0,0.5,98,110.0
148,B-2,19.25,0.125,100,110.0
149,B-2,19.5,0.125,100,110.0
150,B-2,19.75,0.125,100,110.0
151,G4,20.0,0.25,100,110.0
152,D3,20.0,0.125,100,110.0
153,C2,20.0,0.5,98,110.0
154,A4,20.25,0.25,100,110.0
155,D3,20.25,0.125,100,110.0
156,D3,20.5,0.125,100,110.0
157,B-5,20.75,0.5,100,110.0
158,D3,20.75,0.125,100,110.0
159,D3,21.0,0.125,100,110.0
160,C2,21.0,0.5,98,110.0
161,F#2,21.0,0.5,98,110.0
162,C6,21.25,0.25,100,110.0
163,D3,21.25,0.125,100,110.0
164,D6,21.5,0.25,100,110.0
165,D3,21.5,0.125,100,110.0
166,D3,21.75,0.125,100,110.0
167,F5,22.0,0.5,100,110.0
168,D3,22.0,0.125,100,110.0
169,C2,22.0,0.5,98,110.0
170,D3,22.25,0.125,100,110.0
171,G5,22.5,0.5,100,110.0
172,D3,22.5,0.125,100,110.0
173,D3,22.75,0.125,100,110.0
174,D5,23.0,0.5,100,110.0
175,D3,23.0,0.125,100,110.0
176,C2,23.0,0.5,98,110.0
177,F#2,23.0,0.5,98,110.0
178,D3,23.25,0.125,100,110.0
179,C5,23.5,0.5,100,110.0
180,D3,23.5,0.125,100,110.0
181,D3,23.75,0.125,100,110.0
182,G4,24.0,0.25,100,110.0
183,F3,24.0,0.125,100,110.0
184,C2,24.0,0.5,98,110.0
185,A4,24.25,0.25,100,110.0
186,F3,24.25,0.125,100,110.0
187,F3,24.5,0.125,100,110.0
188,B-5,24.75,0.5,100,110.0
189,F3,24.75,0.125,100,110.0
190,F3,25.0,0.125,100,110.0
191,C2,25.0,0.5,98,110.0
192,F#2,25.0,0.5,98,110.0
193,C6,25.25,0.25,100,110.0
194,F3,25.25,0.125,100,110.0
195,D6,25.5,0.25,100,110.0
196,F3,25.5,0.125,100,110.0
197,F3,25.75,0.125,100,110.0
198,F5,26.0,0.5,100,110.0
199,F3,26.0,0.125,100,110.0
200,C2,26.0,0.5,98,110.0
201,F3,26.25,0.125,100,110.0
202,A4,26.5,0.5,100,110.0
203,F3,26.5,0.125,100,110.0
204,F3,26.75,0.125,100,110.0
205,B-4,27.0,1.0,100,110.0
206,F3,27.0,0.125,100,110.0
207,C2,27.0,0.5,98,110.0
208,F#2,27.0,0.5,98,110.0
209,F3,27.25,0.125,100,110.0
210,F3,27.5,0.125,100,110.0
211,F3,27.75,0.125,100,110.0
212,G4,28.0,0.25,100,110.0
213,F3,28.0,0.125,100,110.0
214,C2,28.0,0.5,98,110.0
215,A4,28.25,0.25,100,110.0
216,F3,28.25,0.125,100,110.0
217,F3,28.5,0.125,100,110.0
218,B-5,28.75,0.5,100,110.0
219,F3,28.75,0.125,100,110.0
220,F3,29.0,0.125,100,110.0
221,F#2,29.0,0.5,98,110.0
222,C6,29.25,0.25,100,110.0
223,F3,29.25,0.125,100,110.0
224,D6,29.5,0.25,100,110.0
225,F3,29.5,0.125,100,110.0
226,F3,29.75,0.125,100,110.0
227,A4,30.0,0.5,100,110.0
228,F3,30.0,0.125,100,110.0
229,F3,30.25,0.125,100,110.0
230,F5,30.5,0.5,100,110.0
231,F3,30.5,0.125,100,110.0
232,F3,30.75,0.125,100,110.0
233,D5,31.0,1.0,100,110.0
234,F3,31.0,0.125,100,110.0
235,F#2,31.0,0.5,98,110.0
236,F3,31.25,0.125,100,110.0
237,F3,31.5,0.125,100,110.0
238,F3,31.75,0.125,100,110.0
239,G4,32.0,0.25,100,110.0
240,B-2,32.0,0.125,100,110.0
241,C2,32.0,0.5,98,110.0
242,A4,32.25,0.25,100,110.0
243,B-2,32.25,0.125,100,110.0
244,B-2,32.5,0.125,100,110.0
245,B-5,32.75,0.5,100,110.0
246,B-2,32.75,0.125,100,110.0
247,B-2,33.0,0.125,100,110.0
248,E-2,33.0,0.5,98,110.0
249,C2,33.0,0.5,98,110.0
250,C6,33.25,0.25,100,110.0
251,B-2,33.25,0.125,100,110.0
252,D6,33.5,0.25,100,110.0
253,B-2,33.5,0.125,100,110.0
254,B-2,33.75,0.125,100,110.0
255,F5,34.0,0.5,100,110.0
256,B-2,34.0,0.125,100,110.0
257,C2,34.0,0.5,98,110.0
258,B-2,34.25,0.125,100,110.0
259,G5,34.5,0.5,100,110.0
260,B-2,34.5,0.125,100,110.0
261,B-2,34.75,0.125,100,110.0
262,D5,35.0,1.0,100,110.0
263,B-2,35.0,0.125,100,110.0
264,E-2,35.0,0.5,98,110.0
265,C2,35.0,0.5,98,110.0
266,B-2,35.25,0.125,100,110.0
267,B-2,35.5,0.125,100,110.0
268,B-2,35.75,0.125,100,110.0
269,G4,36.0,0.25,100,110.0
270,D3,36.0,0.125,100,110.0
271,C2,36.0,0.5,98,110.0
272,A4,36.25,0.25,100,110.0
273,D3,36.25,0.125,100,110.0
274,D3,36.5,0.125,100,110.0
275,B-5,36.75,0.5,100,110.0
276,D3,36.75,0.125,100,110.0
277,D3,37.0,0.125,100,110.0
