,note_name,start_time,duration,velocity,tempo
0,F#5,0.0,0.5,100,85.0
1,G2,0.0,4.0,100,85.0
2,A4,0.5,0.5,100,85.0
3,F#5,1.0,0.5,100,85.0
4,A4,1.5,0.5,100,85.0
5,F#5,2.5,0.5,100,85.0
6,B4,3.0,0.5,100,85.0
7,A4,3.75,0.25,100,85.0
8,F#5,4.0,0.5,100,85.0
9,D2,4.0,2.0,100,85.0
10,A4,4.5,0.5,100,85.0
11,F#5,5.0,0.5,100,85.0
12,A4,5.5,0.5,100,85.0
13,F#5,6.0,0.5,100,85.0
14,F#6,6.0,0.75,100,85.0
15,B2,6.0,1.0,100,85.0
16,A4,6.5,0.5,100,85.0
17,A2,7.0,1.0,100,85.0
18,E5,7.0,0.5,100,85.0
19,A6,7.0,0.5,100,85.0
20,A4,7.5,0.5,100,85.0
21,G2,8.0,4.0,100,85.0
22,F#5,8.0,0.5,100,85.0
23,A6,8.0,0.5,100,85.0
24,A4,8.5,0.5,100,85.0
25,E6,9.0,1.0,100,85.0
26,F#5,9.0,0.5,100,85.0
27,A4,9.5,0.5,100,85.0
28,F#5,10.5,0.5,100,85.0
29,B4,11.0,0.5,100,85.0
30,A4,11.75,0.25,100,85.0
31,F#6,12.0,1.0,100,85.0
32,F#5,12.0,0.5,100,85.0
33,B2,12.0,3.0,100,85.0
34,A4,12.5,0.5,100,85.0
35,F#5,13.0,0.5,100,85.0
36,A4,13.5,0.5,100,85.0
37,A6,14.0,1.0,100,85.0
38,F#5,14.0,0.5,100,85.0
39,A4,14.5,0.5,100,85.0
40,E5,15.0,0.5,100,85.0
41,D2,15.0,1.0,100,85.0
42,A4,15.5,0.5,100,85.0
43,F#5,16.0,0.5,100,85.0
44,G4,16.0,3.0,100,85.0
45,B2,16.0,1.5,100,85.0
46,E-2,16.0,0.5,100,85.0
47,A4,16.5,0.5,100,85.0
48,E-2,16.5,0.5,100,85.0
49,F#5,17.0,0.5,100,85.0
50,E-2,17.0,0.5,100,85.0
51,A4,17.5,0.5,100,85.0
52,G2,17.5,1.5,100,85.0
53,E-2,17.5,0.5,100,85.0
54,E-2,18.0,0.5,100,85.0
55,F#5,18.5,0.5,100,85.0
56,E-2,18.5,0.5,100,85.0
57,B4,19.0,0.5,100,85.0
58,F#4,19.0,1.0,100,85.0
59,F#2,19.0,1.0,100,85.0
60,E-2,19.0,0.5,100,85.0
61,E-2,19.5,0.5,100,85.0
62,A4,19.75,0.25,100,85.0
63,F#5,20.0,0.5,100,85.0
64,D4,20.0,2.0,100,85.0
65,D2,20.0,2.0,100,85.0
66,E-2,20.0,0.5,100,85.0
67,A4,20.5,0.5,100,85.0
68,E-2,20.5,0.25,100,85.0
69,E-2,20.75,0.25,100,85.0
70,F#5,21.0,0.5,100,85.0
71,E-2,21.0,0.5,100,85.0
72,A4,21.5,0.5,100,85.0
73,E-2,21.5,0.5,100,85.0
74,F#6,22.0,0.75,100,85.0
75,F#5,22.0,0.5,100,85.0
76,B4,22.0,1.0,100,85.0
77,B2,22.0,1.0,100,85.0
78,E-2,22.0,0.5,100,85.0
79,A4,22.5,0.5,100,85.0
80,E-2,22.5,0.5,100,85.0
81,A4,23.0,1.0,100,85.0
82,A2,23.0,1.0,100,85.0
83,E-2,23.0,0.5,100,85.0
84,A6,23.0,0.5,100,85.0
85,E5,23.0,0.5,100,85.0
86,A4,23.5,0.5,100,85.0
87,E-2,23.5,0.25,100,85.0
88,E-2,23.75,0.25,100,85.0
89,G4,24.0,3.0,100,85.0
90,G2,24.0,3.0,100,85.0
91,E-2,24.0,0.5,100,85.0
92,F#5,24.0,0.5,100,85.0
93,A6,24.0,0.5,100,85.0
94,A4,24.5,0.5,100,85.0
95,E-2,24.5,0.5,100,85.0
96,F#5,25.0,0.5,100,85.0
97,E6,25.0,1.0,100,85.0
98,E-2,25.0,0.5,100,85.0
99,A4,25.5,0.5,100,85.0
100,E-2,25.5,0.5,100,85.0
101,E-2,26.0,0.5,100,85.0
102,F#5,26.5,0.5,100,85.0
103,E-2,26.5,0.5,100,85.0
104,B4,27.0,0.5,100,85.0
105,F#4,27.0,1.0,100,85.0
106,F#2,27.0,1.0,100,85.0
107,E-2,27.0,0.5,100,85.0
108,E-2,27.5,0.5,100,85.0
109,A4,27.75,0.25,100,85.0
110,F#5,28.0,0.5,100,85.0
111,F#6,28.0,1.0,100,85.0
112,B3,28.0,2.0,100,85.0
113,B1,28.0,4.0,100,85.0
114,E-2,28.0,0.5,100,85.0
115,A4,28.5,0.5,100,85.0
116,E-2,28.5,0.25,100,85.0
117,E-2,28.75,0.25,100,85.0
118,F#5,29.0,0.5,100,85.0
119,E-2,29.0,0.5,100,85.0
120,A4,29.5,0.5,100,85.0
121,E-2,29.5,0.5,100,85.0
122,A6,30.0,1.0,100,85.0
123,F#5,30.0,0.5,100,85.0
124,E-2,30.0,0.5,100,85.0
125,A4,30.5,0.5,100,85.0
126,E-2,30.5,0.5,100,85.0
127,E5,31.0,0.5,100,85.0
128,E-2,31.0,0.5,100,85.0
129,A4,31.5,0.5,100,85.0
130,E2,32.0,4.0,100,85.0
131,C#3,32.0,0.5,100,85.0
132,C2,32.0,0.5,100,85.0
133,E5,32.5,0.5,100,85.0
134,D2,33.0,0.5,100,85.0
135,E5,34.0,0.5,100,85.0
136,E5,34.5,0.5,100,85.0
137,C2,34.5,0.5,100,85.0
138,D2,35.0,0.5,100,85.0
139,D2,36.0,2.0,100,85.0
140,C2,36.0,0.5,100,85.0
141,B4,36.25,0.25,100,85.0
142,F#5,36.5,0.5,100,85.0
143,E5,37.0,0.5,100,85.0
144,D2,37.0,0.5,100,85.0
145,B2,38.0,1.0,100,85.0
146,C2,38.0,0.5,100,85.0
147,B4,38.5,0.5,100,85.0
148,A2,39.0,1.0,100,85.0
149,D2,39.0,0.5,100,85.0
150,B4,39.5,0.5,100,85.0
151,C#2,39.75,0.25,100,85.0
152,G2,40.0,4.0,100,85.0
153,C2,40.0,0.5,100,85.0
154,E5,40.5,0.5,100,85.0
155,D2,41.0,0.5,100,85.0
156,C2,41.75,0.5,100,85.0
157,E5,42.0,0.5,100,85.0
158,E5,42.5,0.5,100,85.0
159,C2,42.5,0.5,100,85.0
160,D2,43.0,0.5,100,85.0
161,B2,44.0,3.0,100,85.0
162,C2,44.0,0.5,100,85.0
163,B4,44.25,0.25,100,85.0
164,E5,44.5,0.5,100,85.0
165,F#5,45.0,0.25,100,85.0
166,D2,45.0,0.5,100,85.0
167,F#5,45.25,0.25,100,85.0
168,F#5,46.0,0.5,100,85.0
169,C2,46.75,0.25,100,85.0
170,F#5,47.0,0.25,100,85.0
171,D2,47.0,1.0,100,85.0
172,D2,47.0,0.5,100,85.0
173,F#5,47.25,0.25,100,85.0
174,B4,47.5,0.25,100,85.0
175,D2,47.75,0.125,100,85.0
176,D2,47.875,0.125,100,85.0
177,B2,48.0,1.5,100,85.0
178,C2,48.0,0.5,100,85.0
179,D2,48.0,0.25,100,85.0
180,E5,48.5,0.5,100,85.0
181,D2,49.0,0.5,100,85.0
182,G2,49.5,1.5,100,85.0
183,C2,49.5,0.5,100,85.0
184,E5,50.0,0.5,100,85.0
185,E5,50.5,0.5,100,85.0
186,C2,50.5,0.5,100,85.0
187,F#2,51.0,1.0,100,85.0
188,D2,51.0,0.5,100,85.0
189,D2,52.0,2.0,100,85.0
190,C2,52.0,0.5,100,85.0
191,B4,52.25,0.25,100,85.0
192,E5,52.5,0.5,100,85.0
193,F#5,53.0,0.25,100,85.0
194,D2,53.0,0.5,100,85.0
195,F#5,53.25,0.25,100,85.0
196,F#5,54.0,0.5,100,85.0
197,B2,54.0,1.0,100,85.0
198,C2,54.0,0.5,100,85.0
199,F#5,55.0,0.25,100,85.0
200,A2,55.0,1.0,100,85.0
201,D2,55.0,0.5,100,85.0
202,F#5,55.25,0.25,100,85.0
203,B4,55.5,0.25,100,85.0
204,C#2,55.75,0.25,100,85.0
205,G2,56.0,3.0,100,85.0
206,C2,56.0,0.5,100,85.0
207,E5,56.5,0.5,100,85.0
208,D2,57.0,0.5,100,85.0
209,C2,57.75,0.5,100,85.0
210,E5,58.0,0.5,100,85.0
211,E5,58.5,0.5,100,85.0
212,C2,58.5,0.5,100,85.0
213,F#2,59.0,1.0,100,85.0
214,D2,59.0,0.5,100,85.0
215,B1,60.0,4.0,100,85.0
216,C2,60.0,0.5,100,85.0
217,B4,60.25,0.25,100,85.0
218,E5,60.5,0.5,100,85.0
219,F#5,61.0,0.25,100,85.0
220,D2,61.0,0.5,100,85.0
221,F#5,61.25,0.25,100,85.0
222,F#5,62.0,0.5,100,85.0
223,C2,62.75,0.25,100,85.0
224,F#5,63.0,0.25,100,85.0
225,D2,63.0,0.5,100,85.0
226,F#5,63.25,0.25,100,85.0
227,B4,63.5,0.25,100,85.0
228,D2,63.75,0.125,100,85.0
229,D2,63.875,0.125,100,85.0
230,C#3,64.0,0.5,100,85.0
231,C2,64.0,0.5,100,85.0
232,D2,64.0,0.5,100,85.0
