,note_name,start_time,duration,velocity,tempo
0,C2,0.0,0.5,98,80.0
1,B5,0.25,0.125,98,80.0
2,E2,0.25,0.25,98,80.0
3,F#5,0.25,0.75,98,80.0
4,B4,0.25,0.75,98,80.0
5,F#4,0.25,0.75,98,80.0
6,E5,0.25,0.75,98,80.0
7,B5,0.5,0.125,98,80.0
8,E2,0.5,0.25,98,80.0
9,G#5,0.625,0.125,98,80.0
10,E-5,0.75,0.125,98,80.0
11,E2,0.75,0.25,98,80.0
12,B4,0.875,0.125,98,80.0
13,F#2,1.0,0.5,98,80.0
14,C2,1.0,0.5,98,80.0
15,B5,1.25,0.125,98,80.0
16,E2,1.25,0.25,98,80.0
17,B4,1.25,0.75,98,80.0
18,F#4,1.25,0.75,98,80.0
19,F#5,1.25,0.75,98,80.0
20,E5,1.25,0.75,98,80.0
21,B5,1.5,0.125,98,80.0
22,E2,1.5,0.25,98,80.0
23,G#5,1.625,0.125,98,80.0
24,E-5,1.75,0.125,98,80.0
25,E2,1.75,0.25,98,80.0
26,B4,1.875,0.125,98,80.0
27,C2,2.0,0.5,98,80.0
28,B5,2.25,0.125,98,80.0
29,E2,2.25,0.25,98,80.0
30,B4,2.25,0.75,98,80.0
31,F#4,2.25,0.75,98,80.0
32,F#5,2.25,0.75,98,80.0
33,E5,2.25,0.75,98,80.0
34,B5,2.5,0.125,98,80.0
35,E2,2.5,0.25,98,80.0
36,G#5,2.625,0.125,98,80.0
37,E-5,2.75,0.125,98,80.0
38,E2,2.75,0.25,98,80.0
39,B4,2.875,0.125,98,80.0
40,F#2,3.0,0.5,98,80.0
41,C2,3.0,0.5,98,80.0
42,B5,3.25,0.125,98,80.0
43,E2,3.25,0.25,98,80.0
44,B4,3.25,0.75,98,80.0
45,F#4,3.25,0.75,98,80.0
46,F#5,3.25,0.75,98,80.0
47,E5,3.25,0.75,98,80.0
48,B5,3.5,0.125,98,80.0
49,E2,3.5,0.25,98,80.0
50,G#5,3.625,0.125,98,80.0
51,E-5,3.75,0.125,98,80.0
52,E2,3.75,0.25,98,80.0
53,B4,3.875,0.125,98,80.0
54,C2,4.0,0.5,98,80.0
55,B5,4.25,0.125,98,80.0
56,E2,4.25,0.25,98,80.0
57,B4,4.25,0.75,98,80.0
58,F#4,4.25,0.75,98,80.0
59,F#5,4.25,0.75,98,80.0
60,E5,4.25,0.75,98,80.0
61,B5,4.5,0.125,98,80.0
62,E2,4.5,0.25,98,80.0
63,G#5,4.625,0.125,98,80.0
64,E-5,4.75,0.125,98,80.0
65,E2,4.75,0.25,98,80.0
66,B4,4.875,0.125,98,80.0
67,F#2,5.0,0.5,98,80.0
68,C2,5.0,0.5,98,80.0
69,B5,5.25,0.125,98,80.0
70,E2,5.25,0.25,98,80.0
71,B4,5.25,0.75,98,80.0
72,E5,5.25,0.75,98,80.0
73,F#5,5.25,0.75,98,80.0
74,F#4,5.25,0.75,98,80.0
75,B5,5.5,0.125,98,80.0
76,E2,5.5,0.25,98,80.0
77,G#5,5.625,0.125,98,80.0
78,E-5,5.75,0.125,98,80.0
79,E2,5.75,0.25,98,80.0
80,B4,5.875,0.125,98,80.0
81,C2,6.0,0.5,98,80.0
82,B5,6.25,0.125,98,80.0
83,E-2,6.25,0.25,98,80.0
84,F#5,6.25,0.75,98,80.0
85,E-5,6.25,0.75,98,80.0
86,E-4,6.25,0.75,98,80.0
87,B4,6.25,0.75,98,80.0
88,E-6,6.375,0.125,98,80.0
89,F#6,6.5,0.125,98,80.0
90,E-2,6.5,0.25,98,80.0
91,E-6,6.625,0.125,98,80.0
92,B5,6.75,0.125,98,80.0
93,E-2,6.75,0.25,98,80.0
94,B-5,6.875,0.125,98,80.0
95,F#2,7.0,0.5,98,80.0
96,C2,7.0,0.5,98,80.0
97,B5,7.25,0.125,98,80.0
98,E-2,7.25,0.25,98,80.0
99,F#5,7.25,0.75,98,80.0
100,E-5,7.25,0.75,98,80.0
101,E-4,7.25,0.75,98,80.0
102,B4,7.25,0.75,98,80.0
103,E-6,7.375,0.125,98,80.0
104,F#6,7.5,0.125,98,80.0
105,E-2,7.5,0.25,98,80.0
106,E-6,7.625,0.125,98,80.0
107,B5,7.75,0.125,98,80.0
108,E-2,7.75,0.25,98,80.0
109,B-5,7.875,0.125,98,80.0
110,C2,8.0,0.5,98,80.0
111,B5,8.25,0.125,98,80.0
112,G#2,8.25,0.25,98,80.0
113,G#4,8.25,0.75,98,80.0
114,B4,8.25,0.75,98,80.0
115,E-5,8.25,0.75,98,80.0
116,F#5,8.25,0.75,98,80.0
117,B5,8.5,0.125,98,80.0
118,G#2,8.5,0.25,98,80.0
119,G#5,8.625,0.125,98,80.0
120,E-5,8.75,0.125,98,80.0
121,G#2,8.75,0.25,98,80.0
122,B4,8.875,0.125,98,80.0
123,F#2,9.0,0.5,98,80.0
124,C2,9.0,0.5,98,80.0
125,B5,9.25,0.125,98,80.0
126,G#2,9.25,0.25,98,80.0
127,G#4,9.25,0.75,98,80.0
128,B4,9.25,0.75,98,80.0
129,E-5,9.25,0.75,98,80.0
130,F#5,9.25,0.75,98,80.0
131,B5,9.5,0.125,98,80.0
132,G#2,9.5,0.25,98,80.0
133,G#5,9.625,0.125,98,80.0
134,E-5,9.75,0.125,98,80.0
135,G#2,9.75,0.25,98,80.0
136,B4,9.875,0.125,98,80.0
137,C2,10.0,0.5,98,80.0
138,B5,10.25,0.125,98,80.0
139,G#2,10.25,0.25,98,80.0
140,G#4,10.25,0.75,98,80.0
141,B4,10.25,0.75,98,80.0
142,E-5,10.25,0.75,98,80.0
143,F#5,10.25,0.75,98,80.0
144,B5,10.5,0.125,98,80.0
145,G#2,10.5,0.25,98,80.0
146,G#5,10.625,0.125,98,80.0
147,E-5,10.75,0.125,98,80.0
148,G#2,10.75,0.25,98,80.0
149,B4,10.875,0.125,98,80.0
150,F#2,11.0,0.5,98,80.0
151,C2,11.0,0.5,98,80.0
152,B5,11.25,0.125,98,80.0
153,G#2,11.25,0.25,98,80.0
154,G#4,11.25,0.75,98,80.0
155,B4,11.25,0.75,98,80.0
156,E-5,11.25,0.75,98,80.0
157,F#5,11.25,0.75,98,80.0
158,B5,11.5,0.125,98,80.0
159,G#2,11.5,0.25,98,80.0
160,G#5,11.625,0.125,98,80.0
161,E-5,11.75,0.125,98,80.0
162,G#2,11.75,0.25,98,80.0
163,B4,11.875,0.125,98,80.0
164,C2,12.0,0.5,98,80.0
165,B5,12.25,0.125,98,80.0
166,G#2,12.25,0.25,98,80.0
167,G#4,12.25,0.75,98,80.0
168,B4,12.25,0.75,98,80.0
169,F#5,12.25,0.75,98,80.0
170,E-5,12.25,0.75,98,80.0
171,B5,12.5,0.125,98,80.0
172,G#2,12.5,0.25,98,80.0
173,G#5,12.625,0.125,98,80.0
174,E-5,12.75,0.125,98,80.0
175,G#2,12.75,0.25,98,80.0
176,B4,12.875,0.125,98,80.0
177,F#2,13.0,0.5,98,80.0
178,C2,13.0,0.5,98,80.0
179,B5,13.25,0.125,98,80.0
180,G#2,13.25,0.25,98,80.0
181,G#4,13.25,0.75,98,80.0
182,E-5,13.25,0.75,98,80.0
183,F#5,13.25,0.75,98,80.0
184,B4,13.25,0.75,98,80.0
185,B5,13.5,0.125,98,80.0
186,G#2,13.5,0.25,98,80.0
187,G#5,13.625,0.125,98,80.0
188,E-5,13.75,0.125,98,80.0
189,G#2,13.75,0.25,98,80.0
190,B4,13.875,0.125,98,80.0
191,C2,14.0,0.5,98,80.0
192,B5,14.25,0.125,98,80.0
193,F#2,14.25,0.25,98,80.0
194,F#4,14.25,0.75,98,80.0
195,B4,14.25,0.75,98,80.0
196,E-5,14.25,0.75,98,80.0
197,F#5,14.25,0.75,98,80.0
198,E-6,14.375,0.125,98,80.0
199,F#6,14.5,0.125,98,80.0
200,F#2,14.5,0.25,98,80.0
201,E-6,14.625,0.125,98,80.0
202,B5,14.75,0.125,98,80.0
203,F#2,14.75,0.25,98,80.0
204,B-5,14.875,0.125,98,80.0
205,F#2,15.0,0.5,98,80.0
206,C2,15.0,0.5,98,80.0
207,B5,15.25,0.125,98,80.0
208,F#2,15.25,0.25,98,80.0
209,E-5,15.25,0.75,98,80.0
210,B4,15.25,0.75,98,80.0
211,F#4,15.25,0.75,98,80.0
212,F#5,15.25,0.75,98,80.0
213,E-6,15.375,0.125,98,80.0
214,F#6,15.5,0.125,98,80.0
215,F#2,15.5,0.25,98,80.0
216,E-6,15.625,0.125,98,80.0
217,B5,15.75,0.125,98,80.0
218,F#2,15.75,0.25,98,80.0
219,B-5,15.875,0.125,98,80.0
220,C2,16.0,0.5,98,80.0
221,B5,16.25,0.125,98,80.0
222,E2,16.25,0.25,98,80.0
223,F#5,16.25,0.75,98,80.0
224,B4,16.25,0.75,98,80.0
225,F#4,16.25,0.75,98,80.0
226,E5,16.25,0.75,98,80.0
227,B5,16.5,0.125,98,80.0
228,E2,16.5,0.25,98,80.0
229,G#5,16.625,0.125,98,80.0
230,E-5,16.75,0.125,98,80.0
231,E2,16.75,0.25,98,80.0
232,B4,16.875,0.125,98,80.0
233,F#2,17.0,0.5,98,80.0
234,C2,17.0,0.5,98,80.0
235,B5,17.25,0.125,98,80.0
236,E2,17.25,0.25,98,80.0
237,B4,17.25,0.75,98,80.0
238,F#4,17.25,0.75,98,80.0
239,F#5,17.25,0.75,98,80.0
240,E5,17.25,0.75,98,80.0
241,B5,17.5,0.125,98,80.0
242,E2,17.5,0.25,98,80.0
243,G#5,17.625,0.125,98,80.0
244,E-5,17.75,0.125,98,80.0
245,E2,17.75,0.25,98,80.0
246,B4,17.875,0.125,98,80.0
247,C2,18.0,0.5,98,80.0
248,B5,18.25,0.125,98,80.0
249,E2,18.25,0.25,98,80.0
250,B4,18.25,0.75,98,80.0
251,F#4,18.25,0.75,98,80.0
252,F#5,18.25,0.75,98,80.0
253,E5,18.25,0.75,98,80.0
254,B5,18.5,0.125,98,80.0
255,E2,18.5,0.25,98,80.0
256,G#5,18.625,0.125,98,80.0
257,E-5,18.75,0.125,98,80.0
258,E2,18.75,0.25,98,80.0
259,B4,18.875,0.125,98,80.0
260,F#2,19.0,0.5,98,80.0
261,C2,19.0,0.5,98,80.0
262,B5,19.25,0.125,98,80.0
263,E2,19.25,0.25,98,80.0
264,B4,19.25,0.75,98,80.0
265,F#4,19.25,0.75,98,80.0
266,F#5,19.25,0.75,98,80.0
267,E5,19.25,0.75,98,80.0
268,B5,19.5,0.125,98,80.0
269,E2,19.5,0.25,98,80.0
270,G#5,19.625,0.125,98,80.0
271,E-5,19.75,0.125,98,80.0
272,E2,19.75,0.25,98,80.0
273,B4,19.875,0.125,98,80.0
274,C2,20.0,0.5,98,80.0
275,B5,20.25,0.125,98,80.0
276,E2,20.25,0.25,98,80.0
277,B4,20.25,0.75,98,80.0
278,F#4,20.25,0.75,98,80.0
279,F#5,20.25,0.75,98,80.0
280,E5,20.25,0.75,98,80.0
281,B5,20.5,0.125,98,80.0
282,E2,20.5,0.25,98,80.0
283,G#5,20.625,0.125,98,80.0
284,E-5,20.75,0.125,98,80.0
285,E2,20.75,0.25,98,80.0
286,B4,20.875,0.125,98,80.0
287,F#2,21.0,0.5,98,80.0
288,C2,21.0,0.5,98,80.0
289,B5,21.25,0.125,98,80.0
290,E2,21.25,0.25,98,80.0
291,B4,21.25,0.75,98,80.0
292,E5,21.25,0.75,98,80.0
293,F#5,21.25,0.75,98,80.0
294,F#4,21.25,0.75,98,80.0
295,B5,21.5,0.125,98,80.0
296,E2,21.5,0.25,98,80.0
297,G#5,21.625,0.125,98,80.0
298,E-5,21.75,0.125,98,80.0
299,E2,21.75,0.25,98,80.0
300,B4,21.875,0.125,98,80.0
301,C2,22.0,0.5,98,80.0
302,B5,22.25,0.125,98,80.0
303,E-2,22.25,0.25,98,80.0
304,F#5,22.25,0.75,98,80.0
305,E-5,22.25,0.75,98,80.0
306,E-4,22.25,0.75,98,80.0
307,B4,22.25,0.75,98,80.0
308,E-6,22.375,0.125,98,80.0
309,F#6,22.5,0.125,98,80.0
310,E-2,22.5,0.25,98,80.0
311,E-6,22.625,0.125,98,80.0
312,B5,22.75,0.125,98,80.0
313,E-2,22.75,0.25,98,80.0
314,B-5,22.875,0.125,98,80.0
315,F#2,23.0,0.5,98,80.0
316,C2,23.0,0.5,98,80.0
317,B5,23.25,0.125,98,80.0
318,E-2,23.25,0.25,98,80.0
319,F#5,23.25,0.75,98,80.0
320,E-5,23.25,0.75,98,80.0
321,E-4,23.25,0.75,98,80.0
322,B4,23.25,0.75,98,80.0
323,E-6,23.375,0.125,98,80.0
324,F#6,23.5,0.125,98,80.0
325,E-2,23.5,0.25,98,80.0
326,E-6,23.625,0.125,98,80.0
327,B5,23.75,0.125,98,80.0
328,E-2,23.75,0.25,98,80.0
329,B-5,23.875,0.125,98,80.0
330,C2,24.0,0.5,98,80.0
331,B5,24.25,0.125,98,80.0
332,G#2,24.25,0.25,98,80.0
333,G#4,24.25,0.75,98,80.0
334,B4,24.25,0.75,98,80.0
335,E-5,24.25,0.75,98,80.0
336,F#5,24.25,0.75,98,80.0
337,B5,24.5,0.125,98,80.0
338,G#2,24.5,0.25,98,80.0
339,G#5,24.625,0.125,98,80.0
340,E-5,24.75,0.125,98,80.0
341,G#2,24.75,0.25,98,80.0
342,B4,24.875,0.125,98,80.0
343,F#2,25.0,0.5,98,80.0
344,C2,25.0,0.5,98,80.0
345,B5,25.25,0.125,98,80.0
346,G#2,25.25,0.25,98,80.0
347,G#4,25.25,0.75,98,80.0
348,B4,25.25,0.75,98,80.0
349,E-5,25.25,0.75,98,80.0
350,F#5,25.25,0.75,98,80.0
351,B5,25.5,0.125,98,80.0
352,G#2,25.5,0.25,98,80.0
353,G#5,25.625,0.125,98,80.0
354,E-5,25.75,0.125,98,80.0
355,G#2,25.75,0.25,98,80.0
356,B4,25.875,0.125,98,80.0
